0.03333,14,sort,-1500,
0.03333,2,sort,-1500,
0.03333,3,sort,-1500,
0.03333,10,sort,-1500,
0.03333,13,sort,-1500,
0.03333,6,sort,-1500,
0.03333,7,sort,-1500,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,4,,,,D40
0.03333,5,,,,D40
0.03333,6,,,,D40
0.03333,7,,,,D40
0.03333,8,,,,D40
0.03333,9,,,,D40
0.03333,10,,,,D40
0.03333,11,,,,D40
0.03333,12,,,,D40
0.03333,13,,,,D40
0.03333,14,,,,D40
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.06666,MOT_all,Star_cut1,,
0.06666,MOT_control_all,Star_zoom_1,,
1.9331399999999999,1,,,,L0
1.9331399999999999,2,,,,L0
1.9331399999999999,3,,,,L0
1.9331399999999999,4,,,,L0
1.9331399999999999,5,,,,L0
1.9331399999999999,6,,,,L0
1.9331399999999999,7,,,,L0
1.9331399999999999,8,,,,L0
1.9331399999999999,9,,,,L0
1.9331399999999999,10,,,,L0
1.9331399999999999,11,,,,L0
1.9331399999999999,12,,,,L0
1.9331399999999999,13,,,,L0
1.9331399999999999,14,,,,L0
1.9331399999999999,10,hj1,,,
1.9331399999999999,11,hj1,,,
1.9331399999999999,12,hj1,,,
1.9331399999999999,13,hj1,,,
1.9331399999999999,14,hj1,,,
2.23311,6,hj1,,,
2.23311,7,hj1,,,
2.23311,8,hj1,,,
2.23311,9,hj1,,,
2.46642,MOT_all,Star_cut2,,
2.56641,MOT_mc_stage_color_00,b-flash,,
2.56641,MOT_mc_bg_black_00,b80-20,,
2.56641,1,hj1,,,
2.56641,2,hj1,,,
2.56641,3,hj1,,,
2.56641,4,hj1,,,
2.56641,5,hj1,,,
2.73306,MOT_mc_light_center_00,l1,,
2.73306,MOT_mc_light_up_00,l3,,
2.73306,MOT_mc_light_under_00,l1,,
2.73306,MOT_mc_speaker_00,l1,,
3.16635,14,w1,,,
3.16635,13,w1,,,
3.16635,12,w1,,,
3.16635,11,w1,,,
3.16635,10,w1,,,
3.36633,1,1-2,,,
3.36633,2,1-2,,,
3.36633,3,1-2,,,
3.36633,4,1-2,,,
3.36633,5,1-2,,,
3.36633,6,1-2,,,
3.36633,7,1-2,,,
3.36633,8,1-2,,,
3.36633,9,1-2,,,
3.36633,10,1-2,,,
3.36633,11,1-2,,,
3.36633,12,1-2,,,
3.36633,13,1-2,,,
3.36633,14,1-2,,,
3.69963,1,2-3,,,
3.69963,2,2-3,,,
3.69963,3,2-3,,,
3.69963,4,2-3,,,
3.69963,5,2-3,,,
3.69963,6,2-3,,,
3.69963,7,2-3,,,
3.69963,8,2-3,,,
3.69963,9,2-3,,,
3.69963,10,2-3,,,
3.69963,11,2-3,,,
3.69963,12,2-3,,,
3.69963,13,2-3,,,
3.69963,14,2-3,,,
4.2329099999999995,10,hj3,,,
4.2329099999999995,11,hj3,,,
4.2329099999999995,12,hj3,,,
4.2329099999999995,13,hj3,,,
4.2329099999999995,14,hj3,,,
4.53288,6,hj3,,,
4.53288,7,hj3,,,
4.53288,8,hj3,,,
4.53288,9,hj3,,,
4.56621,MOT_mc_stage_color_00,y-flash,,
4.63287,5,w3,,,
4.63287,4,w3,,,
4.63287,3,w3,,,
4.63287,2,w3,,,
4.63287,1,w3,,,
4.86618,1,hj3,,,
4.86618,2,hj3,,,
4.86618,3,hj3,,,
4.86618,4,hj3,,,
4.86618,5,hj3,,,
5.46612,14,w3,,,
5.46612,13,w3,,,
5.46612,12,w3,,,
5.46612,11,w3,,,
5.46612,10,w3,,,
5.76609,9,w3,,,
5.76609,8,w3,,,
5.76609,7,w3,,,
5.76609,6,w3,,,
6.03273,MOT_mc_stage_color_00,r-flash,,
6.09939,5,w3,,,
6.09939,4,w3,,,
6.09939,3,w3,,,
6.09939,2,w3,,,
6.09939,1,3-4,,,
6.09939,2,3-4,,,
6.09939,3,3-4,,,
6.09939,4,3-4,,,
6.09939,5,3-4,,,
6.09939,6,3-4,,,
6.09939,7,3-4,,,
6.09939,8,3-4,,,
6.09939,9,3-4,,,
6.09939,10,3-4,,,
6.09939,11,3-4,,,
6.09939,12,3-4,,,
6.09939,13,3-4,,,
6.09939,14,3-4,,,
6.7659899999999995,MOT_mc_stage_color_00,b-flash,,
6.7659899999999995,1,hj4,,,
6.7659899999999995,2,hj4,,,
6.7659899999999995,3,hj4,,,
6.7659899999999995,4,hj4,,,
6.7659899999999995,5,hj4,,,
7.032629999999999,14,w4,,,
7.032629999999999,13,w4,,,
7.032629999999999,12,w4,,,
7.032629999999999,11,w4,,,
7.032629999999999,10,w4,,,
7.032629999999999,9,w4,,,
7.032629999999999,8,w4,,,
7.032629999999999,7,w4,,,
7.032629999999999,6,w4,,,
7.26594,MOT_mc_stage_color_00,y-flash,,
7.26594,6,hj4,,,
7.26594,7,hj4,,,
7.26594,8,hj4,,,
7.26594,9,hj4,,,
7.26594,10,hj4,,,
7.26594,11,hj4,,,
7.26594,12,hj4,,,
7.26594,13,hj4,,,
7.26594,14,hj4,,,
7.9992,5,w4,,,
7.9992,4,w4,,,
7.9992,3,w4,,,
7.9992,2,w4,,,
7.9992,1,w4,,,
7.9992,MOT_mc_stage_color_00,r-flash,,
7.9992,10,4-1,,,
7.9992,11,4-1,,,
7.9992,12,4-1,,,
7.9992,13,4-1,,,
7.9992,14,4-1,,,
8.3325,1,4-1,,,
8.3325,2,4-1,,,
8.3325,3,4-1,,,
8.3325,4,4-1,,,
8.3325,5,4-1,,,
8.49915,9,w4,,,
8.49915,8,w4,,,
8.49915,7,w4,,,
8.49915,6,w4,,,
8.63247,6,4-1,,,
8.63247,7,4-1,,,
8.63247,8,4-1,,,
8.63247,9,4-1,,,
8.93244,14,w1,,,
8.93244,13,w1,,,
8.93244,12,w1,,,
8.93244,11,w1,,,
8.93244,10,w1,,,
8.96577,1,j1-2,,,
8.96577,2,j1-2,,,
8.96577,3,j1-2,,,
8.96577,4,j1-2,,,
8.96577,5,j1-2,,,
8.96577,6,j1-2,,,
8.96577,7,j1-2,,,
8.96577,8,j1-2,,,
8.96577,9,j1-2,,,
8.96577,10,j1-2,,,
8.96577,11,j1-2,,,
8.96577,12,j1-2,,,
8.96577,13,j1-2,,,
8.96577,14,j1-2,,,
9.53238,6,2-3,,,
9.53238,7,2-3,,,
9.53238,8,2-3,,,
9.53238,9,2-3,,,
9.6657,1,2-3,,,
9.6657,2,2-3,,,
9.6657,3,2-3,,,
9.6657,4,2-3,,,
9.6657,5,2-3,,,
9.899009999999999,10,2-3,,,
9.899009999999999,11,2-3,,,
9.899009999999999,12,2-3,,,
9.899009999999999,13,2-3,,,
9.899009999999999,14,2-3,,,
10.46562,9,w3,,,
10.46562,8,w3,,,
10.46562,7,w3,,,
10.46562,6,w3,,,
10.46562,MOT_mc_stage_color_00,b-flash,,
10.46562,6,j3-4,,,
10.46562,7,j3-4,,,
10.46562,8,j3-4,,,
10.46562,9,j3-4,,,
10.46562,10,j3-4,,,
10.46562,11,j3-4,,,
10.46562,12,j3-4,,,
10.46562,13,j3-4,,,
10.46562,14,j3-4,,,
10.598939999999999,5,w3,,,
10.598939999999999,4,w3,,,
10.598939999999999,3,w3,,,
10.598939999999999,2,w3,,,
10.598939999999999,1,w3,,,
10.76559,1,hj3,,,
10.76559,2,hj3,,,
10.76559,3,hj3,,,
10.76559,4,hj3,,,
10.76559,5,hj3,,,
11.53218,14,w4,,,
11.53218,13,w4,,,
11.53218,12,w4,,,
11.53218,11,w4,,,
11.53218,10,w4,,,
11.53218,9,w4,,,
11.53218,8,w4,,,
11.53218,7,w4,,,
11.53218,6,w4,,,
11.76549,9,j4-1,,,
11.76549,6,j4-1,,,
11.76549,14,j4-1,,,
11.76549,10,j4-1,,,
