time,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,0,,
0,,1,,BUS_0007,0,0,,
0,,2,,MasterOut,0,1,,
0,,2,,BUS_0007,0,0.1,,
0,1,1,1,,,,0,0.78
0,2,2,1,,,,0,0.78
33.178,,2,,MasterOut,0.05,0,,
33.178,,2,,BUS_0007,0.2,0,,
33.428,,1,,MasterOut,0,1,,
33.428,,1,,BUS_0007,0,0.2,,
40.707,,1,,MasterOut,0.05,0,,
40.707,,1,,BUS_0007,0.2,0,,
41.052,,2,,MasterOut,0,1,,
41.052,,2,,BUS_0007,0,0.2,,
48.083,,2,,MasterOut,0.05,0,,
48.083,,2,,BUS_0007,0.2,0,,
48.359,,1,,MasterOut,0,1,,
48.359,,1,,BUS_0007,0,0.2,,
61.664,,1,,MasterOut,0.05,0,,
61.664,,1,,BUS_0007,0.2,0,,
62.029,,2,,MasterOut,0,1,,
62.029,,2,,BUS_0007,0,0.2,,
65.829,,2,,MasterOut,0.05,0,,
65.829,,2,,BUS_0007,0.2,0,,
66.229,,1,,MasterOut,0,1,,
66.229,,1,,BUS_0007,0,0.2,,
66.229,,2,,MasterOut,0,1,,
66.229,,2,,BUS_0007,0,0.2,,
66.229,1,1,1,,,,12,0.54
66.229,2,2,1,,,,-12,0.54
