0.03333,MOT_mc_speaker_00,temp1,,
0.03333,MOT_mc_light_under_00,l1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
2.3997599999999997,MOT_mc_stage_color_00,y-flash,,
2.3997599999999997,MOT_mc_light_up_00,l1,,
2.3997599999999997,MOT_mc_light_center_00,l1,,
2.3997599999999997,MOT_mc_bg_black_00,b80-65,,
2.3997599999999997,1,1-2,,f1,
2.3997599999999997,2,1-2,l1,,D20
2.3997599999999997,3,1-2,r1,,D20
2.3997599999999997,4,1-2,l1,,D20
2.3997599999999997,5,1-2,r1,,D20
2.83305,1,lp2,,,
3.29967,1,2-3,,,
3.3329999999999997,5,w2,,,
3.3329999999999997,4,w2,,,
3.3329999999999997,3,w2,,,
3.3329999999999997,2,w2,,,
3.63297,1,lp3,,,
3.79962,2,2-3,,,
3.79962,3,2-3,,,
3.79962,4,2-3,,,
3.79962,5,2-3,,,
4.16625,2,3-4,,,
4.16625,3,3-4,,,
4.16625,4,3-4,,,
4.16625,5,3-4,,,
4.16625,1,j3-4,,,
4.6662,1,sj4,,,
5.099489999999999,5,w4,,,
5.099489999999999,4,w4,,,
5.099489999999999,3,w4,,,
5.099489999999999,2,w4,,,
5.099489999999999,1,sp4-1,,,
5.3994599999999995,2,sp4-1,,,
5.3994599999999995,3,sp4-1,,,
5.3994599999999995,4,sp4-1,,,
5.3994599999999995,5,sp4-1,,,
6.8659799999999995,MOT_mc_stage_color_00,y-flash,,
6.89931,1,sj1,,,
7.36593,2,sj1,,,
7.36593,3,sj1,,,
7.36593,4,sj1,,,
7.36593,5,sj1,,,
7.36593,1,j1-2,,,
7.76589,1,2-3,,,
7.86588,5,w1,,,
7.86588,4,w1,,,
7.86588,3,w1,,,
7.86588,2,w1,,,
7.9325399999999995,2,1-2,,,
7.9325399999999995,3,1-2,,,
8.09919,4,1-2,,,
8.09919,5,1-2,,,
8.265839999999999,1,3-4,,,
8.43249,2,2-3,,,
8.43249,3,2-3,,,
8.59914,4,2-3,,,
8.59914,5,2-3,,,
8.765789999999999,1,4-1,,,
8.93244,2,3-4,,,
8.93244,3,3-4,,,
9.09909,4,3-4,,,
9.09909,5,3-4,,,
9.26574,1,1-2,,,
9.43239,2,4-1,,,
9.43239,3,4-1,,,
9.599039999999999,4,4-1,,,
9.599039999999999,5,4-1,,,
9.599039999999999,1,2-3,,,
9.899009999999999,2,j1-2,,,
9.899009999999999,3,j1-2,,,
9.899009999999999,4,j1-2,,,
9.899009999999999,5,j1-2,,,
9.899009999999999,1,j3-4,,,
10.36563,2,lp2,,,
10.36563,3,lp2,,,
10.36563,4,lp2,,,
10.36563,5,lp2,,,
10.36563,1,lp4,,,
11.03223,1,lp4,,,
11.23221,MOT_mc_stage_color_00,y-flash,,
11.23221,1,hj4,,,
11.69883,2,hj2,,,
11.69883,3,hj2,,,
11.69883,1,j4-1,,,
12.132119999999999,1,lp1,,,
12.532079999999999,MOT_mc_stage_color_00,r-flash,,
12.532079999999999,MOT_mc_light_up_00,l3,,
12.532079999999999,MOT_mc_light_center_00,l2,,
12.532079999999999,MOT_mc_bg_black_00,b65-45,,
12.56541,4,hj2,,,
12.56541,5,hj2,,,
12.56541,1,j1-2,,,
12.932039999999999,3,w2,,,
12.932039999999999,2,w2,,,
12.96537,3,2-3,r2,,
12.96537,2,2-3,l2,,
13.29867,5,2-3,r2,,
13.29867,4,2-3,l2,,
13.29867,1,lp2,,,
13.29867,2,lp3,,,
13.29867,3,lp3,,,
13.29867,4,lp3,,,
13.29867,5,lp3,,,
13.6653,3,3-4,r3,,
13.6653,2,3-4,l3,,
13.965269999999999,5,3-4,r3,,
13.965269999999999,4,3-4,l3,,
14.465219999999999,4,j4-1,,,
14.465219999999999,5,j4-1,,,
14.59854,3,w4,,,
14.59854,2,w4,,,
14.69853,2,j4-1,,,
14.69853,3,j4-1,,,
14.93184,1,j2-3,,,
15.09849,4,1-2,lb2,,
15.09849,5,1-2,rb2,,
15.3318,1,3-4,,,
15.3318,2,1-2,lb2,,
15.3318,3,1-2,rb2,,
15.665099999999999,4,2-3,lb1,,
15.665099999999999,5,2-3,rb1,,
16.03173,2,2-3,lb1,,
16.03173,3,2-3,rb1,,
16.26504,1,w4,,,
16.36503,1,j4-1,,,
16.59834,5,w3,,,
16.59834,4,w3,,,
16.731659999999998,4,3-4,lb0,,
16.731659999999998,5,3-4,rb0,,
16.96497,3,w3,,,
16.96497,2,w3,,,
17.09829,2,3-4,lb0,,
17.09829,3,3-4,rb0,,
17.43159,1,w1,,,
17.59824,MOT_mc_stage_color_00,r-flash,,
17.59824,3,4-1,r1,,
17.59824,2,4-1,l1,,
17.59824,1,j1-2,,,
17.6649,5,w4,,,
17.6649,4,w4,,,
17.93154,5,4-1,r1,,
17.93154,4,4-1,l1,,
18.29817,3,1-2,r2,,
18.29817,2,1-2,l2,,
18.59814,5,1-2,r2,,
18.59814,4,1-2,l2,,
18.6648,1,w2,,,
19.09809,4,j2-3,,,
19.09809,5,j2-3,,,
19.23141,3,w2,,,
19.23141,2,w2,,,
19.3314,2,j2-3,,,
19.3314,3,j2-3,,,
19.564709999999998,1,j2-3,,,
19.73136,4,3-4,l3,,
19.73136,5,3-4,r3,,
19.964669999999998,1,3-4,,,
19.964669999999998,2,3-4,l3,,
19.964669999999998,3,3-4,r3,,
20.29797,4,4-1,l4,,
20.29797,5,4-1,r4,,
20.6646,2,4-1,,,
20.6646,3,4-1,,,
20.89791,1,w4,,,
20.997899999999998,1,j4-1,,,
21.23121,5,w1,,,
21.23121,4,w1,,,
21.36453,4,1-2,lb3,,
21.36453,5,1-2,rb3,,
21.597839999999998,3,w1,,,
21.597839999999998,2,w1,,,
21.73116,2,1-2,lb2,,
21.73116,3,1-2,rb2,,
22.06446,1,w1,,,
22.29777,5,w2,,,
22.29777,4,w2,,,
22.6644,3,w2,,,
22.6644,2,w2,,,
22.69773,MOT_mc_stage_color_00,b-flash,,
22.69773,1,sj1,,,
22.69773,4,sj2,,,
22.69773,5,sj2,,,
22.96437,3,sj2,,,
22.96437,2,sj2,,,
23.19768,5,w2,,,
23.19768,4,w2,,,
23.19768,1,w1,,,
23.231009999999998,MOT_mc_stage_color_00,b-flash,,
23.231009999999998,1,sj1,,,
23.231009999999998,4,sj2,,,
23.231009999999998,5,sj2,,,
23.46432,3,w2,,,
23.46432,2,w2,,,
23.49765,3,sj2,,,
23.49765,2,sj2,,,
23.73096,5,w2,,,
23.73096,4,w2,,,
23.73096,1,w1,,,
23.76429,MOT_mc_stage_color_00,b-flash,,
23.76429,1,sj1,,,
23.76429,4,sj2,,,
23.76429,5,sj2,,,
23.9976,3,w2,,,
23.9976,2,w2,,,
24.030929999999998,1,sj1,,,
24.030929999999998,4,sj2,,,
24.030929999999998,5,sj2,,,
24.29757,MOT_mc_stage_color_00,b-flash,,
24.29757,3,sj2,,,
24.29757,2,sj2,,,
24.53088,5,w2,,,
24.53088,4,w2,,,
24.53088,1,w1,,,
24.56421,1,j1-2,,,
24.56421,4,j2-3,,,
