0.46662,MOT_mc_bg_black_00,seat100-0,,
2.53308,MOT_mc_bg_black_00,b80-65,,
2.53308,MOT_mc_speaker_00,temp4,,
7.89921,1,1-2,,,
7.89921,2,1-2,,,
7.89921,3,1-2,,,
7.89921,4,1-2,,,
7.89921,5,1-2,,,
8.83245,5,w2,,,
8.83245,4,w2,,,
8.83245,3,w2,,,
8.83245,2,w2,,,
8.83245,1,w2,,,
12.832049999999999,MOT_mc_bg_black_00,b65-45,,
12.832049999999999,MOT_mc_light_up_00,l1,,
12.832049999999999,MOT_mc_light_under_00,l2,,
12.832049999999999,MOT_mc_light_center_00,l1,,
12.832049999999999,1,2-3,,f1,
12.832049999999999,2,2-3,,b-1,D20
12.832049999999999,3,2-3,,b-1,D20
12.832049999999999,4,2-3,,b-1,D20
12.832049999999999,5,2-3,,b-1,D20
13.06536,1,lp3,,,
13.76529,5,w3,,,
13.76529,4,w3,,,
13.76529,3,w3,,,
13.76529,2,w3,,,
14.39856,1,,l1,,
15.49845,1,,l2,,
16.9983,1,3-4,,,
17.93154,1,w4,,,
18.364829999999998,1,4-1,,,
18.59814,1,lp1,,,
19.398059999999997,1,j1-2,,,
19.73136,1,lp2,,,
21.16455,1,,lb1,,
22.29777,1,,lb0,,
23.79762,1,2-3,,,
24.030929999999998,1,lp3,,,
24.430889999999998,2,3-4,l1,,
24.430889999999998,3,3-4,r1,,
25.064159999999998,4,3-4,l1,,
25.064159999999998,5,3-4,r1,,
25.36413,3,w4,,,
25.36413,2,w4,,,
25.9974,5,w4,,,
25.9974,4,w4,,,
26.53068,1,3-4,,,
26.76399,1,lp4,,,
27.16395,2,4-1,lb0,,
27.16395,3,4-1,rb0,,
27.79722,4,4-1,lb0,,
27.79722,5,4-1,rb0,,
28.097189999999998,3,w1,,,
28.097189999999998,2,w1,,,
28.6638,1,j4-1,,,
28.730459999999997,5,w1,,,
28.730459999999997,4,w1,,,
28.96377,2,1-2,,,
28.96377,3,1-2,,,
28.96377,4,1-2,,,
28.96377,5,1-2,,,
29.730359999999997,1,w1,,,
29.897009999999998,5,w2,,,
29.897009999999998,4,w2,,,
29.897009999999998,3,w2,,,
29.897009999999998,2,w2,,,
30.163649999999997,1,lp1,,,
30.163649999999997,2,lp2,,,
30.163649999999997,3,lp2,,,
30.163649999999997,4,lp2,,,
30.163649999999997,5,lp2,,,
31.79682,2,2-3,,,
31.79682,3,2-3,,,
31.79682,4,2-3,,,
31.79682,5,2-3,,,
32.73006,5,w3,,,
32.73006,4,w3,,,
32.73006,3,w3,,,
32.73006,2,w3,,,
32.96337,1,1-2,,,
33.896609999999995,1,w2,,,
34.09659,1,2-3,r1,,
34.09659,2,3-4,l1,,
34.09659,3,3-4,r1,,
34.09659,4,3-4,l1,,
34.09659,5,3-4,r1,,
34.86318,2,4-1,,,
34.92984,3,4-1,,,
34.9965,4,4-1,,,
35.02983,5,w4,,,
35.02983,1,w3,,,
35.063159999999996,5,4-1,,,
