0.03333,MOT_mc_bg_black_00,seat100-0,,
2.3997599999999997,MOT_mc_bg_black_00,b80-65,,
2.3997599999999997,MOT_mc_light_center_00,flash5,,
2.3997599999999997,MOT_mc_light_up_00,l1,,
2.3997599999999997,MOT_mc_light_under_00,l1,,
2.3997599999999997,MOT_mc_speaker_00,temp2,,
2.3997599999999997,1,1-2,,,
2.3997599999999997,2,1-2,l1,,D40
2.3997599999999997,3,1-2,r1,,D40
2.7997199999999998,1,sp2-3,,,
2.7997199999999998,2,sp2-3,l2,,
2.7997199999999998,3,sp2-3,r2,,
3.4329899999999998,MOT_mc_stage_color_00,y-flash,,
3.4329899999999998,MOT_mc_light_center_00,l1,,
3.4329899999999998,1,j3-4,,,
3.49965,2,j3-4,,,
3.49965,3,j3-4,,,
3.8662799999999997,1,4-1,,,
3.8662799999999997,2,4-1,,b-1,
3.8662799999999997,3,4-1,,b-1,
4.29957,1,lp1,,,
4.59954,1,1-2,l1,,
4.799519999999999,3,w1,,,
4.799519999999999,2,w1,,,
5.06616,1,lp2,,,
5.2994699999999995,1,2-3,l2,,
5.79942,1,lp3,,,
6.23271,1,3-4,lb1,,
6.6659999999999995,1,lp4,,,
7.29927,1,4-1,lb0,,
7.6659,1,1-2,r1,,
8.09919,1,lp2,,,
8.49915,1,2-3,rb0,,
8.93244,1,lp3,,,
10.13232,1,3-4,,,
10.56561,1,lp4,,,
11.06556,1,sp4-1,,,
11.59884,MOT_mc_light_center_00,flash5,,
11.69883,1,sj1,,,
12.19878,1,w1,,,
12.59874,MOT_mc_stage_color_00,y-flash,,
12.59874,MOT_mc_bg_black_00,b65-45,,
12.59874,1,1-2,,b-1,
12.932039999999999,MOT_mc_stage_color_00,y-flash,,
12.932039999999999,1,2-3,,f0,
12.932039999999999,2,1-2,,f0,L0
12.932039999999999,3,1-2,,f0,L0
13.331999999999999,MOT_mc_light_center_00,l2,,
13.331999999999999,1,3-4,,,
13.59864,2,j2-3,,,
13.59864,3,j2-3,,,
13.59864,1,j4-1,,,
14.03193,1,1-2,,,
14.29857,2,j3-4,,,
14.29857,3,j3-4,,,
14.29857,1,j2-3,,,
14.59854,1,3-4,,,
14.89851,2,j4-1,,,
14.89851,3,j4-1,,,
14.89851,1,j4-1,,,
15.165149999999999,1,1-2,,,
15.43179,2,j1-2,,,
15.43179,3,j1-2,,,
15.43179,1,j2-3,,,
15.93174,1,3-4,,,
16.39836,1,lp4,,,
16.49835,3,w2,,,
16.49835,2,w2,,,
17.131619999999998,1,j4-1,,,
17.23161,2,j2-3,,,
17.23161,3,j2-3,,,
17.83155,1,j1-2,,,
17.93154,2,j3-4,,,
17.93154,3,j3-4,,,
18.53148,MOT_mc_stage_color_00,r-flash,,
18.564809999999998,2,j4-1,,,L0
18.564809999999998,3,j4-1,,,L0
18.564809999999998,1,2-3,,,
18.93144,1,lp3,,,
19.03143,MOT_mc_stage_color_00,b-flash,,
19.06476,2,j1-2,,,
19.06476,3,j1-2,,,
19.6647,MOT_mc_stage_color_00,y-flash,,
19.69803,2,j2-3,,,
19.69803,3,j2-3,,,
20.3313,MOT_mc_stage_color_00,r-flash,,
20.3313,2,j3-4,,,
20.3313,3,j3-4,,,
21.09789,MOT_mc_stage_color_00,b-flash,,
21.09789,2,j4-1,,,
21.09789,3,j4-1,,,
21.6645,MOT_mc_stage_color_00,y-flash,,
21.6645,2,j1-2,,,
21.6645,3,j1-2,,,
22.36443,MOT_mc_stage_color_00,r-flash,,
22.36443,2,sj2,,,
22.36443,3,sj2,,,
22.69773,MOT_mc_stage_color_00,b-flash,,
22.69773,2,j2-3,,,
22.69773,3,j2-3,,,
22.69773,1,j3-4,,,
23.13102,MOT_mc_stage_color_00,y-flash,,
23.13102,MOT_mc_light_center_00,l1,,
23.13102,MOT_mc_light_up_00,l3,,
23.13102,2,3-4,,b-1,D40
23.13102,3,3-4,,b-1,D40
23.13102,1,j4-1,,,
23.664299999999997,2,j4-1,,,
23.664299999999997,3,j4-1,,,
23.664299999999997,1,1-2,r1,,
24.030929999999998,1,2-3,r2,,
24.430889999999998,1,lp3,,,
24.73086,3,w1,,,
24.73086,2,w1,,,
24.73086,1,3-4,,,
25.16415,1,4-1,rb1,,
25.39746,2,1-2,,,
25.39746,3,1-2,,,
25.664099999999998,1,1-2,rb0,,
26.064059999999998,1,lp2,,,
26.3307,3,w2,,,
26.3307,2,w2,,,
26.36403,1,2-3,,,
26.76399,2,2-3,l3,,
26.76399,3,2-3,rb1,,
26.76399,1,3-4,,,
27.43059,2,3-4,lb2,,
27.43059,3,3-4,r2,,
27.43059,1,4-1,,,
28.06386,1,1-2,,,
28.36383,3,w4,,,
28.36383,2,w4,,,
28.39716,1,lp2,,,
28.63047,1,2-3,,,
29.06376,2,4-1,,,
29.06376,3,4-1,,,
29.06376,1,3-4,,,
29.36373,1,4-1,,,
29.63037,1,lp1,,,
29.997,3,w1,,,
29.997,2,w1,,,
30.130319999999998,2,1-2,,,
30.130319999999998,3,1-2,,,
30.130319999999998,1,sj1,,,
30.43029,1,1-2,,,
30.963569999999997,1,sj2,,,
31.06356,3,w2,,,
31.06356,2,w2,,,
31.29687,1,lp2,,,
31.49685,1,sj2,,,
31.86348,1,j2-3,,,
32.39676,2,2-3,,,
32.39676,3,2-3,,,
32.39676,1,hj3,,,
33.26334,MOT_mc_stage_color_00,r-flash,,
33.26334,MOT_mc_light_center_00,l2,,
33.26334,2,3-4,,f0,L0
33.26334,3,3-4,,f0,L0
33.26334,1,3-4,,,
33.62997,1,lp4,,,
33.92994,MOT_mc_stage_color_00,b-flash,,
33.92994,2,j4-1,,,
33.92994,3,j4-1,,,
34.56321,2,1-2,,,
34.56321,3,1-2,,,
34.89651,MOT_mc_stage_color_00,y-flash,,
34.89651,2,j2-3,,,
34.89651,3,j2-3,,,
35.59644,2,3-4,,,
35.59644,3,3-4,,,
35.96307,MOT_mc_stage_color_00,r-flash,,
35.96307,2,4-1,,,
35.96307,3,4-1,,,
36.59634,2,1-2,,,
36.59634,3,1-2,,,
36.62967,MOT_mc_stage_color_00,b-flash,,
37.42959,MOT_mc_stage_color_00,y-flash,,
37.42959,2,2-3,,,
37.42959,3,2-3,,,
37.6629,1,4-1,,,
37.929539999999996,1,j1-2,,,
38.19618,2,j3-4,,,
38.19618,3,j3-4,,,
38.362829999999995,1,lp2,,,
38.89611,2,j4-1,,,
38.89611,3,j4-1,,,
39.42939,2,1-2,,,
39.42939,3,1-2,,,
39.79602,2,j2-3,,,
39.79602,3,j2-3,,,
40.59594,2,3-4,,,
40.59594,3,3-4,,,
40.96257,2,j4-1,,,
40.96257,3,j4-1,,,
41.629169999999995,2,1-2,,,
41.629169999999995,3,1-2,,,
41.995799999999996,2,j2-3,,,
41.995799999999996,3,j2-3,,,
42.795719999999996,MOT_mc_stage_color_00,y-flash,,
42.89571,2,3-4,,b-1,D20
42.89571,3,3-4,,b-1,D20
42.89571,1,2-3,l1,,
43.229009999999995,1,lp3,,,
43.56231,1,3-4,l2,,
43.82895,3,w4,,,
43.82895,2,w4,,,
43.92894,1,lp4,,,
44.19558,1,4-1,,,
44.49555,2,4-1,,,
44.49555,3,4-1,,,
44.49555,1,lp1,,,
44.72886,1,1-2,lb1,,
44.9955,1,2-3,lb0,,
45.09549,2,j1-2,,,
45.09549,3,j1-2,,,
45.262139999999995,1,j3-4,,,
45.662099999999995,1,lp4,,,
45.92874,1,4-1,r1,,
46.16205,3,w2,,,
46.16205,2,w2,,,
46.29537,1,lp1,,,
46.495349999999995,1,1-2,r2,,
46.69533,2,2-3,,,
46.69533,3,2-3,,,
46.895309999999995,1,lp2,,,
47.19528,1,2-3,rb1,,
47.295269999999995,2,j3-4,,,
47.295269999999995,3,j3-4,,,
47.52858,1,3-4,rb0,,
47.89521,1,sp4-1,,,
48.36183,3,w4,,,
48.36183,2,w4,,,
48.895109999999995,1,sj1,,,
49.06176,2,4-1,,,
49.06176,3,4-1,,,
49.261739999999996,1,1-2,,,
49.661699999999996,2,j1-2,,,
49.661699999999996,3,j1-2,,,
49.695029999999996,1,2-3,,,
49.995,1,sj3,,,
50.39496,1,j3-4,,,
50.72826,3,w2,,,
50.72826,2,w2,,,
50.928239999999995,1,lp4,,,
51.6615,2,2-3,,,
51.6615,3,2-3,,,
51.6615,1,4-1,,,
51.96147,2,j3-4,,,
51.96147,3,j3-4,,,
51.96147,1,j1-2,,,
52.46142,1,sj2,,,
52.76139,2,lp4,,,
52.76139,3,lp4,,,
52.76139,1,2-3,l1,,
53.22801,1,lp3,,,
53.56131,2,j4-1,,,
53.56131,3,j4-1,,,
54.02793,2,lp1,,,
54.02793,3,lp1,,,
54.127919999999996,1,3-4,l2,,
54.561209999999996,1,lp4,,,
54.627869999999994,2,j1-2,,,
54.627869999999994,3,j1-2,,,
55.027829999999994,2,lp2,,,
55.027829999999994,3,lp2,,,
55.26114,1,4-1,lb1,,
55.727759999999996,1,lp1,,,
56.02773,2,j2-3,,,
56.02773,3,j2-3,,,
56.46102,2,lp3,,,
56.46102,3,lp3,,,
56.627669999999995,1,sp1-2,lb0,,
57.22761,1,sj2,,,
57.26094,2,j3-4,,,
57.26094,3,j3-4,,,
57.69423,2,lp4,,,
57.69423,3,lp4,,,
57.69423,1,2-3,l1,,
58.160849999999996,1,lp3,,,
58.52748,2,j4-1,,,
58.52748,3,j4-1,,,
58.96077,2,lp1,,,
58.96077,3,lp1,,,
59.36073,1,3-4,lb0,,
59.794019999999996,2,j1-2,,,
59.794019999999996,3,j1-2,,,
59.860679999999995,1,lp4,,,
60.327299999999994,1,4-1,,,
60.593939999999996,1,sj1,,,
60.86058,3,w2,,,
60.86058,2,w2,,,
61.093889999999995,1,w1,,,
61.3272,1,1-2,r1,,
62.19378,1,2-3,rb0,,
62.693729999999995,1,lp3,,,
62.79372,2,sp2-3,,,
62.79372,3,sp2-3,,,
64.86018,MOT_mc_stage_color_00,b-flash,,
64.86018,MOT_mc_bg_black_00,b45-80,,
64.86018,2,3-4,,,D40
64.86018,3,3-4,,,D40
