0.03333,MOT_mc_bg_black_00,seat100-0,,
2.4997499999999997,MOT_mc_bg_black_00,b80-45,,
2.4997499999999997,MOT_mc_light_center_00,l1,,
2.4997499999999997,MOT_mc_speaker_00,temp4,,
7.6659,2,,,b-1,
7.6659,3,,,b-1,
7.6659,4,,,b-1,
7.6659,5,,,b-1,
10.06566,4,1-2,,,
10.198979999999999,2,1-2,,,
10.298969999999999,1,1-2,,,
10.398959999999999,3,1-2,,,
10.498949999999999,5,1-2,,,
10.998899999999999,4,w2,,,
11.13222,2,w2,,,
11.23221,1,w2,,,
11.3322,3,w2,,,
11.43219,5,w2,,,
13.76529,5,2-3,,,
13.965269999999999,4,2-3,,,
14.19858,3,2-3,,,
14.49855,2,2-3,,,
14.69853,5,w3,,,
14.865179999999999,1,2-3,,,
14.89851,4,w3,,,
15.13182,3,w3,,,
15.43179,2,w3,,,
15.79842,1,w3,,,
16.26504,4,3-4,,,
16.46502,5,3-4,,,
16.69833,2,3-4,,,
16.9983,3,3-4,,,
17.19828,4,w4,,,
17.364929999999998,1,3-4,,,
17.39826,5,w4,,,
17.63157,2,w4,,,
17.93154,3,w4,,,
17.964869999999998,4,4-1,,,
18.09819,2,4-1,,,
18.19818,1,4-1,,,
18.29817,3,4-1,,,
18.39816,5,4-1,,,
18.89811,4,w1,,,
19.03143,2,w1,,,
19.13142,1,w1,,,
19.23141,3,w1,,,
19.3314,5,w1,,,
19.598039999999997,4,,l1,,
19.598039999999997,2,,l1,,
19.73136,3,,r1,,
19.73136,5,,r1,,
19.93134,1,1-2,,,
20.13132,4,1-2,lb0,,
20.13132,2,1-2,lb0,,
20.13132,3,1-2,rb0,,
20.13132,5,1-2,rb0,,
20.73126,1,2-3,,,
20.73126,2,2-3,,,
20.73126,3,2-3,,,
20.73126,4,2-3,,,
20.73126,5,2-3,,,
21.6645,5,w3,,,
21.6645,4,w3,,,
21.6645,3,w3,,,
21.6645,2,w3,,,
21.6645,1,w3,,,
22.26444,4,3-4,,,
22.26444,2,3-4,,,
22.26444,3,3-4,,,
22.26444,5,3-4,,,
23.19768,5,w4,,,
