0.03333,MOT_mc_bg_black_00,seat100-0,,
7.332599999999999,MOT_mc_speaker_00,temp2,,
7.332599999999999,1,1-2,,,
7.332599999999999,2,1-2,,,
7.332599999999999,3,1-2,,,
7.332599999999999,4,1-2,,,
7.332599999999999,5,1-2,,,
8.265839999999999,5,w2,,,
8.265839999999999,4,w2,,,
8.265839999999999,3,w2,,,
8.265839999999999,2,w2,,,
8.265839999999999,1,w2,,,
10.498949999999999,1,j2-3,,,
10.498949999999999,2,j2-3,,,
10.498949999999999,3,j2-3,,,
10.498949999999999,4,j2-3,,,
10.498949999999999,5,j2-3,,,
11.56551,5,w3,,,
11.56551,4,w3,,,
11.56551,3,w3,,,
11.56551,2,w3,,,
11.56551,1,w3,,,
13.46532,1,3-4,,,
13.46532,2,3-4,,,
13.46532,3,3-4,,,
13.46532,4,3-4,,,
13.46532,5,3-4,,,
14.39856,5,w4,,,
14.39856,4,w4,,,
14.39856,3,w4,,,
14.39856,2,w4,,,
14.39856,1,w4,,,
14.49855,MOT_mc_stage_color_00,y-flash,,
14.49855,MOT_mc_bg_black_00,b65-45,,
14.49855,MOT_mc_light_under_00,l3,,
14.49855,MOT_mc_stage_color_00,y,,
14.49855,1,,,f1,
15.63177,1,4-1,,,
16.56501,1,w1,,,
16.731659999999998,1,1-2,,,
17.43159,1,j2-3,,,
18.49815,1,w3,,,
20.63127,1,3-4,l1,f2,
21.56451,1,w4,,,
21.797819999999998,1,4-1,lb0,,
22.73106,1,w1,,,
23.19768,1,1-2,r1,,
24.13092,1,w2,,,
24.49755,1,2-3,rb0,,
25.43079,1,w3,,,
25.93074,1,j3-4,,,
26.9973,1,w4,,,
27.36393,1,sp4-1,,,
29.697029999999998,1,1-2,,,
30.59694,1,2-3,,,
30.59694,2,4-1,,,
30.59694,3,4-1,,,
30.59694,4,4-1,,,
30.59694,5,4-1,,,
31.530179999999998,5,w1,,,
31.530179999999998,4,w1,,,
31.530179999999998,3,w1,,,
31.530179999999998,2,w1,,,
31.530179999999998,1,w3,,,
31.69683,1,3-4,,,
31.69683,2,1-2,,,
31.69683,3,1-2,,,
31.69683,4,1-2,,,
31.69683,5,1-2,,,
32.630069999999996,5,w2,,,
32.630069999999996,4,w2,,,
32.630069999999996,3,w2,,,
32.630069999999996,2,w2,,,
32.630069999999996,1,w4,,,
32.93004,MOT_mc_bg_black_00,b45-20,,
32.93004,MOT_mc_light_up_00,l3,,
32.96337,1,hj4,,,
32.96337,2,hj2,,,
32.96337,3,hj2,,,
32.96337,4,hj2,,,
32.96337,5,hj2,,,
33.76329,1,4-1,,f1,
33.76329,2,2-3,,b-1,D40
33.76329,3,2-3,,b-1,D40
33.76329,4,2-3,,b-1,D40
33.76329,5,2-3,,b-1,D40
34.59654,1,1-2,r1,,
34.696529999999996,5,w3,,,
34.696529999999996,4,w3,,,
34.696529999999996,3,w3,,,
34.696529999999996,2,w3,,,
35.36313,1,2-3,r2,,
35.82975,1,j3-4,,,
36.329699999999995,1,4-1,rb1,,
36.79632,1,1-2,rb0,,
37.26294,1,j2-3,,,
37.72956,1,3-4,l1,,
38.19618,1,4-1,lb0,,
38.62947,1,1-2,l1,,
39.162749999999996,1,2-3,lb0,,
39.6627,1,sj3,,,
40.16265,1,w3,,,
40.46262,1,3-4,l1,,
40.46262,2,j3-4,,,
40.46262,3,j3-4,,,
40.46262,4,j3-4,,,
40.46262,5,j3-4,,,
40.9959,1,4-1,lb0,,
41.52918,5,w4,,,
41.52918,4,w4,,,
41.52918,3,w4,,,
41.52918,2,w4,,,
41.79582,1,sj1,,,
41.79582,2,sj4,,,
41.79582,3,sj4,,,
41.79582,4,sj4,,,
41.79582,5,sj4,,,
42.29577,5,w4,,,
42.29577,4,w4,,,
42.29577,3,w4,,,
42.29577,2,w4,,,
42.29577,1,w1,,,
42.69573,1,sp1-2,,,
43.46232,1,j2-3,,,
43.46232,2,j4-1,,,
43.46232,3,j4-1,,,
43.46232,4,j4-1,,,
43.46232,5,j4-1,,,
44.49555,1,sj3,,,
44.49555,2,sj1,,,
44.49555,3,sj1,,,
44.49555,4,sj1,,,
44.49555,5,sj1,,,
44.9955,5,w1,,,
44.9955,4,w1,,,
44.9955,3,w1,,,
44.9955,2,w1,,,
44.9955,1,w3,,,
45.12882,1,3-4,l1,,
45.695429999999995,1,4-1,lb0,,
46.028729999999996,1,1-2,l1,,
46.028729999999996,2,1-2,,,
46.028729999999996,3,1-2,,,
46.028729999999996,4,1-2,,,
46.028729999999996,5,1-2,,,
46.428689999999996,1,sj2,,,
46.828649999999996,1,2-3,lb0,,
46.96197,5,w2,,,
46.96197,4,w2,,,
46.96197,3,w2,,,
46.96197,2,w2,,,
47.295269999999995,1,j3-4,,,
47.79522,1,4-1,l1,,
48.16185,1,sp1-2,,,
48.16185,2,2-3,,,
48.16185,3,2-3,,,
48.16185,4,2-3,,,
48.16185,5,2-3,,,
49.09509,5,w3,,,
49.09509,4,w3,,,
49.09509,3,w3,,,
49.09509,2,w3,,,
49.328399999999995,1,2-3,lb0,,
49.328399999999995,2,sj3,,,
49.328399999999995,3,sj3,,,
49.328399999999995,4,sj3,,,
49.328399999999995,5,sj3,,,
49.728359999999995,1,j3-4,,,
49.728359999999995,2,3-4,,,
49.728359999999995,3,3-4,,,
49.728359999999995,4,3-4,,,
49.728359999999995,5,3-4,,,
50.494949999999996,1,4-1,,,
50.6616,5,w4,,,
50.6616,4,w4,,,
50.6616,3,w4,,,
50.6616,2,w4,,,
51.19488,1,sj1,,,
51.694829999999996,1,w1,,,
51.9948,1,j1-2,,,
51.9948,2,sj4,,,
51.9948,3,sj4,,,
51.9948,4,sj4,,,
51.9948,5,sj4,,,
52.494749999999996,5,w4,,,
52.494749999999996,4,w4,,,
52.494749999999996,3,w4,,,
52.494749999999996,2,w4,,,
53.06136,1,w2,,,
53.16135,1,j2-3,,,
53.16135,2,4-1,,,
53.16135,3,4-1,,,
53.16135,4,4-1,,,
53.16135,5,4-1,,,
