0.03333,MOT_mc_bg_black_00,seat100-0,,
1.3998599999999999,MOT_mc_stage_color_00,b-flash,,
1.3998599999999999,MOT_mc_bg_black_00,b65-45,,
1.3998599999999999,MOT_mc_speaker_00,temp2,,
1.3998599999999999,MOT_mc_light_center_00,l1,,
1.3998599999999999,MOT_mc_light_under_00,l1,,
2.6664,MOT_mc_stage_color_00,y-flash,,
2.6664,2,lp1,,,D20
2.6664,3,lp1,,,D20
2.6664,4,lp1,,,D20
2.6664,5,lp1,,,D20
2.6664,1,1-2,r1,f1,
3.1330199999999997,1,2-3,r2,,
3.83295,1,j3-4,,,
4.0329299999999995,2,j1-2,,,
4.2329099999999995,3,j1-2,,,
4.4328899999999996,4,j1-2,,,
4.59954,5,j1-2,,,
4.899509999999999,1,w4,,,
5.099489999999999,2,w2,,,
5.2994699999999995,3,w2,,,
5.4994499999999995,4,w2,,,
5.63277,1,4-1,rb1,,
5.6661,5,w2,,,
6.166049999999999,1,1-2,rb0,,
6.83265,1,2-3,l1,,
7.16595,2,j2-3,,,
7.16595,3,j2-3,,,
7.56591,1,3-4,lb0,,
7.89921,4,j2-3,,,
7.89921,5,j2-3,,,
8.23251,3,w3,,,
8.23251,2,w3,,,
8.465819999999999,MOT_mc_stage_color_00,b-flash,,
8.465819999999999,1,4-1,r1,,
8.89911,1,1-2,r2,,
8.96577,5,w3,,,
8.96577,4,w3,,,
9.63237,1,j2-3,,,
9.83235,2,j3-4,,,
9.998999999999999,3,j3-4,,,
10.16565,4,j3-4,,,
10.3323,5,j3-4,,,
10.698929999999999,1,w3,,,
10.898909999999999,2,w4,,,
10.898909999999999,1,3-4,rb1,,
11.06556,3,w4,,,
11.23221,4,w4,,,
11.398859999999999,5,w4,,,
11.43219,1,4-1,rb0,,
12.16545,1,j1-2,,,
12.79872,2,j4-1,,,
12.79872,3,j4-1,,,
13.232009999999999,1,w2,,,
13.39866,1,j2-3,,,
13.865279999999998,3,w1,,,
13.865279999999998,2,w1,,,
13.89861,4,j4-1,,,
13.89861,5,j4-1,,,
14.23191,MOT_mc_stage_color_00,r-flash,,
14.23191,1,j3-4,,,
14.965169999999999,5,w1,,,
14.965169999999999,4,w1,,,
14.9985,1,4-1,l1,,
15.39846,1,1-2,lb0,,
15.59844,2,1-2,,,
15.83175,3,1-2,,,
16.06506,4,1-2,,,
16.26504,5,1-2,,,
16.331699999999998,1,w2,,,
16.531679999999998,2,w2,,,
16.76499,3,w2,,,
16.83165,1,2-3,l1,,
16.9983,4,w2,,,
17.19828,5,w2,,,
17.43159,1,3-4,l2,,
17.89821,1,4-1,lb1,,
18.29817,1,1-2,lb0,,
18.6648,2,j2-3,,,
18.6648,3,j2-3,,,
19.06476,1,j2-3,,,
19.398059999999997,4,j2-3,,,
19.398059999999997,5,j2-3,,,
19.73136,3,w3,,,
19.73136,2,w3,,,
19.964669999999998,MOT_mc_stage_color_00,b-flash,,
19.964669999999998,1,hj3,,,
20.46462,5,w3,,,
20.46462,4,w3,,,
21.09789,MOT_mc_stage_color_00,b-y,,
21.09789,1,3-4,l1,,
21.29787,2,j3-4,,,
21.46452,3,j3-4,,,
21.631169999999997,4,j3-4,,,
21.76449,5,j3-4,,,
21.93114,1,4-1,l2,,
22.36443,2,j4-1,,,
22.36443,3,j4-1,,,
22.36443,4,j4-1,,,
22.36443,5,j4-1,,,
22.76439,1,1-2,lb1,,
23.26434,1,2-3,lb0,,
23.430989999999998,5,w1,,,
23.430989999999998,4,w1,,,
23.430989999999998,3,w1,,,
23.430989999999998,2,w1,,,
23.830949999999998,1,j3-4,,,
24.29757,2,j1-2,,,
24.29757,3,j1-2,,,
24.76419,1,4-1,,,
25.16415,4,j1-2,,,
25.16415,5,j1-2,,,
25.36413,3,w2,,,
25.36413,2,w2,,,
25.697429999999997,1,w1,,,
25.73076,MOT_mc_stage_color_00,y-flash,,
25.73076,1,1-2,l1,,
26.23071,5,w2,,,
26.23071,4,w2,,,
26.23071,1,2-3,l2,,
26.897309999999997,1,3-4,,,
27.3306,MOT_mc_stage_color_00,r-flash,,
27.3306,1,4-1,lb1,,
27.697229999999998,1,1-2,lb0,,
27.930539999999997,2,j2-3,,,
27.930539999999997,3,j2-3,,,
27.930539999999997,4,j2-3,,,
27.930539999999997,5,j2-3,,,
28.56381,MOT_mc_stage_color_00,b-flash,,
28.56381,1,2-3,l1,,
28.9971,5,w3,,,
28.9971,4,w3,,,
28.9971,3,w3,,,
28.9971,2,w3,,,
28.9971,1,3-4,lb0,,
29.930339999999998,1,w4,,,
29.963669999999997,MOT_mc_stage_color_00,b-y,,
29.963669999999997,1,4-1,,,
30.19698,2,j3-4,,,
30.19698,3,j3-4,,,
30.19698,4,j3-4,,,
30.19698,5,j3-4,,,
30.530279999999998,1,j1-2,,,
30.79692,2,j4-1,,,
30.79692,3,j4-1,,,
30.9969,4,j4-1,,,
30.9969,5,j4-1,,,
31.39686,MOT_mc_stage_color_00,y-flash,,
31.43019,1,2-3,l1,,
31.86348,3,w1,,,
31.86348,2,w1,,,
31.86348,1,3-4,lb0,,
32.06346,5,w1,,,
32.06346,4,w1,,,
32.296769999999995,1,4-1,,,
32.696729999999995,1,1-2,l1,,
32.83005,2,j1-2,,,
33.096689999999995,3,j1-2,,,
33.096689999999995,1,2-3,lb0,,
33.33,4,j1-2,,,
33.33,5,j1-2,,,
33.56331,1,j3-4,,,
33.896609999999995,2,w2,,,
34.12992,MOT_mc_stage_color_00,b-flash,,
34.12992,1,j4-1,,,
