0.03333,MOT_mc_bg_black_00,seat100-0,,
1.79982,MOT_mc_stage_color_00,r-b,,
1.79982,MOT_mc_bg_black_00,b65-45,,
1.79982,MOT_mc_speaker_00,temp2,,
1.79982,MOT_mc_light_center_00,l1,,
1.79982,MOT_mc_light_under_00,l1,,
1.79982,2,,,,D20
1.79982,3,,,,D20
1.79982,4,,,,D20
1.79982,5,,,,D20
2.26644,1,1-2,,,
2.6664,2,1-2,,,
2.6664,3,1-2,,,
3.09969,4,1-2,,,
3.09969,5,1-2,,,
3.19968,1,w2,,,
3.49965,1,2-3,,,
3.59964,3,w2,,,
3.59964,2,w2,,,
3.83295,2,2-3,,,
3.83295,3,2-3,,,
3.83295,4,2-3,,,
3.83295,5,2-3,,,
4.4328899999999996,1,w3,,,
4.59954,2,lp3,,,
4.59954,3,lp3,,,
4.59954,4,lp3,,,
4.59954,5,lp3,,,
4.59954,1,3-4,r1,f1,
5.13282,1,4-1,rb0,,
5.6661,1,j1-2,,,
6.166049999999999,1,2-3,,,
6.53268,1,3-4,l1,,
6.89931,1,4-1,lb0,,
7.8325499999999995,1,w1,,,
8.065859999999999,1,j1-2,,,
8.59914,1,2-3,,,
8.9991,1,hj3,,,
9.53238,2,j3-4,,,
9.53238,3,j3-4,,,
9.53238,4,j3-4,,,
9.53238,5,j3-4,,,
10.23231,1,w3,,,
10.298969999999999,2,lp4,,,
10.298969999999999,3,lp4,,,
10.298969999999999,4,lp4,,,
10.298969999999999,5,lp4,,,
10.298969999999999,1,hj3,,,
10.898909999999999,1,j3-4,,,
11.43219,1,4-1,r1,,
11.89881,1,1-2,rb0,,
12.432089999999999,1,hj2,,,
12.632069999999999,2,j4-1,,,
12.86538,3,j4-1,,,
13.09869,4,j4-1,,,
13.09869,5,j4-1,,,
13.6653,1,w2,,,
13.69863,2,w1,,,
13.831949999999999,1,hj2,,,
13.931939999999999,3,w1,,,
14.165249999999999,5,w1,,,
14.165249999999999,4,w1,,,
14.43189,2,j1-2,,,
14.43189,3,j1-2,,,
14.43189,4,j1-2,,,
14.43189,5,j1-2,,,
15.03183,1,2-3,r1,,
15.49845,5,w2,,,
15.49845,4,w2,,,
15.49845,3,w2,,,
15.49845,2,w2,,,
15.53178,1,3-4,rb0,,
16.16505,1,hj4,,,
16.665,2,2-3,,,
16.665,3,2-3,,,
17.03163,4,2-3,,,
17.03163,5,2-3,,,
17.39826,1,4-1,r1,,
17.59824,3,w3,,,
17.59824,2,w3,,,
17.764889999999998,1,1-2,rb0,,
17.964869999999998,5,w3,,,
17.964869999999998,4,w3,,,
18.09819,1,2-3,,,
18.46482,1,hj3,,,
19.09809,2,3-4,,,
19.09809,3,3-4,,,
19.3314,4,j3-4,,,
19.3314,5,j3-4,,,
19.6647,1,3-4,l1,,
19.997999999999998,1,4-1,l2,,
20.03133,3,w4,,,
20.03133,2,w4,,,
20.3313,1,1-2,lb1,,
20.397959999999998,5,w4,,,
20.397959999999998,4,w4,,,
20.73126,1,2-3,lb0,,
21.13122,1,3-4,,,
21.53118,1,4-1,,,
21.96447,1,j1-2,,,
22.09779,2,j4-1,,,
22.29777,3,j4-1,,,
22.49775,4,j4-1,,,
22.49775,5,j4-1,,,
23.031029999999998,1,w2,,,
23.06436,1,j2-3,,,
23.16435,2,w1,,,
23.231009999999998,2,j1-2,,,
23.231009999999998,3,j1-2,,,
23.46432,4,j1-2,,,
23.46432,5,j1-2,,,
23.69763,1,j3-4,,,
24.29757,3,w2,,,
24.29757,2,w2,,,
24.36423,1,4-1,l1,,
24.53088,5,w2,,,
24.53088,4,w2,,,
24.830849999999998,1,1-2,lb0,,
25.59744,1,j2-3,,,
25.76409,2,j2-3,,,
25.9974,3,j2-3,,,
26.23071,4,j2-3,,,
26.43069,5,j2-3,,,
26.63067,1,hj3,,,
26.83065,2,w3,,,
27.063959999999998,3,w3,,,
27.23061,1,j3-4,,,
27.297269999999997,4,w3,,,
27.497249999999998,5,w3,,,
27.897209999999998,1,j4-1,,,
28.06386,2,j3-4,,,
28.297169999999998,3,j3-4,,,
28.530479999999997,4,j3-4,,,
