0.03333,MOT_mc_bg_black_00,seat100-0,,
2.76639,MOT_mc_bg_black_00,b80-45,,
2.76639,MOT_mc_stage_color_00,y,,
2.76639,MOT_mc_light_center_00,l1,,
2.76639,MOT_mc_light_under_00,l2,,
2.76639,MOT_mc_speaker_00,temp4,,
4.76619,1,1-2,,,
5.099489999999999,MOT_mc_light_up_00,l1,,
5.099489999999999,2,,,b-1,
5.099489999999999,3,,,b-1,
5.099489999999999,4,,,b-1,
5.099489999999999,5,,,b-1,
5.099489999999999,1,lp2,,,
7.79922,2,1-2,,,
7.79922,3,1-2,,,
7.79922,4,1-2,,,
7.79922,5,1-2,,,
8.73246,5,w2,,,
8.73246,4,w2,,,
8.73246,3,w2,,,
8.73246,2,w2,,,
10.298969999999999,1,2-3,,,
10.63227,2,2-3,,,
10.63227,3,2-3,,,
10.63227,4,2-3,,,
10.63227,5,2-3,,,
10.63227,1,lp3,,,
11.56551,5,w3,,,
11.56551,4,w3,,,
11.56551,3,w3,,,
11.56551,2,w3,,,
13.331999999999999,2,3-4,,,
13.331999999999999,3,3-4,,,
13.331999999999999,4,3-4,,,
13.331999999999999,5,3-4,,,
14.265239999999999,5,w4,,,
14.265239999999999,4,w4,,,
14.265239999999999,3,w4,,,
14.265239999999999,2,w4,,,
15.63177,1,3-4,,,
15.965069999999999,2,4-1,,,
15.965069999999999,3,4-1,,,
15.965069999999999,4,4-1,,,
15.965069999999999,5,4-1,,,
15.965069999999999,1,lp4,,,
16.89831,5,w1,,,
16.89831,4,w1,,,
16.89831,3,w1,,,
16.89831,2,w1,,,
18.6648,2,1-2,,,
18.6648,3,1-2,,,
18.6648,4,1-2,,,
18.6648,5,1-2,,,
19.03143,2,2-3,,,
19.03143,3,2-3,,,
19.03143,4,2-3,,,
19.03143,5,2-3,,,
19.964669999999998,5,w3,,,
19.964669999999998,4,w3,,,
19.964669999999998,3,w3,,,
19.964669999999998,2,w3,,,
21.13122,1,4-1,,,
21.46452,2,3-4,,,
21.46452,3,3-4,,,
21.46452,4,3-4,,,
21.46452,5,3-4,,,
21.46452,1,sj1,,,
21.96447,1,lp1,,,
22.397759999999998,5,w4,,,
22.397759999999998,4,w4,,,
22.397759999999998,3,w4,,,
22.397759999999998,2,w4,,,
23.031029999999998,2,4-1,,,
23.031029999999998,3,4-1,,,
23.031029999999998,4,4-1,,,
23.031029999999998,5,4-1,,,
23.96427,5,w1,,,
23.96427,4,w1,,,
23.96427,3,w1,,,
23.96427,2,w1,,,
24.29757,1,1-2,,,
24.39756,2,sp1-2,,,
24.39756,3,sp1-2,,,
24.39756,4,sp1-2,,,
24.39756,5,sp1-2,,,
24.664199999999997,1,lp2,,,
25.897409999999997,2,2-3,,,
25.897409999999997,3,2-3,,,
25.897409999999997,4,2-3,,,
25.897409999999997,5,2-3,,,
26.59734,2,3-4,,,
26.59734,3,3-4,,,
26.59734,4,3-4,,,
26.59734,5,3-4,,,
26.59734,1,2-3,,,
26.93064,MOT_mc_bg_black_00,b45-20,,
26.93064,MOT_mc_light_up_00,l2,,
26.93064,1,,,f1,
27.097289999999997,2,4-1,,,
27.097289999999997,3,4-1,,,
27.097289999999997,4,4-1,,,
27.097289999999997,5,4-1,,,
27.53058,1,w3,,,
27.76389,1,lp3,,,
28.03053,5,w1,,,
28.03053,4,w1,,,
28.03053,3,w1,,,
28.03053,2,w1,,,
28.9971,1,sp3-4,,,
30.03033,1,j4-1,,,
30.530279999999998,1,lp1,,,
30.79692,2,1-2,,,
30.79692,3,1-2,,,
30.79692,4,1-2,,,
30.79692,5,1-2,,,
31.363529999999997,2,2-3,,,
31.363529999999997,3,2-3,,,
31.363529999999997,4,2-3,,,
31.363529999999997,5,2-3,,,
31.930139999999998,2,3-4,,,
31.930139999999998,3,3-4,,,
31.930139999999998,4,3-4,,,
31.930139999999998,5,3-4,,,
32.06346,1,1-2,,,
32.39676,1,sj2,,,
32.86338,5,w4,,,
32.86338,4,w4,,,
32.86338,3,w4,,,
32.86338,2,w4,,,
32.89671,1,lp2,,,
35.22981,1,2-3,,,
35.59644,1,lp3,,,
36.12972,2,4-1,,,
36.12972,3,4-1,,,
36.12972,4,4-1,,,
36.12972,5,4-1,,,
36.729659999999996,2,1-2,,,
36.729659999999996,3,1-2,,,
36.729659999999996,4,1-2,,,
36.729659999999996,5,1-2,,,
37.29627,2,2-3,,,
37.29627,3,2-3,,,
37.29627,4,2-3,,,
37.29627,5,2-3,,,
37.42959,1,sj3,,,
37.929539999999996,1,w3,,,
37.962869999999995,2,3-4,,,
37.962869999999995,3,3-4,,,
37.962869999999995,4,3-4,,,
37.962869999999995,5,3-4,,,
37.962869999999995,1,3-4,,,
38.329499999999996,1,lp4,,,
38.89611,5,w4,,,
38.89611,4,w4,,,
38.89611,3,w4,,,
38.89611,2,w4,,,
40.72926,1,4-1,,,
41.09589,1,lp1,,,
41.72916,2,4-1,,,
41.72916,3,4-1,,,
41.72916,4,4-1,,,
41.72916,5,4-1,,,
42.29577,2,1-2,,,
42.29577,3,1-2,,,
42.29577,4,1-2,,,
42.29577,5,1-2,,,
42.56241,1,1-2,,,
42.862379999999995,2,2-3,,,
42.862379999999995,3,2-3,,,
42.862379999999995,4,2-3,,,
42.862379999999995,5,2-3,,,
43.02903,1,2-3,,,
43.39566,1,lp3,,,
43.79562,5,w3,,,
43.79562,4,w3,,,
43.79562,3,w3,,,
43.79562,2,w3,,,
44.29557,1,,,b0,
45.49545,1,3-4,,,
46.26204,1,4-1,,,
46.59534,4,3-4,,,
46.62867,1,lp1,,,
46.828649999999996,2,3-4,,,
47.06196,3,3-4,,,
47.295269999999995,5,3-4,,,
47.52858,4,w4,,,
47.76189,2,w4,,,
47.86188,2,4-1,,,
47.86188,3,4-1,,,
47.86188,4,4-1,,,
47.86188,5,4-1,,,
47.86188,1,1-2,,,
48.29517,2,1-2,,,
48.29517,3,1-2,,,
48.29517,4,1-2,,,
48.29517,5,1-2,,,
48.29517,1,2-3,,,
48.895109999999995,MOT_mc_light_up_00,l3,,
48.895109999999995,1,,,f1,
49.22841,5,w2,,,
49.22841,4,w2,,,
49.22841,3,w2,,,
49.22841,2,w2,,,
49.22841,1,w3,,,
49.728359999999995,2,2-3,,,
49.728359999999995,3,2-3,,,
49.728359999999995,4,2-3,,,
49.728359999999995,5,2-3,,,
49.728359999999995,1,3-4,,,
50.22831,1,4-1,,,
50.59494,1,j1-2,,,
50.6616,5,w3,,,
50.6616,4,w3,,,
50.6616,3,w3,,,
50.6616,2,w3,,,
50.9949,2,sj3,,,
50.9949,3,sj3,,,
51.12822,1,lp2,,,
51.16155,4,sj3,,,
51.16155,5,sj3,,,
51.394859999999994,1,,l1,,
51.49485,3,w3,,,
51.49485,2,w3,,,
51.6615,5,w3,,,
51.6615,4,w3,,,
51.6615,1,2-3,,,
51.96147,2,sj3,,,
52.094789999999996,4,sj3,,,
52.3281,1,,lb0,,
52.46142,2,w3,,,
52.561409999999995,1,,r1,,
52.594739999999994,4,w3,,,
52.594739999999994,1,w3,,,
52.79472,1,3-4,,,
53.02803,1,sj4,,,
53.19468,3,sj3,,,
53.327999999999996,5,sj3,,,
53.52798,1,4-1,,,
53.69463,3,w3,,,
53.827949999999994,5,w3,,,
53.89461,1,lp1,,,
54.127919999999996,1,,rb0,,
54.39456,1,,,f2,
54.6612,1,j1-2,,,
54.961169999999996,2,sj3,,,
54.961169999999996,3,sj3,,,
54.961169999999996,4,sj3,,,
54.961169999999996,5,sj3,,,
55.16115,1,lp2,,,
55.461119999999994,5,w3,,,
55.461119999999994,4,w3,,,
55.461119999999994,3,w3,,,
55.461119999999994,2,w3,,,
55.49445,2,3-4,,,
55.49445,3,3-4,,,
55.49445,4,3-4,,,
55.49445,5,3-4,,,
55.727759999999996,1,2-3,,,
56.12772,4,4-1,,,
56.12772,5,4-1,,,
56.12772,1,lp3,,,
56.36103,2,4-1,,,
56.36103,3,4-1,,,
56.594339999999995,2,1-2,,,
56.594339999999995,3,1-2,,,
56.594339999999995,4,1-2,,,
56.594339999999995,5,1-2,,,
56.594339999999995,1,3-4,,,
56.92764,2,2-3,,,
56.92764,3,2-3,,,
56.92764,4,2-3,,,
56.92764,5,2-3,,,
56.92764,1,4-1,,,
57.394259999999996,1,sj1,,,
57.827549999999995,2,j3-4,,,
57.827549999999995,3,j3-4,,,
57.827549999999995,4,j3-4,,,
57.827549999999995,5,j3-4,,,
57.894209999999994,1,lp1,,,
58.3275,2,4-1,,,
58.3275,3,4-1,,,
58.3275,4,4-1,,,
58.3275,5,4-1,,,
58.3275,1,1-2,,,
58.694129999999994,1,lp2,,,
59.19408,4,1-2,,,
59.26074,5,w1,,,
59.26074,3,w1,,,
59.26074,2,w1,,,
59.3274,2,1-2,,,
59.460719999999995,1,2-3,,,
59.59404,3,1-2,,,
59.72736,5,1-2,,,
59.827349999999996,1,hj3,,,
60.02733,2,hj2,,,
60.02733,3,hj2,,,
60.12732,4,hj2,,,
60.12732,5,hj2,,,
60.49395,MOT_mc_speaker_00,temp1,,
60.49395,1,3-4,,,
60.82725,1,lp4,,,
60.89391,2,2-3,,,
60.89391,3,2-3,,,
61.22721,4,2-3,,,
61.22721,5,2-3,,,
61.56051,2,3-4,,,
61.56051,3,3-4,,,
61.56051,4,3-4,,,
61.56051,5,3-4,,,
61.56051,1,4-1,,,
61.62717,MOT_mc_stage_color_00,y-flash,,
61.62717,MOT_mc_light_up_00,l4,,
61.62717,MOT_mc_light_center_00,l2,,
61.927139999999994,2,4-1,,,
61.927139999999994,3,4-1,,,
61.927139999999994,4,4-1,,,
61.927139999999994,5,4-1,,,
61.927139999999994,1,1-2,,,
62.293769999999995,2,1-2,,,
62.293769999999995,4,1-2,,,
62.293769999999995,1,lp2,,,
62.660399999999996,3,1-2,,,
62.660399999999996,5,1-2,,,
62.92704,1,2-3,,,
63.22701,4,w2,,,
63.22701,2,w2,,,
63.29367,1,3-4,,,
63.59364,5,w2,,,
63.59364,3,w2,,,
63.62697,1,j4-1,,,
64.22691,2,2-3,,,
64.22691,3,2-3,,,
64.22691,4,2-3,,,
64.22691,5,2-3,,,
64.22691,1,1-2,,,
64.59353999999999,1,lp2,,,
65.02683,1,2-3,,,
65.16015,5,w3,,,
65.16015,4,w3,,,
65.16015,3,w3,,,
65.16015,2,w3,,,
65.39345999999999,2,3-4,,,
65.39345999999999,3,3-4,,,
65.39345999999999,4,3-4,,,
65.39345999999999,5,3-4,,,
65.39345999999999,1,3-4,,,
65.72676,2,4-1,,,
65.72676,3,4-1,,,
65.72676,4,4-1,,,
65.72676,5,4-1,,,
65.72676,1,4-1,,,
66.09339,1,lp1,,,
66.22671,2,1-2,,,
66.22671,3,1-2,,,
66.56000999999999,4,1-2,,,
66.56000999999999,5,1-2,,,
66.99329999999999,2,hj2,,,
66.99329999999999,3,hj2,,,
66.99329999999999,4,hj2,,,
66.99329999999999,5,hj2,,,
66.99329999999999,1,hj1,,,
67.6599,2,2-3,,,
67.6599,3,2-3,,,
67.6599,4,2-3,,,
67.6599,5,2-3,,,
67.6599,1,1-2,,,
68.29317,2,3-4,,,
68.29317,3,3-4,,,
68.29317,4,3-4,,,
68.29317,5,3-4,,,
68.29317,1,2-3,,,
68.62647,1,lp3,,,
68.69313,2,4-1,,,
68.69313,3,4-1,,,
69.02642999999999,4,4-1,,,
69.02642999999999,5,4-1,,,
69.35973,2,1-2,,,
69.35973,3,1-2,,,
69.35973,4,1-2,,,
69.35973,5,1-2,,,
69.35973,1,3-4,,,
69.72636,2,2-3,,,
69.72636,3,2-3,,,
69.72636,4,2-3,,,
69.72636,5,2-3,,,
69.72636,1,4-1,,,
70.09299,2,3-4,,,
70.09299,4,3-4,,,
70.09299,1,lp1,,,
70.45962,3,3-4,,,
70.45962,5,3-4,,,
71.02623,4,w4,,,
71.02623,2,w4,,,
71.09289,2,hj4,,,
71.09289,3,hj4,,,
71.09289,4,hj4,,,
71.09289,5,hj4,,,
71.09289,1,hj1,,,
71.75949,1,sp1-2,,,
72.3261,5,w4,,,
72.3261,4,w4,,,
72.3261,3,w4,,,
72.3261,2,w4,,,
72.35943,2,sp4-1,,,
72.35943,3,sp4-1,,,
72.35943,4,sp4-1,,,
72.35943,5,sp4-1,,,
72.49275,MOT_mc_stage_color_00,y-flash,,
72.49275,MOT_mc_light_center_00,l3,,
72.49275,1,lp2,,,
72.72605999999999,2,1-2,,,
72.72605999999999,3,1-2,,,
72.72605999999999,4,1-2,,,
72.72605999999999,5,1-2,,,
73.12602,1,2-3,,,
73.49265,1,lp3,,,
73.6593,5,w2,,,
73.6593,4,w2,,,
73.6593,3,w2,,,
73.6593,2,w2,,,
73.72596,2,2-3,,,
73.72596,3,2-3,,,
74.02593,4,2-3,,,
74.02593,5,2-3,,,
74.49255,2,,l1,,
74.49255,3,,r1,,
74.49255,4,,l1,,
74.49255,5,,r1,,
74.49255,1,3-4,,,
74.6592,3,w3,,,
74.6592,2,w3,,,
74.85918,2,3-4,,,
74.85918,3,3-4,,,
74.85918,4,3-4,,,
74.85918,5,3-4,,,
74.85918,1,lp4,,,
75.79241999999999,5,w4,,,
75.79241999999999,4,w4,,,
75.79241999999999,3,w4,,,
75.79241999999999,2,w4,,,
75.92573999999999,1,4-1,,,
76.22570999999999,2,4-1,,,
76.22570999999999,3,4-1,,,
76.22570999999999,4,4-1,,,
76.22570999999999,5,4-1,,,
76.25904,1,lp1,,,
76.59234,1,sj1,,,
76.69233,2,sj1,,,
76.69233,3,sj1,,,
76.69233,4,sj1,,,
76.69233,5,sj1,,,
77.09228999999999,1,w1,,,
77.19228,5,w1,,,
77.19228,4,w1,,,
77.19228,3,w1,,,
77.19228,2,1-2,,,
77.19228,3,1-2,,,
77.19228,4,1-2,,,
77.19228,5,1-2,,,
77.19228,1,1-2,,,
77.72556,2,,lb0,,
77.72556,3,,rb0,,
77.72556,4,,lb0,,
77.72556,5,,rb0,,
77.72556,1,j2-3,,,
77.9922,5,2-3,,,
78.12552,4,w2,,,
