0.03333,MOT_mc_bg_black_00,seat100-0,,
2.3997599999999997,MOT_mc_speaker_00,temp2,,
3.4329899999999998,MOT_mc_stage_color_00,b-flash,,
3.4329899999999998,2,lp1,,,
3.4329899999999998,3,lp1,,,
3.4329899999999998,4,lp1,,,
3.4329899999999998,5,lp1,,,
3.4329899999999998,1,1-2,,,
4.36623,1,w2,,,
4.999499999999999,MOT_mc_stage_color_00,r-flash,,
4.999499999999999,1,2-3,,,
5.93274,1,w3,,,
6.8659799999999995,MOT_mc_stage_color_00,y-flash,,
6.8659799999999995,1,sp3-4,,,
8.83245,MOT_mc_stage_color_00,b-flash,,
8.83245,2,j1-2,,,
9.09909,3,j1-2,,,
9.36573,4,1-2,,,
9.63237,MOT_mc_stage_color_00,r-flash,,
9.63237,5,1-2,,,
9.83235,1,4-1,,,
9.899009999999999,2,w2,,,
10.16565,3,w2,,,
10.298969999999999,4,w2,,,
10.56561,5,w2,,,
10.76559,1,w1,,,
10.76559,MOT_mc_stage_color_00,b-flash,,
10.76559,MOT_mc_bg_black_00,b65-45,,
10.76559,MOT_mc_light_center_00,l1,,
10.76559,MOT_mc_light_under_00,l1,,
10.798919999999999,1,j1-2,,,
10.998899999999999,2,j2-3,,,
11.26554,3,j2-3,,,
11.53218,4,j2-3,,,
11.79882,5,j2-3,,,
11.86548,1,w2,,,
11.9988,1,j2-3,,,
12.06546,2,w3,,,
12.332099999999999,3,w3,,,
12.59874,4,w3,,,
12.732059999999999,MOT_mc_stage_color_00,r-flash,,
12.732059999999999,4,j3-4,,,
12.86538,5,w3,,,
13.032029999999999,2,j3-4,,,
13.06536,1,w3,,,
13.26534,1,j3-4,,,
13.49865,3,j3-4,,,
13.79862,4,w4,,,
13.79862,5,j3-4,,,
14.09859,2,w4,,,
14.29857,1,j4-1,,,
14.565209999999999,3,w4,,,
14.69853,MOT_mc_stage_color_00,b-flash,,
14.69853,2,j4-1,,,
14.69853,3,j4-1,,,
14.865179999999999,5,w4,,,
15.165149999999999,4,j4-1,,,
15.165149999999999,5,j4-1,,,
15.365129999999999,1,w1,,,
15.665099999999999,2,j1-2,,,
15.665099999999999,3,j1-2,,,
16.16505,4,j1-2,,,
16.16505,5,j1-2,,,
16.59834,MOT_mc_stage_color_00,r-flash,,
16.59834,1,j1-2,,,
16.731659999999998,3,w2,,,
16.731659999999998,2,w2,,,
17.03163,2,j2-3,,,
17.03163,3,j2-3,,,
17.03163,4,j2-3,,,
17.03163,5,j2-3,,,
17.39826,1,2-3,,,
17.59824,2,3-4,,,
17.59824,3,3-4,,,
17.59824,4,3-4,,,
17.59824,5,3-4,,,
18.06486,1,j3-4,,,
18.29817,MOT_mc_stage_color_00,b-flash,,
18.29817,2,j4-1,,,
18.53148,5,w4,,,
18.53148,4,w4,,,
18.53148,3,w4,,,
18.564809999999998,3,4-1,,,
18.83145,4,4-1,,,
19.09809,5,4-1,,,
19.13142,1,w4,,,
19.29807,1,4-1,,,
19.364729999999998,2,w1,,,
19.49805,3,w1,,,
19.598039999999997,2,j1-2,,,
19.598039999999997,3,j1-2,,,
19.764689999999998,4,w1,,,
20.03133,5,w1,,,
20.03133,4,j1-2,,,
20.03133,5,j1-2,,,
20.23131,1,w1,,,
20.6646,3,w2,,,
20.6646,2,w2,,,
20.86458,MOT_mc_stage_color_00,y-flash,,
20.86458,2,lp2,,,D20
20.86458,3,lp2,,,D20
20.86458,4,lp2,,,D20
20.86458,5,lp2,,,D20
20.86458,1,1-2,r1,f1,
21.26454,1,2-3,r2,,
21.76449,1,sp3-4,,,
22.73106,1,4-1,,,
23.19768,1,1-2,rb1,,
23.630969999999998,1,2-3,rb0,,
24.430889999999998,1,hj3,,,
24.464219999999997,MOT_mc_stage_color_00,b-flash,,
24.9975,1,3-4,r1,,
25.43079,1,4-1,,,
25.83075,1,1-2,,,
26.23071,1,j2-3,,,
26.83065,1,3-4,r2,,
27.36393,1,4-1,rb1,,
27.79722,2,j2-3,,,
27.79722,3,j2-3,,,
27.79722,4,j2-3,,,
27.79722,5,j2-3,,,
28.297169999999998,1,w1,,,
28.46382,MOT_mc_stage_color_00,r-flash,,
28.46382,1,hj1,,,
28.497149999999998,2,lp3,,,
28.497149999999998,3,lp3,,,
28.497149999999998,4,lp3,,,
28.497149999999998,5,lp3,,,
29.03043,1,1-2,r2,,
29.530379999999997,1,2-3,r3,,
29.997,1,3-4,rb2,,
30.46362,1,4-1,rb1,,
30.930239999999998,1,hj1,,,
31.63017,MOT_mc_stage_color_00,b-flash,,
31.63017,1,1-2,rb0,,
32.03013,1,2-3,r1,,
32.43009,1,3-4,,,
32.83005,1,sp4-1,,,
34.329899999999995,1,1-2,,,
34.729859999999995,2,j3-4,,,
34.729859999999995,3,j3-4,,,
35.26314,1,w2,,,
35.26314,4,j3-4,,,
35.26314,5,j3-4,,,
35.62977,1,j2-3,,,
35.79642,3,w4,,,
35.79642,2,w4,,,
35.96307,MOT_mc_stage_color_00,y-flash,,
35.96307,2,lp4,,,
35.96307,3,lp4,,,
35.96307,4,lp4,,,
35.96307,5,lp4,,,
36.06306,1,3-4,rb0,,
36.46302,1,4-1,r1,,
36.762989999999995,2,4-1,,,
36.762989999999995,3,4-1,,,
36.762989999999995,4,4-1,,,
36.762989999999995,5,4-1,,,
37.129619999999996,1,1-2,r2,,
37.496249999999996,1,hj2,,,
37.69623,5,w1,,,
37.69623,4,w1,,,
37.69623,3,w1,,,
37.69623,2,w1,,,
38.09619,1,2-3,rb1,,
38.69613,2,1-2,,,
38.69613,3,1-2,,,
38.69613,4,1-2,,,
38.69613,5,1-2,,,
39.02943,1,w3,,,
39.129419999999996,2,lp2,,,
39.129419999999996,3,lp2,,,
39.129419999999996,4,lp2,,,
39.129419999999996,5,lp2,,,
39.129419999999996,1,3-4,rb0,,
39.529379999999996,1,hj4,,,
40.06266,1,4-1,,,
40.52928,1,1-2,l1,,
40.96257,1,j2-3,,,
41.49585,1,3-4,lb0,,
41.962469999999996,1,4-1,,,
42.49575,1,1-2,l1,,
42.96237,1,2-3,lb0,,
43.39566,1,3-4,,,
43.89561,1,j4-1,,,
44.795519999999996,MOT_mc_stage_color_00,b-flash,,
44.795519999999996,1,hj1,,,
45.662099999999995,1,1-2,r1,,
46.12872,1,2-3,r2,,
46.56201,1,3-4,rb1,,
46.96197,1,4-1,rb0,,
47.46192,1,sp1-2,,,
48.128519999999995,MOT_mc_stage_color_00,r-flash,,
48.128519999999995,2,2-3,,,
48.528479999999995,MOT_mc_stage_color_00,b-flash,,
48.528479999999995,3,2-3,,,
48.928439999999995,MOT_mc_stage_color_00,y-flash,,
48.928439999999995,4,2-3,,,
49.06176,2,w3,,,
49.328399999999995,5,2-3,,,
49.328399999999995,1,2-3,,,
49.46172,3,w3,,,
49.86168,4,w3,,,
50.26164,5,w3,,,
50.26164,1,w3,,,
50.42829,MOT_mc_stage_color_00,y-flash,,
50.42829,2,lp3,,,
50.42829,3,lp3,,,
50.42829,4,lp3,,,
50.42829,5,lp3,,,
50.42829,1,3-4,l1,,
50.86158,1,4-1,lb0,,
51.294869999999996,1,1-2,,,
52.22811,1,2-3,l1,,
52.62807,1,3-4,,,
53.09469,1,j4-1,,,
54.161249999999995,1,w1,,,
54.194579999999995,1,1-2,l2,,
54.561209999999996,1,2-3,lb1,,
54.927839999999996,1,hj3,,,
55.29447,1,3-4,,,
55.794419999999995,1,hj4,,,
56.3277,1,4-1,lb0,,
56.76099,1,1-2,l1,,
56.960969999999996,2,j3-4,,,
56.960969999999996,3,j3-4,,,
57.29427,4,j3-4,,,
57.29427,5,j3-4,,,
57.69423,1,w2,,,
57.760889999999996,MOT_mc_stage_color_00,r-flash,,
57.760889999999996,2,lp4,,,
57.760889999999996,3,lp4,,,
57.760889999999996,4,lp4,,,
57.760889999999996,5,lp4,,,
57.760889999999996,1,2-3,lb0,,
58.160849999999996,1,3-4,,,
58.56081,1,4-1,l1,,
58.96077,2,j4-1,,,
58.96077,3,j4-1,,,
58.96077,4,j4-1,,,
58.96077,5,j4-1,,,
59.460719999999995,1,j1-2,,,
59.994,1,2-3,lb0,,
60.02733,5,w1,,,
60.02733,4,w1,,,
60.02733,3,w1,,,
60.02733,2,w1,,,
60.49395,1,sp3-4,,,
60.89391,2,j1-2,,,
60.89391,3,j1-2,,,
60.89391,4,j1-2,,,
60.89391,5,j1-2,,,
61.39386,1,4-1,l1,,
61.827149999999996,1,1-2,lb0,,
61.960469999999994,5,w2,,,
61.960469999999994,4,w2,,,
61.960469999999994,3,w2,,,
61.960469999999994,2,w2,,,
62.360429999999994,1,sp2-3,,,
63.69363,1,3-4,,,
64.06026,1,hj4,,,
64.82685,1,4-1,l1,,
65.32679999999999,1,1-2,lb0,,
65.92674,1,sp2-3,,,
67.12662,2,sp2-3,,,
67.12662,3,sp2-3,,,
67.12662,4,sp2-3,,,
67.12662,5,sp2-3,,,
67.85988,1,j3-4,,,
67.95987,2,j3-4,,,
67.95987,3,j3-4,,,
67.95987,4,j3-4,,,
67.95987,5,j3-4,,,
68.65979999999999,MOT_mc_stage_color_00,y-flash,,
68.65979999999999,MOT_mc_bg_black_00,b45-20,,
