0.03333,MOT_mc_speaker_00,temp1,,
0.03333,MOT_mc_light_under_00,l1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
1.43319,1,1-2,,f1,
1.43319,2,1-2,l1,,D20
1.43319,3,1-2,r1,,D20
1.43319,4,1-2,l1,,D20
1.43319,5,1-2,r1,,D20
1.53318,MOT_mc_stage_color_00,y-flash,,
1.53318,MOT_mc_light_up_00,l1,,
1.53318,MOT_mc_light_center_00,l1,,
1.53318,MOT_mc_bg_black_00,b80-65,,
1.86648,1,lp2,,,
2.29977,1,2-3,,,
2.36643,5,w2,,,
2.36643,4,w2,,,
2.36643,3,w2,,,
2.36643,2,w2,,,
2.6664,1,lp3,,,
2.83305,2,2-3,,,
2.83305,3,2-3,,,
2.83305,4,2-3,,,
2.83305,5,2-3,,,
3.29967,2,,l2,,
3.29967,3,,r2,,
3.29967,4,,l2,,
3.29967,5,,r2,,
3.29967,1,j3-4,,,
3.69963,1,lp4,,,
3.7662899999999997,5,w3,,,
3.7662899999999997,4,w3,,,
3.7662899999999997,3,w3,,,
3.7662899999999997,2,w3,,,
4.06626,1,sj4,,,
4.39956,1,sp4-1,,,
4.4328899999999996,2,sp3-4,,,
4.4328899999999996,3,sp3-4,,,
4.4328899999999996,4,sp3-4,,,
4.4328899999999996,5,sp3-4,,,
5.5994399999999995,1,sj1,,,
5.6661,2,sj4,,,
5.6661,3,sj4,,,
5.6661,4,sj4,,,
5.6661,5,sj4,,,
6.09939,1,w1,,,
6.166049999999999,5,w4,,,
6.166049999999999,4,w4,,,
6.166049999999999,3,w4,,,
6.166049999999999,2,w4,,,
6.266039999999999,1,j1-2,,,
6.59934,MOT_mc_stage_color_00,y-flash,,
6.6659999999999995,1,2-3,,,
6.83265,2,4-1,,,
6.83265,3,4-1,,,
6.9993,4,4-1,,,
6.9993,5,4-1,,,
7.16595,1,3-4,,,
7.332599999999999,2,1-2,,,
7.332599999999999,3,1-2,,,
7.49925,4,1-2,,,
7.49925,5,1-2,,,
7.6659,1,4-1,,,
7.8325499999999995,2,2-3,,,
7.8325499999999995,3,2-3,,,
7.9992,4,2-3,,,
