0.03333,MOT_mc_bg_black_00,b65-45,,
2.6997299999999997,2,lp1,,,
2.6997299999999997,3,lp1,,,
2.6997299999999997,4,lp1,,,
2.6997299999999997,5,lp1,,,
2.6997299999999997,1,1-2,,,
2.89971,MOT_mc_stage_color_00,b-flash,,
3.29967,1,2-3,l1,,
3.49965,MOT_mc_stage_color_00,y-flash,,
3.89961,1,3-4,lb0,,
4.2329099999999995,MOT_mc_stage_color_00,r-flash,,
4.36623,1,4-1,,,
4.83285,1,sp1-2,,,
4.96617,MOT_mc_stage_color_00,r-flash,,
5.86608,2,j1-2,,,
5.86608,3,j1-2,,,
5.86608,4,j1-2,,,
5.86608,5,j1-2,,,
5.86608,1,2-3,,,
5.89941,MOT_mc_stage_color_00,r-flash,,
6.39936,1,j3-4,,,
6.49935,MOT_mc_stage_color_00,b-flash,,
6.932639999999999,5,w2,,,
6.932639999999999,4,w2,,,
6.932639999999999,3,w2,,,
6.932639999999999,2,w2,,,
7.232609999999999,MOT_mc_stage_color_00,y-flash,,
7.232609999999999,2,j2-3,,,
7.232609999999999,3,j2-3,,,
7.232609999999999,4,j2-3,,,
7.232609999999999,5,j2-3,,,
7.232609999999999,1,4-1,,,
7.732559999999999,1,j1-2,,,
7.96587,MOT_mc_stage_color_00,b-flash,,
8.29917,5,w3,,,
8.29917,4,w3,,,
8.29917,3,w3,,,
8.29917,2,w3,,,
8.69913,2,j3-4,,,
8.69913,3,j3-4,,,
8.69913,4,j3-4,,,
8.69913,5,j3-4,,,
8.69913,1,sp2-3,,,
8.89911,MOT_mc_stage_color_00,b-flash,,
9.39906,1,3-4,,,
9.6657,MOT_mc_stage_color_00,y-flash,,
9.76569,5,w4,,,
9.76569,4,w4,,,
9.76569,3,w4,,,
9.76569,2,w4,,,
9.86568,2,j4-1,,,
9.86568,3,j4-1,,,
9.86568,4,j4-1,,,
9.86568,5,j4-1,,,
9.93234,1,4-1,r1,,
10.46562,MOT_mc_stage_color_00,b-flash,,
10.46562,2,lp1,,,
10.46562,3,lp1,,,
10.46562,4,lp1,,,
10.46562,5,lp1,,,
10.46562,1,1-2,rb0,,
10.93224,1,j2-3,,,
11.298869999999999,MOT_mc_stage_color_00,b-flash,,
11.63217,1,sp3-4,,,
11.9988,MOT_mc_stage_color_00,r-flash,,
12.76539,MOT_mc_stage_color_00,b-flash,,
13.39866,1,j4-1,,,
13.531979999999999,MOT_mc_stage_color_00,y-flash,,
13.731959999999999,2,1-2,,,
13.731959999999999,3,1-2,,,
14.165249999999999,4,1-2,,,
14.165249999999999,5,1-2,,,
14.3319,MOT_mc_stage_color_00,b-flash,,
14.465219999999999,1,w1,,,
14.59854,1,j1-2,,,
14.665199999999999,3,w2,,,
14.665199999999999,2,w2,,,
14.93184,2,j2-3,,,
15.065159999999999,MOT_mc_stage_color_00,b-flash,,
15.09849,5,w2,,,
15.09849,4,w2,,,
15.3318,3,j2-3,,,
15.665099999999999,1,w2,,,
15.73176,4,j2-3,,,
15.79842,MOT_mc_stage_color_00,r-flash,,
15.9984,2,w3,,,
16.09839,5,j2-3,,,
16.39836,3,w3,,,
16.49835,1,2-3,,,
16.56501,MOT_mc_stage_color_00,b-flash,,
16.79832,4,w3,,,
16.83165,2,j3-4,,,
16.83165,3,j3-4,,,
17.164949999999997,5,w3,,,
17.26494,MOT_mc_stage_color_00,b-flash,,
17.364929999999998,4,j3-4,,,
17.364929999999998,5,j3-4,,,
17.43159,1,w3,,,
17.731559999999998,1,j3-4,,,
17.89821,3,w4,,,
17.89821,2,w4,,,
18.03153,MOT_mc_stage_color_00,r-flash,,
18.03153,2,j4-1,,,
18.39816,3,j4-1,,,
18.43149,5,w4,,,
18.43149,4,w4,,,
18.764789999999998,4,j4-1,,,
18.79812,1,w4,,,
18.79812,MOT_mc_stage_color_00,y-flash,,
19.09809,2,w1,,,
19.13142,5,j4-1,,,
19.43139,1,hj4,,,
19.46472,3,w1,,,
19.53138,MOT_mc_stage_color_00,r-flash,,
19.63137,2,1-2,,,
19.83135,4,w1,,,
19.83135,3,1-2,,,
20.03133,4,1-2,,,
20.197979999999998,5,w1,,,
20.23131,5,1-2,,,
20.29797,MOT_mc_stage_color_00,b-flash,,
20.46462,2,2-3,,,
20.46462,3,2-3,,,
20.6646,1,w4,,,
20.73126,2,sp3-4,,,
20.73126,3,sp3-4,,,
20.73126,4,sp2-3,,,
20.73126,5,sp2-3,,,
21.03123,MOT_mc_stage_color_00,b-flash,,
21.06456,1,sp4-1,,,
21.56451,1,1-2,,,
