0.03333,MOT_mc_bg_black_00,seat100-0,,
1.3332,MOT_mc_speaker_00,temp2,,
1.7331599999999998,MOT_mc_stage_color_00,r-flash,,
1.7331599999999998,MOT_mc_bg_black_00,b65-45,,
1.76649,2,lp1,,,
1.76649,3,lp1,,,
1.76649,4,lp1,,,
1.76649,5,lp1,,,
1.76649,1,lp1,,,
3.4329899999999998,1,j1-2,,,
4.2329099999999995,2,j1-2,,,
4.2329099999999995,3,j1-2,,,
4.2329099999999995,4,j1-2,,,
4.2329099999999995,5,j1-2,,,
4.49955,1,w2,,,
5.13282,1,j2-3,,,
5.2994699999999995,5,w2,,,
5.2994699999999995,4,w2,,,
5.2994699999999995,3,w2,,,
5.2994699999999995,2,w2,,,
5.3328,2,j2-3,,,
5.3328,3,j2-3,,,
5.56611,4,j2-3,,,
5.56611,5,j2-3,,,
6.19938,1,w3,,,
6.39936,3,w3,,,
6.39936,2,w3,,,
6.39936,MOT_mc_stage_color_00,b-flash,,
6.39936,1,j3-4,,,
6.53268,2,j3-4,,,
6.53268,3,j3-4,,,
6.53268,4,j3-4,,,
6.53268,5,j3-4,,,
7.432589999999999,4,4-1,,,
7.46592,1,w4,,,
7.532579999999999,2,4-1,,,
7.59924,5,w4,,,
7.59924,3,w4,,,
7.632569999999999,1,4-1,,,
7.732559999999999,3,4-1,,,
7.8325499999999995,5,4-1,,,
8.03253,2,sp1-2,,,
8.03253,3,sp1-2,,,
8.03253,4,sp1-2,,,
8.03253,5,sp1-2,,,
8.03253,1,sp1-2,,,
8.93244,MOT_mc_stage_color_00,r-flash,,
8.93244,1,hj2,,,
9.63237,2,j2-3,,,
9.63237,3,j2-3,,,
9.86568,4,j2-3,,,
10.098989999999999,5,j2-3,,,
10.16565,1,w2,,,
10.698929999999999,3,w3,,,
10.698929999999999,2,w3,,,
10.73226,1,hj2,,,
10.93224,4,w3,,,
11.16555,5,w3,,,
11.16555,2,j3-4,,,
11.56551,3,j3-4,,,
11.86548,4,j3-4,,,
11.96547,1,w2,,,
