0.03333,MOT_mc_bg_black_00,seat100-0,,
2.13312,MOT_mc_stage_color_00,b-flash,,
2.13312,MOT_mc_light_up_00,l1,,
2.13312,MOT_mc_light_center_00,l1,,
2.13312,MOT_mc_light_under_00,l1,,
2.13312,MOT_mc_bg_black_00,b80-65,,
2.13312,MOT_mc_speaker_00,temp1,,
2.13312,2,1-2,,,
2.13312,3,1-2,,,
2.13312,4,1-2,,,
2.13312,5,1-2,,,
2.13312,1,1-2,,f1,
2.13312,2,,,,D20
2.13312,3,,,,D20
2.13312,4,,,,D20
2.13312,5,,,,D20
2.56641,1,lp2,,,
2.7997199999999998,2,2-3,,,
2.7997199999999998,3,2-3,,,
2.7997199999999998,4,2-3,,,
2.7997199999999998,5,2-3,,,
2.7997199999999998,1,j2-3,,,
3.3329999999999997,1,lp3,,,
3.69963,1,3-4,l1,,
3.73296,5,w3,,,
3.73296,4,w3,,,
3.73296,3,w3,,,
3.73296,2,w3,,,
4.19958,1,,l2,,
4.56621,1,lp4,,,
5.13282,1,j4-1,,,
5.63277,1,1-2,lb1,,
6.43269,1,,lb0,,
6.5660099999999995,1,w2,,,
6.79932,1,2-3,,,
7.29927,1,3-4,,,
7.79922,1,j4-1,,,
8.3325,2,3-4,,,
8.3325,3,3-4,,,
8.3325,4,3-4,,,
8.3325,5,3-4,,,
8.3325,1,1-2,r1,,
8.83245,1,,r2,,
9.19908,1,lp2,,,
9.26574,5,w4,,,
9.26574,4,w4,,,
9.26574,3,w4,,,
9.26574,2,w4,,,
9.63237,1,2-3,,,
9.998999999999999,1,j3-4,,,
10.43229,2,4-1,,,
10.43229,3,4-1,,,
10.43229,4,4-1,,,
10.43229,5,4-1,,,
10.43229,1,lp4,,,
11.13222,1,4-1,rb1,,
11.36553,5,w1,,,
11.36553,4,w1,,,
11.36553,3,w1,,,
11.36553,2,w1,,,
11.53218,1,,rb0,,
12.06546,1,w1,,,
12.19878,1,sp1-2,,,
12.532079999999999,2,j1-2,,,
12.532079999999999,3,j1-2,,,
12.532079999999999,4,j1-2,,,
12.532079999999999,5,j1-2,,,
13.19868,1,hj2,,,
13.59864,5,w2,,,
13.59864,4,w2,,,
13.59864,3,w2,,,
13.59864,2,w2,,,
14.165249999999999,1,lp2,,,
14.965169999999999,MOT_mc_stage_color_00,b-flash,,
14.965169999999999,MOT_mc_light_up_00,l3,,
14.965169999999999,MOT_mc_light_center_00,l3,,
14.965169999999999,MOT_mc_light_under_00,l3,,
14.965169999999999,MOT_mc_bg_black_00,b65-45,,
14.965169999999999,2,j2-3,,,L0
14.965169999999999,3,j2-3,,,L0
14.965169999999999,4,j2-3,,,L0
14.965169999999999,5,j2-3,,,L0
14.965169999999999,1,,,b0,
16.03173,5,w3,,,
16.03173,4,w3,,,
16.03173,3,w3,,,
16.03173,2,w3,,,
16.16505,1,2-3,,,
16.16505,2,3-4,l1,,
16.16505,4,3-4,l1,,
16.16505,3,3-4,r1,,
16.16505,5,3-4,r1,,
17.09829,5,w4,,,
17.09829,4,w4,,,
17.09829,3,w4,,,
17.09829,2,w4,,,
17.09829,1,w3,,,
17.29827,1,3-4,r1,,
17.29827,2,4-1,lb0,,
17.29827,3,4-1,r2,,
17.29827,4,4-1,lb0,,
17.29827,5,4-1,r2,,
18.164849999999998,1,j4-1,,,
18.164849999999998,2,j1-2,,,
18.164849999999998,3,j1-2,,,
18.164849999999998,4,j1-2,,,
18.164849999999998,5,j1-2,,,
18.69813,1,1-2,rb0,,
18.69813,2,2-3,l1,,
18.69813,3,2-3,rb1,,
18.69813,4,2-3,l1,,
18.69813,5,2-3,rb1,,
19.63137,5,w3,,,
19.63137,4,w3,,,
19.63137,3,w3,,,
19.63137,2,w3,,,
19.63137,1,w2,,,
19.798019999999998,1,2-3,l1,,
19.798019999999998,2,3-4,l2,,
19.798019999999998,3,3-4,rb0,,
19.798019999999998,4,3-4,l2,,
19.798019999999998,5,3-4,rb0,,
20.197979999999998,4,j4-1,,,
20.3313,2,j4-1,,,
20.46462,1,j3-4,,,
20.597939999999998,3,j4-1,,,
20.73126,5,j4-1,,,
21.26454,4,w1,,,
21.397859999999998,2,w1,,,
21.53118,1,w4,,,
21.6645,3,w1,,,
21.6645,1,j4-1,,,
21.797819999999998,5,w1,,,
21.96447,2,j1-2,,,
21.96447,3,j1-2,,,
22.231109999999997,4,j1-2,,,
22.231109999999997,5,j1-2,,,
22.73106,1,w1,,,
23.031029999999998,3,w2,,,
23.031029999999998,2,w2,,,
23.06436,1,1-2,lb0,,
23.06436,2,2-3,lb1,,
23.06436,3,2-3,r1,,
23.06436,4,2-3,lb1,,
23.06436,5,2-3,r1,,
23.49765,2,j3-4,,,
