0.03333,MOT_mc_bg_black_00,seat100-0,,
1.63317,MOT_mc_stage_color_00,y-flash,,
1.63317,MOT_mc_bg_black_00,b80-65,,
1.63317,MOT_mc_light_up_00,l1,,
1.63317,MOT_mc_light_center_00,l1,,
1.63317,MOT_mc_light_under_00,l1,,
1.63317,MOT_mc_speaker_00,temp1,,
1.63317,2,,,,D40
1.63317,3,,,,D40
1.63317,4,,,,D40
1.63317,5,,,,D40
1.63317,1,j1-2,,,
1.63317,2,j1-2,,,
1.63317,3,j1-2,,,
1.63317,4,j1-2,,,
1.63317,5,j1-2,,,
2.43309,1,2-3,,,
2.43309,2,2-3,,,
2.43309,3,2-3,,,
2.43309,4,2-3,,,
2.43309,5,2-3,,,
2.96637,1,3-4,,,
2.96637,2,3-4,,,
2.96637,3,3-4,,,
2.96637,4,3-4,,,
2.96637,5,3-4,,,
3.3329999999999997,1,sj4,,,
3.3329999999999997,2,sj4,,,
3.3329999999999997,3,sj4,,,
3.3329999999999997,4,sj4,,,
3.3329999999999997,5,sj4,,,
3.79962,1,4-1,,,
3.79962,2,4-1,,,
3.79962,3,4-1,,,
3.79962,4,4-1,,,
3.79962,5,4-1,,,
4.2329099999999995,1,1-2,,,
4.2329099999999995,2,1-2,,,
4.2329099999999995,3,1-2,,,
4.2329099999999995,4,1-2,,,
4.2329099999999995,5,1-2,,,
4.6662,1,lp2,,,
4.6662,2,lp2,,,
4.6662,3,lp2,,,
4.6662,4,lp2,,,
4.6662,5,lp2,,,
5.099489999999999,1,sj2,,,
5.099489999999999,2,sj2,,,
5.099489999999999,3,sj2,,,
5.099489999999999,4,sj2,,,
5.099489999999999,5,sj2,,,
5.53278,1,2-3,,,
5.53278,2,2-3,,,
5.53278,3,2-3,,,
5.53278,4,2-3,,,
5.53278,5,2-3,,,
5.9994,1,3-4,,,
5.9994,2,3-4,,,
5.9994,3,3-4,,,
5.9994,4,3-4,,,
5.9994,5,3-4,,,
6.43269,1,4-1,,,
6.43269,2,4-1,,,
6.43269,3,4-1,,,
6.43269,4,4-1,,,
6.43269,5,4-1,,,
6.8659799999999995,1,lp1,,,
6.8659799999999995,2,lp1,,,
6.8659799999999995,3,lp1,,,
6.8659799999999995,4,lp1,,,
6.8659799999999995,5,lp1,,,
7.29927,1,sj1,,,
7.29927,2,sj1,,,
7.29927,3,sj1,,,
7.29927,4,sj1,,,
7.29927,5,sj1,,,
7.6659,1,sj1,,,
7.6659,2,sj1,,,
7.6659,3,sj1,,,
7.6659,4,sj1,,,
7.6659,5,sj1,,,
7.96587,2,1-2,,,
7.96587,3,1-2,,,
7.96587,4,1-2,,,
7.96587,5,1-2,,,
7.96587,1,sp1-2,,f1,
8.39916,2,lp2,,,
8.39916,3,lp2,,,
8.39916,4,lp2,,,
8.39916,5,lp2,,,
9.998999999999999,MOT_mc_stage_color_00,y-flash,,
9.998999999999999,MOT_mc_bg_black_00,b65-45,,
9.998999999999999,2,,,,L20
9.998999999999999,3,,,,L20
9.998999999999999,4,,,,L20
9.998999999999999,5,,,,L20
9.998999999999999,2,j2-3,,,
9.998999999999999,3,j2-3,,,
9.998999999999999,4,j2-3,,,
9.998999999999999,5,j2-3,,,
9.998999999999999,1,hj2,,,
11.06556,5,w3,,,
11.06556,4,w3,,,
11.06556,3,w3,,,
11.06556,2,w3,,,
11.13222,2,lp3,,,
11.13222,3,lp3,,,
11.13222,4,lp3,,,
11.13222,5,lp3,,,
11.13222,1,2-3,,b0,
11.6655,1,lp3,,,
11.932139999999999,2,j3-4,,,
11.932139999999999,3,j3-4,,,
12.46542,4,j3-4,,,
12.46542,5,j3-4,,,
12.9987,3,w4,,,
12.9987,2,w4,,,
13.431989999999999,1,3-4,,,
13.531979999999999,5,w4,,,
13.531979999999999,4,w4,,,
13.631969999999999,2,4-1,,,
13.631969999999999,3,4-1,,,
13.831949999999999,4,4-1,,,
13.831949999999999,5,4-1,,,
14.03193,1,4-1,l1,,
14.03193,2,1-2,l1,,
14.03193,3,1-2,l1,,
14.03193,4,1-2,l1,,
14.03193,5,1-2,l1,,
14.49855,1,lp1,,,
14.49855,2,lp2,,,
14.49855,3,lp2,,,
14.49855,4,lp2,,,
14.49855,5,lp2,,,
15.03183,1,j1-2,,,
15.265139999999999,2,j2-3,,,
15.265139999999999,3,j2-3,,,
15.465119999999999,4,j2-3,,,
15.465119999999999,5,j2-3,,,
15.965069999999999,1,2-3,l2,,
15.965069999999999,2,3-4,l2,,
15.965069999999999,3,3-4,l2,,
15.965069999999999,4,3-4,l2,,
15.965069999999999,5,3-4,l2,,
16.43169,1,lp3,,,
16.43169,2,lp4,,,
16.43169,3,lp4,,,
16.43169,4,lp4,,,
16.43169,5,lp4,,,
16.9983,1,3-4,,,
16.9983,2,4-1,,,
16.9983,3,4-1,,,
16.9983,4,4-1,,,
16.9983,5,4-1,,,
17.364929999999998,1,j4-1,,,
17.364929999999998,2,j1-2,,,
17.364929999999998,3,j1-2,,,
17.364929999999998,4,j1-2,,,
17.364929999999998,5,j1-2,,,
17.83155,1,1-2,lb1,,
17.83155,2,2-3,lb1,,
17.83155,3,2-3,lb1,,
17.83155,4,2-3,lb1,,
17.83155,5,2-3,lb1,,
18.43149,1,lp2,,,
18.43149,2,lp3,,,
18.43149,3,lp3,,,
18.43149,4,lp3,,,
18.43149,5,lp3,,,
18.964769999999998,1,j2-3,,,
19.26474,2,j3-4,,,
19.26474,3,j3-4,,,
19.46472,4,j3-4,,,
19.46472,5,j3-4,,,
19.964669999999998,1,3-4,lb0,,
19.964669999999998,2,4-1,lb0,,
19.964669999999998,3,4-1,lb0,,
19.964669999999998,4,4-1,lb0,,
19.964669999999998,5,4-1,lb0,,
20.43129,1,lp4,,,
20.43129,2,lp1,,,
20.43129,3,lp1,,,
20.43129,4,lp1,,,
20.43129,5,lp1,,,
21.06456,1,j4-1,,,
21.26454,2,1-2,,,
21.26454,3,1-2,,,
21.46452,4,1-2,,,
21.46452,5,1-2,,,
21.89781,1,1-2,,,
21.89781,2,2-3,,,
21.89781,3,2-3,,,
21.89781,4,2-3,,,
21.89781,5,2-3,,,
22.29777,1,lp2,,,
22.29777,2,lp3,,,
22.29777,3,lp3,,,
22.29777,4,lp3,,,
22.29777,5,lp3,,,
22.73106,1,j2-3,,,
23.031029999999998,2,j3-4,,,
23.031029999999998,3,j3-4,,,
23.231009999999998,4,j3-4,,,
23.231009999999998,5,j3-4,,,
23.79762,1,w3,,,
23.93094,1,3-4,,,
24.09759,3,w4,,,
24.09759,2,w4,,,
24.13092,2,4-1,,,
24.13092,3,4-1,,,
24.29757,5,w4,,,
24.29757,4,w4,,,
24.3309,4,4-1,,,
24.3309,5,4-1,,,
24.59754,1,4-1,,,
24.59754,2,1-2,,,
24.59754,3,1-2,,,
24.59754,4,1-2,,,
24.59754,5,1-2,,,
25.064159999999998,1,sj1,,,
25.064159999999998,2,sj2,,,
25.064159999999998,3,sj2,,,
25.064159999999998,4,sj2,,,
25.064159999999998,5,sj2,,,
25.3308,1,j1-2,,,
25.3308,2,j2-3,,,
25.3308,3,j2-3,,,
25.3308,4,j2-3,,,
25.3308,5,j2-3,,,
25.864079999999998,MOT_mc_stage_color_00,y-flash,,
25.864079999999998,MOT_mc_light_up_00,l2,,
25.864079999999998,MOT_mc_light_center_00,l2,,
25.864079999999998,2,3-4,,,
25.864079999999998,3,3-4,,,
25.864079999999998,4,3-4,,,
25.864079999999998,5,3-4,,,
25.864079999999998,1,2-3,,f1,
26.39736,1,j3-4,,,
26.79732,5,w4,,,
26.79732,4,w4,,,
26.79732,3,w4,,,
26.79732,2,w4,,,
26.897309999999997,1,4-1,,,
27.3306,1,j1-2,,,
27.897209999999998,1,sp2-3,,,
28.79712,1,sj3,,,
29.16375,1,j3-4,,,
29.23041,2,j4-1,,,
29.23041,3,j4-1,,,
29.23041,4,j4-1,,,
29.23041,5,j4-1,,,
29.897009999999998,2,1-2,,,
29.897009999999998,3,1-2,,,
29.897009999999998,4,1-2,,,
29.897009999999998,5,1-2,,,
29.897009999999998,1,4-1,l1,,
29.930339999999998,MOT_mc_stage_color_00,y-flash,,
30.26364,1,,l2,,
30.83025,5,w2,,,
30.83025,4,w2,,,
30.83025,3,w2,,,
30.83025,2,w2,,,
30.83025,1,w1,,,
30.930239999999998,1,1-2,l3,,
31.363529999999997,1,j2-3,,,
31.963469999999997,2,2-3,,,
31.963469999999997,3,2-3,,,
31.963469999999997,4,2-3,,,
31.963469999999997,5,2-3,,,
31.963469999999997,1,3-4,lb2,,
32.39676,1,,lb1,,
32.86338,1,4-1,lb0,,
32.89671,5,w3,,,
32.89671,4,w3,,,
32.89671,3,w3,,,
32.89671,2,w3,,,
32.9967,MOT_mc_stage_color_00,y-flash,,
33.33,1,j1-2,,,
33.39666,2,j3-4,,,
33.39666,3,j3-4,,,
33.39666,4,j3-4,,,
33.39666,5,j3-4,,,
33.42999,MOT_mc_stage_color_00,y-flash,,
33.76329,1,2-3,r1,,
33.863279999999996,MOT_mc_stage_color_00,b-flash,,
34.19658,1,lp3,,,
34.46322,5,w4,,,
34.46322,4,w4,,,
34.46322,3,w4,,,
34.46322,2,w4,,,
34.56321,2,4-1,,,
34.56321,3,4-1,,,
34.56321,4,4-1,,,
34.56321,5,4-1,,,
34.56321,1,w3,r2,,
35.02983,1,lp3,,,
35.463119999999996,1,3-4,,,
35.496449999999996,5,w1,,,
35.496449999999996,4,w1,,,
35.496449999999996,3,w1,,,
35.496449999999996,2,w1,,,
35.929739999999995,2,1-2,,,
35.929739999999995,3,1-2,,,
35.929739999999995,4,1-2,,,
35.929739999999995,5,1-2,,,
35.929739999999995,1,4-1,rb1,,
35.9964,MOT_mc_stage_color_00,b-flash,,
36.42969,2,2-3,,,
36.42969,3,2-3,,,
36.42969,4,2-3,,,
36.42969,5,2-3,,,
36.42969,1,j1-2,,,
37.06296,2,3-4,,,
37.06296,3,3-4,,,
37.06296,4,3-4,,,
37.06296,5,3-4,,,
37.06296,1,,rb0,,
37.496249999999996,1,w2,,,
37.496249999999996,2,j4-1,,,
37.496249999999996,3,j4-1,,,
37.496249999999996,4,j4-1,,,
37.496249999999996,5,j4-1,,,
37.496249999999996,1,j2-3,,,
37.79622,1,3-4,,b0,
38.362829999999995,MOT_mc_stage_color_00,b-flash,,
38.396159999999995,1,j4-1,,,
38.56281,5,w1,,,
38.56281,4,w1,,,
38.56281,3,w1,,,
38.56281,2,w1,,,
38.96277,1,1-2,,,
39.42939,1,lp2,,,
39.89601,1,2-3,,b-1,
39.929339999999996,2,1-2,,,
39.929339999999996,3,1-2,,,
39.929339999999996,4,1-2,,,
39.929339999999996,5,1-2,,,
40.395959999999995,2,2-3,,,
40.395959999999995,3,2-3,,,
40.395959999999995,4,2-3,,,
40.395959999999995,5,2-3,,,
40.52928,1,3-4,,f0,
40.89591,2,sp3-4,,,
40.89591,3,sp3-4,,,
40.89591,4,sp3-4,,,
40.89591,5,sp3-4,,,
41.02923,1,4-1,,f1,
41.39586,1,1-2,,,
41.595839999999995,MOT_mc_stage_color_00,b-flash,,
41.595839999999995,2,j4-1,,,
41.595839999999995,3,j4-1,,,
41.595839999999995,4,j4-1,,,
41.595839999999995,5,j4-1,,,
41.595839999999995,1,j2-3,,,
42.029129999999995,MOT_mc_stage_color_00,b-flash,,
42.029129999999995,MOT_mc_bg_black_00,b45-20,,
42.029129999999995,MOT_mc_light_up_00,l1,,
