0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,2,sort,-500,
0.03333,3,sort,-500,
0.03333,4,sort,-500,
0.03333,5,sort,-500,
2.29977,1,sj1,,,
2.29977,4,sj1,,,
2.29977,5,sj1,,,
2.29977,2,1-2,,,
2.29977,3,1-2,,,
2.4997499999999997,MOT_mc_stage_color_00,b-flash,,
2.56641,MOT_mc_speaker_00,temp4,,
2.56641,MOT_mc_light_under_00,l2,,
2.56641,MOT_mc_light_up_00,l4,,
2.56641,MOT_mc_light_center_00,l3,,
2.56641,2,sj2,,,
2.56641,3,sj2,,,
2.56641,1,1-2,,,
2.56641,4,1-2,,,
2.56641,5,1-2,,,
2.6997299999999997,MOT_mc_stage_color_00,r-flash,,
2.83305,4,sj2,,,
2.83305,5,sj2,,,
2.83305,2,2-3,,,
2.83305,3,2-3,,,
2.83305,1,2-3,,,
2.89971,MOT_mc_stage_color_00,y-flash,,
3.1330199999999997,1,sp3-4,,,
3.1330199999999997,2,sp3-4,,,
3.1330199999999997,3,sp3-4,,,
3.1330199999999997,4,sp2-3,,,
3.1330199999999997,5,sp2-3,,,
3.5663099999999996,1,j4-1,,,
3.59964,2,j4-1,,,
3.59964,3,j4-1,,,
3.63297,4,j3-4,,,
3.63297,5,j3-4,,,
3.89961,MOT_mc_bg_black_00,b80-65,,
3.93294,MOT_mc_stage_color_00,y-flash,,
3.9662699999999997,1,lp1,,,
3.9662699999999997,2,lp1,,,
3.9662699999999997,3,lp1,,,
3.9662699999999997,4,lp4,,,
3.9662699999999997,5,lp4,,,
4.86618,1,j1-2,,,
4.93284,2,j1-2,,,
4.93284,3,j1-2,,,
4.999499999999999,4,j4-1,,,
4.999499999999999,5,j4-1,,,
5.36613,1,lp2,,,
5.36613,2,lp2,,,
5.36613,3,lp2,,,
5.36613,4,lp1,,,
5.36613,5,lp1,,,
6.39936,1,j2-3,,,
6.49935,2,2-3,l1,,
6.49935,3,2-3,r1,,
6.59934,4,1-2,l1,,
6.59934,5,1-2,r1,,
6.932639999999999,1,lp3,,,
6.932639999999999,2,lp3,,,
6.932639999999999,3,lp3,,,
6.932639999999999,4,lp2,,,
6.932639999999999,5,lp2,,,
7.79922,1,j3-4,,,
8.13252,1,sp4-1,,,
8.865779999999999,1,hj1,,,
8.96577,2,j3-4,,,
8.96577,3,j3-4,,,
8.96577,4,j2-3,,,
8.96577,5,j2-3,,,
9.3324,MOT_mc_stage_color_00,y-flash,,
9.36573,1,lp1,,,
9.36573,2,lp4,,,
9.36573,3,lp4,,,
9.36573,4,lp3,,,
9.36573,5,lp3,,,
10.398959999999999,2,hj4,,,
10.398959999999999,3,hj4,,,
10.398959999999999,4,j3-4,,,
10.398959999999999,5,j3-4,,,
10.73226,1,j1-2,,,
11.06556,1,lp2,,,
11.06556,2,lp4,,,
11.06556,3,lp4,,,
11.06556,4,lp4,,,
11.06556,5,lp4,,,
11.56551,1,2-3,,,
11.56551,2,4-1,,,
11.56551,3,4-1,,,
11.56551,4,4-1,,,
11.56551,5,4-1,,,
11.96547,1,3-4,,,
11.96547,2,1-2,,,
11.96547,3,1-2,,,
11.96547,4,1-2,,,
11.96547,5,1-2,,,
12.432089999999999,1,j4-1,,,
12.432089999999999,2,j2-3,,,
12.432089999999999,3,j2-3,,,
12.432089999999999,4,j2-3,,,
12.432089999999999,5,j2-3,,,
12.86538,1,sj1,,,
12.86538,2,sj3,,,
12.86538,3,sj3,,,
12.86538,4,sj3,,,
12.86538,5,sj3,,,
13.232009999999999,1,lp1,,,
13.232009999999999,2,lp3,,,
13.232009999999999,3,lp3,,,
13.232009999999999,4,lp3,,,
13.232009999999999,5,lp3,,,
14.3319,4,j3-4,,,
14.3319,5,j3-4,,,
14.665199999999999,2,j3-4,,,
14.665199999999999,3,j3-4,,,
15.03183,1,j1-2,,,
15.39846,5,w4,,,
15.39846,4,w4,,,
15.43179,1,2-3,,f1,
15.43179,2,sort,-500,
15.43179,3,sort,-500,
15.43179,4,sort,-500,
15.43179,5,sort,-500,
15.43179,2,4-1,,,
15.43179,3,4-1,,,
15.43179,4,4-1,,,
15.43179,5,4-1,,,
15.83175,2,lp1,,,
15.83175,3,lp1,,,
15.83175,4,lp1,,,
15.83175,5,lp1,,,
16.19838,1,3-4,r1,,
16.23171,MOT_mc_bg_black_00,b65-45,,
16.29837,MOT_mc_stage_color_00,b-flash,,
16.331699999999998,MOT_mc_stage_color_00,b-flash,,
16.36503,MOT_mc_light_up_00,l3,,
16.36503,MOT_mc_light_center_00,l2,,
16.56501,1,4-1,r2,,
16.89831,1,lp1,,,
17.46492,1,1-2,rb1,,
17.83155,1,2-3,rb0,,
18.164849999999998,1,lp3,,,
18.86478,1,j3-4,,,
18.86478,2,j1-2,,,
18.86478,3,j1-2,,,
18.86478,4,j1-2,,,
18.86478,5,j1-2,,,
19.198079999999997,1,4-1,,,
19.23141,2,lp2,,,
19.23141,3,lp2,,,
19.23141,4,lp2,,,
19.23141,5,lp2,,,
19.598039999999997,1,1-2,,,
19.997999999999998,1,hj2,,,
20.6646,1,lp2,,,
21.397859999999998,1,2-3,,,
21.397859999999998,2,2-3,,,
21.397859999999998,3,2-3,,,
21.397859999999998,4,2-3,,,
21.397859999999998,5,2-3,,,
21.73116,1,3-4,,,
21.73116,2,3-4,,,
21.73116,3,3-4,,,
21.73116,4,3-4,,,
21.73116,5,3-4,,,
22.09779,1,lp4,,,
22.09779,2,lp4,,,
22.09779,3,lp4,,,
22.09779,4,lp4,,,
22.09779,5,lp4,,,
22.76439,1,lp4,,,
22.831049999999998,2,sj4,,,
22.831049999999998,3,sj4,,,
23.031029999999998,4,sj4,,,
23.031029999999998,5,sj4,,,
23.231009999999998,2,j4-1,,,
23.231009999999998,3,j4-1,,,
23.331,4,j4-1,,,
23.331,5,j4-1,,,
23.39766,1,4-1,,,
23.79762,1,j1-2,,,
24.13092,1,lp2,,,
24.230909999999998,2,1-2,lb0,,
24.230909999999998,3,1-2,rb0,,
24.230909999999998,4,1-2,lb0,,
24.230909999999998,5,1-2,rb0,,
24.59754,1,j2-3,,,
24.73086,2,j2-3,,,
24.73086,3,j2-3,,,
24.73086,4,j2-3,,,
24.73086,5,j2-3,,,
24.96417,1,hj3,,,
25.264139999999998,2,3-4,,,
25.264139999999998,3,3-4,,,
25.264139999999998,4,3-4,,,
25.264139999999998,5,3-4,,,
25.56411,1,lp3,,,
26.19738,5,w4,,,
26.19738,4,w4,,,
26.19738,3,w4,,,
26.19738,2,w4,,,
26.264039999999998,2,4-1,,,
26.264039999999998,3,4-1,,,
26.264039999999998,4,4-1,,,
26.264039999999998,5,4-1,,,
26.264039999999998,1,j3-4,,,
26.63067,2,1-2,,,
26.63067,3,1-2,,,
26.63067,4,1-2,,,
26.63067,5,1-2,,,
26.63067,1,lp4,,,
26.96397,1,4-1,,,
26.96397,2,2-3,,,
26.96397,3,2-3,,,
26.96397,4,2-3,,,
26.96397,5,2-3,,,
27.03063,MOT_mc_stage_color_00,y-flash,,
27.3306,1,lp1,,,
27.3306,2,lp3,,,
27.3306,3,lp3,,,
27.3306,4,lp3,,,
27.3306,5,lp3,,,
27.83055,1,1-2,l1,,
28.26384,1,lp2,,,
28.297169999999998,2,3-4,l1,,
28.297169999999998,3,3-4,l1,,
28.297169999999998,4,3-4,l1,,
28.297169999999998,5,3-4,l1,,
28.530479999999997,1,2-3,l2,,
28.96377,1,lp3,,,
28.9971,2,4-1,l2,,
28.9971,3,4-1,l2,,
28.9971,4,4-1,l2,,
28.9971,5,4-1,l2,,
29.530379999999997,1,j3-4,,,
29.86368,1,lp4,,,
29.930339999999998,5,w1,,,
29.930339999999998,4,w1,,,
29.930339999999998,3,w1,,,
