0.03333,MOT_mc_bg_black_00,seat100-0,,
1.76649,MOT_mc_stage_color_00,r-flash,,
1.76649,MOT_mc_bg_black_00,b65-45,,
1.76649,MOT_mc_speaker_00,temp2,,
1.76649,MOT_mc_light_center_00,l1,,
1.76649,MOT_mc_light_under_00,l1,,
1.76649,2,1-2,,,D20
1.76649,3,1-2,,,D20
1.76649,4,1-2,,,D20
1.76649,5,1-2,,,D20
1.76649,1,1-2,,,D20
2.03313,2,2-3,,,
2.03313,3,2-3,,,
2.03313,4,2-3,,,
2.03313,5,2-3,,,
2.46642,2,j3-4,,,
2.46642,3,j3-4,,,
2.46642,4,j3-4,,,
2.46642,5,j3-4,,,
2.46642,1,j2-3,,,
3.2330099999999997,1,3-4,,,
3.36633,2,4-1,,,
3.36633,3,4-1,,,
3.36633,4,4-1,,,
3.36633,5,4-1,,,
3.59964,1,4-1,,,
3.73296,2,1-2,,,
3.8662799999999997,3,1-2,,,
3.9996,4,1-2,,,
4.16625,5,1-2,,,
4.53288,1,w1,,,
4.6662,2,w2,,,
4.799519999999999,3,w2,,,
4.83285,1,1-2,,,
4.93284,4,w2,,,
4.96617,2,2-3,,,
4.96617,3,2-3,,,
5.099489999999999,5,w2,,,
5.13282,4,2-3,,,
5.13282,5,2-3,,,
5.46612,1,j2-3,,,
5.73276,2,3-4,,,
5.89941,3,w3,,,
5.93274,3,3-4,,,
6.066059999999999,5,w3,,,
6.066059999999999,4,w3,,,
6.13272,4,3-4,,,
6.3327,5,3-4,,,
6.53268,1,w3,,,
6.6659999999999995,2,w4,,,
6.8659799999999995,3,w4,,,
6.89931,4,4-1,,,
6.932639999999999,2,4-1,,,
6.9659699999999996,1,3-4,,,
6.9993,3,4-1,,,
7.032629999999999,5,4-1,,,
7.532579999999999,MOT_mc_stage_color_00,y-flash,,
7.532579999999999,2,lp1,,,
7.532579999999999,3,lp1,,,
7.532579999999999,4,lp1,,,
7.532579999999999,5,lp1,,,
7.532579999999999,1,lp4,,,
9.49905,MOT_mc_stage_color_00,r-flash,,
9.49905,MOT_mc_light_up_00,l2,,
9.49905,MOT_mc_light_center_00,l2,,
9.49905,MOT_mc_light_under_00,l3,,
9.49905,1,4-1,,f1,Lbl
9.899009999999999,1,1-2,l1,,
10.298969999999999,1,2-3,lb0,,
10.73226,4,sp1-2,,,
10.76559,2,sp1-2,,,
10.798919999999999,1,sp3-4,,,
10.83225,3,sp1-2,,,
10.86558,5,sp1-2,,,
11.832149999999999,1,4-1,,,
12.232109999999999,1,,,b0,D20
12.532079999999999,5,2-3,r1,,
12.56541,3,2-3,r1,,
12.59874,1,1-2,,,
12.632069999999999,2,2-3,l1,,
12.6654,4,2-3,l1,,
13.132019999999999,1,2-3,,,
13.29867,2,3-4,,,
13.39866,3,3-4,,,
13.46532,5,w3,,,
13.531979999999999,4,3-4,,,
13.531979999999999,5,3-4,,,
14.065259999999999,1,w3,,,
14.065259999999999,4,sp4-1,,,
14.09859,2,sp4-1,,,
14.13192,1,sp3-4,,,
14.165249999999999,3,sp4-1,,,
14.19858,5,sp4-1,,,
14.765189999999999,5,1-2,rb0,,
14.79852,3,1-2,rb0,,
14.83185,1,4-1,,,
14.865179999999999,2,1-2,lb0,,
14.89851,4,1-2,lb0,,
15.19848,MOT_mc_stage_color_00,b-flash,,
15.19848,1,1-2,,,
15.3318,2,2-3,,,
15.43179,3,2-3,,,
15.565109999999999,4,2-3,,,
15.565109999999999,5,2-3,,,
15.89841,4,sp3-4,,,
15.93174,2,sp3-4,,,
15.965069999999999,1,sp2-3,,,
15.9984,3,sp3-4,,,
16.03173,5,sp3-4,,,
16.46502,1,3-4,,,
16.665,2,4-1,,,
16.665,3,4-1,,,
16.83165,4,4-1,,,
16.83165,5,4-1,,,
17.09829,1,4-1,,,
17.23161,2,1-2,,,
17.331599999999998,3,1-2,,,
17.46492,4,1-2,,,
17.46492,5,1-2,,,
17.83155,4,sp2-3,,,
17.86488,2,sp2-3,,,
17.89821,1,sp1-2,,,
17.93154,3,sp2-3,,,
17.964869999999998,5,sp2-3,,,
18.9981,MOT_mc_stage_color_00,r-flash,,
18.9981,1,2-3,,,
19.198079999999997,2,3-4,,,
19.3314,3,3-4,,,
19.46472,4,3-4,,,
19.46472,5,3-4,,,
19.798019999999998,1,j3-4,,,
19.83135,2,j4-1,,,
19.83135,3,j4-1,,,
19.83135,4,j4-1,,,
19.83135,5,j4-1,,,
20.43129,4,1-2,,,
20.56461,2,1-2,,,
20.69793,1,4-1,,,
20.89791,5,w1,,,
20.89791,3,1-2,,,
20.997899999999998,5,1-2,,,
21.36453,4,w2,,,
21.36453,1,1-2,,,
21.397859999999998,2,2-3,,,
21.397859999999998,3,2-3,,,
21.397859999999998,4,2-3,,,
21.397859999999998,5,2-3,,,
21.831149999999997,4,sp3-4,,,
21.86448,2,sp3-4,,,
21.89781,1,sp2-3,,,
21.93114,3,sp3-4,,,
21.96447,5,sp3-4,,,
22.86438,MOT_mc_stage_color_00,y-flash,,
22.86438,1,3-4,,,
23.031029999999998,2,4-1,,,
23.19768,3,4-1,,,
23.36433,4,4-1,,,
23.36433,5,4-1,,,
23.79762,1,j4-1,,,
23.830949999999998,2,1-2,,,
23.830949999999998,3,1-2,,,
23.830949999999998,4,1-2,,,
23.830949999999998,5,1-2,,,
24.3309,4,2-3,,,
24.49755,2,2-3,,,
24.630869999999998,1,1-2,,,
24.76419,5,w2,,,
24.76419,3,w2,,,
24.864179999999998,3,2-3,,,
25.030829999999998,5,2-3,,,
25.264139999999998,4,w3,,,
25.39746,2,3-4,,,
25.39746,3,3-4,,,
25.39746,4,3-4,,,
25.39746,5,3-4,,,
25.39746,1,2-3,,,
25.76409,2,lp4,,,
25.76409,3,lp4,,,
25.76409,4,lp4,,,
25.76409,5,lp4,,,
25.76409,1,lp3,,,
26.73066,1,3-4,,,
26.897309999999997,2,4-1,,,
26.897309999999997,3,4-1,,,
27.097289999999997,4,4-1,,,
27.097289999999997,5,4-1,,,
27.463919999999998,1,4-1,,,
27.59724,2,1-2,l1,,
27.59724,3,1-2,r1,,
27.76389,4,1-2,l1,,
27.76389,5,1-2,r1,,
27.930539999999997,1,1-2,,,
28.06386,2,2-3,lb0,,
28.06386,3,2-3,rb0,,
28.23051,4,2-3,lb0,,
28.23051,5,2-3,rb0,,
28.43049,1,2-3,,,
28.56381,2,3-4,,,
28.56381,3,3-4,,,
28.56381,4,3-4,,,
28.56381,5,3-4,,,
28.83045,1,lp3,,,
28.930439999999997,4,4-1,,,
29.097089999999998,2,4-1,,,
29.26374,3,4-1,,,
29.43039,5,4-1,,,
29.86368,4,w1,,,
29.86368,MOT_mc_stage_color_00,r-flash,,
29.86368,MOT_mc_bg_black_00,b45-20,,
29.86368,2,1-2,,,
29.86368,3,1-2,,,
29.86368,4,1-2,,,
29.86368,5,1-2,,,
29.86368,1,3-4,,f1,Lbl
30.23031,2,lp2,,,
30.23031,3,lp2,,,
30.23031,4,lp2,,,
30.23031,5,lp2,,,
30.23031,1,j4-1,,,
30.79692,1,1-2,l1,,
31.163549999999997,1,2-3,lb0,,
31.530179999999998,1,j3-4,,,
32.296769999999995,1,hj4,,,
32.9967,1,j4-1,,,
33.52998,1,sp1-2,,,
34.329899999999995,MOT_mc_stage_color_00,b-flash,,
34.329899999999995,2,j2-3,,,
34.329899999999995,3,j2-3,,,
34.329899999999995,4,j2-3,,,
34.329899999999995,5,j2-3,,,
34.329899999999995,1,2-3,,,
34.696529999999996,1,3-4,,,
35.096489999999996,1,sp4-1,,,
35.39646,5,w3,,,
35.39646,4,w3,,,
35.39646,3,w3,,,
35.39646,2,w3,,,
36.09639,1,1-2,,,
36.46302,1,2-3,l1,,
36.82965,1,3-4,lb0,,
37.19628,1,4-1,,,
37.562909999999995,1,1-2,,,
37.929539999999996,1,j2-3,,,
38.6628,MOT_mc_stage_color_00,y-flash,,
38.6628,1,3-4,l1,,
39.02943,1,4-1,lb0,,
39.39606,1,j1-2,,,
40.12932,MOT_mc_stage_color_00,r-flash,,
40.12932,1,hj2,,,
40.829249999999995,1,2-3,,,
41.229209999999995,1,j3-4,,,
41.86248,MOT_mc_stage_color_00,b-flash,,
41.86248,1,4-1,,,
42.26244,1,lp1,,,
43.36233,1,1-2,,,
43.72896,1,j2-3,,,
44.26224,1,sp3-4,,,
45.3288,MOT_mc_stage_color_00,r-flash,,
45.3288,2,3-4,,,
45.3288,3,3-4,,,
45.3288,4,3-4,,,
45.3288,5,3-4,,,
45.3288,1,4-1,,,
45.695429999999995,2,lp4,,,
45.695429999999995,3,lp4,,,
45.695429999999995,4,lp4,,,
45.695429999999995,5,lp4,,,
45.695429999999995,1,j1-2,,,
