0.03333,MOT_mc_bg_black_00,seat100-0,,
1.9331399999999999,MOT_mc_stage_color_00,b-flash,,
1.9331399999999999,MOT_mc_bg_black_00,b65-45,,
1.9331399999999999,MOT_mc_speaker_00,temp2,,
1.9331399999999999,MOT_mc_light_center_00,l1,,
1.9331399999999999,MOT_mc_light_under_00,l1,,
1.9331399999999999,2,1-2,,,D20
1.9331399999999999,3,1-2,,,D20
1.9331399999999999,4,1-2,,,D20
1.9331399999999999,5,1-2,,,D20
1.9331399999999999,1,1-2,,,D20
2.86638,5,w2,,,
2.86638,4,w2,,,
2.86638,3,w2,,,
2.86638,2,w2,,,
2.86638,1,w2,,,
2.86638,MOT_mc_stage_color_00,y-flash,,
2.86638,1,j2-3,,,
2.9997,2,j2-3,,,
2.9997,3,j2-3,,,
2.9997,4,j2-3,,,
2.9997,5,j2-3,,,
3.8662799999999997,MOT_mc_stage_color_00,r-flash,,
3.8662799999999997,1,j3-4,,,
3.9996,2,j3-4,,,
3.9996,3,j3-4,,,
3.9996,4,j3-4,,,
3.9996,5,j3-4,,,
4.93284,1,w4,,,
4.93284,MOT_mc_stage_color_00,r-flash,,
4.93284,1,j4-1,,,
5.06616,5,w4,,,
5.06616,4,w4,,,
5.06616,3,w4,,,
5.06616,2,w4,,,
5.2994699999999995,2,j4-1,,,
5.2994699999999995,3,j4-1,,,
5.76609,4,j4-1,,,
5.76609,5,j4-1,,,
5.9994,1,w1,,,
6.03273,1,j1-2,,,
6.366029999999999,3,w1,,,
6.366029999999999,2,w1,,,
6.83265,5,w1,,,
6.83265,4,w1,,,
6.9993,1,2-3,,,
7.16595,2,j1-2,,,
7.16595,3,j1-2,,,
7.16595,4,j1-2,,,
7.16595,5,j1-2,,,
7.632569999999999,1,3-4,,f1,Lbl
7.9992,MOT_mc_stage_color_00,y-flash,,
7.9992,2,lp2,,,
7.9992,3,lp2,,,
7.9992,4,lp2,,,
7.9992,5,lp2,,,
7.9992,1,sp4-1,,,
9.63237,1,1-2,,,
10.06566,MOT_mc_stage_color_00,b-flash,,
10.06566,4,sp2-3,,,
10.098989999999999,2,sp2-3,,,
10.13232,1,sp2-3,,,
10.16565,3,sp2-3,,,
10.198979999999999,5,sp2-3,,,
12.19878,5,3-4,,,
12.232109999999999,3,3-4,,,
