0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
2.86638,MOT_mc_speaker_00,temp4,,
2.86638,1,j1-2,,,
3.26634,2,hj1,,,
3.26634,3,hj1,,,
3.26634,4,hj1,,,
3.26634,5,hj1,,,
3.3329999999999997,1,2-3,,,
3.69963,1,j3-4,,,
4.06626,1,4-1,,,
4.06626,2,1-2,,,
4.06626,3,1-2,,,
4.06626,4,1-2,,,
4.06626,5,1-2,,,
4.56621,1,sj1,,,
4.56621,2,sj2,,,
4.56621,3,sj2,,,
4.56621,4,sj2,,,
4.56621,5,sj2,,,
5.06616,5,w2,,,
5.06616,4,w2,,,
5.06616,3,w2,,,
5.06616,2,w2,,,
5.06616,1,hj1,,,
5.06616,2,hj2,,,
5.06616,3,hj2,,,
5.06616,4,hj2,,,
5.06616,5,hj2,,,
5.5994399999999995,1,1-2,,,
5.93274,1,j2-3,,,
6.266039999999999,2,hj2,,,
6.266039999999999,3,hj2,,,
6.266039999999999,4,hj2,,,
6.266039999999999,5,hj2,,,
6.3327,1,3-4,,,
6.83265,1,j4-1,,,
7.06596,2,2-3,,,
7.06596,3,2-3,,,
7.06596,4,2-3,,,
7.06596,5,2-3,,,
7.56591,1,sj1,,,
7.56591,2,sj3,,,
7.56591,3,sj3,,,
7.56591,4,sj3,,,
7.56591,5,sj3,,,
8.065859999999999,5,w3,,,
8.065859999999999,4,w3,,,
8.065859999999999,3,w3,,,
8.065859999999999,2,w3,,,
8.065859999999999,1,hj1,,,
8.065859999999999,2,hj3,,,
8.065859999999999,3,hj3,,,
8.065859999999999,4,hj3,,,
8.065859999999999,5,hj3,,,
8.63247,1,j1-2,,,
8.665799999999999,2,3-4,,,
8.665799999999999,3,3-4,,,
8.665799999999999,4,3-4,,,
8.665799999999999,5,3-4,,,
9.23241,1,2-3,,,
9.26574,2,sj4,,,
9.26574,3,sj4,,,
9.26574,4,sj4,,,
9.26574,5,sj4,,,
9.699029999999999,1,j3-4,,,
9.76569,5,w4,,,
9.76569,4,w4,,,
9.76569,3,w4,,,
9.76569,2,w4,,,
10.06566,2,4-1,,,
10.06566,3,4-1,,,
10.06566,4,4-1,,,
10.06566,5,4-1,,,
10.56561,1,sj4,,,
10.56561,2,sj1,,,
10.56561,3,sj1,,,
10.56561,4,sj1,,,
10.56561,5,sj1,,,
11.06556,5,w1,,,
11.06556,4,w1,,,
11.06556,3,w1,,,
11.06556,2,w1,,,
11.06556,1,w4,,,
11.06556,1,,,,D40
11.06556,2,,,,D40
11.06556,3,,,,D40
11.06556,4,,,,D40
11.06556,5,,,,D40
11.06556,1,hj4,,,
11.06556,2,hj1,,,
11.06556,3,hj1,,,
11.06556,4,hj1,,,
11.06556,5,hj1,,,
11.43219,MOT_mc_stage_color_00,b-flash,,
11.43219,MOT_mc_bg_black_00,b45-20,,
11.43219,MOT_mc_speaker_00,temp2,,
11.43219,MOT_mc_light_center_00,l3,,
11.43219,MOT_mc_light_under_00,l3,,
11.43219,MOT_mc_light_up_00,l3_lp,,
11.43219,1,,,,Lbl
11.6655,1,j4-1,,f1,
12.29877,5,w1,,,
12.29877,4,w1,,,
12.29877,3,w1,,,
12.29877,2,w1,,,
12.49875,1,1-2,,,
12.632069999999999,MOT_mc_stage_color_00,r-flash,,
13.39866,1,sj2,,,
13.731959999999999,1,2-3,,,
14.13192,1,hj3,,,
14.3319,MOT_mc_stage_color_00,y-flash,,
14.765189999999999,1,3-4,,,
15.23181,1,hj4,,,
15.59844,2,,,,L0
15.59844,3,,,,L0
15.59844,4,,,,L0
15.59844,5,,,,L0
15.59844,2,sj1,,,
15.59844,3,sj1,,,
15.59844,4,sj1,,,
15.59844,5,sj1,,,
15.93174,2,sj1,,,
15.93174,3,sj1,,,
15.93174,4,sj1,,,
15.93174,5,sj1,,,
16.29837,2,sj1,,,
16.29837,3,sj1,,,
16.29837,4,sj1,,,
16.29837,5,sj1,,,
16.46502,1,w4,,,
16.69833,1,hj4,,,
16.69833,2,hj1,,,
16.69833,3,hj1,,,
16.69833,4,hj1,,,
16.69833,5,hj1,,,
17.131619999999998,MOT_mc_stage_color_00,r-flash,,
17.531579999999998,1,sj4,,,
17.93154,5,w1,,,
17.93154,4,w1,,,
17.93154,3,w1,,,
17.93154,2,w1,,,
18.03153,1,w4,,,
18.06486,1,4-1,,,
18.06486,2,1-2,,,
18.06486,3,1-2,,,
18.06486,4,1-2,,,
18.06486,5,1-2,,,
18.19818,MOT_mc_stage_color_00,b-flash,,
18.49815,1,sj1,,,
18.49815,2,sj2,,,
18.49815,3,sj2,,,
18.49815,4,sj2,,,
18.49815,5,sj2,,,
18.83145,1,sj1,,,
18.83145,2,sj2,,,
18.83145,3,sj2,,,
18.83145,4,sj2,,,
18.83145,5,sj2,,,
19.198079999999997,1,sj1,,,
19.198079999999997,2,sj2,,,
19.198079999999997,3,sj2,,,
19.198079999999997,4,sj2,,,
19.198079999999997,5,sj2,,,
19.46472,MOT_mc_stage_color_00,r-flash,,
19.598039999999997,1,hj1,,,
19.598039999999997,2,hj2,,,
19.598039999999997,3,hj2,,,
19.598039999999997,4,hj2,,,
19.598039999999997,5,hj2,,,
20.23131,1,sj1,,,
20.73126,1,w1,,,
20.83125,5,w2,,,
20.83125,4,w2,,,
20.83125,3,w2,,,
20.83125,2,w2,,,
20.86458,1,1-2,,,
20.86458,2,2-3,,,
20.86458,3,2-3,,,
20.86458,4,2-3,,,
20.86458,5,2-3,,,
21.26454,1,sj2,,,
21.26454,2,sj3,,,
21.26454,3,sj3,,,
21.26454,4,sj3,,,
21.26454,5,sj3,,,
21.69783,1,2-3,,,
21.69783,2,3-4,,,
21.69783,3,3-4,,,
21.69783,4,3-4,,,
21.69783,5,3-4,,,
22.031129999999997,1,3-4,,,
22.031129999999997,2,4-1,,,
22.031129999999997,3,4-1,,,
22.031129999999997,4,4-1,,,
22.031129999999997,5,4-1,,,
22.3311,MOT_mc_stage_color_00,y-flash,,
22.397759999999998,1,j4-1,,,
22.397759999999998,2,j1-2,,,
22.397759999999998,3,j1-2,,,
22.397759999999998,4,j1-2,,,
22.397759999999998,5,j1-2,,,
22.831049999999998,1,1-2,,,
22.831049999999998,2,2-3,,,
22.831049999999998,3,2-3,,,
22.831049999999998,4,2-3,,,
22.831049999999998,5,2-3,,,
23.19768,1,2-3,,,
23.19768,2,3-4,,,
23.19768,3,3-4,,,
23.19768,4,3-4,,,
23.19768,5,3-4,,,
23.49765,MOT_mc_stage_color_00,b-flash,,
23.89761,1,sj3,,,
23.89761,2,sj4,,,
23.89761,3,sj4,,,
23.89761,4,sj4,,,
23.89761,5,sj4,,,
24.3309,1,j3-4,,,
24.3309,2,j4-1,,,
24.3309,3,j4-1,,,
24.3309,4,j4-1,,,
24.3309,5,j4-1,,,
24.69753,1,hj4,,,
24.69753,2,hj1,,,
24.69753,3,hj1,,,
24.69753,4,hj1,,,
24.69753,5,hj1,,,
24.830849999999998,MOT_mc_stage_color_00,r-flash,,
25.56411,MOT_mc_stage_color_00,y-flash,,
25.63077,4,hj1,,,
25.63077,5,hj1,,,
25.897409999999997,2,hj1,,,
25.897409999999997,3,hj1,,,
25.93074,1,w4,,,
26.19738,1,hj4,,,
26.663999999999998,1,4-1,,,
26.663999999999998,2,1-2,,,
26.663999999999998,3,1-2,,,
26.663999999999998,4,1-2,,,
26.663999999999998,5,1-2,,,
26.93064,MOT_mc_stage_color_00,b-flash,,
26.9973,1,1-2,,,
26.9973,2,2-3,,,
26.9973,3,2-3,,,
26.9973,4,2-3,,,
26.9973,5,2-3,,,
27.263939999999998,MOT_mc_stage_color_00,r-flash,,
27.59724,MOT_mc_stage_color_00,y-flash,,
27.63057,1,hj2,,,
27.63057,2,hj3,,,
27.63057,3,hj3,,,
27.63057,4,hj3,,,
27.63057,5,hj3,,,
28.130519999999997,1,,,,D20
28.130519999999997,2,,,,D20
28.130519999999997,3,,,,D20
28.130519999999997,4,,,,D20
28.130519999999997,5,,,,D20
28.130519999999997,2,lp3,,,
28.130519999999997,3,lp3,,,
28.130519999999997,4,lp3,,,
28.130519999999997,5,lp3,,,
28.56381,MOT_mc_speaker_00,temp4,,
28.56381,MOT_mc_light_up_00,l2_lp,,
28.56381,MOT_mc_light_center_00,l2,,
28.56381,MOT_mc_light_under_00,l1,,
28.697129999999998,1,j2-3,,f2,
28.730459999999997,1,,,,L0
29.06376,1,3-4,,,
29.530379999999997,1,4-1,,,
30.130319999999998,1,hj1,,,
30.730259999999998,1,1-2,,,
31.23021,1,sj2,,,
31.730159999999998,1,2-3,,,
32.13012,1,3-4,,,
32.53008,1,j4-1,,,
32.89671,1,hj1,,,
33.19668,2,3-4,l1,,
33.19668,4,3-4,l1,,
33.19668,3,3-4,r1,,
33.19668,5,3-4,r1,,
33.56331,2,4-1,l2,,
33.56331,4,4-1,l2,,
33.56331,3,4-1,r2,,
33.56331,5,4-1,r2,,
33.92994,2,sj1,,,
33.92994,4,sj1,,,
33.92994,3,sj1,,,
33.92994,5,sj1,,,
34.12992,1,w1,,,
34.22991,2,j1-2,,,
34.22991,4,j1-2,,,
34.22991,1,sj1,,,
34.22991,3,j1-2,,,
34.22991,5,j1-2,,,
34.663199999999996,2,lp2,,,
34.663199999999996,3,lp2,,,
34.663199999999996,4,lp2,,,
34.663199999999996,5,lp2,,,
34.663199999999996,1,hj1,,,
35.19648,1,1-2,,,
35.82975,1,2-3,,,
36.26304,1,sj3,,,
36.762989999999995,1,w3,,,
37.06296,1,3-4,,,
37.72956,1,sj4,,,
38.06286,1,4-1,,,
38.42949,1,1-2,,,
38.796119999999995,1,sj2,,,
39.162749999999996,1,hj2,,,
39.3294,2,2-3,l3,,
39.3294,3,2-3,r3,,
39.596039999999995,MOT_mc_stage_color_00,b-flash,,
39.69603,4,2-3,l3,,
39.69603,5,2-3,r3,,
39.929339999999996,1,j2-3,,,
40.02933,2,lp3,,,
40.02933,3,lp3,,,
40.02933,4,lp3,,,
40.02933,5,lp3,,,
40.49595,1,sj3,,,
40.9959,1,j3-4,,,
41.629169999999995,1,hj4,,,
42.56241,1,4-1,,,
42.9957,1,1-2,,,
43.49565,1,sj2,,,
43.995599999999996,1,w2,,,
44.028929999999995,1,hj2,,,
44.26224,2,3-4,lb2,,
44.26224,3,3-4,rb2,,
44.59554,4,3-4,lb2,,
44.59554,5,3-4,rb2,,
44.9955,2,sj4,,,
44.9955,4,sj4,,,
44.9955,3,sj4,,,
44.9955,5,sj4,,,
45.262139999999995,1,w2,,,
45.36213,2,j4-1,,,
45.36213,4,j4-1,,,
45.36213,3,j4-1,,,
45.36213,5,j4-1,,,
45.72876,2,lp1,,,
45.72876,3,lp1,,,
45.72876,4,lp1,,,
45.72876,5,lp1,,,
45.82875,1,sj2,,,
46.22871,1,hj2,,,
46.895309999999995,1,2-3,,,
47.261939999999996,1,3-4,,,
47.59524,1,4-1,,,
47.86188,2,j1-2,,,
47.86188,3,j1-2,,,
47.86188,4,j1-2,,,
47.86188,5,j1-2,,,
48.39516,2,lp2,,,
48.39516,3,lp2,,,
48.39516,4,lp2,,,
48.39516,5,lp2,,,
48.39516,1,j1-2,,,
48.895109999999995,1,2-3,,,
49.56171,1,sj3,,,
50.02833,1,3-4,,,
50.461619999999996,1,j4-1,,,
50.894909999999996,2,2-3,lb1,,
50.894909999999996,3,2-3,rb1,,
51.394859999999994,MOT_mc_stage_color_00,r-flash,,
51.394859999999994,MOT_mc_bg_black_00,b20-65,,
51.394859999999994,MOT_mc_light_up_00,l3_lp,,
51.394859999999994,MOT_mc_light_center_00,l3,,
51.394859999999994,MOT_mc_light_under_00,l2,,
51.394859999999994,4,2-3,lb1,,
51.394859999999994,1,1-2,,,
51.394859999999994,5,2-3,rb1,,
51.82815,3,w3,,,
51.82815,2,w3,,,
51.89481,2,lp3,,,
51.89481,3,lp3,,,
51.89481,4,lp3,,,
51.89481,5,lp3,,,
51.89481,1,,l1,,
52.3281,1,w2,,,
52.62807,1,,l2,,
52.994699999999995,1,2-3,,,
53.394659999999995,1,3-4,,,
53.86128,2,j3-4,,,
53.86128,3,j3-4,,,
53.86128,4,j3-4,,,
53.86128,5,j3-4,,,
54.09459,MOT_mc_stage_color_00,y-flash,,
54.194579999999995,1,,lb1,,
54.3279,1,w4,,,
54.3279,2,lp4,,,
54.3279,3,lp4,,,
54.3279,4,lp4,,,
54.3279,5,lp4,,,
54.86118,1,,lb0,,
55.19448,1,sj4,,,
55.49445,1,j4-1,,,
55.861079999999994,1,1-2,,,
56.161049999999996,1,2-3,,,
56.561009999999996,1,sj3,,,
56.960969999999996,1,hj3,,,
57.060959999999994,MOT_mc_stage_color_00,b-flash,,
57.060959999999994,2,,,,L0
57.060959999999994,3,,,,L0
57.060959999999994,4,,,,L0
57.060959999999994,5,,,,L0
57.060959999999994,2,4-1,,,
57.060959999999994,3,4-1,,,
57.460919999999994,4,4-1,,,
57.460919999999994,5,4-1,,,
57.9942,3,w1,,,
57.9942,2,w1,,,
58.02753,2,,,,D20
58.02753,3,,,,D20
58.02753,4,,,,D20
58.02753,5,,,,D20
58.02753,2,1-2,,,
58.02753,3,1-2,,,
58.02753,4,1-2,,,
58.02753,5,1-2,,,
58.02753,1,hj3,,,
58.56081,1,3-4,,,
58.86078,1,4-1,,,
58.96077,5,w2,,,
58.96077,4,w2,,,
58.96077,3,w2,,,
58.96077,2,w2,,,
59.3274,1,j1-2,,,
59.927339999999994,MOT_mc_stage_color_00,r-flash,,
59.927339999999994,2,,,,L0
59.927339999999994,3,,,,L0
59.927339999999994,4,,,,L0
59.927339999999994,5,,,,L0
59.927339999999994,4,2-3,,,
59.927339999999994,5,2-3,,,
60.293969999999995,2,2-3,,,
60.293969999999995,3,2-3,,,
60.39396,1,w2,,,
60.79392,2,,,,D20
60.79392,3,,,,D20
60.79392,4,,,,D20
60.79392,5,,,,D20
60.79392,2,3-4,,,
60.79392,3,3-4,,,
60.79392,4,3-4,,,
60.79392,5,3-4,,,
60.79392,1,j2-3,,,
61.19388,1,hj3,,,
61.6605,1,3-4,,,
61.72716,5,w4,,,
61.72716,4,w4,,,
61.72716,3,w4,,,
61.72716,2,w4,,,
61.9938,2,4-1,,,
61.9938,3,4-1,,,
61.9938,4,4-1,,,
61.9938,5,4-1,,,
61.9938,1,4-1,,,
62.327099999999994,2,hj1,,,
62.327099999999994,3,hj1,,,
62.327099999999994,4,hj1,,,
62.327099999999994,5,hj1,,,
62.327099999999994,1,hj1,,,
62.92704,2,lp1,,,
62.92704,3,lp1,,,
62.92704,4,lp1,,,
62.92704,5,lp1,,,
62.92704,1,lp1,,,
65.62677,MOT_mc_stage_color_00,y-flash,,
65.62677,2,1-2,,,
65.62677,3,1-2,,,
65.62677,1,hj1,,,
66.22671,MOT_mc_stage_color_00,b-flash,,
66.22671,4,1-2,,,
66.22671,5,1-2,,,
66.22671,1,1-2,,,
66.56000999999999,3,w2,,,
66.56000999999999,2,w2,,,
66.79332,MOT_mc_stage_color_00,r-flash,,
66.79332,2,sj2,,,
66.79332,3,sj2,,,
66.79332,4,sj2,,,
66.79332,5,sj2,,,
66.79332,1,sp2-3,,,
67.29326999999999,5,w2,,,
67.29326999999999,4,w2,,,
67.29326999999999,3,w2,,,
67.29326999999999,2,w2,,,
67.3266,2,2-3,,,
67.3266,3,2-3,,,
67.3266,4,2-3,,,
67.3266,5,2-3,,,
67.3266,1,hj3,,,
67.95987,MOT_mc_bg_black_00,b65-20,,
67.95987,MOT_mc_speaker_00,temp2,,
67.95987,MOT_mc_light_up_00,l4,,
67.95987,MOT_mc_light_center_00,l3,,
67.95987,MOT_mc_light_under_00,l1,,
67.95987,2,lp3,,,
67.95987,3,lp3,,,
67.95987,4,lp3,,,
67.95987,5,lp3,,,
67.95987,1,3-4,l1,,Lbl
68.3265,1,hj4,,,
68.39316,MOT_mc_stage_color_00,y-flash,,
68.85978,1,j4-1,,,
69.22641,1,1-2,,,
69.62637,1,2-3,,,
70.09299,1,3-4,,,
70.59294,1,hj4,,,
70.95957,MOT_mc_stage_color_00,b-flash,,
70.95957,2,,,,L0
70.95957,3,,,,L0
70.95957,4,,,,L0
70.95957,5,,,,L0
70.95957,2,j3-4,,,
70.95957,3,j3-4,,,
70.95957,4,j3-4,,,
70.95957,5,j3-4,,,
71.35952999999999,2,,,,D20
71.35952999999999,3,,,,D20
71.35952999999999,4,,,,D20
71.35952999999999,5,,,,D20
71.62617,2,lp4,,,
71.62617,3,lp4,,,
71.62617,4,lp4,,,
71.62617,5,lp4,,,
71.62617,1,4-1,lb0,,
72.09279,1,1-2,,,
72.59273999999999,1,sj2,,,
73.09268999999999,1,w2,,,
73.52597999999999,1,2-3,r1,,
74.12592,1,3-4,,,
74.49255,1,4-1,,,
74.85918,1,1-2,,,
75.25914,1,j2-3,,,
75.75909,1,sj3,,,
76.25904,1,hj3,,,
76.72565999999999,MOT_mc_stage_color_00,r-flash,,
76.72565999999999,2,,,,L0
76.72565999999999,3,,,,L0
76.72565999999999,4,,,,L0
76.72565999999999,5,,,,L0
76.72565999999999,2,j4-1,,,
76.72565999999999,3,j4-1,,,
76.72565999999999,4,j4-1,,,
76.72565999999999,5,j4-1,,,
77.12562,2,,,,D20
77.12562,3,,,,D20
77.12562,4,,,,D20
77.12562,5,,,,D20
77.12562,1,3-4,,,
77.3256,2,lp1,,,
77.3256,3,lp1,,,
77.3256,4,lp1,,,
77.3256,5,lp1,,,
77.75889,1,4-1,,,
78.29217,1,j1-2,,,
79.35873,1,2-3,rb0,,Lbl
79.89201,1,j3-4,,,
80.29196999999999,1,4-1,,,
80.62527,1,1-2,,,
81.05856,1,j2-3,,,
81.59183999999999,1,sj3,,,
82.05846,1,hj3,,,
82.39175999999999,MOT_mc_stage_color_00,y-flash,,
82.39175999999999,2,,,,L0
82.39175999999999,3,,,,L0
82.39175999999999,4,,,,L0
82.39175999999999,5,,,,L0
82.39175999999999,2,j1-2,,,
82.39175999999999,3,j1-2,,,
82.39175999999999,4,j1-2,,,
82.39175999999999,5,j1-2,,,
82.75838999999999,2,,,,D20
82.75838999999999,3,,,,D20
82.75838999999999,4,,,,D20
82.75838999999999,5,,,,D20
83.05836,2,lp2,,,
83.05836,3,lp2,,,
83.05836,4,lp2,,,
83.05836,5,lp2,,,
83.05836,1,3-4,,,
83.52498,1,4-1,,,
83.85828,MOT_mc_stage_color_00,b-flash,,
83.85828,1,sp1-2,,,
84.79151999999999,MOT_mc_stage_color_00,r-flash,,
84.79151999999999,1,hj2,,,
85.42479,1,2-3,r1,,
85.85808,1,3-4,,,
86.32469999999999,MOT_mc_stage_color_00,y-flash,,
86.32469999999999,1,hj4,,,
86.658,2,j2-3,,,
86.658,3,j2-3,,,
86.658,4,j2-3,,,
86.658,5,j2-3,,,
86.92464,1,4-1,rb0,,
87.35793,1,1-2,l1,,
87.72456,5,w3,,,
87.72456,4,w3,,,
87.72456,3,w3,,,
87.72456,2,w3,,,
87.75788999999999,MOT_mc_stage_color_00,b-flash,,
87.75788999999999,1,hj2,,,
87.92454,2,j3-4,,,
87.92454,3,j3-4,,,
87.92454,4,j3-4,,,
87.92454,5,j3-4,,,
88.25784,1,2-3,lb0,,
