0.03333,MOT_mc_bg_black_00,seat100-0,,
3.3329999999999997,MOT_mc_bg_black_00,b80-45_2,,
3.4663199999999996,MOT_mc_speaker_00,temp1,,
3.5663099999999996,1,1-2,,,
3.89961,2,1-2,,,
3.89961,3,1-2,,,
4.2329099999999995,4,1-2,,,
4.2329099999999995,5,1-2,,,
4.49955,1,w2,,,
4.56621,1,2-3,,,
4.56621,2,2-3,,,
4.56621,3,2-3,,,
4.56621,4,2-3,,,
4.56621,5,2-3,,,
4.899509999999999,1,j3-4,,,
4.899509999999999,2,j3-4,,,
4.899509999999999,3,j3-4,,,
4.899509999999999,4,j3-4,,,
4.899509999999999,5,j3-4,,,
5.3994599999999995,1,4-1,,,
5.3994599999999995,2,4-1,,,
5.3994599999999995,3,4-1,,,
5.3994599999999995,4,4-1,,,
5.3994599999999995,5,4-1,,,
5.73276,4,1-2,,,
5.73276,5,1-2,,,
6.066059999999999,2,1-2,,,
6.066059999999999,3,1-2,,,
6.3327,1,w1,,,
6.39936,1,1-2,,,
6.6659999999999995,5,w2,,,
6.6659999999999995,4,w2,,,
6.73266,1,sj2,,,
6.73266,2,sj2,,,
6.73266,3,sj2,,,
6.9993,4,sj2,,,
6.9993,5,sj2,,,
7.232609999999999,3,w2,,,
7.232609999999999,2,w2,,,
7.232609999999999,1,w2,,,
7.232609999999999,1,,,f1,
7.332599999999999,MOT_mc_stage_color_00,b-flash,,
7.49925,5,w2,,,
7.49925,4,w2,,,
7.732559999999999,1,2-3,,,
8.065859999999999,1,hj3,,,
8.565809999999999,1,3-4,,b0,
8.565809999999999,2,2-3,,,
8.565809999999999,3,2-3,,,
8.565809999999999,4,2-3,,,
8.565809999999999,5,2-3,,,
8.59914,1,,,,D20
8.59914,2,,,,D20
8.59914,3,,,,D20
8.59914,4,,,,D20
8.59914,5,,,,D20
8.69913,MOT_mc_bg_black_00,b45-65,,
8.69913,MOT_mc_light_under_00,l3,,
8.69913,MOT_mc_light_up_00,l2,,
8.69913,MOT_mc_stage_color_00,y-flash,,
9.23241,1,sp4-1,,,
9.49905,5,w3,,,
9.49905,4,w3,,,
9.49905,3,w3,,,
9.49905,2,w3,,,
9.56571,2,sp3-4,,,
9.56571,3,sp3-4,,,
