0.03333,MOT_mc_bg_black_00,seat100-0,,
2.83305,MOT_mc_light_up_00,l2,,
2.83305,MOT_mc_light_center_00,l1,,
2.83305,MOT_mc_light_under_00,l1,,
2.83305,MOT_mc_speaker_00,temp2,,
2.83305,MOT_mc_bg_black_00,b65-20,,
2.83305,1,,,,L0
2.83305,2,,,,D40
2.83305,3,,,,D40
2.83305,4,,,,D40
2.83305,5,,,,D40
2.83305,MOT_mc_stage_color_00,b-flash,,
2.83305,1,1-2,,,
2.83305,2,1-2,,,
2.83305,3,1-2,,,
2.83305,4,1-2,l1,,
2.83305,5,1-2,r1,,
3.16635,1,2-3,,f1,
3.16635,2,2-3,l1,,
3.16635,3,2-3,r1,,
3.16635,4,2-3,,,
3.16635,5,2-3,,,
3.6662999999999997,MOT_mc_stage_color_00,y-flash,,
3.6662999999999997,1,j3-4,,,
3.6662999999999997,2,j3-4,,,
3.6662999999999997,3,j3-4,,,
3.6662999999999997,4,j3-4,,,
3.6662999999999997,5,j3-4,,,
4.16625,4,4-1,,,
4.16625,5,4-1,,,
4.26624,2,4-1,,,
4.26624,3,4-1,,,
4.3328999999999995,1,4-1,,,
4.6662,1,1-2,,,
4.6662,2,1-2,,,
4.6662,3,1-2,,,
4.6662,4,1-2,,,
4.6662,5,1-2,,,
4.86618,MOT_mc_stage_color_00,r-flash,,
4.999499999999999,1,2-3,,,
4.999499999999999,2,2-3,,,
4.999499999999999,3,2-3,,,
4.999499999999999,4,2-3,,,
4.999499999999999,5,2-3,,,
5.3328,1,j3-4,,,
5.43279,2,j3-4,,,
5.43279,3,j3-4,,,
5.53278,4,j3-4,,,
5.53278,5,j3-4,,,
6.03273,1,j4-1,,,
6.03273,2,j4-1,,,
6.03273,3,j4-1,,,
6.03273,4,j4-1,,,
6.03273,5,j4-1,,,
6.19938,MOT_mc_stage_color_00,b-flash,,
6.53268,1,1-2,,,
6.53268,2,1-2,,,
6.53268,3,1-2,,,
6.53268,4,1-2,,,
6.53268,5,1-2,,,
6.8659799999999995,4,j2-3,,,
6.8659799999999995,5,j2-3,,,
6.9659699999999996,2,j2-3,,,
6.9659699999999996,3,j2-3,,,
7.06596,1,j2-3,,,
7.9325399999999995,5,w3,,,
7.9325399999999995,4,w3,,,
7.9992,MOT_mc_stage_color_00,y-flash,,
7.9992,2,j3-4,,,
7.9992,5,j3-4,,,
8.03253,3,w3,,,
8.13252,1,w3,,,
8.13252,3,j3-4,,,
8.13252,4,j3-4,,,
8.29917,1,j3-4,,,
8.49915,4,4-1,,,
8.49915,5,4-1,,,
8.63247,3,4-1,,,
8.63247,2,4-1,,,
8.73246,MOT_mc_stage_color_00,r-flash,,
8.79912,1,4-1,,,
9.36573,1,1-2,,,
9.36573,2,1-2,,,
9.36573,3,1-2,,,
9.36573,4,1-2,,,
9.36573,5,1-2,,,
9.699029999999999,1,2-3,,,
9.699029999999999,2,2-3,,,
9.699029999999999,3,2-3,,,
9.699029999999999,4,2-3,,,
9.699029999999999,5,2-3,,,
10.198979999999999,1,3-4,,,
10.198979999999999,2,3-4,,,
10.198979999999999,3,3-4,,,
10.198979999999999,4,3-4,,,
10.198979999999999,5,3-4,,,
10.798919999999999,MOT_mc_stage_color_00,b-flash,,
10.798919999999999,4,j4-1,,,
10.798919999999999,5,j4-1,,,
11.13222,3,w4,,,
11.13222,2,w4,,,
11.13222,1,w4,,,
11.23221,2,j4-1,,,
11.23221,3,j4-1,,,
11.298869999999999,MOT_mc_stage_color_00,y-flash,,
11.63217,1,j4-1,,,
11.79882,MOT_mc_stage_color_00,r-flash,,
11.86548,5,w1,,,
11.86548,4,w1,,,
