0.03333,MOT_mc_bg_black_00,seat100-0,,
1.8331499999999998,MOT_mc_bg_black_00,b80-65,,
2.13312,MOT_mc_stage_color_00,b-flash,,
2.13312,MOT_mc_speaker_00,temp1,,
2.13312,MOT_mc_light_under_00,l3,,
2.13312,1,1-2,,,
2.13312,2,1-2,,,
2.13312,3,1-2,,,
2.13312,1,,,,D20
2.13312,2,,,,D20
2.13312,3,,,,D20
2.13312,4,,,,D20
2.13312,5,,,,D20
2.3997599999999997,4,1-2,,,
2.3997599999999997,5,1-2,,,
2.83305,1,2-3,,,
2.83305,2,2-3,,,
2.83305,3,2-3,,,
2.83305,4,2-3,,,
2.83305,5,2-3,,,
3.49965,2,,l1,,
3.49965,3,,r1,,
3.49965,4,,l1,,
3.49965,5,,r1,,
3.7662899999999997,5,w3,,,
3.7662899999999997,4,w3,,,
3.7662899999999997,3,w3,,,
3.7662899999999997,2,w3,,,
3.7662899999999997,1,w3,,,
4.16625,3,j3-4,,,
4.16625,5,j3-4,,,
4.49955,1,j3-4,,,
4.86618,2,j3-4,,,
4.86618,4,j3-4,,,
5.23281,5,w4,,,
5.23281,3,w4,,,
5.56611,1,w4,,,
5.6661,1,4-1,,,
5.6661,2,4-1,,,
5.6661,3,4-1,,,
5.6661,4,4-1,,,
5.6661,5,4-1,,,
6.466019999999999,2,,lb0,,
6.466019999999999,3,,rb0,,
6.466019999999999,4,,lb0,,
6.466019999999999,5,,rb0,,
6.59934,5,w1,,,
6.59934,4,w1,,,
6.59934,3,w1,,,
6.59934,2,w1,,,
6.59934,1,w1,,,
7.06596,1,1-2,,,
7.06596,2,1-2,,,
7.06596,3,1-2,,,
7.06596,4,1-2,,,
7.06596,5,1-2,,,
7.732559999999999,1,j2-3,,,
7.732559999999999,4,j2-3,,,
7.732559999999999,5,j2-3,,,
7.9992,3,w2,,,
7.9992,2,j2-3,,,
7.9992,3,j2-3,,,
8.43249,MOT_mc_bg_black_00,b65-45,,
8.465819999999999,MOT_mc_light_up_00,l1,,
8.465819999999999,MOT_mc_light_center_00,l1,,
8.49915,2,sort,-500,
8.49915,3,sort,-500,
8.49915,1,3-4,,f1,
8.49915,1,,,,L0
8.565809999999999,MOT_mc_stage_color_00,b-flash,,
8.79912,5,w3,,,
8.79912,4,w3,,,
8.9991,1,j4-1,,,
9.06576,3,w3,,,
9.06576,2,w3,,,
9.799019999999999,1,,r1,,
9.96567,MOT_mc_stage_color_00,b-flash,,
10.03233,1,1-2,,,
10.3323,1,2-3,rb0,,
10.6656,1,hj3,,,
11.46552,MOT_mc_stage_color_00,b-flash,,
11.46552,1,3-4,l1,,
12.032129999999999,1,4-1,,,
12.032129999999999,2,3-4,,,
12.032129999999999,3,3-4,,,
12.232109999999999,MOT_mc_stage_color_00,b-flash,,
12.632069999999999,1,1-2,,,
12.632069999999999,4,3-4,,,
12.632069999999999,5,3-4,,,
12.76539,MOT_mc_stage_color_00,b-flash,,
12.96537,3,w4,,,
12.96537,2,w4,,,
12.96537,1,2-3,lb0,,
13.331999999999999,1,hj3,,,
13.331999999999999,2,hj4,,,
13.331999999999999,3,hj4,,,
13.331999999999999,4,hj4,,,
13.331999999999999,5,hj4,,,
13.39866,MOT_mc_stage_color_00,b-flash,,
14.265239999999999,MOT_mc_bg_black_00,b45-20,,
14.265239999999999,MOT_mc_light_up_00,l3,,
14.265239999999999,MOT_mc_light_under_00,l2,,
14.265239999999999,1,3-4,,,
14.265239999999999,2,4-1,,,
14.265239999999999,3,4-1,,,
14.265239999999999,4,4-1,,,
14.265239999999999,5,4-1,,,
14.3319,MOT_mc_stage_color_00,b-flash,,
14.59854,1,4-1,,,
15.09849,1,j1-2,,,
15.19848,5,w1,,,
15.19848,4,w1,,,
15.19848,3,w1,,,
15.19848,2,w1,,,
15.565109999999999,1,sp2-3,,,
16.09839,1,j3-4,,,
16.09839,2,1-2,,,
16.09839,3,1-2,,,
16.09839,4,1-2,,,
16.09839,5,1-2,,,
16.96497,1,4-1,r1,,
17.03163,5,w2,,,
17.03163,4,w2,,,
17.03163,3,w2,,,
17.03163,2,w2,,,
17.164949999999997,MOT_mc_stage_color_00,b-flash,,
17.29827,1,lp1,,,
17.83155,1,1-2,,,
18.29817,1,2-3,,,
18.43149,MOT_mc_stage_color_00,b-flash,,
18.63147,1,3-4,rb0,,
18.964769999999998,1,j4-1,,,
19.13142,2,j2-3,,,
19.13142,3,j2-3,,,
19.29807,4,j2-3,,,
19.29807,5,j2-3,,,
19.564709999999998,1,hj1,,,
19.63137,MOT_mc_stage_color_00,b-flash,,
19.93134,2,3-4,,,
19.93134,3,3-4,,,
19.93134,4,3-4,,,
19.93134,5,3-4,,,
20.13132,MOT_mc_stage_color_00,b-flash,,
20.29797,1,1-2,l1,,
20.797919999999998,1,2-3,,,
20.86458,5,w4,,,
20.86458,4,w4,,,
20.86458,3,w4,,,
20.86458,2,w4,,,
21.16455,1,3-4,lb0,,
21.73116,1,4-1,,,
21.73116,2,4-1,,,
21.73116,3,4-1,,,
21.73116,4,4-1,,,
21.73116,5,4-1,,,
22.06446,1,lp1,,,
22.6644,5,w1,,,
22.6644,4,w1,,,
22.6644,3,w1,,,
22.6644,2,w1,,,
22.797719999999998,1,sp1-2,,,
22.86438,MOT_mc_stage_color_00,b-flash,,
23.430989999999998,1,hj2,,,
23.430989999999998,2,1-2,,,
23.430989999999998,3,1-2,,,
23.430989999999998,4,1-2,,,
23.430989999999998,5,1-2,,,
23.59764,MOT_mc_stage_color_00,b-flash,,
23.9976,1,2-3,,,
24.36423,5,w2,,,
24.36423,4,w2,,,
24.36423,3,w2,,,
24.36423,2,w2,,,
24.49755,1,j3-4,,,
24.53088,MOT_mc_stage_color_00,b-flash,,
24.96417,4,j2-3,,,
24.96417,5,j2-3,,,
25.09749,2,j2-3,,,
25.09749,3,j2-3,,,
25.230809999999998,1,j4-1,,,
25.3308,MOT_mc_stage_color_00,b-flash,,
25.697429999999997,MOT_mc_bg_black_00,b20-65,,
25.73076,1,1-2,,,
25.73076,2,3-4,,,
25.73076,3,3-4,,,
25.73076,4,3-4,,,
25.73076,5,3-4,,,
25.83075,MOT_mc_stage_color_00,b-flash,,
25.96407,MOT_mc_bg_black_00,b65-45,,
26.16405,1,2-3,,,
26.497349999999997,1,lp3,,,
26.663999999999998,5,w4,,,
26.663999999999998,4,w4,,,
26.663999999999998,3,w4,,,
26.663999999999998,2,w4,,,
27.13062,1,j3-4,,,
27.19728,MOT_mc_stage_color_00,b-flash,,
27.43059,2,4-1,,,
27.43059,3,4-1,,,
27.43059,4,4-1,,,
27.43059,5,4-1,,,
27.76389,1,4-1,r1,,
28.36383,5,w1,,,
28.36383,4,w1,,,
28.36383,3,w1,,,
28.36383,2,w1,,,
28.59714,2,1-2,l1,,
28.59714,3,1-2,r1,,
28.59714,4,1-2,l1,,
28.59714,5,1-2,r1,,
28.63047,MOT_mc_stage_color_00,b-flash,,
28.697129999999998,1,w1,,,
29.130419999999997,1,j1-2,,,
29.530379999999997,5,w2,,,
29.530379999999997,4,w2,,,
29.530379999999997,3,w2,,,
29.530379999999997,2,w2,,,
29.59704,1,2-3,,,
29.963669999999997,1,3-4,,,
30.096989999999998,MOT_mc_stage_color_00,b-flash,,
30.296969999999998,1,,rb0,,
30.296969999999998,2,2-3,,,
30.296969999999998,3,2-3,,,
30.296969999999998,4,2-3,,,
30.296969999999998,5,2-3,,,
30.63027,1,4-1,,,
31.130219999999998,1,1-2,,,
31.23021,5,w3,,,
31.23021,4,w3,,,
31.23021,3,w3,,,
31.23021,2,w3,,,
31.43019,1,j2-3,,,
31.63017,2,j3-4,,,
31.63017,3,j3-4,,,
31.6635,MOT_mc_stage_color_00,b-flash,,
31.86348,4,j3-4,,,
31.86348,5,j3-4,,,
32.09679,1,3-4,,,
32.19678,MOT_mc_stage_color_00,b-flash,,
32.49675,1,4-1,,,
32.696729999999995,3,w4,,,
32.696729999999995,2,w4,,,
32.83005,1,j1-2,,,
32.93004,5,w4,,,
32.93004,4,w4,,,
33.13002,4,j4-1,,,
33.13002,5,j4-1,,,
33.16335,MOT_mc_stage_color_00,b-flash,,
33.29667,2,j4-1,,,
33.29667,3,j4-1,,,
33.56331,1,j2-3,,,
33.6633,MOT_mc_stage_color_00,b-flash,,
34.12992,1,3-4,l1,,
34.19658,5,w1,,,
34.19658,4,w1,,,
34.36323,3,w1,,,
34.36323,2,w1,,,
34.52988,1,4-1,,,
34.89651,1,j1-2,,,
34.89651,2,1-2,lb0,,
34.89651,3,1-2,rb0,,
34.89651,4,1-2,lb0,,
34.89651,5,1-2,rb0,,
35.063159999999996,MOT_mc_stage_color_00,b-flash,,
35.529779999999995,1,2-3,,,
35.82975,5,w2,,,
35.82975,4,w2,,,
35.82975,3,w2,,,
35.82975,2,w2,,,
35.96307,1,,lb0,,
36.39636,1,j3-4,,,
36.39636,2,2-3,,,
36.39636,3,2-3,,,
36.39636,4,2-3,,,
36.39636,5,2-3,,,
36.56301,MOT_mc_stage_color_00,b-flash,,
36.96297,1,4-1,r1,,
36.96297,2,3-4,,,
36.96297,3,3-4,,,
37.162949999999995,MOT_mc_stage_color_00,b-flash,,
37.3296,5,w3,,,
37.3296,4,w3,,,
37.3296,1,1-2,,,
37.3296,4,3-4,,,
37.3296,5,3-4,,,
37.6629,1,2-3,rb0,,
37.896209999999996,3,w4,,,
37.896209999999996,2,w4,,,
37.9962,1,3-4,,,
37.9962,2,4-1,l1,,
37.9962,3,4-1,r1,,
37.9962,4,4-1,l1,,
37.9962,5,4-1,r1,,
38.396159999999995,1,sp4-1,,,
38.396159999999995,2,sp1-2,,,
38.396159999999995,3,sp1-2,,,
38.396159999999995,4,sp1-2,,,
38.396159999999995,5,sp1-2,,,
38.46282,MOT_mc_stage_color_00,b-flash,,
39.76269,1,j1-2,,,
39.86268,MOT_mc_stage_color_00,b-flash,,
40.16265,2,j2-3,,,
40.16265,3,j2-3,,,
40.16265,4,j2-3,,,
40.16265,5,j2-3,,,
40.26264,MOT_mc_stage_color_00,r-flash,,
40.59594,1,j2-3,,,
40.62927,2,3-4,lb0,,
40.62927,3,3-4,rb0,,
40.62927,4,3-4,lb0,,
40.62927,5,3-4,rb0,,
40.69593,MOT_mc_stage_color_00,y-flash,,
41.12922,1,3-4,,,
41.12922,2,4-1,,,
41.12922,3,4-1,,,
41.39586,1,4-1,,,
41.39586,2,1-2,,,
41.39586,3,1-2,,,
41.39586,4,4-1,,,
41.39586,5,4-1,,,
41.46252,MOT_mc_bg_black_00,b45-20,,
41.46252,MOT_mc_light_up_00,l2,,
41.46252,MOT_mc_light_center_00,l2,,
41.46252,MOT_mc_light_under_00,l1,,
41.52918,MOT_mc_stage_color_00,b-flash,,
41.72916,1,lp1,,,
42.19578,1,1-2,,,
42.3291,5,w1,,,
42.3291,4,w1,,,
42.3291,3,w2,,,
42.3291,2,w2,,,
42.46242,1,j2-3,,,
42.96237,1,3-4,,,
42.96237,2,2-3,,,
42.96237,3,2-3,,,
42.96237,4,1-2,,,
42.96237,5,1-2,,,
43.02903,MOT_mc_stage_color_00,b-flash,,
43.29567,1,,r1,,
43.29567,2,,r1,,
43.29567,3,,r1,,
43.29567,4,,r1,,
43.29567,5,,r1,,
43.36233,MOT_mc_stage_color_00,y-flash,,
43.628969999999995,1,,r2,,
43.628969999999995,2,,r2,,
43.628969999999995,3,,r2,,
43.628969999999995,4,,r2,,
43.628969999999995,5,,r2,,
43.69563,MOT_mc_stage_color_00,b-flash,,
43.89561,5,w2,,,
43.89561,4,w2,,,
43.89561,3,w3,,,
43.89561,2,w3,,,
43.89561,1,w4,,,
44.16225,1,j4-1,,,
44.428889999999996,MOT_mc_stage_color_00,b-flash,,
44.96217,1,1-2,,,
44.96217,2,3-4,,,
44.96217,3,3-4,,,
45.36213,1,2-3,,,
45.36213,4,2-3,,,
45.36213,5,2-3,,,
45.82875,1,3-4,,,
45.82875,2,4-1,,,
45.82875,3,4-1,,,
45.82875,4,3-4,,,
45.82875,5,3-4,,,
45.89541,MOT_mc_stage_color_00,b-flash,,
46.19538,1,,rb1,,
46.19538,2,,rb1,,
46.19538,3,,rb1,,
46.19538,4,,rb1,,
46.19538,5,,rb1,,
46.26204,MOT_mc_stage_color_00,r-flash,,
46.52868,1,,rb0,,
46.52868,2,,rb0,,
46.52868,3,,rb0,,
46.52868,4,,rb0,,
46.52868,5,,rb0,,
46.59534,MOT_mc_stage_color_00,b-flash,,
46.76199,5,w4,,,
46.76199,4,w4,,,
46.76199,3,w1,,,
46.76199,2,w1,,,
46.76199,1,w4,,,
47.12862,1,sp4-1,,,
47.36193,MOT_mc_stage_color_00,b-flash,,
47.76189,1,j1-2,,,
48.19518,1,2-3,,,
48.62847,1,3-4,,,
48.69513,MOT_mc_stage_color_00,b-flash,,
48.9951,1,4-1,l1,,
48.9951,2,1-2,,,
