0.03333,MOT_all,cut1,,
0.03333,MOT_mc_back_00,lt_1,,
0.03333,MOT_control_all,zoom01,,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,4,,,,D40
0.03333,5,,,,D40
0.03333,MOT_mc_bg_black_00,seat100-0,,
3.36633,1,1-2,,,
3.7662899999999997,2,1-2,,,
3.7662899999999997,3,1-2,,,
3.9662699999999997,4,1-2,,,
3.9662699999999997,5,1-2,,,
4.19958,2,2-3,,,
4.19958,3,2-3,,,
4.29957,1,w2,,,
4.899509999999999,5,w2,,,
4.899509999999999,4,w2,,,
5.13282,3,w3,,,
5.13282,2,w3,,,
5.16615,1,2-3,,,
5.56611,2,3-4,,,
5.56611,3,3-4,,,
5.79942,4,2-3,,,
5.79942,5,2-3,,,
6.09939,1,w3,,,
6.49935,3,w4,,,
6.49935,2,w4,,,
6.6659999999999995,2,4-1,,,
6.6659999999999995,3,4-1,,,
6.73266,5,w3,,,
6.73266,4,w3,,,
7.032629999999999,1,3-4,,,
7.59924,3,w1,,,
7.59924,2,w1,,,
7.96587,1,w4,,,
8.165849999999999,2,1-2,,,
8.165849999999999,3,1-2,,,
8.29917,MOT_mc_stage_color_00,b-flash,,
8.43249,4,3-4,,,
8.43249,5,3-4,,,
8.63247,1,4-1,,,
8.83245,4,4-1,,,
8.83245,5,4-1,,,
8.9991,2,2-3,,,
8.9991,3,2-3,,,
9.13242,1,1-2,,,
9.29907,4,1-2,,,
9.29907,5,1-2,,,
9.93234,3,w3,,,
9.93234,2,w3,,,
9.998999999999999,2,3-4,,,
9.998999999999999,3,3-4,,,
10.06566,1,w2,,,
10.16565,MOT_all,cut2,,
10.16565,MOT_mc_stage_color_00,y-flash,,
10.16565,1,j2-3,,,
10.16565,4,j2-3,,,
10.16565,5,j2-3,,,
10.898909999999999,1,j3-4,,,
10.898909999999999,4,j3-4,,,
10.898909999999999,5,j3-4,,,
10.93224,3,w4,,,
10.93224,2,w4,,,
11.26554,MOT_mc_stage_color_00,r-flash,,
11.3322,2,j4-1,,,
11.3322,3,j4-1,,,
11.96547,5,w4,,,
11.96547,4,w4,,,
11.96547,1,w4,,,
12.09879,2,j1-2,,,
12.09879,3,j1-2,,,
12.432089999999999,MOT_mc_stage_color_00,b-flash,,
12.56541,1,j4-1,,,
12.56541,4,j4-1,,,
12.56541,5,j4-1,,,
12.96537,2,j2-3,,,
12.96537,3,j2-3,,,
13.26534,MOT_mc_stage_color_00,y-flash,,
13.631969999999999,5,w1,,,
13.631969999999999,4,w1,,,
13.631969999999999,1,w1,,,
13.76529,1,j1-2,,,
13.76529,4,j1-2,,,
13.76529,5,j1-2,,,
14.03193,3,w3,,,
14.03193,2,w3,,,
14.23191,MOT_mc_stage_color_00,r-flash,,
14.3319,2,j3-4,,,
14.3319,3,j3-4,,,
14.59854,1,j2-3,,,
14.59854,4,j2-3,,,
14.59854,5,j2-3,,,
15.13182,1,3-4,,,
15.13182,2,4-1,l1,,
15.13182,3,4-1,r1,,
15.13182,4,3-4,l1,,
15.13182,5,3-4,r1,,
15.53178,1,j4-1,,,
15.53178,2,j1-2,,,
15.53178,3,j1-2,,,
15.53178,4,j4-1,,,
15.53178,5,j4-1,,,
16.16505,1,1-2,,,
16.16505,2,2-3,l2,,
16.16505,3,2-3,r2,,
16.16505,4,1-2,l2,,
16.16505,5,1-2,r2,,
16.56501,1,j2-3,,,
16.56501,2,j3-4,,,
16.56501,3,j3-4,,,
16.56501,4,j2-3,,,
16.56501,5,j2-3,,,
17.131619999999998,2,j4-1,,,
17.131619999999998,3,j4-1,,,
17.39826,1,j3-4,,,
17.39826,4,j3-4,,,
17.39826,5,j3-4,,,
17.79822,2,j1-2,,,
17.79822,3,j1-2,,,
18.3315,1,4-1,,,
18.3315,2,2-3,,,
18.3315,3,2-3,,,
18.3315,4,4-1,,,
18.3315,5,4-1,,,
18.6648,1,1-2,,,
18.6648,2,3-4,,,
18.6648,3,3-4,,,
18.6648,4,1-2,,,
18.6648,5,1-2,,,
19.598039999999997,5,w2,,,
19.598039999999997,4,w2,,,
19.598039999999997,3,w4,,,
19.598039999999997,2,w4,,,
19.598039999999997,1,2-3,,,
19.598039999999997,2,4-1,lb1,,
19.598039999999997,3,4-1,rb1,,
19.598039999999997,4,2-3,lb1,,
19.598039999999997,5,2-3,rb1,,
19.997999999999998,1,j3-4,,,
19.997999999999998,2,j1-2,,,
19.997999999999998,3,j1-2,,,
19.997999999999998,4,j3-4,,,
19.997999999999998,5,j3-4,,,
20.63127,1,4-1,,,
20.63127,2,2-3,lb0,,
20.63127,3,2-3,rb0,,
20.63127,4,4-1,lb0,,
20.63127,5,4-1,rb0,,
21.06456,1,j1-2,,,
21.06456,2,j3-4,,,
21.06456,3,j3-4,,,
21.06456,4,j1-2,,,
21.06456,5,j1-2,,,
21.6645,1,j2-3,,,
21.6645,4,j2-3,,,
21.6645,5,j2-3,,,
21.89781,2,j4-1,,,
21.89781,3,j4-1,,,
22.16445,1,j3-4,,,
22.16445,4,j3-4,,,
22.16445,5,j3-4,,,
22.397759999999998,2,j1-2,,,
22.397759999999998,3,j1-2,,,
22.6644,1,j4-1,,,
22.6644,4,j4-1,,,
22.6644,5,j4-1,,,
22.89771,2,j2-3,,,
22.89771,3,j2-3,,,
23.06436,4,1-2,,,
23.06436,5,1-2,,,
23.36433,2,3-4,,,
23.36433,3,3-4,,,
23.59764,1,1-2,,,
23.9976,5,w2,,,
23.9976,4,w2,,,
24.16425,MOT_control_all,zoom02,,
24.264239999999997,1,j2-3,,,
24.264239999999997,2,,,f1,
24.264239999999997,3,j4-1,,,
24.264239999999997,4,j2-3,,,
24.264239999999997,5,j2-3,,,
24.29757,2,w4,,,
24.53088,MOT_mc_stage_color_00,r-flash,,
24.53088,2,,,,L0
25.09749,2,4-1,,,
25.09749,3,1-2,,,
25.264139999999998,1,3-4,,,
25.264139999999998,4,3-4,,,
25.264139999999998,5,3-4,,,
26.03073,3,w2,,,
26.03073,2,w1,,,
26.097389999999997,1,j4-1,,,
26.097389999999997,2,j1-2,,,
26.097389999999997,3,j2-3,,,
26.097389999999997,4,j4-1,,,
26.097389999999997,5,j4-1,,,
26.697329999999997,1,j1-2,,,
26.697329999999997,2,j2-3,,,
26.697329999999997,3,j3-4,,,
26.697329999999997,4,j1-2,,,
26.697329999999997,5,j1-2,,,
27.463919999999998,1,2-3,,,
27.463919999999998,2,3-4,,,
27.463919999999998,3,4-1,,,
27.463919999999998,4,2-3,,,
27.463919999999998,5,2-3,,,
28.39716,5,w3,,,
28.39716,4,w3,,,
28.39716,3,w1,,,
28.39716,2,w4,,,
28.39716,1,w3,,,
28.9971,2,4-1,r1,,
28.9971,1,3-4,,,
28.9971,3,1-2,,,
28.9971,4,3-4,,,
28.9971,5,3-4,,,
29.330399999999997,2,1-2,r2,,
29.330399999999997,1,4-1,,,
29.330399999999997,3,2-3,,,
29.330399999999997,4,4-1,,,
29.330399999999997,5,4-1,,,
29.76369,1,j1-2,,,
29.76369,2,j2-3,,,
29.76369,3,j3-4,,,
29.76369,4,j1-2,,,
29.76369,5,j1-2,,,
30.26364,1,2-3,,,
30.26364,2,3-4,,,
30.26364,3,4-1,,,
30.26364,4,2-3,,,
30.26364,5,2-3,,,
31.03023,2,4-1,rb1,,
31.03023,1,3-4,r1,,
31.03023,3,1-2,l1,,
31.03023,4,3-4,r1,,
31.03023,5,3-4,l1,,
31.63017,2,1-2,rb0,,
31.63017,1,4-1,rb0,,
31.63017,3,2-3,lb0,,
31.63017,4,4-1,rb0,,
31.63017,5,4-1,lb0,,
32.06346,1,hj1,,,
32.06346,2,hj2,,,
32.06346,3,hj3,,,
32.06346,4,hj1,,,
32.06346,5,hj1,,,
