0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
3.3329999999999997,MOT_mc_bg_black_00,b80-65,,
3.3329999999999997,1,j1-2,,,
3.3329999999999997,2,j1-2,,,
3.3329999999999997,3,j1-2,,,
3.5663099999999996,MOT_mc_stage_color_00,b-flash,,
3.63297,MOT_mc_light_under_00,l1,,
3.79962,1,2-3,,,
3.79962,2,2-3,,,
3.79962,3,2-3,,,
4.26624,1,j3-4,,,
4.26624,2,j3-4,,,
4.26624,3,j3-4,,,
4.6662,1,lp4,,,
4.6662,2,lp4,,,
4.6662,3,lp4,,,
5.3328,1,4-1,,,
5.3328,2,4-1,,,
5.3328,3,4-1,,,
6.166049999999999,1,1-2,,,
6.166049999999999,2,1-2,,,
6.166049999999999,3,1-2,,,
6.53268,1,lp2,,,
6.53268,2,lp2,,,
6.53268,3,lp2,,,
7.06596,1,j2-3,,,
7.06596,2,j2-3,,,
7.06596,3,j2-3,,,
7.532579999999999,1,3-4,,,
7.532579999999999,2,3-4,,,
7.532579999999999,3,3-4,,,
7.9992,1,j4-1,,,
7.9992,2,j4-1,,,
7.9992,3,j4-1,,,
8.39916,1,lp1,,,
8.39916,2,lp1,,,
8.39916,3,lp1,,,
9.06576,1,j1-2,,,
9.06576,2,j1-2,,,
9.06576,3,j1-2,,,
9.46572,1,sj2,,,
9.46572,2,sj2,,,
9.46572,3,sj2,,,
9.899009999999999,1,j2-3,,,
9.96567,3,w2,,,
9.96567,2,w2,,,
10.16565,2,j2-3,,,
10.16565,3,j2-3,,,
10.898909999999999,1,j3-4,,,
10.898909999999999,2,j3-4,,,
10.898909999999999,3,j3-4,,,
10.96557,MOT_mc_bg_black_00,b65-20,,
11.098889999999999,MOT_mc_stage_color_00,b-flash,,
11.13222,MOT_mc_light_up_00,l2,,
11.13222,MOT_mc_light_center_00,l1,,
11.298869999999999,1,sp4-1,,,
11.298869999999999,2,sp4-1,,,
11.298869999999999,3,sp4-1,,,
11.86548,1,j1-2,,,
11.86548,2,j1-2,,,
11.86548,3,j1-2,,,
12.26544,1,sj2,,,
12.26544,2,sj2,,,
12.26544,3,sj2,,,
12.732059999999999,1,j2-3,,,
12.732059999999999,2,j2-3,,,
12.732059999999999,3,j2-3,,,
13.132019999999999,1,lp3,,,
13.132019999999999,2,lp3,,,
13.132019999999999,3,lp3,,,
13.69863,1,3-4,,,
13.69863,2,3-4,,,
13.69863,3,3-4,,,
14.23191,1,4-1,,,
14.23191,2,4-1,,,
14.23191,3,4-1,,,
14.665199999999999,1,j1-2,,,
14.665199999999999,2,1-2,l1,,
14.665199999999999,3,1-2,r1,,
15.13182,1,j2-3,,,
15.13182,2,2-3,l2,,
15.13182,3,2-3,r2,,
15.43179,1,j3-4,,,
15.43179,2,j3-4,,,
15.43179,3,j3-4,,,
15.83175,1,lp4,,,
15.83175,2,lp4,,,
15.83175,3,lp4,,,
16.531679999999998,1,4-1,,,
16.531679999999998,2,4-1,,,
16.531679999999998,3,4-1,,,
16.96497,1,1-2,,,
16.96497,2,1-2,,,
16.96497,3,1-2,,,
17.43159,1,2-3,,,
17.43159,2,2-3,,,
17.43159,3,2-3,,,
17.79822,1,j3-4,,,
17.79822,2,j3-4,,,
17.79822,3,j3-4,,,
18.23151,1,lp4,,,
18.23151,2,lp4,,,
18.23151,3,lp4,,,
19.398059999999997,1,j4-1,,,
19.398059999999997,2,4-1,lb1,,
19.398059999999997,3,4-1,rb1,,
19.964669999999998,1,j1-2,,,
19.964669999999998,2,1-2,lb0,,
19.964669999999998,3,1-2,rb0,,
20.3313,2,,,,D60
