0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
2.23311,1,1-2,,,
2.23311,2,1-2,,,
2.23311,3,1-2,,,
2.23311,4,1-2,,,
2.23311,5,1-2,,,
3.16635,5,w2,,,
3.16635,4,w2,,,
3.16635,3,w2,,,
3.16635,2,w2,,,
3.16635,1,w2,,,
3.5663099999999996,1,2-3,,,
3.5663099999999996,2,2-3,,,
3.5663099999999996,3,2-3,,,
3.5663099999999996,4,2-3,,,
3.5663099999999996,5,2-3,,,
4.49955,5,w3,,,
4.49955,4,w3,,,
4.49955,3,w3,,,
4.49955,2,w3,,,
4.49955,1,w3,,,
4.86618,1,3-4,,,
4.86618,2,3-4,,,
4.86618,3,3-4,,,
4.86618,4,3-4,,,
4.86618,5,3-4,,,
5.46612,1,4-1,,,
5.46612,2,4-1,,,
5.46612,3,4-1,,,
5.46612,4,4-1,,,
5.46612,5,4-1,,,
6.09939,4,1-2,,,
6.09939,5,1-2,,,
6.366029999999999,2,1-2,,,
6.366029999999999,3,1-2,,,
6.39936,1,w1,,,
6.6659999999999995,1,1-2,,,
6.9659699999999996,2,2-3,,,
6.9659699999999996,3,2-3,,,
7.032629999999999,5,w2,,,
7.032629999999999,4,w2,,,
7.26594,4,2-3,,,
7.26594,5,2-3,,,
7.49925,1,2-3,r1,,
7.49925,2,3-4,r1,,
7.49925,3,3-4,r1,,
7.49925,4,3-4,r1,,
7.49925,5,3-4,r1,,
8.065859999999999,1,3-4,,,
8.065859999999999,2,4-1,,,
8.065859999999999,3,4-1,,,
8.065859999999999,4,4-1,,,
8.065859999999999,5,4-1,,,
8.79912,1,4-1,rb0,,
8.79912,2,1-2,rb0,,
8.79912,3,1-2,rb0,,
8.79912,4,1-2,rb0,,
8.79912,5,1-2,rb0,,
9.36573,1,1-2,,,
9.36573,2,2-3,,,
9.36573,3,2-3,,,
9.36573,4,2-3,,,
9.36573,5,2-3,,,
10.098989999999999,1,2-3,,,
10.098989999999999,2,3-4,,,
10.098989999999999,3,3-4,,,
10.098989999999999,4,3-4,,,
10.098989999999999,5,3-4,,,
10.43229,1,3-4,,,
10.43229,2,4-1,,,
10.43229,3,4-1,,,
10.43229,4,4-1,,,
10.43229,5,4-1,,,
10.83225,1,4-1,,,
10.83225,2,1-2,,,
10.83225,3,1-2,,,
10.83225,4,1-2,,,
10.83225,5,1-2,,,
11.49885,1,j1-2,,,
11.49885,2,j2-3,,,
11.49885,3,j2-3,,,
11.49885,4,j2-3,,,
11.49885,5,j2-3,,,
11.832149999999999,1,sp2-3,,,
11.832149999999999,2,sp3-4,,,
11.832149999999999,3,sp3-4,,,
11.832149999999999,4,sp3-4,,,
11.832149999999999,5,sp3-4,,,
14.79852,1,j3-4,,,
14.79852,2,j4-1,,,
14.79852,3,j4-1,,,
14.79852,4,j4-1,,,
14.79852,5,j4-1,,,
15.29847,1,j4-1,,,
15.29847,2,j1-2,,,
15.29847,3,j1-2,,,
15.29847,4,j1-2,,,
15.29847,5,j1-2,,,
15.73176,1,sp1-2,,,
15.73176,2,sp2-3,,,
15.73176,3,sp2-3,,,
15.73176,4,sp2-3,,,
15.73176,5,sp2-3,,,
16.63167,1,j2-3,,,
16.63167,2,j3-4,,,
16.63167,3,j3-4,,,
16.63167,4,j3-4,,,
16.63167,5,j3-4,,,
17.03163,1,sj3,,,
17.03163,4,sj4,,,
17.03163,5,sj4,,,
17.39826,2,sj4,,,
17.39826,3,sj4,,,
17.531579999999998,5,w4,,,
17.531579999999998,4,w4,,,
17.531579999999998,1,w3,,,
17.764889999999998,1,sj3,,,
17.764889999999998,4,sj4,,,
17.764889999999998,5,sj4,,,
17.89821,3,w4,,,
17.89821,2,w4,,,
18.164849999999998,1,j3-4,,,
18.164849999999998,2,j4-1,,,
18.164849999999998,3,j4-1,,,
18.164849999999998,4,j4-1,,,
