0.03333,MOT_all,enishi_cut1,,
0.03333,1,,,,D20
0.03333,2,,,,D20
0.56661,MOT_mc_special_01,cut1_01,,
0.56661,MOT_control_all,enishi_cut1_01,,
1.96647,1,1-2,r1,,
1.96647,2,1-2,l1,,
2.89971,2,w2,,,
2.89971,1,w2,,,
3.29967,MOT_control_all,enishi_cut1_02,,
3.49965,1,2-3,,,
3.49965,2,2-3,,,
4.4328899999999996,2,w3,,,
4.4328899999999996,1,w3,,,
4.49955,1,3-4,,,
4.49955,2,3-4,,,
4.899509999999999,1,w4,,,
4.899509999999999,2,w4,,,
5.89941,1,4-1,r2,,
5.89941,2,4-1,l2,,
6.266039999999999,1,w1,,,
6.266039999999999,2,w1,,,
6.83265,1,1-2,r3,,
6.83265,2,1-2,l3,,
7.232609999999999,1,w2,,,
7.232609999999999,2,w2,,,
7.96587,1,2-3,r4,,
7.96587,2,2-3,l4,,
8.3325,1,w3,,,
8.3325,2,w3,,,
8.96577,MOT_control_all,enishi_cut1_03,,
8.96577,1,3-4,,f1,
8.96577,2,3-4,,f1,
9.3324,1,w4,,,
9.3324,2,w4,,,
9.93234,1,4-1,,,
9.93234,2,4-1,,,
10.298969999999999,1,sj1,,,
10.298969999999999,2,sj1,,,
10.398959999999999,MOT_mc_stage_color_00,petal,,
10.6656,1,1-2,,f2,
10.6656,2,1-2,,f2,
11.26554,1,2-3,r5,,
11.26554,2,2-3,l5,,
11.6655,1,w3,,,
11.6655,2,w3,,,
12.19878,1,3-4,,,
12.19878,2,3-4,,,
12.56541,1,4-1,,,
12.56541,2,4-1,,,
12.932039999999999,1,sp1-2,,,
12.932039999999999,2,sp1-2,,,
14.09859,1,sj2,,,
14.09859,2,sj2,,,
14.465219999999999,1,,rb4,,
14.465219999999999,2,,lb4,,
14.59854,2,w2,,,
14.59854,1,w2,,,
14.79852,1,,rb3,,
15.13182,2,,lb3,,
15.465119999999999,1,,rb2,,
15.765089999999999,2,,lb2,,
16.06506,1,2-3,rb1,,
16.131719999999998,2,2-3,lb1,,
16.56501,1,3-4,rb0,,
16.665,2,3-4,lb0,,
17.03163,MOT_control_all,enishi_cut2_01,,
17.364929999999998,2,4-1,,,
17.364929999999998,2,,,,L0
17.49825,1,w4,,,
17.69823,2,lp1,,,
18.03153,2,,l1,,
18.49815,2,,l2,,
18.964769999999998,2,,l3,,
19.43139,2,,l4,,
19.86468,2,1-2,,,
20.3313,2,lp2,,,
20.76459,2,2-3,,,
21.49785,2,sj3,,,
21.96447,2,3-4,,,
22.46442,2,j4-1,,,
22.9977,2,lp1,,,
23.26434,2,1-2,,b1,
23.69763,2,lp2,,,
24.36423,2,2-3,,f2,
24.73086,2,lp3,,,
25.19748,2,3-4,,,
25.664099999999998,2,4-1,,,
26.097389999999997,2,1-2,,,
26.43069,2,lp2,,,
26.897309999999997,2,,lb3,,
27.463919999999998,2,,lb2,,
27.9972,2,2-3,,,
28.330499999999997,2,lp3,lb1,,
29.097089999999998,2,,lb0,,
29.56371,2,,r1,,
30.330299999999998,2,3-4,,,
30.79692,2,lp4,,,
31.23021,1,,r1,,
31.23021,2,,rb0,,
31.363529999999997,MOT_control_all,enishi_cut2_01_2,,
31.363529999999997,1,,,,L0
31.49685,1,,r2,,
31.49685,2,,l1,,
31.6635,1,4-1,r3,,
31.89681,2,4-1,l2,,
32.13012,1,1-2,r4,,
32.39676,2,1-2,l3,,
32.630069999999996,1,2-3,r5,,
32.86338,2,,l4,,
33.096689999999995,1,3-4,,,
33.33,2,w2,,,
33.42999,1,lp4,,,
33.42999,2,lp2,,,
34.36323,MOT_control_all,enishi_cut2_02,,
34.52988,1,4-1,,,
34.52988,2,w2,,,
34.52988,2,,,,D20
34.89651,1,lp1,rb4,,
35.16315,1,1-2,,,
35.59644,1,2-3,,,
36.12972,1,3-4,,,
36.729659999999996,1,lp4,,,
37.929539999999996,1,4-1,rb3,,
38.396159999999995,1,lp1,rb2,,
38.762789999999995,1,,rb1,,
39.162749999999996,1,,rb0,,
41.3292,1,1-2,,,
41.79582,1,j2-3,,,
42.22911,1,3-4,,,
42.62907,1,lp4,,,
43.09569,1,,r1,,
43.56231,1,,r2,,
43.96227,1,4-1,,,
44.36223,1,lp1,,,
44.96217,MOT_control_all,enishi_cut2_03,,
45.12882,1,1-2,,,
45.195479999999996,2,2-3,,,
45.195479999999996,2,,,,L0
45.72876,1,sj2,,,
45.72876,2,sj3,,,
46.22871,2,w3,,,
46.22871,1,w2,,,
46.26204,1,2-3,,,
46.26204,2,3-4,,,
46.56201,1,lp3,,,
46.56201,2,lp4,,,
47.02863,MOT_mc_back_00,cut4_01,,
47.02863,1,j3-4,,,
47.02863,2,j4-1,,,
47.36193,1,lp4,,,
47.36193,2,lp1,,,
47.46192,MOT_control_all,enishi_cut4_02,,
47.661899999999996,1,sj4,,,
47.89521,2,sj1,,,
48.16185,1,w4,,,
48.16185,1,,rb1,,
48.19518,2,,lb3,,
48.39516,2,w1,,,
48.39516,1,,rb0,,
48.62847,2,,lb2,,
48.895109999999995,1,,l1,,
48.928439999999995,2,,lb1,,
49.46172,MOT_control_all,enishi_cut4_05,,
49.728359999999995,1,4-1,lb0,,
49.728359999999995,2,,,,D20
49.995,1,lp1,,,
50.42829,1,1-2,,,
50.76159,1,lp2,,,
50.961569999999995,1,,r1,,
51.42819,1,,r2,,
51.96147,1,2-3,,,
52.561409999999995,1,3-4,,,
52.961369999999995,1,lp4,,,
54.79452,MOT_control_all,enishi_cut4_06,,
54.994499999999995,2,1-2,,,
54.994499999999995,1,w4,,,
54.994499999999995,1,,,,D20
54.994499999999995,2,,,,L0
55.327799999999996,2,lp2,,,
55.761089999999996,2,2-3,,,
56.02773,2,lp3,,,
56.3277,2,,l2,,
56.660999999999994,2,,l3,,
57.22761,2,,l4,,
57.6609,2,,l5,,
58.294169999999994,2,3-4,,,
58.660799999999995,2,lp4,,,
59.26074,2,4-1,lb4,,
59.69403,2,,lb3,,
60.02733,2,lp1,,,
60.52728,MOT_control_all,enishi_cut4_07,,
60.660599999999995,1,4-1,,,
60.660599999999995,2,w1,,,
60.660599999999995,1,,,,L0
60.660599999999995,2,,,,D20
61.127219999999994,1,,rb1,,
61.527179999999994,1,1-2,rb0,,
61.860479999999995,1,lp2,,,
62.327099999999994,MOT_control_all,enishi_cut4_08,,
62.42709,2,1-2,,,
62.42709,1,w2,,,
62.42709,1,,,,D20
62.42709,2,,,,L0
62.79372,2,,lb2,,
63.060359999999996,2,,lb1,,
63.36033,2,lp2,,,
64.06026,MOT_control_all,enishi_cut4_09,,
64.26024,1,2-3,r1,,
64.26024,2,w2,,,
64.26024,1,,,,L0
64.26024,2,,,,D20
64.6602,1,,r2,,
64.9935,1,lp3,,,
65.92674,1,3-4,rb1,,
66.12671999999999,1,4-1,,,
66.36003,1,1-2,,,
66.66,1,lp2,,,
67.59324,MOT_control_all,enishi_cut4_10,,
67.82655,2,2-3,l2,,
67.82655,1,2-3,r2,,
67.82655,2,,,,L0
68.09318999999999,2,lp3,l3,,
68.09318999999999,1,lp3,r3,,
68.3265,2,,l4,,
68.3265,1,,r4,,
68.42649,1,3-4,,,
68.65979999999999,2,3-4,,,
68.89311,1,4-1,,,
69.12642,2,4-1,,,
69.35973,1,1-2,,,
69.59304,2,1-2,,,
70.12631999999999,1,2-3,,,
70.12631999999999,2,2-3,,,
70.6596,1,j3-4,,,
70.6596,2,j3-4,,,
71.05955999999999,1,w4,,,
71.05955999999999,2,w4,,,
71.39286,2,,lb3,,
71.39286,1,,rb3,,
71.6595,2,,lb2,,
71.6595,1,,rb2,,
71.92614,1,4-1,,,
71.92614,2,4-1,,,
72.25944,1,lp1,,,
72.25944,2,lp1,,,
72.52608,2,,l3,,
72.52608,1,,r3,,
72.82605,1,1-2,,,
73.35933,MOT_control_all,enishi_cut4_03,,
73.39265999999999,2,1-2,,,
73.75929,1,2-3,,,
73.89260999999999,2,2-3,,,
73.9926,MOT_mc_back_00,cut5_01,,
74.15925,1,j3-4,,,
74.15925,2,j3-4,,,
74.45922,MOT_control_all,enishi_cut5_01,,
74.55921,1,4-1,,,
74.55921,2,4-1,,,
74.92584,1,j1-2,,,
74.92584,2,j1-2,,,
75.29247,1,lp2,rb2,,
75.29247,2,lp2,lb2,,
75.62577,1,,rb1,,
75.62577,2,,lb1,,
76.12572,1,,rb0,,
76.12572,2,,lb0,,
76.52568,2,2-3,l1,,
76.52568,1,2-3,r1,,
76.85898,2,lp3,l2,,
76.85898,1,lp3,r2,,
77.29227,2,,l3,,
77.29227,1,,r3,,
77.6589,1,j3-4,,,
77.6589,2,j3-4,,,
78.15885,2,lp4,l4,,
78.15885,1,lp4,r4,,
78.59214,1,,rb3,,
78.59214,2,,lb3,,
79.19207999999999,2,,lb2,,
79.19207999999999,1,,rb2,,
79.62536999999999,2,,lb1,,
79.62536999999999,1,,rb1,,
79.79202,1,4-1,,,
79.79202,2,4-1,,,
80.15865,1,lp1,,,
80.15865,2,lp1,,,
80.55861,1,,rb0,,
80.55861,2,,lb0,,
81.12522,1,1-2,,,
81.12522,2,1-2,,,
81.59183999999999,1,lp2,,,
81.59183999999999,2,lp2,,,
82.12512,2,2-3,l1,,
82.12512,1,,,,D20
82.45841999999999,2,,lb0,,
82.82504999999999,2,,r1,,
83.05836,2,w3,,,
83.15835,2,lp3,,,
83.45832,1,,r1,,
83.45832,2,,,,D20
83.45832,1,,,,L0
83.79162,1,,rb0,,
84.15825,1,,l1,,
85.09149,1,,lb0,,
85.09149,2,,rb0,,
85.09149,2,,,,L0
85.35813,1,,r1,,
85.35813,2,,l1,,
85.65809999999999,1,j2-3,,,
85.65809999999999,2,j3-4,,,
86.15805,1,lp3,,,
86.15805,2,lp4,,,
86.39135999999999,1,,r2,,
86.39135999999999,2,,l2,,
86.89130999999999,1,,r3,,
86.89130999999999,2,,l3,,
87.32459999999999,1,3-4,r4,,
87.39126,2,4-1,l4,,
87.75788999999999,1,sj4,,,
87.75788999999999,2,sj1,,,
88.15785,1,lp4,,,
88.15785,2,lp1,,,
88.59114,1,4-1,,,
88.59114,2,1-2,,,
89.12442,1,j1-2,,,
89.12442,2,j2-3,,,
89.49105,1,lp2,,,
89.49105,2,lp3,,,
89.89101,1,j2-3,,,
89.89101,2,j3-4,,,
90.35763,1,lp3,rb3,,
90.35763,2,lp4,lb3,,
90.82424999999999,1,j3-4,,,
90.82424999999999,2,j4-1,,,
91.19087999999999,1,,rb2,,
91.19087999999999,2,,lb2,,
91.55751,1,j4-1,,,
91.55751,2,j1-2,,,
92.05745999999999,1,,rb1,,
92.05745999999999,2,,lb1,,
92.62406999999999,2,w2,,,
92.62406999999999,1,w1,,,
92.6574,1,,rb0,,
92.6574,2,,lb0,,
93.05736,1,,l1,,
93.05736,2,,r1,,
93.49065,1,,lb0,,
93.49065,2,,rb0,,
93.9906,1,,r1,,
93.9906,2,,l1,,
94.29057,1,1-2,,,
94.29057,2,2-3,,,
94.79052,1,lp2,,,
94.79052,2,lp3,,,
95.19048,2,3-4,,,
95.19048,1,,,,D20
95.59044,2,lp4,,,
95.89041,2,,l2,,
96.12371999999999,2,,l3,,
96.3237,2,,l4,,
96.75699,1,2-3,r2,,
96.75699,2,w4,,,
96.75699,2,,,,D20
96.75699,1,,,,L0
97.22361,1,,r3,,
97.55691,1,,r4,,
97.69023,1,w3,,,
97.79021999999999,1,,r5,,
98.19018,1,3-4,,,
98.19018,2,4-1,,,
98.19018,2,,,,L0
98.55681,1,w4,,,
98.55681,2,w1,,,
98.69013,2,,l5,,
98.89010999999999,1,4-1,,,
98.89010999999999,2,1-2,,,
99.19008,1,w1,,,
99.19008,2,w2,,,
99.52337999999999,1,1-2,,,
99.52337999999999,2,2-3,,,
99.85668,1,w2,,,
99.85668,2,w3,,,
100.18997999999999,1,2-3,,,
100.18997999999999,2,3-4,,,
100.68992999999999,1,3-4,,,
100.68992999999999,2,4-1,,,
101.02323,1,sp4-1,,,
101.02323,2,sp1-2,,,
101.6565,1,1-2,,,
101.6565,2,2-3,,,
101.88981,1,,rb4,,
101.88981,2,,lb4,,
102.18978,1,,rb3,,
102.18978,2,,lb3,,
102.48975,1,,rb2,,
102.48975,2,,lb2,,
102.58973999999999,2,w3,,,
102.58973999999999,1,w2,,,
102.75639,1,2-3,,,
102.75639,2,3-4,,,
103.08968999999999,1,3-4,,,
103.08968999999999,2,4-1,,,
103.52297999999999,1,lp4,,,
103.52297999999999,2,lp1,,,
105.75609,1,4-1,,b1,
105.75609,2,1-2,,b1,
106.08939,1,1-2,,,
106.28936999999999,2,2-3,,,
106.62267,1,w2,,,
106.62267,2,w3,,,
106.88931,1,,rb1,,
106.88931,2,,lb1,,
107.82254999999999,1,2-3,,,
107.82254999999999,2,3-4,,,
108.25583999999999,1,3-4,,,
108.38915999999999,2,4-1,,,
108.72246,1,w4,,,
108.72246,2,w1,,,
109.22241,1,,rb0,,
109.22241,2,,lb0,,
109.52238,1,,l1,,
109.52238,2,,r1,,
109.82235,1,,l2,,
109.82235,2,,r2,,
110.3223,1,4-1,,,
110.3223,2,1-2,,,
110.75559,1,,lb1,,
110.75559,2,,rb1,,
111.18888,1,,lb0,,
111.18888,2,,rb0,,
111.25554,2,w2,,,
111.25554,1,w1,,,
111.62217,1,,l1,,
111.62217,2,,r1,,
112.02212999999999,1,,lb0,,
112.02212999999999,2,,rb0,,
112.42209,1,,r1,,
112.42209,2,,l1,,
112.82204999999999,1,,r2,,
112.82204999999999,2,,l2,,
113.22201,1,,r3,,
113.22201,2,,l3,,
113.72196,1,1-2,,,
113.72196,2,2-3,,,
114.18858,1,,rb2,,
114.18858,2,,lb2,,
114.48854999999999,1,,rb1,,
114.48854999999999,2,,lb1,,
114.6552,2,w3,,,
114.6552,1,w2,,,
114.78851999999999,1,,rb0,,
114.78851999999999,2,,lb0,,
115.08849,1,2-3,l1,,
115.08849,2,,r1,,
115.25514,2,3-4,,,
115.55511,1,w3,,,
115.55511,2,w4,,,
115.78841999999999,1,,l2,,
115.78841999999999,2,,r2,,
116.02172999999999,1,,l3,,
116.02172999999999,2,,r3,,
116.62167,1,3-4,,,
116.62167,2,4-1,,,
116.9883,1,w4,,,
116.9883,2,w1,,,
