0.03333,MOT_mc_bg_black_00,b65,,
0.03333,1,,,,D60
0.03333,2,,,,D60
0.06666,MOT_all,MH_cut1,,
0.6999299999999999,1,,,,L40
0.6999299999999999,2,,,,L40
3.5663099999999996,MOT_mc_stage_color_00,b-flash,,
3.5663099999999996,MOT_mc_bg_black_00,b65-45,,
3.5663099999999996,1,1-2,,,
3.5663099999999996,2,1-2,,,
3.5663099999999996,1,,,,L20
3.5663099999999996,2,,,,L20
4.26624,1,2-3,,,
4.26624,2,2-3,,,
5.16615,1,j3-4,,,
5.16615,2,j3-4,,,
6.23271,1,w4,,,
6.23271,2,w4,,,
7.19928,1,sj4,,,
7.19928,2,sj4,,,
7.69923,1,w4,,,
7.69923,2,w4,,,
7.96587,2,4-1,,,
8.29917,1,4-1,,,
8.63247,1,1-2,,,
8.63247,2,1-2,,,
8.9991,2,2-3,,,
9.13242,MOT_mc_stage_color_00,b-flash,,
9.49905,1,2-3,,,
9.899009999999999,1,3-4,,,
9.899009999999999,2,3-4,,,
9.998999999999999,MOT_mc_stage_color_00,b-flash,,
10.83225,2,w4,,,
10.83225,1,j4-1,,,
10.83225,2,j4-1,,,
11.6655,1,1-2,,,
11.6655,2,1-2,,,
12.59874,1,w2,,,
12.59874,2,w2,,,
12.6654,1,2-3,,,
12.6654,2,2-3,,,
13.59864,1,w3,,,
13.59864,2,w3,,,
14.665199999999999,1,sj3,,,
14.665199999999999,2,sj3,,,
15.165149999999999,1,w3,,,
15.165149999999999,2,w3,,,
15.43179,1,3-4,,,
15.43179,2,3-4,,,
16.16505,1,hj4,,,
16.16505,2,hj4,,,
16.23171,MOT_mc_stage_color_00,b-flash,,
17.39826,1,w4,,,
17.39826,2,w4,,,
17.764889999999998,1,4-1,,,
17.764889999999998,2,4-1,,f1,
17.764889999999998,2,,,,L0
17.79822,MOT_control_all,mystery_zoom_01,,
18.3315,2,,l1,,
18.69813,1,w1,,,
18.69813,2,w1,,,
19.89801,1,1-2,,,
19.89801,2,1-2,,,
20.83125,1,w2,,,
20.83125,2,w2,,,
21.197879999999998,2,2-3,,,
21.69783,2,j3-4,,,
22.397759999999998,2,4-1,,,
23.331,2,w1,,,
23.39766,1,2-3,,,
23.39766,2,1-2,lb0,,
23.46432,MOT_mc_stage_color_00,b-flash,,
24.3309,1,w3,,,
24.3309,2,w2,,,
24.464219999999997,1,3-4,,,
24.464219999999997,2,2-3,,,
24.9975,MOT_control_all,mystery_zoom_02,,
24.9975,1,4-1,,f1,
24.9975,2,3-4,,b0,
24.9975,1,,,,L0
24.9975,2,,,,D20
25.63077,1,,r1,,
25.93074,1,w1,,,
25.93074,2,w4,,,
27.297269999999997,1,1-2,,,
27.297269999999997,2,4-1,,,
28.23051,1,w2,,,
28.23051,2,w1,,,
28.730459999999997,1,j2-3,,,
29.23041,1,3-4,,,
29.897009999999998,1,4-1,,,
30.730259999999998,1,1-2,rb0,,
30.730259999999998,2,1-2,,,
31.03023,MOT_mc_stage_color_00,b-flash,,
31.23021,MOT_all,MH_cut2,,
31.26354,4,sort,-500,
31.26354,1,sort,-500,
31.26354,3,sort,-500,
31.6635,1,w2,,,
31.6635,2,w2,,,
31.963469999999997,1,2-3,,,
31.963469999999997,2,2-3,,,
32.89671,1,w3,,,
32.89671,2,w3,,,
32.9967,MOT_control_all,mystery_zoom_03,,
32.9967,MOT_mc_stage_color_00,b-r,,
32.9967,1,3-4,,b0,
