0.03333,MOT_all,kL_cut1,,
2.6997299999999997,MOT_control_all,zoom_01,,
2.76639,MOT_mc_stage_color_00,b-flash,,
2.76639,1,1-2,,f1,
2.76639,2,1-2,,,
2.76639,3,1-2,,,
2.76639,1,,,,L0
2.76639,2,,,,D20
2.76639,3,,,,D20
3.4663199999999996,MOT_mc_stage_color_00,b-flash,,
3.4663199999999996,1,j2-3,,,
3.69963,3,w2,,,
3.69963,2,w2,,,
4.2329099999999995,1,,r1,,
4.53288,1,w3,,,
4.799519999999999,1,j3-4,,,
5.6661,1,4-1,,,
6.3327,1,1-2,rb0,,
6.79932,1,2-3,,,
6.79932,2,2-3,,,
6.79932,3,2-3,,,
7.19928,1,3-4,,,
7.19928,2,3-4,,,
7.19928,3,3-4,,,
8.13252,3,w4,,,
8.13252,2,w4,,,
8.13252,1,w4,,,
8.23251,1,4-1,,,
8.23251,2,4-1,,f1,
8.23251,3,4-1,,f1,
8.23251,2,,,,L0
8.23251,3,,,,L0
8.3325,MOT_mc_stage_color_00,r-flash,,
8.665799999999999,3,j1-2,,,
8.9991,1,j1-2,,,
9.16575,2,w1,,,
9.3324,2,j1-2,,,
9.6657,1,2-3,,,
9.73236,3,w2,,,
10.03233,2,2-3,,,
10.03233,3,2-3,,,
10.46562,1,3-4,,,
10.46562,2,3-4,,,
10.46562,3,3-4,,,
11.16555,1,4-1,,,
11.26554,MOT_mc_stage_color_00,b-flash,,
11.398859999999999,3,w4,,,
11.398859999999999,2,w4,,,
11.59884,1,1-2,,,
11.59884,2,4-1,,,
11.59884,3,4-1,,,
12.16545,1,2-3,,,
12.16545,2,1-2,,,
12.16545,3,1-2,,,
12.232109999999999,MOT_mc_stage_color_00,r-flash,,
12.49875,1,hj3,,,
12.49875,2,hj2,,,
12.49875,3,hj2,,,
12.59874,MOT_mc_stage_color_00,b-flash,,
13.49865,1,sp3-4,,,
13.49865,2,sp2-3,,,
13.49865,3,sp2-3,,,
14.03193,MOT_control_all,zoom_02,,
14.065259999999999,1,hj4,,,
14.065259999999999,2,hj3,,,
14.065259999999999,3,hj3,,,
14.13192,MOT_mc_stage_color_00,b-flash,,
14.73186,1,4-1,,b0,
14.73186,2,3-4,,b0,
14.73186,3,3-4,,b0,
14.73186,1,,,,D20
14.73186,2,,,,D20
14.73186,3,,,,D20
15.165149999999999,2,4-1,,,
15.43179,1,1-2,,,
15.665099999999999,3,w4,,,
15.69843,3,4-1,,,
16.09839,2,w1,,,
16.36503,1,w2,,,
16.46502,1,j2-3,,,
16.63167,3,w1,,,
16.89831,2,j1-2,,,
16.89831,3,j1-2,,,
17.43159,2,,l1,,
17.43159,3,,r1,,
17.531579999999998,1,w3,,,
17.764889999999998,1,3-4,,,
17.764889999999998,2,2-3,,,
17.764889999999998,3,2-3,,,
18.13152,1,j4-1,,,
18.164849999999998,MOT_mc_stage_color_00,b-flash,,
18.3315,2,j3-4,,,
18.3315,3,j3-4,,,
18.46482,MOT_mc_stage_color_00,r-flash,,
18.79812,MOT_mc_stage_color_00,b-flash,,
18.79812,1,1-2,,,
18.79812,2,4-1,,,
18.79812,3,4-1,,,
19.3314,3,sj1,,,
19.6647,1,sj2,,,
19.73136,2,w1,,,
19.83135,3,w1,,,
19.997999999999998,2,sj1,,,
20.164649999999998,1,w2,,,
20.43129,1,2-3,,,
20.49795,2,w1,,,
20.76459,2,1-2,,,
20.76459,3,1-2,,,
21.09789,1,sp3-4,,,
21.09789,2,sp2-3,,,
21.09789,3,sp2-3,,,
21.597839999999998,1,j4-1,,,
21.597839999999998,2,j3-4,,,
21.597839999999998,3,j3-4,,,
22.36443,2,,lb0,,
