0.03333,MOT_mc_bg_black_00,seat100-0,,
2.19978,MOT_mc_bg_black_00,b80-45_2,,
2.3331,MOT_mc_stage_color_00,b-flash,,
2.3331,1,1-2,,,
2.3331,1,,,,D20
2.3331,2,,,,D20
2.3331,3,,,,D20
2.3331,4,,,,D20
2.3331,5,,,,D20
2.43309,MOT_mc_bg_black_00,b45-80_2,,
3.26634,1,w2,,,
3.49965,MOT_mc_bg_black_00,b80-45_2,,
3.63297,MOT_mc_stage_color_00,b-flash,,
3.63297,1,2-3,,,
3.73296,MOT_mc_bg_black_00,b45-80_2,,
4.56621,1,w3,,,
4.69953,MOT_mc_bg_black_00,b80-45_2,,
4.83285,MOT_mc_stage_color_00,b-flash,,
4.83285,1,3-4,,,
4.93284,MOT_mc_bg_black_00,b45-80_2,,
5.76609,1,w4,,,
5.966069999999999,MOT_mc_bg_black_00,b80-45_2,,
6.09939,MOT_mc_stage_color_00,b-flash,,
6.166049999999999,1,4-1,,,
6.23271,MOT_mc_bg_black_00,b45-80,,
6.49935,1,lp1,,,
7.49925,MOT_mc_bg_black_00,b80-65,,
7.49925,MOT_mc_speaker_00,temp4,,
7.49925,MOT_mc_light_up_00,l1,,
7.49925,MOT_mc_light_under_00,l3,,
7.49925,1,1-2,,,
7.49925,2,1-2,,,
7.49925,3,1-2,,,
7.49925,4,1-2,,,
7.49925,5,1-2,,,
8.09919,2,sort,-500,
8.09919,3,sort,-500,
8.09919,1,2-3,,f1,
8.09919,1,,,,L0
8.43249,5,w2,,,
8.43249,4,w2,,,
8.43249,3,w2,,,
8.43249,2,w2,,,
9.03243,1,w3,,,
9.23241,1,j3-4,,,
10.298969999999999,1,w4,,,
10.43229,MOT_mc_stage_color_00,b-flash,,
10.43229,1,4-1,,,
11.098889999999999,MOT_mc_stage_color_00,b-flash,,
11.098889999999999,2,2-3,,,
11.098889999999999,3,2-3,,,
11.36553,1,w1,,,
11.76549,MOT_mc_stage_color_00,b-flash,,
11.76549,4,2-3,,,
11.76549,5,2-3,,,
12.032129999999999,3,w3,,,
12.032129999999999,2,w3,,,
12.69873,5,w3,,,
12.69873,4,w3,,,
13.09869,1,1-2,l1,,
14.03193,1,w2,,,
14.23191,1,2-3,,,
15.165149999999999,1,w3,,,
15.565109999999999,MOT_mc_stage_color_00,b-flash,,
15.565109999999999,4,j3-4,,,
15.565109999999999,5,j3-4,,,
16.131719999999998,MOT_mc_stage_color_00,b-flash,,
16.131719999999998,2,j3-4,,,
16.131719999999998,3,j3-4,,,
16.63167,5,w4,,,
16.63167,4,w4,,,
16.79832,MOT_mc_stage_color_00,b-flash,,
16.79832,1,j3-4,,,
17.19828,3,w4,,,
17.19828,2,w4,,,
17.83155,1,4-1,,,
18.364829999999998,1,,lb0,,
18.764789999999998,1,w1,,,
19.29807,1,1-2,,,
19.89801,1,2-3,,,
20.597939999999998,1,3-4,,,
20.597939999999998,4,4-1,,,
20.597939999999998,5,4-1,,,
20.63127,MOT_mc_stage_color_00,b-flash,,
21.23121,2,4-1,,,
21.23121,3,4-1,,,
21.26454,MOT_mc_stage_color_00,b-flash,,
21.53118,5,w1,,,
21.53118,4,w1,,,
21.53118,1,w4,,,
21.86448,1,4-1,,,
21.86448,2,1-2,,,
21.86448,3,1-2,,,
21.86448,4,1-2,,,
21.86448,5,1-2,,,
21.89781,MOT_mc_stage_color_00,b-flash,,
22.797719999999998,5,w2,,,
22.797719999999998,4,w2,,,
22.797719999999998,3,w2,,,
22.797719999999998,2,w2,,,
22.797719999999998,1,w1,,,
23.09769,1,1-2,,,
24.030929999999998,1,w2,,,
24.39756,1,,r1,,
25.96407,2,2-3,,,
25.96407,3,2-3,,,
25.96407,4,2-3,,,
25.96407,5,2-3,,,
26.23071,2,j3-4,,,
26.23071,3,j3-4,,,
26.23071,4,j3-4,,,
26.23071,5,j3-4,,,
26.663999999999998,1,2-3,,,
27.16395,1,,rb0,,
27.297269999999997,5,w4,,,
27.297269999999997,4,w4,,,
27.297269999999997,3,w4,,,
27.297269999999997,2,w4,,,
27.56391,1,3-4,,,
27.59724,MOT_mc_bg_black_00,b65-45,,
27.697229999999998,MOT_mc_light_up_00,l3,,
27.697229999999998,MOT_mc_light_center_00,l1,,
27.76389,MOT_mc_stage_color_00,b-flash,,
27.897209999999998,1,lp4,,,
27.897209999999998,2,lp4,,,
27.897209999999998,3,lp4,,,
27.897209999999998,4,lp4,,,
27.897209999999998,5,lp4,,,
28.83045,1,4-1,,b0,
28.83045,2,4-1,,,
28.83045,3,4-1,,,
28.83045,4,4-1,,,
28.83045,5,4-1,,,
28.83045,1,,,,D20
29.56371,MOT_mc_stage_color_00,y-flash,,
29.56371,1,j1-2,,,
29.56371,2,j1-2,,,
29.56371,3,j1-2,,,
29.76369,5,w1,,,
29.76369,4,w1,,,
30.23031,MOT_mc_stage_color_00,b-flash,,
30.23031,4,j1-2,,,
30.23031,5,j1-2,,,
30.63027,3,w2,,,
30.63027,2,w2,,,
30.63027,1,w2,,,
31.29687,5,w2,,,
31.29687,4,w2,,,
31.39686,MOT_mc_stage_color_00,b-flash,,
31.39686,1,2-3,,,
31.39686,2,2-3,,,
31.39686,3,2-3,,,
31.39686,4,2-3,,,
31.39686,5,2-3,,,
31.930139999999998,2,3-4,,,
31.930139999999998,4,3-4,,,
32.06346,MOT_mc_stage_color_00,y-flash,,
32.230109999999996,3,3-4,,,
32.230109999999996,5,3-4,,,
32.3301,1,w3,,,
32.76339,MOT_mc_stage_color_00,b-flash,,
32.76339,1,3-4,,,
32.86338,4,w4,,,
32.86338,2,w4,,,
33.16335,5,w4,,,
33.16335,3,w4,,,
33.69663,1,w4,,,
33.896609999999995,1,4-1,,,
33.896609999999995,2,4-1,l1,,
33.896609999999995,3,4-1,r1,,
33.896609999999995,4,4-1,l1,,
33.896609999999995,5,4-1,r1,,
34.59654,MOT_mc_stage_color_00,r-flash,,
34.59654,1,j1-2,,,
34.59654,4,j1-2,,,
34.59654,5,j1-2,,,
34.82985,3,w1,,,
34.82985,2,w1,,,
35.129819999999995,MOT_mc_stage_color_00,b-flash,,
35.129819999999995,2,j1-2,,,
35.129819999999995,3,j1-2,,,
35.6631,5,w2,,,
35.6631,4,w2,,,
35.6631,1,w2,,,
36.19638,3,w2,,,
36.19638,2,w2,,,
