0.03333,MOT_mc_special_02,smoke,,
0.03333,MOT_mc_bg_black_00,b65,,
0.03333,MOT_all,cut1,,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,4,,,,D40
0.03333,5,,,,D40
0.03333,6,,,,D40
0.03333,7,,,,D40
0.03333,8,,,,D40
0.03333,9,,,,D40
0.03333,2,sort,-500,
0.03333,3,sort,-500,
0.03333,6,sort,-500,
0.03333,8,sort,-500,
3.5663099999999996,1,,,,D20
3.5663099999999996,2,,,,D20
3.5663099999999996,3,,,,D20
3.5663099999999996,4,,,,D20
3.5663099999999996,5,,,,D20
3.5663099999999996,6,,,,D20
3.5663099999999996,7,,,,D20
3.5663099999999996,8,,,,D20
3.5663099999999996,9,,,,D20
3.5663099999999996,1,1-2,,,
3.5663099999999996,2,1-2,,,
3.5663099999999996,3,1-2,,,
3.5663099999999996,4,1-2,,,
3.5663099999999996,5,1-2,,,
3.5663099999999996,6,1-2,,,
3.5663099999999996,7,1-2,,,
3.5663099999999996,8,1-2,,,
3.5663099999999996,9,1-2,,,
3.59964,MOT_mc_bg_black_00,b65-45,,
3.63297,MOT_mc_stage_color_00,b-flash,,
4.49955,6,w2,,,
4.49955,2,w2,,,
4.49955,3,w2,,,
4.49955,8,w2,,,
4.49955,7,w2,,,
4.49955,4,w2,,,
4.49955,1,w2,,,
4.49955,5,w2,,,
4.49955,9,w2,,,
4.53288,1,2-3,,,
4.53288,4,2-3,,,
4.53288,5,2-3,,,
4.53288,7,2-3,,,
4.53288,9,2-3,,,
5.03283,2,2-3,,,
5.03283,3,2-3,,,
5.03283,6,2-3,,,
5.03283,8,2-3,,,
5.3994599999999995,1,j3-4,,,
5.3994599999999995,2,j3-4,,,
5.3994599999999995,3,j3-4,,,
5.3994599999999995,4,j3-4,,,
5.3994599999999995,5,j3-4,,,
5.3994599999999995,6,j3-4,,,
5.3994599999999995,7,j3-4,,,
5.3994599999999995,8,j3-4,,,
5.3994599999999995,9,j3-4,,,
5.46612,MOT_mc_stage_color_00,b-flash,,
6.43269,1,4-1,,,
6.43269,2,4-1,,,
6.43269,3,4-1,,,
6.43269,4,4-1,,,
6.43269,5,4-1,,,
6.466019999999999,6,w4,,,
6.466019999999999,8,w4,,,
6.466019999999999,7,w4,,,
6.466019999999999,9,w4,,,
6.8659799999999995,6,4-1,,,
6.8659799999999995,7,4-1,,,
6.8659799999999995,8,4-1,,,
6.8659799999999995,9,4-1,,,
7.332599999999999,1,1-2,,,
7.332599999999999,2,1-2,l1,,
7.332599999999999,3,1-2,r1,,
7.332599999999999,4,1-2,l1,,
7.332599999999999,5,1-2,r1,,
7.332599999999999,6,1-2,l1,,
7.332599999999999,7,1-2,l1,,
7.332599999999999,8,1-2,r1,,
7.332599999999999,9,1-2,r1,,
7.39926,MOT_mc_stage_color_00,b-flash,,
8.265839999999999,6,w2,,,
8.265839999999999,2,w2,,,
8.265839999999999,3,w2,,,
8.265839999999999,8,w2,,,
8.265839999999999,7,w2,,,
8.265839999999999,4,w2,,,
8.265839999999999,1,w2,,,
8.265839999999999,5,w2,,,
8.265839999999999,9,w2,,,
8.3325,1,2-3,,,
8.665799999999999,2,2-3,,,
8.665799999999999,3,2-3,,,
8.665799999999999,4,2-3,,,
8.665799999999999,5,2-3,,,
9.06576,1,j3-4,,,
9.06576,2,j3-4,,,
9.06576,3,j3-4,,,
9.06576,4,j3-4,,,
9.06576,5,j3-4,,,
9.06576,6,j2-3,,,
9.06576,7,j2-3,,,
9.06576,8,j2-3,,,
9.06576,9,j2-3,,,
9.29907,MOT_mc_stage_color_00,b-flash,,
9.56571,1,4-1,,,
9.56571,2,4-1,lb0,,
9.56571,3,4-1,rb0,,
9.56571,4,4-1,lb0,,
9.56571,5,4-1,rb0,,
10.06566,1,1-2,,,
10.06566,2,1-2,,,
10.06566,3,1-2,,,
10.06566,4,1-2,,,
10.06566,5,1-2,,,
10.06566,6,3-4,lb0,,
10.06566,7,3-4,lb0,,
10.06566,8,3-4,rb0,,
10.06566,9,3-4,rb0,,
10.998899999999999,6,w4,,,
10.998899999999999,2,w2,,,
10.998899999999999,3,w2,,,
10.998899999999999,8,w4,,,
10.998899999999999,7,w4,,,
10.998899999999999,4,w2,,,
10.998899999999999,1,w2,,,
10.998899999999999,5,w2,,,
10.998899999999999,9,w4,,,
11.098889999999999,1,2-3,,,
11.098889999999999,2,2-3,,,
11.098889999999999,3,2-3,,,
11.098889999999999,4,2-3,,,
11.098889999999999,5,2-3,,,
11.098889999999999,6,4-1,,,
11.098889999999999,7,4-1,,,
11.098889999999999,8,4-1,,,
11.098889999999999,9,4-1,,,
11.16555,MOT_mc_stage_color_00,b-flash,,
11.932139999999999,2,3-4,,,
11.932139999999999,3,3-4,,,
11.932139999999999,6,1-2,,,
11.932139999999999,8,1-2,,,
12.032129999999999,7,w1,,,
12.032129999999999,4,w3,,,
12.032129999999999,1,w3,,,
12.032129999999999,5,w3,,,
12.032129999999999,9,w1,,,
12.36543,1,3-4,,,
12.36543,4,3-4,,,
12.36543,5,3-4,,,
12.36543,7,1-2,,,
12.36543,9,1-2,,,
12.86538,6,w2,,,
12.86538,2,w4,,,
12.86538,3,w4,,,
12.86538,8,w2,,,
12.89871,1,j4-1,,,
12.89871,2,j4-1,,,
12.89871,3,j4-1,,,
12.89871,4,j4-1,,,
12.89871,5,j4-1,,,
12.89871,6,j2-3,,,
12.89871,7,j2-3,,,
12.89871,8,j2-3,,,
12.89871,9,j2-3,,,
12.9987,MOT_mc_stage_color_00,b-flash,,
13.79862,1,1-2,,,
13.79862,2,1-2,r1,,
13.79862,3,1-2,l1,,
13.79862,4,1-2,r1,,
13.79862,5,1-2,l1,,
13.965269999999999,6,w3,,,
13.965269999999999,8,w3,,,
13.965269999999999,7,w3,,,
13.965269999999999,9,w3,,,
14.29857,6,3-4,r1,,
14.29857,7,3-4,r1,,
14.29857,8,3-4,l1,,
14.29857,9,3-4,l1,,
14.73186,2,w2,,,
14.73186,3,w2,,,
14.73186,4,w2,,,
14.73186,1,w2,,,
14.73186,5,w2,,,
14.765189999999999,1,j2-3,,,
14.765189999999999,2,j2-3,,,
14.765189999999999,3,j2-3,,,
14.765189999999999,4,j2-3,,,
14.765189999999999,5,j2-3,,,
14.765189999999999,6,j4-1,,,
14.765189999999999,7,j4-1,,,
14.765189999999999,8,j4-1,,,
14.765189999999999,9,j4-1,,,
14.79852,MOT_mc_stage_color_00,b-flash,,
15.665099999999999,1,3-4,,,
15.665099999999999,2,3-4,,,
15.665099999999999,3,3-4,,,
15.665099999999999,4,3-4,,,
15.665099999999999,5,3-4,,,
15.83175,6,w1,,,
15.83175,8,w1,,,
15.83175,7,w1,,,
15.83175,9,w1,,,
16.16505,6,1-2,,,
16.16505,7,1-2,,,
16.16505,8,1-2,,,
16.16505,9,1-2,,,
16.59834,2,w4,,,
16.59834,3,w4,,,
16.59834,4,w4,,,
16.59834,1,w4,,,
16.59834,5,w4,,,
16.76499,2,4-1,rb0,,
16.76499,3,4-1,lb0,,
16.76499,4,4-1,rb0,,
16.76499,5,4-1,lb0,,
16.76499,6,,rb0,,
16.76499,7,,rb0,,
16.76499,8,,lb0,,
16.76499,9,,lb0,,
16.83165,MOT_mc_stage_color_00,b-flash,,
17.09829,6,w2,,,
17.09829,8,w2,,,
17.09829,7,w2,,,
17.09829,9,w2,,,
17.23161,1,4-1,,,
17.23161,6,2-3,,,
17.23161,7,2-3,,,
17.23161,8,2-3,,,
17.23161,9,2-3,,,
17.6649,1,1-2,,,
17.6649,2,1-2,,,
17.6649,3,1-2,,,
17.6649,4,1-2,,,
17.6649,5,1-2,,,
17.6649,6,3-4,,,
17.6649,7,3-4,,,
17.6649,8,3-4,,,
