0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_mc_bg_black_00,b80,,
0.03333,1,,,,D80
0.03333,2,,,,D80
1.46652,MOT_mc_bg_black_00,b80-65,,
1.49985,1,1-2,,,
1.49985,2,1-2,,,
1.59984,1,,,,L20
1.59984,2,,,,L20
1.63317,MOT_mc_stage_color_00,b-flash,,
1.79982,1,2-3,,,
1.79982,2,2-3,,,
2.09979,1,j3-4,,,
2.09979,2,j3-4,,,
2.6997299999999997,1,4-1,,,
2.6997299999999997,2,4-1,,,
3.19968,1,sj1,,,
3.19968,2,sj1,,,
3.69963,2,w1,,,
3.69963,1,w1,,,
3.79962,1,sj1,,,
3.79962,2,sj1,,,
4.29957,2,w1,,,
4.29957,1,j1-2,,,
4.29957,2,j1-2,,,
4.63287,1,lp2,,,
4.63287,2,lp2,,,
5.36613,1,j2-3,,,
5.36613,2,j2-3,,,
5.966069999999999,1,sj3,,,
5.966069999999999,2,sj3,,,
6.466019999999999,2,w3,,,
6.466019999999999,1,w3,,,
6.59934,1,j3-4,,,
6.59934,2,j3-4,,,
6.932639999999999,1,lp4,,,
6.932639999999999,2,lp4,,,
7.6659,1,4-1,,,
7.76589,2,4-1,,,
8.065859999999999,1,lp1,,,
8.065859999999999,2,lp1,,,
8.89911,1,j1-2,,,
8.89911,2,j1-2,,,
9.23241,1,lp2,,,
9.23241,2,lp2,,,
10.03233,1,2-3,,,
10.03233,2,2-3,,,
10.63227,1,3-4,,,
10.63227,2,3-4,,,
11.16555,1,j4-1,,,
11.16555,2,j4-1,,,
11.49885,1,lp1,,,
11.49885,2,lp1,,,
13.531979999999999,1,1-2,,,
13.531979999999999,2,1-2,,,
13.865279999999998,1,lp2,,,
13.865279999999998,2,lp2,,,
15.265139999999999,1,j2-3,,,
15.365129999999999,MOT_mc_stage_color_00,b-flash,,
15.365129999999999,2,j2-3,,,
15.49845,MOT_mc_stage_color_00,y-flash,,
15.865079999999999,1,3-4,,,
15.865079999999999,2,3-4,,,
15.865079999999999,1,,r1,,
15.865079999999999,2,,l1,,
15.93174,MOT_mc_stage_color_00,r-flash,,
15.965069999999999,MOT_mc_special_03,y,,
16.36503,1,4-1,,,
16.36503,2,4-1,,,
16.96497,1,1-2,,,
16.96497,2,1-2,,,
17.06496,MOT_mc_stage_color_00,y-flash,,
17.564909999999998,1,2-3,,,
17.564909999999998,2,2-3,,,
18.09819,1,3-4,,,
18.09819,2,3-4,,,
18.09819,1,,r2,,
18.09819,2,,l2,,
18.26484,MOT_mc_stage_color_00,b-flash,,
18.69813,1,4-1,,,
18.69813,2,4-1,,,
19.26474,1,sp1-2,,,
19.26474,2,sp1-2,,,
19.3314,MOT_mc_stage_color_00,r-flash,,
20.3313,1,j2-3,,,
20.3313,2,j2-3,,,
20.53128,MOT_mc_stage_color_00,y-flash,,
20.76459,1,3-4,r3,,
20.76459,2,3-4,lb1,,
21.13122,1,4-1,rb2,,
21.13122,2,4-1,l2,,
21.46452,1,j1-2,,,
21.46452,2,j1-2,,,
21.597839999999998,MOT_mc_stage_color_00,b-flash,,
22.06446,1,j2-3,,,
22.06446,2,j2-3,,,
22.631069999999998,1,j3-4,,,
22.631069999999998,2,j3-4,,,
22.76439,MOT_mc_stage_color_00,r-flash,,
23.09769,1,,rb1,,
23.09769,2,,lb1,,
23.331,1,4-1,rb0,,
23.331,2,4-1,lb0,,
23.76429,1,1-2,,,
23.76429,2,1-2,,,
23.89761,MOT_mc_stage_color_00,y-flash,,
24.09759,1,2-3,,,
24.09759,2,2-3,,,
24.39756,1,3-4,,,
24.39756,2,3-4,,,
24.69753,1,lp4,,,
