0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_mc_light_center_00,01a,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D80
0.03333,5,,,,D80
1.63317,1,j1-2,,,
1.63317,2,j1-2,,,
1.63317,3,j1-2,,,
1.63317,4,j1-2,,,
1.63317,5,j1-2,,,
1.69983,MOT_mc_stage_color_00,b-flash,,
1.69983,MOT_mc_bg_black_00,b80-45,,
1.76649,1,,,,L40
2.03313,1,lp2,,,
2.03313,2,lp2,,,
2.03313,3,lp2,,,
2.03313,4,lp2,,,
2.03313,5,lp2,,,
3.29967,1,2-3,,,
3.29967,2,2-3,,,
3.29967,3,2-3,,,
3.29967,4,2-3,,,
3.29967,5,2-3,,,
3.6662999999999997,1,lp3,,,
3.6662999999999997,2,lp3,,,
3.6662999999999997,3,lp3,,,
3.6662999999999997,4,lp3,,,
3.6662999999999997,5,lp3,,,
4.26624,1,j3-4,,,
4.26624,2,j3-4,,,
4.26624,3,j3-4,,,
4.26624,4,j3-4,,,
4.26624,5,j3-4,,,
4.3328999999999995,MOT_mc_stage_color_00,r-flash,,
4.6662,MOT_mc_stage_color_00,y-flash,,
4.6662,1,sp4-1,,,
4.6662,2,sp4-1,,,
4.6662,3,sp4-1,,,
4.6662,4,sp4-1,,,
4.6662,5,sp4-1,,,
5.03283,MOT_mc_stage_color_00,b-flash,,
5.23281,1,j1-2,,,
5.23281,2,j1-2,,,
5.23281,3,j1-2,,,
5.23281,4,j1-2,,,
5.23281,5,j1-2,,,
5.36613,MOT_mc_stage_color_00,r-flash,,
5.43279,MOT_mc_bg_black_00,b20-45,,
5.76609,1,j2-3,,,
5.76609,2,j2-3,,,
5.76609,3,j2-3,,,
5.76609,4,j2-3,,,
5.76609,5,j2-3,,,
6.23271,1,3-4,,,
6.23271,2,3-4,,,
6.23271,3,3-4,,,
6.23271,4,3-4,,,
6.23271,5,3-4,,,
6.59934,1,lp4,,,
6.59934,2,lp4,,,
6.59934,3,lp4,,,
6.59934,4,lp4,,,
6.59934,5,lp4,,,
7.29927,1,j4-1,,,
7.29927,2,j4-1,,,
7.29927,3,j4-1,,,
7.29927,4,j4-1,,,
7.29927,5,j4-1,,,
7.432589999999999,MOT_mc_stage_color_00,y-flash,,
7.532579999999999,MOT_mc_bg_black_00,b20-45,,
7.79922,1,j1-2,,,
7.79922,2,j1-2,,,
7.79922,3,j1-2,,,
7.79922,4,j1-2,,,
7.79922,5,j1-2,,,
8.365829999999999,1,sp2-3,,,
8.365829999999999,2,sp2-3,,,
8.365829999999999,3,sp2-3,,,
8.365829999999999,4,sp2-3,,,
8.365829999999999,5,sp2-3,,,
9.03243,1,hj3,,,
9.03243,2,hj3,,,
9.03243,3,hj3,,,
9.03243,4,hj3,,,
9.03243,5,hj3,,,
9.06576,MOT_mc_stage_color_00,r-flash,,
9.83235,1,3-4,,,
9.83235,2,3-4,,,
9.83235,3,3-4,,,
9.83235,4,3-4,,,
9.83235,5,3-4,,,
10.23231,1,sp4-1,,,
10.23231,2,sp4-1,,,
10.23231,3,sp4-1,,,
10.23231,4,sp4-1,,,
10.23231,5,sp4-1,,,
10.798919999999999,1,j1-2,,,
10.798919999999999,2,j1-2,,,
10.798919999999999,3,j1-2,,,
10.798919999999999,4,j1-2,,,
10.798919999999999,5,j1-2,,,
11.06556,MOT_mc_stage_color_00,b-flash,,
11.06556,1,,,,L0
11.23221,1,lp2,,,
11.23221,2,lp2,,,
11.23221,3,lp2,,,
11.23221,4,lp2,,,
11.23221,5,lp2,,,
