0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D80
0.03333,5,,,,D80
2.43309,1,j1-2,,,
2.43309,2,j1-2,,,
2.43309,3,j1-2,,,
2.43309,4,j1-2,,,
2.43309,5,j1-2,,,
2.53308,MOT_mc_bg_black_00,b80-65,,
2.53308,1,,,,L40
2.53308,2,,,,L40
2.53308,3,,,,L40
2.53308,4,,,,L40
2.53308,5,,,,L40
2.6664,MOT_mc_stage_color_00,r-flash,,
2.6997299999999997,MOT_mc_light_center_00,stay,,
2.6997299999999997,MOT_mc_light_up_00,stay,,
2.7997199999999998,1,lp2,,,
2.7997199999999998,2,lp2,,,
2.7997199999999998,3,lp2,,,
2.7997199999999998,4,lp2,,,
2.7997199999999998,5,lp2,,,
4.46622,1,2-3,,,
4.46622,2,2-3,,,
4.46622,3,2-3,,,
4.46622,4,2-3,,,
4.46622,5,2-3,,,
4.83285,1,3-4,,,
4.83285,2,3-4,,,
4.83285,3,3-4,,,
4.83285,4,3-4,,,
4.83285,5,3-4,,,
5.23281,1,j4-1,,,
5.23281,2,j4-1,,,
5.23281,3,j4-1,,,
5.23281,4,j4-1,,,
5.23281,5,j4-1,,,
5.5994399999999995,1,lp1,,,
5.5994399999999995,2,lp1,,,
5.5994399999999995,3,lp1,,,
5.5994399999999995,4,lp1,,,
5.5994399999999995,5,lp1,,,
7.29927,5,1-2,,,
7.36593,3,1-2,,,
7.432589999999999,1,1-2,,,
7.49925,2,1-2,,,
7.56591,4,1-2,,,
7.96587,1,j2-3,,,
7.96587,2,j2-3,,,
7.96587,3,j2-3,,,
7.96587,4,j2-3,,,
7.96587,5,j2-3,,,
8.19918,MOT_mc_stage_color_00,r-flash,,
8.3325,1,lp3,,,
8.3325,2,lp3,,,
8.3325,3,lp3,,,
8.3325,4,lp3,,,
8.3325,5,lp3,,,
10.03233,1,3-4,,,
10.03233,2,3-4,,,
10.03233,3,3-4,,,
10.03233,4,3-4,,,
10.03233,5,3-4,,,
10.73226,1,j4-1,,,
10.73226,2,j4-1,,,
10.73226,3,j4-1,,,
10.73226,4,j4-1,,,
10.73226,5,j4-1,,,
11.098889999999999,1,lp1,,,
11.098889999999999,2,lp1,,,
11.098889999999999,3,lp1,,,
11.098889999999999,4,lp1,,,
11.098889999999999,5,lp1,,,
11.9988,4,j1-2,,,
11.9988,5,j1-2,,,
12.39876,2,j1-2,,,
12.39876,3,j1-2,,,
12.532079999999999,1,j1-2,,,
12.86538,1,j2-3,,,
12.86538,2,j2-3,,,
12.86538,3,j2-3,,,
12.86538,4,j2-3,,,
12.86538,5,j2-3,,,
13.46532,1,3-4,,f1,
13.46532,2,3-4,,f1,
13.46532,3,3-4,,f1,
13.46532,4,3-4,,f1,
13.46532,5,3-4,,f1,
13.56531,MOT_mc_stage_color_00,b-flash,,
13.56531,MOT_mc_bg_black_00,b45-20,,
13.59864,1,,,,L0
13.59864,2,,,,L0
13.59864,3,,,,L0
13.59864,4,,,,L0
13.59864,5,,,,L0
13.831949999999999,1,4-1,,,
13.831949999999999,2,4-1,,,
13.831949999999999,3,4-1,,,
13.831949999999999,4,4-1,,,
13.831949999999999,5,4-1,,,
14.165249999999999,1,1-2,,,
14.165249999999999,2,1-2,,,
14.165249999999999,3,1-2,,,
14.165249999999999,4,1-2,,,
14.165249999999999,5,1-2,,,
14.49855,1,lp2,,,
14.49855,2,lp2,,,
14.49855,3,lp2,,,
14.49855,4,lp2,,,
14.49855,5,lp2,,,
14.79852,1,j2-3,,,
