0.03333,MOT_all,cut1,,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,MOT_mc_light_under_00,stay1,,
0.03333,MOT_mc_bg_black_00,b65-80,,
3.19968,MOT_all,cut2,,
3.19968,MOT_mc_bg_black_00,b80-65,,
3.19968,1,sp1-2,,,
3.19968,2,sp1-2,,,
3.19968,3,sp1-2,,,
3.63297,1,2-3,,,
3.63297,2,2-3,,,
3.63297,3,2-3,,,
4.0329299999999995,1,lp3,,,
4.0329299999999995,2,lp3,,,
4.0329299999999995,3,lp3,,,
5.43279,MOT_control_all,zoom1_1,,
5.4994499999999995,1,3-4,,,
5.4994499999999995,2,3-4,,,
5.4994499999999995,3,3-4,,,
6.29937,1,4-1,,,
6.29937,2,4-1,,,
6.29937,3,4-1,,,
7.232609999999999,3,w1,,,
7.232609999999999,2,w1,,,
7.232609999999999,1,w1,,,
7.26594,3,sp1-2,,,
7.6659,2,sp1-2,,,
8.09919,1,sp1-2,,,
8.53248,1,,l1,,
8.53248,2,,l1,,
8.53248,3,,l1,,
8.93244,1,,lb0,,
8.93244,2,,lb0,,
8.93244,3,,lb0,,
9.36573,1,,r1,,
9.36573,2,,r1,,
9.36573,3,,r1,,
9.86568,1,,rb0,,
9.86568,2,,rb0,,
9.86568,3,,rb0,,
10.3323,1,j2-3,,,
10.3323,2,j2-3,,,
10.3323,3,j2-3,,,
10.73226,MOT_mc_light_under_00,l1,,
10.73226,MOT_mc_stage_color_00,b-flash,,
10.76559,1,3-4,,,
10.76559,2,3-4,,,
10.76559,3,3-4,,,
11.49885,1,4-1,,,
11.49885,2,4-1,l1,,
11.49885,3,4-1,r1,,
12.432089999999999,3,w1,,,
12.432089999999999,2,w1,,,
12.432089999999999,1,w1,,,
12.49875,1,1-2,,,
12.49875,2,1-2,,,
12.49875,3,1-2,,,
13.39866,1,2-3,,,
13.39866,2,2-3,lb0,,
13.39866,3,2-3,rb0,,
14.3319,3,w3,,,
14.3319,2,w3,,,
14.3319,1,w3,,,
14.39856,1,sp3-4,,,
14.865179999999999,2,sp3-4,,,
15.3318,3,sp3-4,,,
15.79842,1,,r1,,
15.79842,2,,r1,,
15.79842,3,,r1,,
16.19838,1,,rb0,,
16.19838,2,,rb0,,
16.19838,3,,rb0,,
16.665,1,,l1,,
16.665,2,,l1,,
16.665,3,,l1,,
17.131619999999998,1,,lb0,,
17.131619999999998,2,,lb0,,
17.131619999999998,3,,lb0,,
17.59824,1,4-1,,,
17.59824,2,4-1,,,
17.59824,3,4-1,,,
17.731559999999998,MOT_control_all,zoom2_1,,
17.89821,1,,,,L0
17.89821,2,,,,L20
17.89821,3,,,,L20
17.89821,MOT_mc_stage_color_00,r-flash,,
17.89821,1,lp1,,,
18.53148,3,w1,,,
18.53148,2,w1,,,
18.83145,1,,l1,,
19.89801,1,,l2,,
20.6646,1,sp1-2,,,
21.6645,1,2-3,,,
22.49775,1,3-4,lb1,,
23.39766,1,,lb0,,
23.430989999999998,1,w4,,,
24.29757,1,4-1,,,
24.9975,MOT_control_all,zoom3,,
25.09749,3,,,,L0
25.09749,1,,,,D20
25.09749,MOT_mc_stage_color_00,b-flash,,
25.09749,3,1-2,r1,,
25.230809999999998,1,w1,,,
26.03073,3,w2,,,
26.097389999999997,3,,r2,,
27.097289999999997,3,2-3,,,
27.76389,3,lp3,rb1,,
28.930439999999997,3,,rb0,,
29.39706,3,,r1,,
29.79702,3,,r2,,
30.26364,3,,rb1,,
30.763589999999997,3,3-4,rb0,,
31.19688,3,4-1,,,
31.6635,3,sj1,,,
32.03013,MOT_control_all,zoom4,,
32.06346,2,1-2,,,
32.16345,3,w1,,,
32.43009,3,,,,D20
32.43009,2,,,,L0
32.46342,MOT_mc_stage_color_00,y-flash,,
32.630069999999996,2,2-3,l1,,
33.56331,2,w3,,,
33.6633,2,3-4,,,
34.16325,2,4-1,l2,,
34.92984,2,lp1,,,
36.06306,2,1-2,,,
36.56301,2,2-3,lb1,,
37.3296,2,3-4,,,
37.76289,2,4-1,lb0,,
38.42949,MOT_control_all,zoom5,,
38.42949,1,1-2,r1,,
38.62947,2,,,,D20
38.62947,1,,,,L0
38.69613,2,w1,,,
39.36273,1,w2,,,
39.76269,MOT_mc_stage_color_00,b-flash,,
39.76269,1,,r2,,
40.762589999999996,1,2-3,rb1,,
41.595839999999995,1,,rb0,,
41.69583,1,w3,,,
42.395759999999996,1,sp3-4,,,
43.329,1,lp4,,,
43.69563,1,4-1,,,
44.62887,1,w1,,,
44.795519999999996,1,,,,D20
45.262139999999995,MOT_control_all,zoom6,,
45.36213,2,1-2,,,
45.79542,1,1-2,,,
46.22871,3,1-2,,,
46.29537,2,w2,,,
46.662,1,sj2,,,
46.662,2,sj2,,,
46.662,3,sj2,,,
47.06196,1,,,,L0
47.06196,2,,,,L0
47.06196,3,,,,L0
47.06196,MOT_mc_light_under_00,l2,,
47.06196,MOT_mc_bg_black_00,b65-20,,
47.06196,MOT_mc_stage_color_00,b-flash,,
47.06196,1,2-3,r1,,
47.06196,2,2-3,r1,,
47.06196,3,2-3,r1,,
47.39526,1,,r2,,
47.39526,2,,r2,,
47.39526,3,,r2,,
47.695229999999995,MOT_mc_stage_color_00,b-flash,,
47.695229999999995,1,,rb1,,
47.695229999999995,2,,rb1,,
47.695229999999995,3,,rb1,,
47.9952,3,w3,,,
47.9952,2,w3,,,
47.9952,1,lp3,rb0,,
47.9952,2,lp3,rb0,,
47.9952,3,lp3,rb0,,
48.895109999999995,MOT_mc_stage_color_00,y-flash,,
48.9951,1,sp3-4,,,
48.9951,2,sp3-4,,,
48.9951,3,sp3-4,,,
49.695029999999996,MOT_mc_stage_color_00,y-flash,,
50.161649999999995,1,4-1,,,
50.161649999999995,2,4-1,,,
50.161649999999995,3,4-1,,,
50.6616,MOT_mc_stage_color_00,b-flash,,
50.6616,1,lp1,l1,,
50.6616,2,lp1,l1,,
50.6616,3,lp1,l1,,
51.09489,1,,lb0,,
51.09489,2,,lb0,,
51.09489,3,,lb0,,
51.361529999999995,MOT_mc_stage_color_00,b-flash,,
51.361529999999995,1,,r1,,
51.361529999999995,2,,r1,,
51.361529999999995,3,,r1,,
51.62817,1,1-2,rb0,,
51.62817,2,1-2,rb0,,
51.62817,3,1-2,rb0,,
51.89481,1,hj2,,,
51.89481,2,hj2,,,
51.89481,3,hj2,,,
52.561409999999995,MOT_mc_stage_color_00,b-flash,,
52.561409999999995,1,lp2,,,
52.561409999999995,2,lp2,,,
52.561409999999995,3,lp2,,,
53.394659999999995,MOT_mc_stage_color_00,b-flash,,
54.39456,MOT_mc_stage_color_00,b-flash,,
54.39456,1,2-3,,,
54.72786,2,2-3,l1,,
55.027829999999994,MOT_mc_stage_color_00,b-flash,,
55.027829999999994,3,2-3,r1,,
55.327799999999996,1,w3,,,
55.361129999999996,1,lp3,,,
55.361129999999996,2,lp3,,,
55.361129999999996,3,lp3,,,
56.06106,MOT_mc_stage_color_00,r-flash,,
56.06106,3,sp3-4,,,
56.46102,1,sp3-4,,,
56.82765,MOT_mc_stage_color_00,r-flash,,
56.82765,2,sp3-4,,,
57.16095,1,4-1,,,
57.16095,2,4-1,,,
57.16095,3,4-1,,,
58.02753,MOT_mc_stage_color_00,y-flash,,
58.06086,2,1-2,,,
58.09419,3,w1,,,
58.09419,1,w1,,,
58.42749,1,1-2,,,
58.76079,MOT_mc_stage_color_00,y-flash,,
58.76079,3,1-2,,,
58.994099999999996,2,w2,,,
59.12742,1,lp2,,,
59.12742,2,lp2,,,
59.12742,3,lp2,,,
59.59404,MOT_mc_stage_color_00,b-flash,,
59.59404,1,2-3,,,
59.59404,2,2-3,,,
59.59404,3,2-3,,,
60.52728,3,w3,,,
60.52728,2,w3,,,
