0.03333,MOT_mc_bg_black_00,seat100-0,,
2.43309,MOT_mc_speaker_00,temp4,,
2.43309,MOT_mc_light_up_00,l1,,
2.43309,2,,,,D20
2.43309,3,,,,D20
2.43309,4,,,,D20
2.43309,5,,,,D20
2.43309,1,1-2,,f1,
2.43309,2,sort,-500,
2.43309,3,sort,-500,
2.43309,4,sort,-500,
2.43309,5,sort,-500,
2.46642,MOT_mc_stage_color_00,b-flash,,
2.96637,1,j2-3,,,
3.63297,1,3-4,,,
4.26624,1,4-1,,,
4.59954,1,1-2,,,
4.96617,1,j2-3,,,
5.43279,1,3-4,r1,,
5.83275,1,hj4,,,
6.43269,1,j4-1,,,
6.932639999999999,1,1-2,rb0,,
7.26594,1,2-3,,,
7.39926,MOT_mc_stage_color_00,b-flash,,
7.39926,2,1-2,,,
7.39926,3,1-2,,,
7.532579999999999,4,1-2,,,
7.532579999999999,5,1-2,,,
7.59924,MOT_mc_stage_color_00,y-flash,,
7.59924,MOT_mc_bg_black_00,b80-45_2,,
7.59924,MOT_mc_light_up_00,l2,,
7.59924,MOT_mc_light_center_00,l1,,
7.59924,MOT_mc_light_under_00,l3,,
7.732559999999999,MOT_mc_speaker_00,temp3,,
7.732559999999999,1,j3-4,,,
7.732559999999999,2,j2-3,,,
7.732559999999999,3,j2-3,,,
7.732559999999999,4,j2-3,,,
7.732559999999999,5,j2-3,,,
7.8325499999999995,MOT_mc_stage_color_00,b-flash,,
8.29917,1,j4-1,,,
8.59914,MOT_mc_stage_color_00,y-flash,,
8.765789999999999,2,3-4,,,
8.765789999999999,3,3-4,,,
8.765789999999999,4,3-4,,,
8.765789999999999,5,3-4,,,
9.03243,1,1-2,,,
9.13242,MOT_mc_stage_color_00,b-flash,,
9.29907,3,j4-1,,,
9.29907,5,j4-1,,,
9.43239,MOT_mc_stage_color_00,y-flash,,
9.56571,2,j4-1,,,
9.56571,4,j4-1,,,
9.86568,MOT_mc_stage_color_00,b-flash,,
9.899009999999999,1,j2-3,,,
10.36563,5,w1,,,
10.36563,3,w1,,,
10.43229,1,sp3-4,,,
10.43229,2,1-2,,,
10.43229,3,1-2,,,
10.43229,4,1-2,,,
10.43229,5,1-2,,,
10.56561,MOT_mc_stage_color_00,b-flash,,
10.76559,2,lp2,,,
10.76559,3,lp2,,,
10.76559,4,lp2,,,
10.76559,5,lp2,,,
11.43219,1,j4-1,,,
