0.03333,MOT_mc_bg_black_00,b65,,
0.03333,MOT_mc_light_center_00,off,,
0.03333,MOT_mc_light_under_00,off,,
0.03333,MOT_mc_light_up_00,off,,
0.03333,MOT_all,Jubilee-cut1,,
1.8331499999999998,MOT_control_all,zoom_01,,
1.89981,1,1-2,,f1,
1.89981,2,1-2,,f1,
2.46642,2,2-3,,,
2.76639,1,2-3,,,
3.06636,1,3-4,,,
3.06636,2,3-4,,,
3.39966,1,j4-1,,,
3.39966,2,j4-1,,,
3.49965,MOT_mc_stage_color_00,b-flash,,
4.09959,1,1-2,,,
4.09959,2,1-2,,,
4.73286,1,2-3,,,
4.73286,2,2-3,,,
5.26614,1,hj3,,,
5.26614,2,hj3,,,
5.86608,1,3-4,l1,,
5.86608,2,3-4,l1,,
5.89941,MOT_mc_stage_color_00,b-flash,,
6.19938,1,j4-1,,,
6.466019999999999,2,j4-1,,,
6.9993,1,1-2,lb0,,
6.9993,2,1-2,lb0,,
7.39926,1,2-3,,,
7.39926,2,2-3,,,
7.76589,1,j3-4,,,
7.76589,2,j3-4,,,
8.265839999999999,1,sp4-1,,,
8.265839999999999,2,sp4-1,,,
8.39916,MOT_control_all,zoom_02,,
8.43249,MOT_mc_stage_color_00,b-flash,,
11.098889999999999,1,1-2,,,
11.098889999999999,2,1-2,,,
11.76549,1,2-3,,b0,
11.76549,2,2-3,,b0,
11.76549,1,,,,D20
11.76549,2,,,,D20
12.432089999999999,1,3-4,,,
12.432089999999999,2,3-4,,,
13.09869,1,4-1,,,
13.09869,2,4-1,,,
13.431989999999999,1,lp1,,,
13.431989999999999,2,lp1,,,
16.09839,MOT_mc_stage_color_00,r-flash,,
16.09839,1,1-2,,f1,
16.09839,2,1-2,,,
16.09839,1,,,,L0
16.131719999999998,MOT_control_all,zoom_03,,
16.46502,1,2-3,,,
17.03163,2,w2,,,
17.03163,1,j3-4,,,
17.03163,2,2-3,,,
17.09829,MOT_mc_stage_color_00,b-flash,,
17.164949999999997,MOT_mc_bg_black_00,b65-45,,
17.164949999999997,MOT_mc_light_up_00,on,,
17.93154,1,4-1,,,
17.964869999999998,2,w3,,,
18.764789999999998,1,1-2,l1,,
19.598039999999997,1,2-3,,,
20.09799,1,j3-4,,,
20.597939999999998,1,4-1,,,
20.597939999999998,2,3-4,,,
21.53118,2,w4,,,
21.53118,1,w1,,,
21.597839999999998,1,,lb0,,
22.09779,1,hj1,,,
22.6644,1,1-2,,,
22.9977,1,2-3,,,
22.9977,2,4-1,,,
23.73096,1,3-4,,,
23.73096,2,1-2,,,
24.064259999999997,1,4-1,,,
24.430889999999998,1,j1-2,,,
24.664199999999997,2,w2,,,
24.93084,2,j2-3,,,
25.43079,1,2-3,,,
25.43079,2,3-4,,,
26.097389999999997,1,3-4,r1,,
26.36403,2,w4,,,
26.59734,1,4-1,,,
26.9973,1,1-2,,,
27.297269999999997,2,4-1,,,
27.59724,1,,rb0,,
27.930539999999997,1,j2-3,,,
28.23051,2,w1,,,
28.9971,1,w3,,,
29.43039,1,3-4,,,
29.43039,2,1-2,,,
29.63037,MOT_mc_stage_color_00,r-flash,,
30.363629999999997,2,w2,,,
30.363629999999997,1,w4,,,
30.763589999999997,1,4-1,,b0,
31.130219999999998,1,1-2,,,
31.130219999999998,2,2-3,,f1,
31.130219999999998,1,,,,D20
31.130219999999998,2,,,,L0
31.163549999999997,MOT_control_all,zoom_04,,
31.59684,2,j3-4,,,
31.89681,MOT_mc_stage_color_00,b-flash,,
32.06346,1,w2,,,
32.263439999999996,1,2-3,,,
32.263439999999996,2,4-1,r1,,
32.76339,2,1-2,,,
33.19668,1,w3,,,
33.23001,2,2-3,,,
33.56331,2,,rb0,,
34.06326,1,3-4,,,
34.06326,2,3-4,,,
34.46322,1,4-1,,,
34.46322,2,4-1,,,
34.82985,2,hj1,,,
35.39646,1,w1,,,
35.529779999999995,2,1-2,l1,,
35.59644,MOT_mc_stage_color_00,b-flash,,
36.02973,2,2-3,,,
36.46302,1,1-2,,,
36.46302,2,j3-4,,,
37.02963,1,2-3,,,
37.02963,2,4-1,lb0,,
37.46292,2,1-2,,,
37.929539999999996,1,3-4,,,
38.396159999999995,2,w2,,,
38.42949,2,2-3,r1,,
38.86278,1,w4,,,
39.02943,2,3-4,,,
39.596039999999995,1,4-1,,,
39.596039999999995,2,hj4,,,
40.22931,1,1-2,,,
40.22931,2,4-1,,,
40.86258,2,1-2,,,
41.162549999999996,1,w2,,,
41.42919,2,j2-3,,,
42.029129999999995,2,,rb0,,
42.49575,2,w3,,,
42.52908,2,3-4,,,
42.96237,1,j2-3,,,
42.96237,2,j4-1,,,
43.09569,MOT_mc_stage_color_00,b-flash,,
43.92894,MOT_mc_stage_color_00,r-flash,,
43.92894,MOT_control_all,zoom_05,,
43.92894,1,3-4,,,
43.92894,2,1-2,,b0,
43.92894,2,,,,D20
44.862179999999995,2,w2,,,
44.862179999999995,1,w4,,,
44.92884,1,4-1,,,
44.92884,2,2-3,,,
44.96217,MOT_mc_stage_color_00,r-flash,,
45.76209,1,1-2,,,
45.76209,2,3-4,,,
45.89541,MOT_mc_stage_color_00,r-flash,,
46.59534,1,j2-3,,,
46.59534,2,j4-1,,,
46.79532,MOT_mc_stage_color_00,r-flash,,
47.09529,1,lp3,,,
47.09529,2,lp1,,,
48.59514,1,sp3-4,,,
48.59514,2,sp1-2,,,
48.6618,MOT_mc_stage_color_00,r-flash,,
49.42839,MOT_mc_stage_color_00,b-flash,,
49.42839,1,4-1,,f1,
49.42839,2,2-3,,,
49.42839,1,,,,L0
49.46172,MOT_control_all,zoom_06,,
49.79502,1,1-2,,,
49.79502,2,3-4,,,
50.128319999999995,1,2-3,,,
50.528279999999995,1,3-4,,,
50.72826,2,w4,,,
50.86158,2,4-1,,,
50.961569999999995,MOT_mc_stage_color_00,r-flash,,
51.02823,MOT_mc_light_under_00,on,,
51.26154,1,4-1,r1,,
51.728159999999995,MOT_mc_stage_color_00,r-flash,,
51.728159999999995,1,1-2,,,
51.794819999999994,2,w1,,,
52.094789999999996,1,,r2,,
52.46142,1,2-3,,,
53.16135,1,3-4,,,
53.16135,2,1-2,,,
53.22801,MOT_mc_stage_color_00,b-flash,,
53.59464,1,j4-1,,,
53.59464,2,j2-3,,,
53.62797,MOT_mc_stage_color_00,r-flash,,
54.09459,1,1-2,,,
54.527879999999996,1,2-3,rb1,,
54.6612,2,w3,,,
55.027829999999994,1,3-4,,,
55.027829999999994,2,3-4,,,
55.461119999999994,1,,rb0,,
55.827749999999995,1,4-1,,,
55.827749999999995,2,4-1,,,
56.42769,1,1-2,,b0,
56.42769,1,,,,D20
56.76099,2,w1,,,
56.76099,1,2-3,,,
56.76099,2,1-2,,f1,
56.76099,2,,,,L0
56.79432,MOT_control_all,zoom_07,,
56.82765,MOT_mc_stage_color_00,b-flash,,
57.12762,2,j2-3,,,
57.69423,1,w3,,,
57.69423,2,3-4,l1,,
58.02753,MOT_mc_stage_color_00,r-flash,,
58.02753,2,4-1,,,
58.3275,1,3-4,,,
58.76079,2,1-2,,,
59.094089999999994,2,2-3,,,
59.26074,1,w4,,,
59.394059999999996,2,3-4,,,
59.72736,2,,l2,,
60.09399,2,4-1,,,
60.56061,1,4-1,,,
60.56061,2,j1-2,,,
60.593939999999996,MOT_mc_stage_color_00,r-flash,,
61.060559999999995,1,1-2,,,
61.060559999999995,2,2-3,,,
61.127219999999994,MOT_mc_stage_color_00,b-flash,,
61.460519999999995,2,,lb1,,
61.79382,2,3-4,,,
61.9938,1,w2,,,
62.227109999999996,1,2-3,,,
62.227109999999996,2,hj4,,,
62.89371,2,4-1,,,
63.160349999999994,1,w3,,,
63.26034,1,3-4,,,
63.26034,2,,lb0,,
63.6603,1,4-1,,,
63.6603,2,j1-2,,,
64.36023,1,1-2,,f1,
64.36023,2,2-3,,b0,
64.36023,1,,,,L0
64.36023,2,,,,D20
64.39356,MOT_control_all,zoom_08,,
64.42689,MOT_mc_stage_color_00,b-flash,,
64.69353,1,2-3,,,
64.69353,2,3-4,,,
65.02683,1,j3-4,,,
65.32679999999999,MOT_mc_stage_color_00,b-flash,,
65.52678,1,4-1,,,
65.62677,2,w4,,,
65.69342999999999,2,4-1,,,
65.96007,1,hj1,,,
66.62666999999999,2,w1,,,
66.62666999999999,1,1-2,,,
66.62666999999999,2,1-2,,,
67.15995,2,2-3,,,
67.19328,MOT_mc_stage_color_00,r-flash,,
67.55991,1,2-3,,,
67.6599,MOT_mc_stage_color_00,r-flash,,
67.9932,1,3-4,r1,,
67.9932,2,3-4,,,
68.49315,1,4-1,,,
68.92644,2,w4,,,
68.92644,1,j1-2,,,
69.42639,1,2-3,,,
69.89301,1,,rb0,,
69.993,MOT_mc_stage_color_00,r-flash,,
70.22631,1,3-4,,,
70.22631,2,4-1,,,
70.62626999999999,1,hj4,,,
70.62626999999999,2,1-2,,,
70.72626,MOT_mc_stage_color_00,b-flash,,
71.55951,2,w2,,,
71.69283,MOT_mc_stage_color_00,r-flash,,
71.69283,MOT_control_all,zoom_09,,
71.69283,1,4-1,,,
71.69283,2,2-3,,f1,
71.69283,2,,,,L0
72.19278,2,j3-4,,,
72.52608,1,j1-2,,,
72.79272,MOT_mc_stage_color_00,b-flash,,
73.25934,2,w4,,,
73.49265,MOT_mc_stage_color_00,r-flash,,
73.59264,1,2-3,,,
73.59264,2,4-1,,,
74.09259,1,hj3,,,
74.35923,MOT_mc_stage_color_00,r-flash,,
74.42589,2,hj1,,,
74.62586999999999,MOT_mc_stage_color_00,b-flash,,
75.3258,1,w3,,,
75.39246,1,3-4,,,
75.39246,2,1-2,,,
75.92573999999999,1,4-1,,,
75.92573999999999,2,2-3,,,
76.25904,2,j3-4,,,
76.55901,MOT_mc_stage_color_00,r-flash,,
76.65899999999999,1,j1-2,,,
77.25894,1,2-3,r1,,
77.25894,2,4-1,r1,,
77.45891999999999,MOT_mc_stage_color_00,r-flash,,
77.72556,1,3-4,,,
77.72556,2,1-2,,,
78.05886,1,j4-1,,,
78.05886,2,j2-3,,,
78.09219,MOT_mc_stage_color_00,b-flash,,
78.35883,MOT_mc_stage_color_00,r-flash,,
78.62546999999999,1,1-2,rb0,,
78.62546999999999,2,3-4,rb0,,
79.12541999999999,MOT_control_all,zoom_10,,
79.35873,MOT_mc_stage_color_00,b-flash,,
79.35873,1,2-3,,b0,
79.35873,2,4-1,,,
79.35873,1,,,,D20
79.75869,2,1-2,,,
80.09199,1,3-4,,,
80.09199,2,,l1,,
80.19198,MOT_mc_stage_color_00,b-flash,,
80.19198,MOT_mc_bg_black_00,b45-65,,
80.19198,MOT_mc_light_under_00,off_slow,,
80.19198,MOT_mc_light_up_00,off_slow,,
80.59194,2,2-3,l2,,
81.02523,1,w4,,,
81.05856,2,3-4,,,
81.72516,2,j4-1,,,
