0.03333,MOT_mc_bg_black_00,b45,,
0.03333,MOT_all,cut1,,
0.03333,1,,,,D20
0.03333,2,,,,D20
3.63297,MOT_mc_stage_color_00,r-flash,,
3.63297,MOT_mc_bg_black_00,b45-0,,
3.63297,1,j1-2,,,
3.63297,2,j1-2,,,
3.63297,1,,,,L0
3.63297,2,,,,L0
4.46622,1,2-3,,,
4.69953,2,w2,,,
4.93284,2,2-3,,,
5.3328,1,j3-4,,,
5.3328,2,j3-4,,,
6.366029999999999,2,4-1,,,
6.39936,1,w4,,,
6.79932,1,4-1,,,
7.29927,2,w1,,,
7.29927,1,j1-2,,,
7.6659,2,j1-2,,,
8.165849999999999,1,,l1,,
8.165849999999999,2,,r1,,
8.365829999999999,1,w2,,,
8.59914,1,j2-3,,,
8.59914,2,j2-3,,,
9.06576,2,j3-4,,,
9.53238,1,j3-4,,,
9.998999999999999,1,,lb0,,
9.998999999999999,2,,rb0,,
10.13232,2,w4,,,
10.43229,1,4-1,,,
10.43229,2,4-1,,,
10.998899999999999,MOT_control_all,zoom1,,
11.06556,1,1-2,,f1,
11.06556,2,1-2,,,
11.06556,2,,,,D20
11.098889999999999,MOT_mc_stage_color_00,b-flash,,
11.63217,1,2-3,,,
11.9988,2,w2,,,
12.16545,1,3-4,r1,,
12.932039999999999,1,4-1,,,
13.232009999999999,1,,rb0,,
13.49865,1,1-2,,,
13.9986,1,j2-3,,,
13.9986,2,2-3,,,
14.79852,1,3-4,,,
14.93184,2,w3,,,
15.265139999999999,1,j4-1,,,
15.83175,1,1-2,l1,,
16.23171,1,sp2-3,,,
16.89831,1,hj3,,,
16.96497,MOT_mc_stage_color_00,b-flash,,
17.43159,1,3-4,,,
17.764889999999998,2,3-4,,,
17.79822,1,,lb0,,
18.364829999999998,1,w4,,,
18.39816,MOT_control_all,zoom2,,
18.49815,1,4-1,,b0,
18.49815,2,4-1,,f1,
18.49815,1,,,,D20
18.49815,2,,,,L0
18.53148,MOT_mc_stage_color_00,r-flash,,
18.93144,2,sp1-2,,,
19.43139,1,w1,,,
19.49805,2,hj2,,,
20.36463,2,2-3,r1,,
20.6646,2,3-4,,,
21.09789,2,4-1,,,
21.56451,1,1-2,,,
21.56451,2,1-2,rb0,,
22.16445,2,j2-3,,,
22.49775,1,w2,,,
22.73106,2,3-4,,,
23.26434,2,4-1,l1,,
23.76429,2,1-2,,,
23.89761,MOT_mc_stage_color_00,r-flash,,
24.19758,2,,lb0,,
24.664199999999997,2,2-3,,,
25.13082,1,2-3,,,
25.16415,2,hj3,,,
25.76409,MOT_mc_stage_color_00,r-flash,,
25.76409,2,3-4,,b0,
25.76409,2,,,,D20
26.064059999999998,1,w3,,,
26.064059999999998,MOT_control_all,zoom3,,
26.097389999999997,1,3-4,,f1,
26.097389999999997,2,4-1,,,
26.097389999999997,1,,,,L0
26.16405,MOT_mc_stage_color_00,b-flash,,
26.63067,1,4-1,,,
27.03063,2,w1,,,
27.13062,1,,l1,,
27.497249999999998,1,sp1-2,,,
28.39716,2,1-2,,,
28.43049,1,j2-3,,,
28.530479999999997,MOT_mc_stage_color_00,b-flash,,
28.897109999999998,1,lp3,,,
29.330399999999997,2,w2,,,
29.6637,1,3-4,,,
30.163649999999997,1,4-1,,,
30.6636,1,j1-2,,,
31.163549999999997,1,2-3,,,
31.63017,1,3-4,lb0,,
32.09679,1,4-1,,,
32.09679,2,2-3,,,
32.16345,MOT_mc_stage_color_00,r-flash,,
32.46342,1,1-2,,,
32.46342,2,3-4,,,
32.53008,MOT_mc_stage_color_00,b-flash,,
33.23001,MOT_control_all,zoom4,,
33.29667,1,2-3,,b0,
33.29667,2,4-1,,f1,
33.29667,1,,,,D20
33.29667,2,,,,L0
33.33,MOT_mc_stage_color_00,r-flash,,
33.79662,2,1-2,r1,,
34.22991,1,w3,,,
34.39656,2,2-3,,,
34.82985,2,3-4,,,
35.26314,2,4-1,rb0,,
35.62977,1,3-4,,,
35.6631,2,hj1,,,
35.76309,MOT_mc_stage_color_00,b-flash,,
36.56301,1,w4,,,
36.89631,2,w1,,,
36.92964,2,1-2,l1,,
37.26294,2,lp2,,,
37.929539999999996,2,2-3,,,
38.56281,2,j3-4,,,
39.29607,1,4-1,,,
39.29607,2,4-1,lb0,,
39.39606,MOT_mc_stage_color_00,b-flash,,
39.76269,1,1-2,,,
39.79602,2,hj1,,,
39.89601,MOT_mc_stage_color_00,r-flash,,
40.329299999999996,MOT_control_all,zoom5,,
40.395959999999995,1,2-3,,,
40.395959999999995,2,1-2,,b0,
40.395959999999995,2,,,,D20
40.42929,MOT_mc_stage_color_00,r-flash,,
40.42929,MOT_mc_bg_black_00,b0-45,,
41.12922,MOT_control_all,zoom6,,
41.162549999999996,1,3-4,,f1,
41.162549999999996,2,2-3,,f1,
41.595839999999995,1,j4-1,,,
41.595839999999995,2,j3-4,,,
42.12912,MOT_control_all,zoom7,,
42.16245,1,sp1-2,,,
42.16245,2,sp4-1,,,
42.16245,1,,,,L0
42.16245,2,,,,L0
42.19578,MOT_mc_bg_black_00,b45-0,,
42.22911,MOT_mc_stage_color_00,b-flash,,
43.02903,1,j2-3,,,
43.02903,2,j1-2,,,
43.56231,1,3-4,,,
43.56231,2,2-3,,,
44.028929999999995,1,,r1,,
44.028929999999995,2,,l1,,
44.09559,MOT_mc_stage_color_00,r-flash,,
44.428889999999996,1,4-1,,,
44.428889999999996,2,3-4,,,
44.76219,1,j1-2,,,
45.228809999999996,2,j4-1,,,
45.72876,1,2-3,,,
45.72876,2,1-2,,,
46.22871,1,3-4,rb0,,
46.22871,2,2-3,lb0,,
46.861979999999996,1,sp4-1,,,
46.861979999999996,2,sp3-4,,,
47.628569999999996,1,hj1,,,
47.628569999999996,2,hj4,,,
47.76189,MOT_mc_stage_color_00,b-flash,,
48.461819999999996,2,j4-1,,,
48.861779999999996,1,w1,,,
48.96177,1,j1-2,,,
49.42839,1,2-3,l1,,
49.42839,2,1-2,r1,,
49.49505,MOT_mc_stage_color_00,r-flash,,
49.86168,1,3-4,,,
49.86168,2,2-3,,,
50.42829,1,j4-1,,,
50.42829,2,j3-4,,,
50.86158,1,lp1,,,
50.86158,2,lp4,,,
51.361529999999995,1,1-2,,,
51.361529999999995,2,4-1,,,
52.094789999999996,1,j2-3,,,
52.094789999999996,2,j1-2,,,
52.62807,1,,lb0,,
52.62807,2,,rb0,,
53.16135,2,w2,,,
53.16135,1,w3,,,
53.19468,1,3-4,,,
53.19468,2,2-3,,,
53.26134,MOT_mc_stage_color_00,b-flash,,
53.62797,1,j4-1,,,
53.62797,2,j3-4,,,
53.727959999999996,MOT_mc_stage_color_00,r-flash,,
54.39456,1,sp1-2,,,
54.39456,2,sp4-1,,,
55.09449,1,hj2,,,
55.09449,2,hj1,,,
55.19448,MOT_mc_stage_color_00,r-flash,,
55.827749999999995,1,2-3,,,
55.827749999999995,2,1-2,,,
56.36103,1,j3-4,,,
56.36103,2,j2-3,,,
56.92764,1,4-1,,,
56.92764,2,3-4,,,
56.994299999999996,MOT_mc_stage_color_00,b-flash,,
57.394259999999996,MOT_control_all,zoom8,,
57.427589999999995,1,1-2,,b0,
57.427589999999995,2,4-1,,,
57.427589999999995,1,,,,D20
57.460919999999994,MOT_mc_stage_color_00,r-flash,,
57.827549999999995,2,sj1,,,
58.3275,2,w1,,,
58.3275,1,2-3,,,
58.3275,2,1-2,,,
58.42749,MOT_mc_stage_color_00,b-flash,,
59.12742,2,2-3,r1,,
59.26074,1,w3,,,
59.62737,2,3-4,,,
60.12732,1,j3-4,,,
60.12732,2,j4-1,,,
60.193979999999996,MOT_mc_stage_color_00,b-flash,,
60.92724,2,1-2,,,
61.19388,1,w4,,,
61.427189999999996,2,,rb0,,
61.860479999999995,2,w2,,,
61.960469999999994,1,4-1,,,
61.960469999999994,2,2-3,,,
62.02713,MOT_mc_stage_color_00,r-flash,,
62.293769999999995,2,j3-4,,,
62.89371,1,w1,,,
63.36033,2,w4,,,
63.426989999999996,1,1-2,,,
63.426989999999996,2,4-1,,,
63.493649999999995,MOT_mc_stage_color_00,b-flash,,
63.76029,1,hj2,,,
63.76029,2,hj1,,,
63.860279999999996,MOT_mc_stage_color_00,r-flash,,
64.3269,1,2-3,,,
64.3269,2,1-2,,b0,
64.3269,2,,,,D20
64.39356,MOT_mc_stage_color_00,r-flash,,
64.6602,MOT_control_all,zoom9,,
64.72686,1,3-4,,f1,
64.72686,1,,,,L0
64.76019,MOT_mc_stage_color_00,r-flash,,
65.06016,1,j4-1,,,
65.26013999999999,2,w2,,,
65.56011,1,1-2,,,
65.56011,2,2-3,,,
65.69342999999999,MOT_mc_stage_color_00,r-flash,,
66.49334999999999,2,w3,,,
66.49334999999999,1,w2,,,
66.62666999999999,1,2-3,l1,,
67.05996,1,3-4,,,
67.45992,1,j4-1,,,
67.45992,2,j3-4,,,
67.59324,MOT_mc_stage_color_00,b-flash,,
68.25984,1,1-2,,,
68.52647999999999,2,w4,,,
68.72646,1,2-3,lb0,,
69.35973,1,3-4,,,
69.35973,2,4-1,,,
69.45971999999999,MOT_mc_stage_color_00,r-flash,,
69.82634999999999,1,4-1,,,
70.25963999999999,1,sp1-2,,,
70.29297,2,w1,,,
71.12622,1,hj2,,,
71.19288,MOT_mc_stage_color_00,b-flash,,
71.72616,MOT_mc_stage_color_00,r-flash,,
71.72616,MOT_mc_bg_black_00,b0-20,,
71.72616,MOT_control_all,zoom10,,
71.72616,1,2-3,,b0,
71.72616,2,1-2,,,
71.72616,1,,,,D20
72.39276,MOT_control_all,zoom11,,
72.49275,2,2-3,,f1,
72.49275,2,,,,L0
72.55941,MOT_mc_stage_color_00,b-flash,,
72.65939999999999,1,w3,,,
72.92604,2,j3-4,,,
73.6593,2,sp4-1,,,
74.42589,2,hj1,,,
75.3258,1,3-4,l1,,
75.3258,2,1-2,r1,,
75.42578999999999,MOT_mc_stage_color_00,r-flash,,
76.22570999999999,2,j2-3,,,
76.25904,1,w4,,,
77.05896,2,3-4,,,
77.59223999999999,1,,lb0,,
77.59223999999999,2,,rb0,,
77.9922,2,w4,,,
78.15885,1,4-1,,,
78.15885,2,4-1,,,
78.9921,1,1-2,,,
78.9921,2,1-2,,,
79.09209,MOT_mc_stage_color_00,b-flash,,
79.6587,MOT_control_all,zoom12,,
79.75869,1,2-3,,f1,
79.75869,2,2-3,,b0,
79.75869,1,,,,L0
79.75869,2,,,,D20
79.99199999999999,MOT_mc_stage_color_00,r-flash,,
80.25864,1,3-4,,,
80.69193,2,w3,,,
80.75859,1,4-1,l1,,
80.75859,2,3-4,r1,,
81.25854,1,1-2,,,
81.69183,2,w4,,,
81.75849,1,j2-3,,,
82.75838999999999,1,3-4,lb0,,
82.75838999999999,2,4-1,rb0,,
83.52498,1,4-1,,,
83.52498,2,1-2,,,
83.62496999999999,MOT_mc_stage_color_00,r-flash,,
84.05825999999999,1,j1-2,,,
84.15825,MOT_mc_stage_color_00,r-flash,,
84.45822,2,w2,,,
85.12482,1,w2,,,
85.72475999999999,1,2-3,r1,,
85.85808,MOT_mc_stage_color_00,b-flash,,
86.32469999999999,1,j3-4,,,
86.75798999999999,1,lp4,,,
87.32459999999999,1,4-1,rb0,,
87.42459,MOT_mc_stage_color_00,r-flash,,
87.89121,1,1-2,,,
88.15785,MOT_control_all,zoom13,,
88.25784,1,2-3,,b0,
88.25784,2,2-3,,f1,
88.25784,1,,,,D20
88.25784,2,,,,L0
88.29117,MOT_mc_stage_color_00,b-flash,,
88.59114,2,3-4,,,
88.9911,2,j4-1,,,
89.19108,1,w3,,,
89.89101,1,3-4,,f1,
89.89101,2,1-2,,,
89.89101,1,,,,L0
89.95767,MOT_mc_stage_color_00,r-flash,,
90.3243,MOT_mc_bg_black_00,b20-0,,
90.3243,1,hj4,,,
90.3243,2,hj2,,,
90.45761999999999,MOT_mc_stage_color_00,b-flash,,
90.9909,1,j4-1,,,
90.9909,2,j2-3,,,
91.82414999999999,1,1-2,l1,,
91.82414999999999,2,3-4,r1,,
92.3241,1,2-3,,,
92.3241,2,4-1,,,
92.89071,1,j3-4,,,
92.89071,2,j1-2,,,
93.82395,1,4-1,lb0,,
93.82395,2,2-3,rb0,,
93.89061,MOT_mc_stage_color_00,r-flash,,
94.55721,1,j1-2,,,
94.75719,2,w3,,,
94.95716999999999,2,j3-4,,,
95.52378,1,sp2-3,,,
95.52378,2,sp4-1,,,
95.72376,MOT_mc_stage_color_00,b-flash,,
96.55700999999999,1,j3-4,,,
96.55700999999999,2,j1-2,,,
97.05695999999999,1,lp4,,,
97.05695999999999,2,lp2,,,
97.59024,1,4-1,,,
97.59024,2,2-3,,,
98.25684,2,3-4,,,
98.52347999999999,1,w1,,,
98.75679,1,1-2,,,
99.19008,2,w4,,,
99.39005999999999,1,2-3,,,
99.39005999999999,2,4-1,,,
99.45671999999999,MOT_mc_stage_color_00,r-flash,,
99.79002,1,j3-4,,,
99.79002,2,j1-2,,,
99.89000999999999,MOT_mc_stage_color_00,b-flash,,
100.62326999999999,1,4-1,r1,,
100.62326999999999,2,2-3,l1,,
101.18988,1,1-2,,,
101.18988,2,3-4,,,
102.02313,1,,rb0,,
102.02313,2,,lb0,,
102.12312,2,w4,,,
102.12312,1,w2,,,
102.12312,MOT_mc_stage_color_00,b-flash,,
102.68973,1,j2-3,,,
102.68973,2,j4-1,,,
103.45631999999999,MOT_control_all,zoom14,,
103.48965,1,3-4,,,
103.48965,2,1-2,,b0,
103.48965,2,,,,D20
103.52297999999999,MOT_mc_stage_color_00,r-flash,,
103.82294999999999,1,hj4,,,
104.42289,2,w2,,,
104.48955,1,4-1,,,
104.48955,2,2-3,,,
104.55621,MOT_mc_stage_color_00,b-flash,,
105.3228,1,1-2,l1,,
105.42278999999999,2,w3,,,
105.78941999999999,1,2-3,,,
106.22270999999999,1,3-4,lb0,,
106.22270999999999,2,3-4,,,
106.3227,MOT_mc_stage_color_00,r-flash,,
107.15594999999999,2,w4,,,
107.15594999999999,1,4-1,r1,,
107.62257,1,j1-2,,,
108.12252,1,2-3,rb0,,
108.12252,2,4-1,,,
108.18918,MOT_mc_stage_color_00,b-flash,,
108.48915,1,sp3-4,,,
109.05575999999999,2,w1,,,
109.3224,1,j4-1,,,
109.3224,2,1-2,,,
109.45572,MOT_mc_stage_color_00,r-flash,,
109.75569,1,hj1,,,
109.75569,2,hj2,,,
109.85567999999999,MOT_mc_stage_color_00,b-flash,,
110.38896,1,1-2,,b0,
110.38896,2,2-3,,,
110.38896,1,,,,D20
110.45562,MOT_mc_stage_color_00,r-flash,,
110.92223999999999,MOT_control_all,zoom15,,
110.95557,2,3-4,,f1,
110.95557,2,,,,L0
110.9889,MOT_mc_stage_color_00,b-flash,,
111.3222,1,w2,,,
111.3222,2,4-1,r1,,
111.78882,1,2-3,,,
111.78882,2,j1-2,,,
111.88880999999999,MOT_mc_stage_color_00,r-flash,,
112.6554,2,sp2-3,,,
112.72206,1,w3,,,
113.15535,2,j3-4,,,
113.6553,1,3-4,,,
113.6553,2,4-1,rb0,,
113.72196,MOT_mc_stage_color_00,b-flash,,
114.48854999999999,2,1-2,,,
114.58854,1,w4,,,
114.82185,2,,l1,,
115.42179,2,w2,,,
115.42179,1,4-1,,,
115.42179,2,2-3,,,
115.52177999999999,MOT_mc_stage_color_00,r-flash,,
115.92174,MOT_control_all,zoom16,,
115.9884,1,1-2,,f1,
115.9884,2,3-4,lb0,,
115.9884,1,,,,L0
116.05506,MOT_mc_stage_color_00,b-flash,,
116.38835999999999,1,sp2-3,,,
116.38835999999999,2,sp4-1,,,
117.28827,1,hj3,,,
117.28827,2,hj1,,,
117.32159999999999,MOT_mc_stage_color_00,b-flash,,
117.88821,MOT_control_all,zoom17,,
117.95487,1,3-4,,,
117.95487,2,1-2,,,
118.02153,MOT_mc_stage_color_00,r-flash,,
118.28817,1,lp4,,,
118.28817,2,lp2,,,
119.72135999999999,1,4-1,r1,,
119.72135999999999,2,2-3,l1,,
119.78801999999999,MOT_mc_stage_color_00,b-flash,,
120.12132,1,lp1,,,
120.12132,2,lp3,,,
121.48785,1,j1-2,,,
121.48785,2,j3-4,,,
121.55451,MOT_mc_stage_color_00,r-flash,,
121.9878,1,lp2,,,
121.9878,2,lp4,,,
123.321,1,2-3,rb0,,
123.321,2,4-1,lb0,,
123.35432999999999,MOT_mc_stage_color_00,r-flash,,
124.22090999999999,1,3-4,,,
124.22090999999999,2,1-2,,,
124.28756999999999,MOT_mc_stage_color_00,b-flash,,
124.85418,MOT_mc_bg_black_00,b0-20,,
124.85418,1,4-1,,b0,
124.85418,2,2-3,,b0,
124.85418,1,,,,D20
124.85418,2,,,,D20
124.92084,MOT_mc_stage_color_00,r-flash,,
125.78742,2,w3,,,
125.78742,1,w1,,,
