0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_special_01,stay,,
0.03333,MOT_mc_special_02,stay,,
0.03333,MOT_mc_light_center_00,off,,
0.03333,MOT_control_all,stay,,
0.03333,1,,,,D60
0.03333,2,,,,D60
0.03333,3,,,,D60
0.03333,4,,,,D60
0.03333,5,,,,D60
0.03333,MOT_all,cut1,,
1.7331599999999998,MOT_mc_special_02,cut2_01,,
1.7331599999999998,MOT_all,cut2,,
1.76649,MOT_mc_bg_black_00,b80-65,,
1.86648,1,,,,D40
1.86648,2,,,,D40
1.86648,3,,,,D40
1.86648,4,,,,D40
1.86648,5,,,,D40
1.86648,1,1-2,,,
1.86648,2,1-2,,,
1.86648,3,1-2,,,
1.86648,4,1-2,,,
1.86648,5,1-2,,,
1.89981,MOT_mc_stage_color_00,r-flash,,
2.53308,1,2-3,,,
2.53308,2,2-3,,,
2.53308,3,2-3,,,
2.53308,4,2-3,,,
2.53308,5,2-3,,,
2.7997199999999998,MOT_control_all,zoom1,,
2.7997199999999998,4,,,,L0
2.7997199999999998,1,sort,-300,
2.7997199999999998,2,sort,-300,
2.7997199999999998,3,sort,-300,
2.7997199999999998,5,sort,-300,
2.7997199999999998,4,3-4,,f1,
2.89971,MOT_mc_stage_color_00,b-flash,,
3.1330199999999997,4,j4-1,,,
3.4663199999999996,5,w3,,,
3.4663199999999996,3,w3,,,
3.4663199999999996,2,w3,,,
3.4663199999999996,1,w3,,,
3.6662999999999997,MOT_control_all,zoom2,,
3.6662999999999997,4,,,,D40
3.6662999999999997,1,3-4,,,
3.6662999999999997,2,3-4,,,
3.6662999999999997,3,3-4,,,
3.6662999999999997,4,1-2,,b0,
3.6662999999999997,5,3-4,,,
4.4328899999999996,1,4-1,,,
4.4328899999999996,2,4-1,,,
4.4328899999999996,3,4-1,,,
4.4328899999999996,4,2-3,,,
4.4328899999999996,5,4-1,,,
4.799519999999999,MOT_control_all,zoom3,,
4.799519999999999,5,,,,L0
4.799519999999999,1,sort,-300,
4.799519999999999,2,sort,-300,
4.799519999999999,3,sort,-300,
4.799519999999999,4,sort,-300,
4.799519999999999,5,1-2,,f1,
4.86618,MOT_mc_stage_color_00,r-flash,,
5.13282,5,j2-3,,,
5.36613,4,w3,,,
5.36613,3,w1,,,
5.36613,2,w1,,,
5.36613,1,w1,,,
5.6661,MOT_control_all,zoom4,,
5.6661,5,,,,D40
5.6661,1,1-2,,,
5.6661,2,1-2,,,
5.6661,3,1-2,,,
5.6661,4,3-4,,,
5.6661,5,3-4,,b0,
6.39936,1,2-3,,,
6.39936,2,2-3,,,
6.39936,3,2-3,,,
6.39936,4,4-1,,,
6.39936,5,4-1,,,
6.73266,MOT_control_all,zoom5,,
6.73266,1,,,,L0
6.73266,2,sort,-300,
6.73266,3,sort,-300,
6.73266,4,sort,-300,
6.73266,5,sort,-300,
6.73266,1,3-4,,f1,
6.83265,MOT_mc_stage_color_00,b-flash,,
7.06596,1,j4-1,,,
7.332599999999999,5,w1,,,
7.332599999999999,4,w1,,,
7.332599999999999,3,w3,,,
7.332599999999999,2,w3,,,
7.59924,MOT_control_all,zoom6,,
7.59924,1,,,,D40
7.59924,1,1-2,,b0,
7.8325499999999995,2,3-4,,,
7.8325499999999995,3,3-4,,,
8.065859999999999,4,1-2,,,
8.065859999999999,5,1-2,,,
8.3325,1,2-3,,,
8.3325,2,4-1,,,
8.3325,3,4-1,,,
