0.03333,MOT_mc_stage_color_00,r-flash,,
0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,b90,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D80
0.23331,MOT_control_all,zoom1,,
2.5997399999999997,1,j1-2,,,
2.83305,MOT_mc_bg_black_00,b90-80,,
2.86638,1,,,,L60
2.89971,MOT_mc_stage_color_00,b-flash,,
3.4329899999999998,1,sj2,,,
3.79962,1,sj2,,,
4.19958,1,2-3,,,
4.53288,1,3-4,,,
4.899509999999999,1,sj4,,,
5.26614,1,sj4,,,
5.26614,2,sj1,,,
5.56611,2,j1-2,,,
5.56611,1,j4-1,,,
5.83275,MOT_mc_bg_black_00,b80-65,,
5.93274,MOT_mc_stage_color_00,b-flash,,
5.966069999999999,1,,,,L40
5.966069999999999,2,,,,L40
6.166049999999999,1,sj1,,,
6.166049999999999,2,sj2,,,
6.53268,1,sj1,,,
6.53268,2,sj2,,,
6.932639999999999,1,1-2,,,
6.932639999999999,2,2-3,,,
7.26594,1,2-3,,,
7.26594,2,3-4,,,
7.632569999999999,1,sj3,,,
7.632569999999999,2,sj4,,,
7.9992,1,sj3,,,
7.9992,2,sj4,,,
7.9992,4,sj1,,,
8.29917,2,j4-1,,,
8.29917,1,j3-4,,,
8.29917,4,j1-2,,,
8.765789999999999,4,j2-3,,,
8.765789999999999,2,j1-2,,,
8.765789999999999,1,j4-1,,,
8.865779999999999,MOT_mc_bg_black_00,b65-45,,
8.96577,MOT_mc_stage_color_00,b-flash,,
8.9991,1,,,,L20
8.9991,2,,,,L20
8.9991,4,,,,L20
9.19908,4,sj3,,,
9.19908,1,sj1,,,
9.19908,2,sj2,,,
9.56571,4,sj3,,,
9.56571,3,j1-2,,,
9.56571,1,sj1,,,
9.56571,2,sj2,,,
9.96567,1,1-2,,,
9.96567,2,2-3,,,
9.96567,4,3-4,,,
9.96567,3,sj2,,,
10.298969999999999,1,2-3,,,
10.298969999999999,2,3-4,,,
10.298969999999999,3,2-3,,,
10.298969999999999,4,4-1,,,
10.498949999999999,3,,,,L20
10.6656,1,sj3,,,
10.6656,2,sj4,,,
10.6656,3,sj3,,,
10.6656,4,sj1,,,
11.03223,1,sj3,,,
11.03223,2,sj4,,,
11.03223,3,sj3,,,
11.03223,4,sj1,,,
11.3322,2,j4-1,,,
11.3322,1,j3-4,,,
11.3322,3,j3-4,,,
11.3322,4,j1-2,,,
11.69883,4,j2-3,,,
11.69883,3,j4-1,,,
11.69883,2,j1-2,,,
11.69883,1,j4-1,,,
11.89881,MOT_mc_bg_black_00,b45-20,,
11.9988,MOT_mc_stage_color_00,b-flash,,
12.06546,1,,,,L0
12.06546,2,,,,L0
12.06546,3,,,,L0
12.06546,4,,,,L0
12.26544,4,sj3,,,
12.26544,3,sj1,,,
12.26544,1,sj1,,,
12.26544,2,sj2,,,
12.632069999999999,3,sj1,,,
12.632069999999999,4,sj3,,,
12.632069999999999,1,sj1,,,
12.632069999999999,2,sj2,,,
13.032029999999999,1,1-2,,,
13.032029999999999,2,2-3,,,
13.032029999999999,3,1-2,,,
13.032029999999999,4,3-4,,,
13.36533,1,2-3,,,
13.36533,2,3-4,,,
13.36533,3,2-3,,,
13.36533,4,4-1,,,
13.731959999999999,1,sj3,,,
13.731959999999999,2,sj4,,,
13.731959999999999,3,sj3,,,
13.731959999999999,4,sj1,,,
14.09859,1,sj3,,,
14.09859,2,sj4,,,
14.09859,3,sj3,,,
14.09859,4,sj1,,,
14.39856,2,j4-1,,,
14.39856,1,j3-4,,,
14.39856,3,j3-4,,,
14.39856,4,j1-2,,,
