0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_light_up_00,off,,
0.03333,MOT_mc_light_center_00,off,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,MOT_all,cut1,,
0.09999,MOT_mc_bg_black_00,b80,,
3.4663199999999996,1,1-2,,,
3.49965,MOT_mc_stage_color_00,b-flash,,
3.49965,MOT_mc_light_center_00,random,,
3.5663099999999996,2,1-2,,,
3.5663099999999996,3,1-2,,,
3.8662799999999997,1,sp2-3,,,
3.8662799999999997,2,sp2-3,,,
3.8662799999999997,3,sp2-3,,,
4.69953,1,j3-4,,,
4.69953,2,j3-4,,,
4.69953,3,j3-4,,,
5.13282,MOT_mc_bg_black_00,b80-65,,
5.13282,1,4-1,,,
5.13282,2,4-1,l1,,
5.13282,3,4-1,r1,,
5.16615,MOT_mc_stage_color_00,b-flash,,
5.53278,1,j1-2,,,
5.53278,2,j1-2,,,
5.53278,3,j1-2,,,
5.966069999999999,1,2-3,,,
5.966069999999999,2,2-3,,,
5.966069999999999,3,2-3,,,
6.39936,1,j3-4,,,
6.39936,2,j3-4,,,
6.39936,3,j3-4,,,
6.932639999999999,1,4-1,,,
6.932639999999999,3,4-1,rb0,,
6.9659699999999996,MOT_mc_stage_color_00,b-flash,,
7.29927,1,1-2,,,
7.29927,2,4-1,lb0,,
7.69923,1,2-3,,,
7.69923,2,1-2,,,
7.69923,3,1-2,,,
8.13252,1,j3-4,,,
8.13252,2,j2-3,,,
8.13252,3,j2-3,,,
8.665799999999999,MOT_control_all,zoom1,,
8.69913,2,,,,L40
8.69913,2,j3-4,,,
8.765789999999999,MOT_mc_stage_color_00,b-flash,,
8.765789999999999,MOT_mc_light_center_00,stop,,
9.19908,3,w3,,,
9.19908,1,w4,,,
9.6657,MOT_control_all,zoom2,,
9.699029999999999,3,,,,L40
9.699029999999999,3,j3-4,,,
9.73236,MOT_mc_stage_color_00,b-flash,,
9.76569,2,w4,,,
10.46562,MOT_control_all,zoom3,,
10.498949999999999,1,,,,L40
10.498949999999999,1,j4-1,,,
10.6656,MOT_mc_stage_color_00,b-flash,,
10.76559,3,w4,,,
11.398859999999999,MOT_mc_light_up_00,stop,,
11.398859999999999,MOT_control_all,zoom4,,
11.398859999999999,1,j1-2,,,
11.398859999999999,2,j4-1,,,
11.398859999999999,3,j4-1,,,
11.43219,MOT_all,cut2,,
11.53218,MOT_mc_stage_color_00,b-flash,,
11.932139999999999,2,1-2,,,
12.032129999999999,1,2-3,,,
12.132119999999999,3,1-2,,,
12.332099999999999,MOT_control_all,zoom5,,
12.332099999999999,1,,,,L0
12.332099999999999,2,,,,L0
12.332099999999999,3,,,,L0
12.332099999999999,1,j3-4,,,
12.332099999999999,2,j2-3,,,
12.332099999999999,3,j2-3,,,
12.39876,MOT_mc_stage_color_00,b-flash,,
12.39876,MOT_mc_bg_black_00,b45-20,,
12.39876,MOT_mc_light_up_00,on,,
12.39876,MOT_mc_light_center_00,on,,
12.89871,1,4-1,,,
13.06536,2,3-4,l1,,
13.06536,3,3-4,r1,,
13.36533,MOT_mc_stage_color_00,b-flash,,
13.69863,1,1-2,,,
13.69863,2,4-1,,,
13.69863,3,4-1,,,
14.065259999999999,1,2-3,,,
14.065259999999999,2,1-2,lb0,,
14.065259999999999,3,1-2,rb0,,
14.23191,MOT_mc_stage_color_00,b-flash,,
14.69853,1,3-4,r1,,
14.69853,2,2-3,r1,,
14.69853,3,2-3,r1,,
14.765189999999999,MOT_mc_stage_color_00,b-flash,,
15.03183,1,4-1,rb0,,
15.03183,2,3-4,rb0,,
15.03183,3,3-4,rb0,,
