time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,3D_move_type,3D_BPM,start_image,
0,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,0,7,
4.962406,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,133,8,
11.278195,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,0,8,
12.293233,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,133,9,
12.631579,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,133,0,
33.383459,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,0,0,
34.285714,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
34.962406,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
35.18797,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
35.864662,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
36.090226,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
36.766917,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
36.992481,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
37.669173,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
37.894737,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
38.571429,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
38.796992,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
39.473684,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
39.699248,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
40.37594,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
40.601504,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
41.278195,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
41.503759,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
42.180451,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
42.406015,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
43.082707,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,0,0,
43.308271,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
43.984962,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
