0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_mc_back_00,on0,,
0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D20
0.03333,5,,,,D20
0.03333,6,,,,D20
0.03333,7,,,,D20
0.03333,8,,,,D20
0.03333,9,,,,D20
0.03333,10,,,,D20
0.03333,2,sort,-200,
0.03333,3,sort,-300,
0.03333,6,sort,-200,
0.03333,7,sort,-200,
0.03333,10,sort,-200,
1.36653,1,,,,L60
1.46652,1,1-2,,,
1.53318,1,,,,L40
1.69983,1,,,,L20
1.76649,1,2-3,,,
2.0664599999999997,1,lp3,,,
4.4328899999999996,2,,,,L60
4.4328899999999996,1,,,,D40
4.53288,2,1-2,,,
4.59954,2,,,,L40
4.59954,1,,,,D60
4.6662,1,w3,,,
4.76619,2,,,,L20
4.83285,2,2-3,,,
4.899509999999999,2,,,,L0
5.13282,2,lp3,,,
7.632569999999999,3,,,,L60
7.632569999999999,2,,,,D40
7.69923,3,1-2,,,
7.76589,2,w3,,,
7.79922,3,,,,L40
7.79922,2,,,,D60
7.96587,3,,,,L20
7.9992,3,2-3,,,
8.29917,3,lp3,,,
10.03233,1,,,,L20
10.03233,2,,,,L0
10.06566,1,3-4,,,
10.06566,2,3-4,,,
10.06566,3,3-4,,,
10.06566,4,1-2,,,
10.06566,5,1-2,,,
10.06566,6,1-2,,,
10.06566,7,1-2,,,
10.06566,8,1-2,,,
10.06566,9,1-2,,,
10.06566,10,1-2,,,
10.43229,1,4-1,,,
10.43229,2,4-1,,,
10.43229,3,4-1,,,
10.43229,4,2-3,,,
10.43229,5,2-3,,,
10.43229,6,2-3,,,
10.43229,7,2-3,,,
10.43229,8,2-3,,,
10.43229,9,2-3,,,
10.43229,10,2-3,,,
10.798919999999999,1,j1-2,,,
10.798919999999999,2,j1-2,,,
10.798919999999999,3,j1-2,,,
10.798919999999999,4,j3-4,,,
10.798919999999999,5,j3-4,,,
10.798919999999999,6,j3-4,,,
10.798919999999999,7,j3-4,,,
10.798919999999999,8,j3-4,,,
10.798919999999999,9,j3-4,,,
10.798919999999999,10,j3-4,,,
11.46552,1,2-3,,,
11.46552,2,2-3,,,
11.46552,3,2-3,,,
11.46552,4,4-1,,,
11.46552,5,4-1,,,
11.46552,6,4-1,,,
11.46552,7,4-1,,,
11.46552,8,4-1,,,
11.46552,9,4-1,,,
11.46552,10,4-1,,,
12.09879,1,3-4,,,
12.09879,2,3-4,,,
12.09879,3,3-4,,,
12.09879,4,1-2,,,
12.09879,5,1-2,,,
12.09879,6,1-2,,,
12.09879,7,1-2,,,
12.09879,8,1-2,,,
12.09879,9,1-2,,,
12.09879,10,1-2,,,
12.432089999999999,1,lp4,,,
12.432089999999999,2,lp4,,,
12.432089999999999,3,lp4,,,
12.432089999999999,4,lp2,,,
12.432089999999999,5,lp2,,,
12.432089999999999,6,lp2,,,
12.432089999999999,7,lp2,,,
12.432089999999999,8,lp2,,,
12.432089999999999,9,lp2,,,
12.432089999999999,10,lp2,,,
13.46532,1,j4-1,,,
13.46532,2,j4-1,,,
13.46532,3,j4-1,,,
13.46532,4,j2-3,,,
13.46532,5,j2-3,,,
13.46532,6,j2-3,,,
13.46532,7,j2-3,,,
13.46532,8,j2-3,,,
13.46532,9,j2-3,,,
13.46532,10,j2-3,,,
13.831949999999999,1,lp1,,,
13.831949999999999,2,lp1,,,
13.831949999999999,3,lp1,,,
13.831949999999999,4,lp3,,,
13.831949999999999,5,lp3,,,
