0.06666,MOT_all,warutsu00,,
2.13312,MOT_mc_bg_black_00,seat100-0,,
2.13312,MOT_mc_light_up_00,l1,,
2.13312,MOT_mc_light_under_00,l2,,
2.13312,MOT_mc_speaker_00,temp4,,
2.13312,MOT_all,warutsu01,,
2.13312,1,lp1,,
2.13312,2,lp1,,
2.13312,3,lp1,,
2.83305,1,1-2,,
3.2330099999999997,2,1-2,,
3.59964,3,1-2,,
3.7662899999999997,1,w2,,
4.16625,2,w2,,
4.19958,1,j2-3,,
4.19958,2,j2-3,,
4.19958,3,j2-3,,
4.76619,1,lp3,,
4.76619,2,lp3,,
4.76619,3,lp3,,
5.53278,1,,r1,
5.53278,2,,r1,
5.53278,3,,r1,
5.86608,1,,rb0,
5.86608,2,,rb0,
5.86608,3,,rb0,
6.6659999999999995,1,lp3,l1,
6.6659999999999995,2,lp3,l1,
6.6659999999999995,3,lp3,l1,
6.9993,1,,lb0,
6.9993,2,,lb0,
6.9993,3,,lb0,
7.9325399999999995,1,3-4,l1,
8.29917,3,3-4,l1,
8.29917,2,3-4,l1,
8.865779999999999,1,w4,,
9.23241,3,w4,,
9.23241,2,w4,,
9.26574,1,4-1,l2,
9.63237,3,4-1,l2,
9.63237,2,4-1,l2,
10.198979999999999,1,w1,,
10.498949999999999,1,1-2,l3,
10.56561,3,w1,,
10.56561,2,w1,,
10.86558,3,1-2,l3,
10.86558,2,1-2,l3,
11.43219,1,w2,,
11.73216,1,2-3,lb2,
11.79882,3,w2,,
11.79882,2,w2,,
12.06546,3,2-3,lb2,
12.06546,2,2-3,lb2,
12.6654,1,w3,,
12.96537,1,3-4,lb1,
12.9987,3,w3,,
12.9987,2,w3,,
13.29867,3,3-4,lb1,
13.29867,2,3-4,lb1,
13.89861,1,w4,,
14.19858,1,4-1,lb0,
14.23191,3,w4,,
14.23191,2,w4,,
14.53188,3,4-1,lb0,
14.53188,2,4-1,lb0,
15.13182,1,w1,,
15.43179,1,1-2,r1,
