0.03333,MOT_mc_special_03,smoke,,
0.03333,MOT_control_all,z100,,
0.03333,MOT_all,bloody_cut01,,
0.03333,MOT_mc_stage_color_00,y-flash,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,,,,D100
0.03333,2,,,,D100
0.03333,3,,,,D100
0.03333,4,,,,D100
0.03333,5,,,,D100
0.03333,2,,,b-1,
0.03333,3,,,b-1,
0.03333,4,,,b-1,
0.03333,5,,,b-1,
2.43309,1,1-2,,,
2.43309,4,1-2,,,
2.43309,5,1-2,,,
2.63307,MOT_mc_speaker_00,temp4,,
2.63307,MOT_mc_light_under_00,l2,,
2.7997199999999998,2,1-2,,,
3.16635,3,1-2,,,
3.36633,5,w2,,,
3.36633,4,w2,,,
3.36633,1,w2,,,
3.4329899999999998,1,2-3,,,
3.4329899999999998,4,2-3,,,
3.4329899999999998,5,2-3,,,
3.69963,2,2-3,,,
3.9662699999999997,3,2-3,,,
4.19958,1,3-4,,,
4.19958,4,3-4,,,
4.19958,5,3-4,,,
4.39956,2,3-4,,,
4.59954,3,3-4,,,
4.83285,1,4-1,,,
4.83285,4,4-1,,,
4.83285,5,4-1,,,
5.06616,2,4-1,,,
5.2994699999999995,3,4-1,,,
5.53278,5,1-2,,,
5.76609,1,w1,,,
5.76609,4,1-2,,,
5.9994,2,w1,,,
6.23271,3,w1,,,
6.29937,1,j1-2,,,
6.3327,2,j1-2,,,
6.366029999999999,3,j1-2,,,
6.39936,4,j2-3,,,
6.43269,5,j2-3,,,
6.59934,MOT_mc_stage_color_00,y-flash,,
6.6659999999999995,1,,,,L80
6.6659999999999995,2,,,,L80
6.6659999999999995,3,,,,L80
6.6659999999999995,4,,,,L80
6.6659999999999995,5,,,,L80
6.73266,1,lp2,,,
6.73266,2,lp2,,,
6.73266,3,lp2,,,
6.73266,4,lp3,,,
6.73266,5,lp3,,,
7.6659,1,j2-3,,,
7.69923,2,j2-3,,,
7.732559999999999,3,j2-3,,,
7.76589,4,j3-4,,,
7.79922,5,j3-4,,,
8.09919,1,lp3,,,
8.09919,2,lp3,,,
8.09919,3,lp3,,,
8.09919,4,lp4,,,
8.09919,5,lp4,,,
9.06576,2,3-4,,,
9.06576,3,3-4,,,
9.39906,2,lp4,,,
9.39906,3,lp4,,,
9.699029999999999,1,3-4,,,
9.699029999999999,4,4-1,,,
9.699029999999999,5,4-1,,,
9.998999999999999,1,lp4,,,
9.998999999999999,4,lp1,,,
9.998999999999999,5,lp1,,,
10.43229,4,1-2,,,
10.76559,4,lp2,,,
11.098889999999999,2,4-1,,,
11.398859999999999,2,lp1,,,
11.73216,1,4-1,,,
12.032129999999999,1,lp1,,,
12.36543,3,4-1,,,
12.6654,3,lp1,,,
13.032029999999999,5,1-2,,,
13.36533,5,lp2,,,
14.465219999999999,1,j1-2,,,
14.465219999999999,2,j1-2,,,
14.465219999999999,3,j1-2,,,
14.465219999999999,4,j2-3,,,
14.465219999999999,5,j2-3,,,
14.79852,1,lp2,,,
14.79852,2,lp2,,,
14.79852,3,lp2,,,
14.79852,4,lp3,,,
14.79852,5,lp3,,,
16.63167,1,2-3,,,
16.63167,2,2-3,,,
16.63167,3,2-3,,,
16.63167,4,3-4,,,
16.63167,5,3-4,,,
16.931639999999998,1,hj3,,,
16.931639999999998,2,hj3,,,
16.931639999999998,3,hj3,,,
16.931639999999998,4,hj4,,,
16.931639999999998,5,hj4,,,
17.364929999999998,MOT_control_all,z100-115,,
17.43159,MOT_mc_stage_color_00,r-flash,,
17.46492,MOT_mc_light_center_00,l1,,
17.46492,MOT_mc_bg_black_00,b80-65,,
17.46492,1,,,,L60
17.46492,2,,,,L60
17.46492,3,,,,L60
17.46492,4,,,,L60
17.46492,5,,,,L60
17.531579999999998,1,lp3,,,
17.531579999999998,2,lp3,,,
17.531579999999998,3,lp3,,,
17.531579999999998,4,lp4,,,
17.531579999999998,5,lp4,,,
19.03143,5,j4-1,,,
19.09809,2,j3-4,,,
19.164749999999998,3,j3-4,,,
19.23141,4,j4-1,,,
19.26474,1,j3-4,,,
19.564709999999998,1,hj4,,,
20.09799,5,w1,,,
20.13132,1,lp4,,,
20.13132,2,lp4,,,
20.13132,3,lp4,,,
20.13132,4,lp1,,,
20.13132,5,lp1,,,
21.13122,1,4-1,l1,,
21.13122,2,4-1,l1,,
21.13122,3,4-1,l1,,
21.13122,4,1-2,l1,,
21.13122,5,1-2,l1,,
21.6645,1,lp1,lb0,,
21.6645,2,lp1,lb0,,
21.6645,3,lp1,lb0,,
21.6645,4,lp2,lb0,,
21.6645,5,lp2,lb0,,
21.997799999999998,1,1-2,r1,,
21.997799999999998,2,1-2,r1,,
21.997799999999998,3,1-2,r1,,
21.997799999999998,4,2-3,r1,,
21.997799999999998,5,2-3,r1,,
22.431089999999998,1,j2-3,rb0,,
22.431089999999998,2,j2-3,rb0,,
22.431089999999998,3,j2-3,rb0,,
22.431089999999998,4,j3-4,rb0,,
22.431089999999998,5,j3-4,rb0,,
22.76439,1,lp3,,,
22.76439,2,lp3,,,
22.76439,3,lp3,,,
22.76439,4,lp4,,,
22.76439,5,lp4,,,
24.36423,5,j4-1,,,
24.430889999999998,2,j3-4,,,
24.49755,3,j3-4,,,
24.56421,4,j4-1,,,
24.59754,1,j3-4,,,
24.89751,1,hj4,,,
24.89751,2,hj4,,,
