0.03333,MOT_mc_bg_black_00,seat100-0,,
0.89991,MOT_all,cut1,,
1.26654,MOT_control_all,z100-130,,
1.3998599999999999,MOT_mc_bg_black_00,b65-20,,
1.3998599999999999,MOT_mc_stage_color_00,r-flash,,
1.3998599999999999,MOT_mc_light_up_00,l2,,
1.3998599999999999,MOT_mc_light_center_00,l3_nomonitor,,
1.3998599999999999,MOT_mc_light_under_00,l1,,
1.3998599999999999,MOT_mc_speaker_00,temp2,,
1.3998599999999999,MOT_mc_special_05,rainbow,,
1.3998599999999999,2,1-2,,,
1.3998599999999999,3,1-2,,,
1.3998599999999999,1,1-2,,f1,
1.96647,2,lp2,,,
1.96647,3,lp2,,,
1.9998,1,j2-3,,,
3.06636,1,w3,,,
3.06636,2,2-3,l1,,
3.06636,3,2-3,r1,,
3.06636,1,,r1,,
3.59964,2,lp3,,,
3.59964,3,lp3,,,
3.6662999999999997,1,sp3-4,,,
4.26624,2,j3-4,,,
4.26624,3,j3-4,,,
4.26624,1,sj4,,,
4.76619,1,w4,,,
4.86618,2,lp4,,,
4.86618,3,lp4,,,
5.13282,1,,rb0,,
5.83275,1,4-1,,,
6.066059999999999,2,4-1,,,
6.3327,3,4-1,,,
6.3327,1,,l1,,
6.7659899999999995,1,w1,,,
6.83265,2,lp1,,,
6.83265,3,lp1,,,
6.83265,1,lp1,,,
7.79922,1,1-2,,,
8.53248,2,1-2,l2,,
8.53248,3,1-2,r2,,
8.53248,1,2-3,lb0,,
9.13242,1,lp3,,,
9.46572,3,w2,,,
9.46572,2,w2,,,
9.599039999999999,2,2-3,lb1,,
9.599039999999999,3,2-3,rb1,,
9.599039999999999,1,3-4,,,
10.06566,1,lp4,,,
10.098989999999999,2,lp3,,,
10.098989999999999,3,lp3,,,
10.56561,1,4-1,l1,,
11.06556,1,lp1,,,
11.56551,1,1-2,,,
12.26544,1,2-3,,,
12.76539,2,j3-4,,,
12.76539,3,j3-4,,,
12.76539,1,3-4,lb0,,
13.36533,2,lp4,,,
13.36533,3,lp4,,,
13.69863,1,w4,,,
13.79862,1,j4-1,,,
14.465219999999999,1,lp1,,,
14.73186,2,4-1,lb0,,
14.73186,3,4-1,rb0,,
14.73186,1,j1-2,,,
14.89851,MOT_mc_special_05,sky,,
14.89851,MOT_mc_stage_color_00,y-flash,,
14.89851,MOT_mc_light_up_00,l1,,
14.89851,MOT_mc_light_center_00,l1_nomonitor,,
14.89851,MOT_mc_bg_black_00,b20-65,,
14.89851,2,,,,D20
14.89851,3,,,,D20
14.89851,MOT_control_all,z130-100,,
15.39846,1,lp2,,,
15.665099999999999,3,w1,,,
15.665099999999999,2,w1,,,
15.865079999999999,1,2-3,,b0,
16.46502,2,1-2,,,
16.46502,3,1-2,,,
16.79832,1,w3,,,
16.9983,1,3-4,,,
17.09829,2,sj2,,,
17.364929999999998,3,sj2,,,
17.564909999999998,1,sj4,,,
17.59824,2,w2,,,
17.86488,3,w2,,,
18.06486,1,w4,,,
18.09819,1,j4-1,,,
18.164849999999998,2,2-3,,,
18.26484,3,2-3,,,
19.09809,2,w3,,,
19.164749999999998,1,w1,,,
19.198079999999997,3,w3,,,
19.198079999999997,1,j1-2,,,
19.564709999999998,2,j3-4,,,
20.09799,3,j3-4,,,
20.26464,1,w2,,,
20.63127,2,w4,,,
20.69793,1,2-3,,,
20.69793,2,4-1,,,
20.69793,3,4-1,,,
21.197879999999998,1,3-4,,,
21.46452,2,sj1,,,
21.46452,3,sj1,,,
21.797819999999998,1,sj4,,,
21.96447,3,w1,,,
21.96447,2,w1,,,
22.06446,2,sj1,,,
22.06446,3,sj1,,,
22.29777,1,w4,,,
22.3311,1,j4-1,,,
22.56441,3,w1,,,
22.56441,2,w1,,,
22.6644,2,j1-2,,,
22.6644,3,j1-2,,,
23.36433,MOT_mc_stage_color_00,y-flash,,
23.36433,MOT_mc_bg_black_00,b65-45,,
23.36433,2,2-3,,,
23.36433,3,2-3,,,
23.36433,1,1-2,,f1,
23.864279999999997,1,lp2,,,
24.29757,3,w3,,,
24.29757,2,w3,,,
24.464219999999997,1,2-3,l1,,
24.96417,1,lp3,,,
25.43079,1,3-4,l2,,
25.83075,1,lp4,,,
26.497349999999997,2,3-4,l1,,
26.497349999999997,3,3-4,r1,,
26.497349999999997,1,4-1,,,
26.93064,1,lp1,,,
27.43059,3,w4,,,
27.43059,2,w4,,,
27.497249999999998,1,j1-2,,,
28.06386,1,lp2,,,
28.6638,1,2-3,lb1,,
29.130419999999997,1,lp3,,,
29.697029999999998,2,4-1,l2,,
29.697029999999998,3,4-1,r2,,
29.697029999999998,1,3-4,lb0,,
30.26364,2,1-2,l3,,
30.26364,3,1-2,r3,,
30.330299999999998,1,lp4,,,
30.83025,2,j2-3,,,
30.83025,3,j2-3,,,
31.363529999999997,2,sj3,,,
31.363529999999997,3,sj3,,,
31.86348,3,w3,,,
31.86348,2,w3,,,
31.963469999999997,MOT_mc_stage_color_00,y-flash,,
31.963469999999997,2,j3-4,,,
31.963469999999997,3,j3-4,,,
31.963469999999997,1,4-1,,,
32.46342,1,lp1,,,
33.03003,3,w4,,,
33.03003,2,w4,,,
33.063359999999996,1,1-2,r1,,
33.56331,1,lp2,,,
34.02993,2,4-1,lb2,,
34.02993,3,4-1,rb2,,
34.02993,1,2-3,r2,,
34.42989,1,lp3,,,
34.96317,3,w1,,,
34.96317,2,w1,,,
35.096489999999996,2,1-2,l3,,
35.096489999999996,3,1-2,r3,,
35.096489999999996,1,3-4,,,
35.529779999999995,1,lp4,,,
36.02973,3,w2,,,
36.02973,2,w2,,,
36.09639,2,2-3,l4,,
36.09639,3,2-3,r4,,
36.09639,1,j4-1,,,
36.663,1,lp1,,,
37.02963,3,w3,,,
37.02963,2,w3,,,
37.26294,2,sp3-4,,,
37.26294,3,sp3-4,,,
37.26294,1,1-2,rb1,,
37.72956,1,lp2,,,
38.29617,2,sj4,,,
38.29617,3,sj4,,,
38.29617,1,2-3,rb0,,
38.796119999999995,3,w4,,,
38.796119999999995,2,w4,,,
38.92944,2,4-1,,,
38.92944,3,4-1,,,
38.92944,1,lp3,,,
39.3294,2,sj1,,,
39.3294,3,sj1,,,
39.82935,3,w1,,,
39.82935,2,w1,,,
39.82935,1,j3-4,,,
40.395959999999995,2,sj1,,,
40.395959999999995,3,sj1,,,
40.395959999999995,1,lp4,,,
40.795919999999995,2,sj1,,,
40.795919999999995,3,sj1,,,
40.9959,1,4-1,,,
41.229209999999995,2,1-2,,,
41.229209999999995,3,1-2,,,
41.49585,1,j1-2,,,
41.629169999999995,2,2-3,,,
41.629169999999995,3,2-3,,,
41.995799999999996,2,j3-4,,,
41.995799999999996,3,j3-4,,,
41.995799999999996,1,lp2,,,
42.49575,1,2-3,,,
42.89571,1,sj3,,,
43.06236,3,w4,,,
43.06236,2,w4,,,
43.39566,1,w3,,,
43.52898,2,j4-1,,,
43.52898,3,j4-1,,,
43.52898,1,j3-4,,,
44.09559,1,lp4,,,
44.52888,2,1-2,lb3,,
44.52888,3,1-2,rb3,,
44.52888,1,4-1,r1,,
44.9955,1,lp1,,,
45.46212,3,w2,,,
45.46212,2,w2,,,
45.628769999999996,2,2-3,l4,,
45.628769999999996,3,2-3,r4,,
45.628769999999996,1,1-2,rb0,,
46.062059999999995,1,lp2,,,
46.56201,3,w3,,,
46.56201,2,w3,,,
46.96197,2,3-4,,,
