0.03333,MOT_all,PANDEMIC_ALONE,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,2,,,b-1,
0.03333,3,,,b-1,
0.03333,1,,,f1,
1.89981,1,1-2,,,
2.19978,MOT_mc_special_02,hokori,,
2.23311,MOT_mc_stage_color_00,y-flash,,
2.23311,MOT_mc_light_under_00,l2,,
2.23311,MOT_mc_speaker_00,temp4,,
2.23311,MOT_mc_light_up_00,l1,,
2.23311,MOT_mc_light_center_00,l1,,
2.23311,MOT_mc_special_03,smoke,,
2.23311,1,,,,L20
2.23311,2,,,,L40
2.23311,3,,,,L40
2.29977,1,lp2,,,
2.29977,2,lp1,,,
2.29977,3,lp1,,,
3.0330299999999997,1,2-3,,,
3.0330299999999997,2,1-2,,,
3.0330299999999997,3,1-2,,,
3.4329899999999998,1,lp3,,,
3.4329899999999998,2,lp2,,,
3.4329899999999998,3,lp2,,,
4.19958,1,j3-4,,,
4.19958,2,j2-3,,,
4.19958,3,j2-3,,,
4.73286,1,4-1,,,
4.73286,2,3-4,,,
4.73286,3,3-4,,,
5.3994599999999995,1,j1-2,,,
5.3994599999999995,2,j4-1,,,
5.3994599999999995,3,j4-1,,,
6.466019999999999,3,w1,,,
6.466019999999999,2,w1,,,
6.466019999999999,1,w2,,,
6.63267,1,2-3,,,
6.9993,1,3-4,,,
6.9993,2,1-2,,,
6.9993,3,1-2,,,
7.09929,1,,,,L0
7.36593,1,lp4,,,
7.86588,1,j4-1,,,
7.9325399999999995,3,w2,,,
7.9325399999999995,2,w2,,,
8.23251,1,lp1,,,
8.83245,1,j1-2,,,
9.23241,1,2-3,,,
9.6657,1,j3-4,,,
10.6656,1,sj4,,,
11.13222,1,4-1,,,
11.53218,1,j1-2,,,
11.53218,2,2-3,,,
11.53218,3,2-3,,,
12.09879,1,2-3,,,
12.46542,3,w3,,,
12.46542,2,w3,,,
12.46542,1,lp3,,,
13.331999999999999,1,3-4,,,
13.331999999999999,2,3-4,,,
13.331999999999999,3,3-4,,,
13.931939999999999,1,4-1,,,
13.931939999999999,2,4-1,,,
13.931939999999999,3,4-1,,,
14.43189,1,j1-2,,,
14.43189,2,j1-2,,,
14.43189,3,j1-2,,,
14.79852,1,lp2,,,
14.79852,2,lp2,,,
14.79852,3,lp2,,,
15.79842,1,j2-3,,,
16.16505,1,lp3,,,
16.63167,1,j3-4,,,
17.03163,1,4-1,,,
17.59824,1,j1-2,,,
17.9982,1,lp2,,,
18.59814,1,2-3,,,
18.59814,2,2-3,,,
18.59814,3,2-3,,,
18.964769999999998,1,sp3-4,,,
19.46472,1,sj4,,,
19.53138,3,w3,,,
19.53138,2,w3,,,
19.83135,1,lp4,,,
20.23131,1,4-1,,,
20.23131,2,3-4,,,
20.23131,3,3-4,,,
20.56461,3,sj4,,,
20.56461,2,sj4,,,
20.56461,1,sj1,,,
20.96457,1,j1-2,,,
20.96457,2,j4-1,,,
20.96457,3,j4-1,,,
21.36453,1,lp2,,,
21.36453,2,lp1,,,
21.36453,3,lp1,,,
22.29777,1,j2-3,,,
22.29777,2,j1-2,,,
22.29777,3,j1-2,,,
22.69773,1,lp3,,,
22.69773,2,lp2,,,
22.69773,3,lp2,,,
23.53098,1,3-4,,,
24.13092,2,2-3,,,
24.13092,3,2-3,,,
24.464219999999997,1,w4,,,
24.664199999999997,1,j4-1,,,
24.664199999999997,2,j3-4,,,
24.664199999999997,3,j3-4,,,
25.264139999999998,2,,l1,,
25.264139999999998,3,,l1,,
25.264139999999998,1,,r1,,
25.73076,3,w4,,,
25.73076,2,w4,,,
