0.03333,MOT_control_all,nyowa_zoom1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,cut1,,
0.03333,2,,,,Dyw
0.03333,3,,,,Dyw
0.03333,1,,,,Dyw
2.9997,MOT_mc_stage_color_00,y-flash,,
2.9997,MOT_mc_speaker_00,temp2,,
2.9997,MOT_mc_light_up_00,l1,,
2.9997,MOT_mc_light_center_00,l1,,
2.9997,MOT_mc_light_under_00,l1,,
2.9997,MOT_mc_special_02,kirakira,,
2.9997,2,lp1,,,
2.9997,3,lp1,,,
2.9997,1,lp1,,,
5.9994,MOT_mc_stage_color_00,r-flash,,
5.9994,MOT_mc_bg_black_00,b65-45,,
5.9994,MOT_mc_light_up_00,l2,,
5.9994,MOT_mc_light_center_00,l2,,
5.9994,MOT_mc_light_under_00,l3,,
5.9994,1,j1-2,,,Lyw
6.5660099999999995,1,sp2-3,,,
7.46592,MOT_mc_stage_color_00,y-flash,,
7.46592,2,j1-2,,,
7.46592,1,3-4,,,
7.56591,3,j1-2,,,
7.89921,1,lp4,,,
7.9992,2,sp2-3,,,
8.13252,3,sp2-3,,,
8.96577,MOT_mc_stage_color_00,b-flash,,
8.96577,1,j4-1,,,
9.03243,3,3-4,,,
9.09909,2,3-4,,,
9.599039999999999,1,sp1-2,,,
9.63237,2,lp4,,,
9.63237,3,lp4,,,
10.36563,1,2-3,,,
10.83225,2,j4-1,,,
11.198879999999999,3,j4-1,,,
11.298869999999999,1,w3,,,
11.43219,1,3-4,,,
11.79882,1,hj4,,,
11.86548,2,sp1-2,,,
11.932139999999999,3,sp1-2,,,
12.29877,MOT_mc_stage_color_00,r-flash,,
12.29877,2,2-3,,,
12.36543,3,2-3,,,
12.632069999999999,1,sp4-1,,,
12.76539,2,lp3,,,
12.86538,3,lp3,,,
13.19868,1,1-2,,,
13.79862,1,2-3,,,
14.13192,2,j3-4,,,
14.265239999999999,3,j3-4,,,
14.665199999999999,1,3-4,,,
14.865179999999999,2,4-1,,,
14.9985,3,4-1,,,
15.3318,MOT_mc_stage_color_00,y-flash,,
15.3318,1,sp4-1,,,
15.73176,3,sp1-2,,,
15.79842,2,sp1-2,,,
16.03173,1,1-2,,,
16.63167,1,2-3,,,
16.69833,2,2-3,,,
16.76499,3,2-3,,,
17.19828,1,3-4,,,
17.26494,2,3-4,l1,,
17.331599999999998,3,3-4,r1,,
17.6649,1,4-1,,,
17.79822,3,4-1,rb0,,
17.86488,2,4-1,lb0,,
18.3315,1,j1-2,,,
18.39816,2,1-2,l1,,
18.39816,3,1-2,r1,,
18.564809999999998,MOT_mc_stage_color_00,b-flash,,
18.564809999999998,MOT_mc_special_04,laugh,,
18.964769999999998,1,sp2-3,,,
18.9981,3,2-3,,,
19.09809,2,2-3,,,
19.598039999999997,1,3-4,,,
19.73136,2,3-4,lb0,,
19.86468,MOT_mc_stage_color_00,r-flash,,
19.86468,3,3-4,rb0,,
20.03133,1,j4-1,,,
20.53128,1,j1-2,,,
20.56461,MOT_mc_stage_color_00,b-flash,,
20.63127,2,j4-1,,,
20.73126,3,j4-1,,,
21.26454,1,sp2-3,,,
21.53118,3,1-2,r1,,
21.6645,2,1-2,l1,,
22.431089999999998,1,3-4,,,
22.46442,3,w2,,,
22.597739999999998,2,w2,,,
22.89771,2,2-3,lb0,,
22.89771,3,2-3,rb0,,
23.16435,1,4-1,r1,,
23.664299999999997,1,1-2,rb0,,
23.830949999999998,3,w3,,,
23.830949999999998,2,w3,,,
23.89761,2,lp3,,,
23.89761,3,lp3,,,
24.39756,MOT_mc_stage_color_00,y-flash,,
24.39756,1,2-3,l1,f1,
24.76419,1,3-4,lb0,,
25.13082,2,3-4,,,
25.13082,1,4-1,,,
25.19748,3,3-4,,,
25.464119999999998,1,1-2,,,
25.49745,2,4-1,,,
25.56411,3,4-1,,,
25.83075,1,2-3,l1,,
26.16405,1,3-4,lb0,,
26.19738,2,j1-2,,,
26.19738,3,j1-2,,,
26.59734,1,sp4-1,,,
26.83065,2,j2-3,,,
26.897309999999997,3,j2-3,,,
26.9973,1,1-2,,,
27.39726,MOT_mc_stage_color_00,r-flash,,
27.39726,2,lp3,,,
27.39726,3,lp3,,,
27.39726,1,hj2,,,
28.130519999999997,1,2-3,l1,,
28.46382,1,3-4,lb0,,
28.79712,2,3-4,,,
28.79712,1,4-1,,,
28.83045,2,4-1,,,
29.16375,1,1-2,,,
29.19708,3,3-4,,,
29.23041,2,1-2,,,
29.59704,1,sp2-3,,,
29.63037,2,j2-3,,,
29.63037,3,j4-1,,,
30.163649999999997,2,sj3,,,
30.23031,1,3-4,,,
30.296969999999998,3,j1-2,,,
30.6636,2,w3,,,
30.6636,MOT_mc_stage_color_00,y-flash,,
30.6636,1,j4-1,,,
30.79692,2,lp3,,,
30.79692,3,lp2,,,
31.163549999999997,1,j1-2,,,
31.19688,3,2-3,,,
31.26354,2,3-4,,,
31.6635,1,2-3,,,
31.69683,2,j4-1,,,
31.763489999999997,3,j3-4,,,
32.06346,1,sp3-4,,,
32.46342,3,j4-1,,,
32.53008,2,j1-2,,,
32.53008,1,4-1,,,
32.9967,MOT_mc_stage_color_00,b-flash,,
32.9967,1,1-2,l1,,
33.03003,2,2-3,l1,,
33.03003,3,1-2,l1,,
33.36333,1,2-3,lb0,,
33.39666,2,3-4,lb0,,
33.39666,3,2-3,lb0,,
33.76329,1,sp3-4,,,
33.79662,2,lp4,,,
33.79662,3,lp3,,,
34.296569999999996,1,4-1,,,
34.329899999999995,3,3-4,,,
34.36323,2,4-1,,,
34.696529999999996,1,sp1-2,,,
34.76319,2,1-2,,,
34.79652,3,4-1,,,
35.29647,2,2-3,,,
35.36313,1,2-3,,,
35.42979,3,1-2,,,
35.82975,1,j3-4,,,
35.86308,2,sp3-4,,,
35.86308,3,sp2-3,,,
36.42969,1,4-1,,,
36.46302,2,4-1,,,
36.52968,3,3-4,,,
36.89631,1,1-2,r1,,
36.92964,MOT_mc_stage_color_00,r-flash,,
37.02963,2,j1-2,,,
37.096289999999996,3,j4-1,,,
37.26294,1,2-3,rb0,,
37.62957,1,3-4,,,
37.6629,2,2-3,,,
37.72956,2,3-4,,,
38.02953,1,j4-1,,,
