0.03333,MOT_all,cherry_1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_light_under_00,l2,,
0.03333,1,,,,D60
0.03333,2,,,,D60
0.03333,3,,,,D60
0.03333,4,,,,D60
0.03333,5,,,,D60
0.03333,2,,,b-1,
0.03333,3,,,b-1,
0.03333,4,,,b-1,
0.03333,5,,,b-1,
1.9331399999999999,1,,,,L40
1.9331399999999999,2,,,,L40
1.9331399999999999,3,,,,L40
1.9331399999999999,4,,,,L40
1.9331399999999999,5,,,,L40
1.9331399999999999,2,1-2,,,
1.9331399999999999,3,1-2,,,
1.9331399999999999,4,1-2,,,
1.9331399999999999,5,1-2,,,
1.9331399999999999,1,j1-2,,,
2.09979,1,,,,L20
2.1664499999999998,MOT_mc_stage_color_00,r-flash,,
2.23311,MOT_mc_bg_black_00,b45-20,,
2.23311,MOT_mc_speaker_00,temp4,,
2.29977,MOT_mc_light_up_00,l3,,
2.29977,MOT_mc_light_center_00,l3,,
2.29977,1,lp2,,,
2.29977,2,lp2,,,
2.29977,3,lp2,,,
2.29977,4,lp2,,,
2.29977,5,lp2,,,
2.63307,1,j2-3,,,
2.63307,2,j2-3,,,
2.63307,3,j2-3,,,
2.63307,4,j2-3,,,
2.63307,5,j2-3,,,
2.96637,1,lp3,,,
2.96637,2,lp3,,,
2.96637,3,lp3,,,
2.96637,4,lp3,,,
2.96637,5,lp3,,,
3.26634,1,j3-4,,,
3.26634,2,j3-4,,,
3.26634,3,j3-4,,,
3.26634,4,j3-4,,,
3.26634,5,j3-4,,,
3.5663099999999996,1,lp4,,,
3.5663099999999996,2,lp4,,,
3.5663099999999996,3,lp4,,,
3.5663099999999996,4,lp4,,,
3.5663099999999996,5,lp4,,,
4.49955,4,4-1,,,
4.49955,5,4-1,,,
4.76619,2,4-1,,,
4.76619,3,4-1,,,
5.03283,1,4-1,,,
5.03283,2,1-2,,,
5.03283,3,1-2,,,
5.03283,4,1-2,,,
5.03283,5,1-2,,,
5.53278,1,j1-2,,,
5.53278,2,j2-3,,,
5.53278,3,j2-3,,,
5.53278,4,j2-3,,,
5.53278,5,j2-3,,,
5.86608,1,lp2,,,
5.86608,2,lp3,,,
5.86608,3,lp3,,,
5.86608,4,lp3,,,
5.86608,5,lp3,,,
6.53268,1,2-3,,,
6.53268,2,3-4,,,
6.53268,3,3-4,,,
6.53268,4,3-4,,,
6.53268,5,3-4,,,
6.83265,1,3-4,,,
6.83265,2,4-1,,,
6.83265,3,4-1,,,
6.83265,4,4-1,,,
6.83265,5,4-1,,,
7.09929,4,j1-2,,,
7.16595,2,j1-2,,,
7.232609999999999,1,j4-1,,,
7.29927,3,j1-2,,,
7.36593,5,j1-2,,,
7.732559999999999,1,hj1,,,
7.732559999999999,2,hj2,,,
7.732559999999999,3,hj2,,,
7.732559999999999,4,hj2,,,
7.732559999999999,5,hj2,,,
8.59914,1,1-2,,,
8.59914,2,2-3,,,
8.59914,3,2-3,,,
8.59914,4,2-3,,,
8.59914,5,2-3,,,
9.09909,1,j2-3,,,
9.09909,2,j3-4,,,
9.09909,3,j3-4,,,
9.09909,4,j3-4,,,
9.09909,5,j3-4,,,
9.43239,1,lp3,,,
9.43239,2,lp4,,,
9.43239,3,lp4,,,
9.43239,4,lp4,,,
9.43239,5,lp4,,,
9.6657,1,3-4,,b-1,
9.799019999999999,2,j4-1,,,
9.899009999999999,3,j4-1,,,
