0.03333,MOT_mc_stage_color_00,y-b,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_light_center_00,l1,,
0.03333,MOT_mc_light_up_00,l1,,
0.03333,MOT_mc_speaker_00,temp1,,
0.03333,MOT_mc_light_under_00,l1,,
0.03333,1,,,b-1,D20
0.03333,2,,,b-1,D20
0.03333,3,,,b-1,D20
1.63317,MOT_all,cut1,,
1.79982,MOT_mc_stage_color_00,b-flash,,
1.79982,MOT_mc_bg_black_00,b80-65,,
1.79982,1,1-2,,,
1.79982,2,1-2,,,
1.79982,3,1-2,,,
2.56641,1,2-3,,,
2.56641,2,2-3,,,
2.56641,3,2-3,,,
3.16635,1,lp3,,,
3.16635,2,lp3,,,
3.16635,3,lp3,,,
3.8662799999999997,1,3-4,,,
3.9662699999999997,2,3-4,,,
3.9662699999999997,3,3-4,,,
4.59954,1,4-1,,,
4.69953,2,4-1,,,
4.69953,3,4-1,,,
5.06616,1,1-2,,,
5.06616,2,1-2,,,
5.06616,3,1-2,,,
5.6994299999999996,1,2-3,,,
5.79942,2,2-3,l1,,
5.79942,3,2-3,r1,,
6.5660099999999995,1,3-4,,,
6.6659999999999995,2,3-4,,,
6.6659999999999995,3,3-4,,,
7.032629999999999,1,4-1,,,
7.032629999999999,2,4-1,,,
7.032629999999999,3,4-1,,,
7.79922,1,1-2,,,
7.89921,2,1-2,l2,,
7.89921,3,1-2,r2,,
8.565809999999999,1,2-3,,,
8.665799999999999,2,2-3,,,
8.665799999999999,3,2-3,,,
9.03243,1,3-4,,,
9.03243,2,3-4,,,
9.03243,3,3-4,,,
9.73236,1,j4-1,,,
9.83235,2,4-1,l3,,
9.83235,3,4-1,r3,,
10.198979999999999,1,1-2,,,
10.198979999999999,2,1-2,,,
10.198979999999999,3,1-2,,,
10.46562,1,j2-3,,,
10.56561,2,2-3,,,
10.56561,3,2-3,,,
11.36553,1,j3-4,,,
11.46552,2,3-4,lb2,,
11.46552,3,3-4,rb2,,
12.09879,1,j4-1,,,
12.19878,2,4-1,,,
12.19878,3,4-1,,,
12.832049999999999,1,1-2,,,
12.832049999999999,2,1-2,,,
12.832049999999999,3,1-2,,,
13.531979999999999,1,2-3,,,
13.631969999999999,2,2-3,lb1,,
13.631969999999999,3,2-3,rb1,,
14.265239999999999,1,j3-4,,,
14.365229999999999,2,3-4,,,
14.365229999999999,3,3-4,,,
14.965169999999999,1,j4-1,,,
15.065159999999999,2,4-1,lb0,,
15.065159999999999,3,4-1,rb0,,
15.79842,1,j1-2,,,
15.89841,2,1-2,,,
15.89841,3,1-2,,,
16.43169,MOT_control_all,z100-115,,
16.79832,MOT_mc_stage_color_00,y-flash,,
16.79832,MOT_mc_bg_black_00,b65-45,,
16.79832,MOT_mc_light_center_00,l1,,
16.79832,MOT_mc_light_up_00,l1,,
16.79832,1,2-3,,f0,L0
16.79832,2,2-3,,,
16.79832,3,2-3,,,
17.23161,1,lp3,,,
17.731559999999998,3,w3,,,
17.731559999999998,2,w3,,,
17.79822,1,j3-4,,,
18.3315,1,lp4,,,
18.89811,1,4-1,,,
19.564709999999998,1,j1-2,,,
20.03133,1,lp2,,,
20.597939999999998,1,hj2,,,
20.597939999999998,2,j3-4,,,
20.597939999999998,3,j3-4,,,
21.46452,1,2-3,,,
21.6645,3,w4,,,
21.6645,2,w4,,,
22.16445,1,3-4,l1,,
22.597739999999998,1,lp4,,,
23.16435,1,4-1,lb0,,
23.53098,1,lp1,,,
23.864279999999997,1,1-2,,,
24.49755,1,2-3,r1,,
24.49755,2,4-1,,,
24.49755,3,4-1,,,
24.9975,1,lp3,,,
25.43079,3,w1,,,
25.43079,2,w1,,,
25.56411,1,j3-4,,,
26.13072,1,lp4,,,
26.56401,1,4-1,rb0,,
26.9973,1,lp1,,,
27.36393,1,j1-2,,,
28.03053,1,2-3,,,
28.03053,2,j1-2,,,
28.03053,3,j1-2,,,
28.56381,1,lp3,,,
29.097089999999998,3,w2,,,
29.097089999999998,2,w2,,,
29.097089999999998,1,j3-4,,,
29.76369,1,4-1,r1,,
30.39696,1,lp1,,,
30.83025,1,j1-2,,,
31.29687,1,lp2,,,
31.69683,1,,rb0,,
32.43009,MOT_mc_stage_color_00,r-flash,,
32.43009,MOT_mc_light_center_00,l2,,
32.43009,MOT_mc_light_up_00,l2,,
32.43009,MOT_mc_light_center_00,l2,,
32.43009,MOT_mc_light_up_00,l2,,
32.43009,1,j2-3,,,
32.43009,2,sp2-3,,,L0
32.43009,3,sp2-3,,,L0
32.96337,1,lp3,,,
33.33,1,3-4,,,
33.33,2,3-4,l1,,
33.33,3,3-4,l1,,
33.79662,1,lp4,,,
34.263239999999996,3,w4,,,
34.263239999999996,2,w4,,,
34.296569999999996,1,j4-1,,,
34.296569999999996,2,4-1,,,
34.296569999999996,3,4-1,,,
34.82985,1,lp1,,,
35.22981,3,w1,,,
35.22981,2,w1,,,
35.3298,1,1-2,,,
35.3298,2,1-2,lb0,,
35.3298,3,1-2,lb0,,
35.76309,1,lp2,,,
36.26304,3,w2,,,
36.26304,2,w2,,,
36.42969,1,2-3,l1,,
36.42969,2,2-3,,,
36.42969,3,2-3,,,
36.9963,1,3-4,l2,,
37.3296,2,3-4,l1,,
37.3296,3,3-4,l1,,
37.46292,1,lp4,,,
38.26284,3,w4,,,
38.26284,2,w4,,,
38.29617,2,4-1,,,
38.29617,3,4-1,,,
38.6628,1,4-1,lb1,,
39.06276,1,lp1,,,
39.22941,3,w1,,,
39.22941,2,w1,,,
39.3294,2,1-2,lb0,,
39.3294,3,1-2,lb0,,
39.529379999999996,1,w1,lb0,,
39.962669999999996,1,lp1,,,
40.26264,3,w2,,,
40.26264,2,w2,,,
40.29597,1,1-2,,,
40.29597,2,2-3,,,
40.29597,3,2-3,,,
40.762589999999996,1,lp2,,,
