0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_control_all,z100,,
0.03333,2,,,b-1,D60
0.03333,3,,,b-1,D60
0.03333,1,,,,D20
0.03333,4,,,b-1,D60
0.03333,5,,,b-1,D60
0.03333,MOT_all,bloody_cut01,,
0.89991,MOT_all,cut1,,
1.8331499999999998,MOT_mc_stage_color_00,b,,
1.8331499999999998,MOT_mc_bg_black_00,b80-65,,
1.8331499999999998,MOT_mc_light_up_00,l1,,
1.8331499999999998,MOT_mc_light_center_00,l1,,
1.8331499999999998,MOT_mc_light_under_00,l2,,
1.8331499999999998,MOT_mc_speaker_00,temp4,,
1.8331499999999998,1,1-2,,,L0
1.8331499999999998,2,1-2,,,L40
1.8331499999999998,3,1-2,,,L40
1.8331499999999998,4,1-2,,,L40
1.8331499999999998,5,1-2,,,L40
2.4997499999999997,1,sp2-3,,,
2.4997499999999997,2,sp2-3,,,
2.4997499999999997,3,sp2-3,,,
2.4997499999999997,4,sp2-3,,,
2.4997499999999997,5,sp2-3,,,
3.4329899999999998,1,3-4,,,
3.4329899999999998,2,3-4,l1,,
3.4329899999999998,3,3-4,r1,,
3.4329899999999998,4,3-4,l1,,
3.4329899999999998,5,3-4,r1,,
4.36623,3,w4,,,
4.36623,5,w4,,,
4.36623,4,w4,,,
4.36623,2,w4,,,
4.36623,1,w4,,,
4.49955,1,sj4,,,
4.49955,2,sj4,,,
4.49955,3,sj4,,,
4.49955,4,sj4,,,
4.49955,5,sj4,,,
4.999499999999999,3,w4,,,
4.999499999999999,5,w4,,,
4.999499999999999,4,w4,,,
4.999499999999999,2,w4,,,
4.999499999999999,1,w4,,,
5.43279,1,4-1,,,
5.43279,2,4-1,lb0,,
5.43279,3,4-1,rb0,,
5.43279,4,4-1,lb0,,
5.43279,5,4-1,rb0,,
6.266039999999999,1,sj1,,,
6.266039999999999,2,sj1,,,
6.266039999999999,3,sj1,,,
6.266039999999999,4,sj1,,,
6.266039999999999,5,sj1,,,
6.7659899999999995,3,w1,,,
6.7659899999999995,5,w1,,,
6.7659899999999995,4,w1,,,
6.7659899999999995,2,w1,,,
6.7659899999999995,1,w1,,,
7.36593,1,sp1-2,,,
7.36593,2,sp1-2,,,
7.36593,3,sp1-2,,,
7.36593,4,sp1-2,,,
7.36593,5,sp1-2,,,
9.16575,1,sj2,,,
9.16575,2,sj2,,,
9.16575,3,sj2,,,
9.16575,4,sj2,,,
9.16575,5,sj2,,,
9.6657,3,w2,,,
9.6657,5,w2,,,
9.6657,4,w2,,,
9.6657,2,w2,,,
9.6657,1,w2,,,
10.03233,1,2-3,,,
10.03233,2,2-3,,,
10.03233,3,2-3,,,
10.03233,4,2-3,,,
10.03233,5,2-3,,,
10.598939999999999,MOT_control_all,z100-115,,
10.93224,1,j3-4,,f1,
10.93224,2,lp3,,,
10.93224,3,lp3,,,
10.93224,4,lp3,,,
10.93224,5,lp3,,,
11.9988,1,w4,,,
12.49875,1,4-1,l1,,
13.431989999999999,1,w1,,,
14.49855,1,1-2,,,
14.49855,2,,l1,,
14.49855,3,,r1,,
14.49855,4,,l1,,
14.49855,5,,r1,,
15.43179,1,w2,,,
16.331699999999998,1,j2-3,,,
16.331699999999998,2,3-4,,,
16.331699999999998,3,3-4,,,
16.331699999999998,4,3-4,,,
16.331699999999998,5,3-4,,,
17.26494,3,w4,,,
17.26494,5,w4,,,
17.26494,4,w4,,,
17.26494,2,w4,,,
17.39826,1,w3,,,
18.13152,1,3-4,lb0,,
18.13152,2,lp4,,,
18.13152,3,lp4,,,
18.13152,4,lp4,,,
18.13152,5,lp4,,,
19.06476,1,w4,,,
19.6647,1,j4-1,,,
20.73126,1,w1,,,
21.831149999999997,1,1-2,,,
21.831149999999997,2,4-1,,,
21.831149999999997,3,4-1,,,
21.831149999999997,4,4-1,,,
21.831149999999997,5,4-1,,,
22.76439,3,w1,,,
22.76439,5,w1,,,
22.76439,4,w1,,,
22.76439,2,w1,,,
22.76439,1,w2,,,
24.16425,1,2-3,,b0,
24.16425,2,1-2,lb0,,
24.16425,3,1-2,rb0,,
24.16425,4,1-2,lb0,,
24.16425,5,1-2,rb0,,
25.09749,3,w2,,,
25.09749,5,w2,,,
25.09749,4,w2,,,
25.09749,2,w2,,,
25.09749,1,w3,,,
25.59744,1,3-4,,,
25.59744,2,lp2,,,
25.59744,3,lp2,,,
25.59744,4,lp2,,,
25.59744,5,lp2,,,
26.3307,1,j4-1,,,
26.3307,2,sj2,,,
26.3307,3,sj2,,,
26.3307,4,sj2,,,
26.3307,5,sj2,,,
26.83065,3,w2,,,
26.83065,5,w2,,,
26.83065,4,w2,,,
26.83065,2,w2,,,
27.39726,1,w1,,,
27.663899999999998,1,1-2,r1,,
28.16385,1,2-3,r2,,
29.097089999999998,1,w3,,,
29.16375,1,3-4,rb1,,
29.16375,2,2-3,,,
29.16375,3,2-3,,,
29.16375,4,2-3,,,
29.16375,5,2-3,,,
29.83035,1,sj4,,,
30.096989999999998,3,w3,,,
30.096989999999998,5,w3,,,
30.096989999999998,4,w3,,,
30.096989999999998,2,w3,,,
30.330299999999998,1,w4,,,
30.530279999999998,1,4-1,rb0,,
30.530279999999998,2,sp3-4,,,
30.530279999999998,3,sp3-4,,,
30.530279999999998,4,sp3-4,,,
30.530279999999998,5,sp3-4,,,
30.89691,1,1-2,,,
31.23021,1,hj2,,,
31.23021,2,sj4,,,
31.23021,3,sj4,,,
31.23021,4,sj4,,,
31.23021,5,sj4,,,
31.730159999999998,3,w4,,,
31.730159999999998,5,w4,,,
31.730159999999998,4,w4,,,
31.730159999999998,2,w4,,,
32.46342,1,w2,,,
32.49675,1,2-3,l1,,
32.49675,2,4-1,,,
32.49675,3,4-1,,,
32.49675,4,4-1,,,
32.49675,5,4-1,,,
33.26334,1,3-4,,,
33.42999,3,w1,,,
33.42999,5,w1,,,
