0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_bg_black_00,b80-45,,
0.03333,2,,,,D40
0.03333,3,,,,D40
1.63317,MOT_all,cut1,,
1.63317,MOT_mc_speaker_00,temp1,,
1.63317,MOT_mc_light_under_00,l1,,
2.56641,MOT_mc_light_up_00,l1,,
2.56641,MOT_mc_stage_color_00,b-flash,,
2.56641,1,1-2,,,
2.63307,2,1-2,,,
2.63307,3,1-2,,,
2.86638,1,lp2,,,
2.86638,2,lp2,,,
2.86638,3,lp2,,,
3.83295,2,2-3,,,
3.83295,3,2-3,,,
4.06626,1,2-3,,,
4.29957,1,lp3,,,
4.29957,2,lp3,,,
4.29957,3,lp3,,,
5.23281,1,3-4,,,
5.23281,2,3-4,,,
5.23281,3,3-4,,,
6.166049999999999,3,w4,,,
6.166049999999999,2,w4,,,
6.166049999999999,1,4-1,l1,,
6.166049999999999,2,4-1,l1,,
6.166049999999999,3,4-1,l1,,
7.09929,3,w1,,,
7.09929,2,w1,,,
7.09929,1,w1,,,
7.8325499999999995,1,1-2,lb0,,
7.8325499999999995,2,1-2,lb0,,
7.8325499999999995,3,1-2,lb0,,
8.765789999999999,3,w2,,,
8.765789999999999,2,w2,,,
8.765789999999999,1,w2,,,
9.3324,1,2-3,,,
9.63237,2,2-3,,,
9.63237,3,2-3,,,
9.93234,1,3-4,,,
10.23231,2,3-4,,,
10.23231,3,3-4,,,
10.46562,1,4-1,r1,,
10.46562,2,4-1,r1,,
10.46562,3,4-1,r1,,
11.398859999999999,3,w1,,,
11.398859999999999,2,w1,,,
11.398859999999999,1,w1,,,
13.06536,1,1-2,rb0,,
13.06536,2,1-2,rb0,,
13.06536,3,1-2,rb0,,
13.9986,3,w2,,,
13.9986,2,w2,,,
13.9986,1,w2,,,
14.29857,1,2-3,,,
14.29857,2,2-3,,,
14.29857,3,2-3,,,
14.79852,MOT_control_all,z100-115,,
14.89851,MOT_mc_bg_black_00,b45-65,,
14.89851,MOT_mc_light_center_00,l1,,
15.03183,MOT_mc_light_up_00,l1,,
15.03183,MOT_mc_special_01,l1_03,,
15.03183,MOT_mc_stage_color_00,y-flash,,
15.03183,1,3-4,,f1,
15.23181,3,w3,,,
15.23181,2,w3,,,
15.3318,1,lp4,,,
17.86488,1,4-1,l1,,
18.19818,1,lp1,,,
19.26474,2,3-4,,,
19.26474,3,3-4,,,
20.197979999999998,3,w4,,,
20.197979999999998,2,w4,,,
20.43129,1,1-2,lb0,,
20.83125,1,j2-3,,,
21.23121,MOT_mc_light_center_00,l1,,
21.23121,1,lp3,,,
22.76439,1,3-4,,,
23.36433,1,4-1,r1,,
23.73096,1,lp1,,,
24.09759,2,4-1,,,
24.09759,3,4-1,,,
25.030829999999998,3,w1,,,
25.030829999999998,2,w1,,,
25.16415,1,1-2,rb0,,
25.464119999999998,1,lp2,,,
25.79742,2,1-2,,,
25.79742,3,1-2,,,
26.73066,3,w2,,,
26.73066,2,w2,,,
27.263939999999998,1,2-3,l1,,
27.663899999999998,1,lp3,,,
28.9971,1,3-4,,,
29.330399999999997,1,lp4,,,
31.59684,1,4-1,lb0,,
31.930139999999998,1,lp1,,,
33.79662,1,j1-2,,,
33.863279999999996,2,j2-3,,,
33.863279999999996,3,j2-3,,,
34.12992,1,lp2,,,
34.19658,2,lp3,,,
34.19658,3,lp3,,,
34.89651,1,2-3,,,
35.22981,1,j3-4,,,
35.59644,1,lp4,,,
36.39636,MOT_control_all,z115-100,,
36.56301,MOT_mc_bg_black_00,b80-45,,
36.56301,MOT_mc_light_center_00,l2,,
36.56301,MOT_mc_light_up_00,l3,,
36.56301,MOT_mc_special_01,stay,,
36.56301,MOT_mc_stage_color_00,r-flash,,
36.696329999999996,1,4-1,,,
36.762989999999995,2,3-4,,,
36.762989999999995,3,3-4,,,
37.02963,1,lp1,,,
37.02963,2,lp4,,,
