id,sec,type,startPos,finishPos,status,sync,groupId,visible,size,distance
1,0,100,0,0,554,0,0,0,,
2,0,91,,,,0,0,,,0
3,0,93,,,100,0,0,,,
4,3.103448,9,2,1,156,0,1,,30,3.103448
5,3.103448,9,4,5,157,0,2,,15,3.103448
6,3.310345,8,4,5,0,0,0,-99,,3.310345
7,3.310345,1,2,1,0,0,0,,,3.310345
8,3.724138,8,4,5,0,0,0,-99,,3.724138
9,3.724138,1,2,1,0,0,0,,,3.724138
10,4.137931,8,4,5,0,0,0,-99,,4.137931
11,4.137931,1,2,1,0,0,0,,,4.137931
12,4.551724,8,4,5,0,0,0,-99,,4.551724
13,4.551724,1,2,1,0,0,0,,,4.551724
14,4.758621,9,2,1,156,0,1,,30,4.758621
15,4.758621,9,2,1,156,0,3,,30,4.758621
16,4.758621,9,4,5,157,0,4,,15,4.758621
17,4.758621,9,4,5,157,0,2,,15,4.758621
18,4.965517,8,4,5,0,0,0,-99,,4.965517
19,4.965517,1,2,1,0,0,0,,,4.965517
20,5.37931,8,4,5,0,0,0,-99,,5.37931
21,5.37931,1,2,1,0,0,0,,,5.37931
22,5.793103,8,4,5,0,0,0,-99,,5.793103
23,5.793103,1,2,1,0,0,0,,,5.793103
24,6.206897,8,4,5,0,0,0,-99,,6.206897
25,6.206897,1,2,1,0,0,0,,,6.206897
26,6.413793,9,2,1,156,0,3,,30,6.413793
27,6.413793,9,3,2,156,0,5,,30,6.413793
28,6.413793,9,4,5,157,0,4,,15,6.413793
29,6.413793,9,3,4,157,0,6,,15,6.413793
30,6.62069,8,3,4,0,0,0,-99,,6.62069
31,6.62069,1,3,2,0,0,0,,,6.62069
32,7.034483,8,3,4,0,0,0,-99,,7.034483
33,7.034483,1,3,2,0,0,0,,,7.034483
34,7.448276,8,3,4,0,0,0,-99,,7.448276
35,7.448276,1,3,2,0,0,0,,,7.448276
36,7.862069,8,3,4,0,0,0,-99,,7.862069
37,7.862069,1,3,2,0,0,0,,,7.862069
38,8.068966,9,3,2,156,0,5,,30,8.068966
39,8.068966,9,3,2,156,0,7,,30,8.068966
40,8.068966,9,3,4,157,0,8,,15,8.068966
41,8.068966,9,3,4,157,0,6,,15,8.068966
42,8.275862,8,3,4,0,0,0,-99,,8.275862
43,8.275862,1,3,2,0,0,0,,,8.275862
44,8.689655,8,3,4,0,0,0,-99,,8.689655
45,8.689655,1,3,2,0,0,0,,,8.689655
46,9.103448,8,3,4,0,0,0,-99,,9.103448
47,9.103448,1,3,2,0,0,0,,,9.103448
48,9.517241,8,3,4,0,0,0,-99,,9.517241
49,9.517241,1,3,2,0,0,0,,,9.517241
50,9.724138,9,4,3,156,0,9,,30,9.724138
51,9.724138,9,3,2,156,0,7,,30,9.724138
52,9.724138,9,2,3,157,0,10,,15,9.724138
53,9.724138,9,3,4,157,0,8,,15,9.724138
54,9.931034,1,4,3,0,0,0,,,9.931034
55,9.939655,8,2,3,0,0,0,-99,,9.939655
56,10.344828,1,4,3,0,0,0,,,10.344828
57,10.353448,8,2,3,0,0,0,-99,,10.353448
58,10.758621,1,4,3,0,0,0,,,10.758621
59,10.767241,8,2,3,0,0,0,-99,,10.767241
60,11.172414,1,4,3,0,0,0,,,11.172414
61,11.181034,8,2,3,0,0,0,-99,,11.181034
62,11.37931,9,4,3,101,0,9,,30,11.37931
63,11.37931,9,4,3,101,0,11,,30,11.37931
64,11.482759,9,2,3,157,0,12,,15,11.482759
65,11.482759,9,2,3,157,0,10,,15,11.482759
