0.03333,MOT_mc_special_01,stay,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,sort,-23000,
0.03333,4,sort,-23000,
0.03333,5,sort,-23000,
0.03333,2,sort,-23000,
0.03333,3,sort,-23000,
0.03333,MOT_all,cut1,,
0.06666,MOT_mc_special_01,scene01,,
1.8331499999999998,2,1-4,l1,
1.8331499999999998,3,1-4,r1,
1.8331499999999998,4,1-4,l1,
1.8331499999999998,5,1-4,r1,
1.8331499999999998,1,1-4,,
2.1664499999999998,MOT_mc_light_center_00,l1,,
2.1664499999999998,MOT_mc_light_under_00,l2,,
2.1664499999999998,MOT_mc_back_00,l1,,
2.3331,1,w4,,
2.3331,2,w4,,
2.3331,3,w4,,
2.3331,4,w4,,
2.3331,5,w4,,
3.1330199999999997,2,4-3,l2,
3.1330199999999997,3,4-3,r2,
3.1330199999999997,4,4-3,l2,
3.1330199999999997,5,4-3,r2,
3.1330199999999997,1,4-1,,
3.59964,1,j1-3,,
4.0329299999999995,1,j3-2,,
4.0329299999999995,2,j3-1,,
4.0329299999999995,3,j3-1,,
4.0329299999999995,5,j3-1,,
4.0329299999999995,4,j3-1,,
4.49955,1,lp2,,
4.49955,2,lp1,,
4.49955,3,lp1,,
4.49955,4,lp1,,
4.49955,5,lp1,,
5.2994699999999995,4,j1-4,,
5.2994699999999995,5,j1-4,,
5.56611,2,j1-4,,
5.56611,3,j1-4,,
5.83275,1,j2-4,,
6.13272,1,4-3,,
6.13272,2,4-3,,
6.13272,3,4-3,,
6.13272,4,4-3,,
6.13272,5,4-3,,
6.43269,1,j3-2,,
6.43269,2,j3-1,,
6.43269,3,j3-1,,
6.43269,4,j3-1,,
6.43269,5,j3-1,,
6.73266,MOT_mc_stage_color_00,b-flash,,
6.73266,MOT_mc_light_center_00,l3,,
6.73266,MOT_mc_light_under_00,l1,,
6.73266,MOT_mc_back_00,l1_white,,
6.73266,MOT_mc_bg_black_00,b80b,,
7.06596,1,2-1,l1,
7.06596,2,1-2,l3,
7.06596,3,1-2,rb1,
7.06596,4,1-2,l3,
7.06596,5,1-2,rb1,
7.6659,1,,lb0,
7.6659,2,,lb2,
7.6659,3,,r2,
7.6659,4,,lb2,
7.6659,5,,r2,
8.23251,1,1-3,r1,
8.23251,2,2-3,lb1,
8.23251,3,2-3,r3,
8.23251,4,2-3,lb1,
8.23251,5,2-3,r3,
8.765789999999999,1,,rb0,
8.765789999999999,2,,l2,
8.765789999999999,3,,rb2,
8.765789999999999,4,,l2,
8.765789999999999,5,,rb2,
9.09909,1,lp3,,
9.09909,2,lp3,,
9.09909,3,lp3,,
9.09909,4,lp3,,
9.09909,5,lp3,,
9.73236,1,hj3,,
10.03233,2,hj3,,
10.298969999999999,3,hj3,,
10.53228,4,hj3,,
10.53228,5,hj3,,
11.098889999999999,1,3-3,,
11.098889999999999,2,3-3,,
11.098889999999999,3,3-3,,
11.098889999999999,4,3-3,,
11.098889999999999,5,3-3,,
11.46552,1,lp3,,
11.46552,2,lp3,,
11.46552,3,lp3,,
11.46552,4,lp3,,
11.46552,5,lp3,,
11.89881,2,,lb1,
12.16545,3,,rb1,
12.432089999999999,4,,lb1,
12.69873,5,,rb1,
13.06536,1,j3-4,,
13.39866,2,j3-4,,
13.39866,3,j3-4,,
13.69863,4,j3-4,,
13.69863,5,j3-4,,
14.09859,1,w4,,
14.09859,2,w4,,
14.09859,3,w4,,
14.09859,4,w4,,
14.09859,5,w4,,
14.3319,1,4-2,,
14.3319,2,4-2,,
14.3319,3,4-2,,
14.3319,4,4-2,,
14.3319,5,4-2,,
14.73186,1,sp2-3,,
14.79852,2,sp2-3,,
14.79852,3,sp2-3,,
14.865179999999999,4,sp2-3,,
14.865179999999999,5,sp2-3,,
15.53178,1,j3-4,,
15.53178,2,j3-4,,
15.53178,3,j3-4,,
15.53178,4,j3-4,,
15.53178,5,j3-4,,
16.26504,1,4-2,,
16.26504,2,4-2,,
16.26504,3,4-2,,
16.26504,4,4-2,,
16.26504,5,4-2,,
16.531679999999998,1,2-3,,
16.531679999999998,2,2-3,,
16.531679999999998,3,2-3,,
16.531679999999998,4,2-3,,
16.531679999999998,5,2-3,,
16.931639999999998,1,lp3,,
16.931639999999998,2,lp3,,
16.931639999999998,3,lp3,,
16.931639999999998,4,lp3,,
16.931639999999998,5,lp3,,
18.964769999999998,4,j3-1,,
19.198079999999997,2,j3-1,,
19.564709999999998,1,j3-1,,
19.798019999999998,3,j3-1,,
20.06466,5,j3-1,,
22.49775,1,1-2,,
22.49775,4,1-2,lb0,
22.49775,5,1-2,rb0,
22.49775,2,1-2,lb0,
22.49775,3,1-2,rb0,
22.93104,1,2-4,,
22.93104,2,2-4,,
22.93104,3,2-4,,
22.93104,4,2-4,,
22.93104,5,2-4,,
23.59764,5,4-3,,
23.664299999999997,3,4-3,,
23.73096,1,4-3,,
23.79762,2,4-3,,
23.864279999999997,4,4-3,,
24.264239999999997,1,j4-2,,
24.264239999999997,2,j4-2,,
24.264239999999997,3,j4-2,,
24.264239999999997,4,j4-2,,
24.264239999999997,5,j4-2,,
24.53088,MOT_mc_light_center_00,l1,,
24.53088,MOT_mc_light_under_00,l2,,
24.79752,1,j2-4,,f1
24.79752,1,sort,-23000,
24.79752,2,w2,,
24.79752,3,w2,,
24.79752,4,w2,,
24.79752,5,w2,,
25.13082,MOT_mc_bg_black_00,b80-65,,
25.19748,1,lp4,,
25.59744,MOT_mc_back_00,l2_white,,
25.864079999999998,1,4-3,,
26.297369999999997,1,lp3,,
26.96397,1,sj3,,
27.39726,1,3-4,,
27.79722,1,lp4,,
29.19708,1,j4-1,,
30.9969,1,1-2,,
31.43019,1,sj2,,
31.9968,1,sj2,,
32.56341,1,sp2-3,,
33.19668,1,j3-4,,
33.59664,1,,,b0
33.59664,1,sort,-23000,
33.82995,3,,,f1
33.82995,3,sort,-23000,
34.06326,1,w4,,
34.12992,MOT_mc_light_center_00,l2,,
34.12992,MOT_mc_bg_black_00,b65-45,,
34.22991,3,j2-4,,
34.86318,3,j4-1,,
35.3298,3,1-3,,
35.62977,3,3-4,,
36.06306,3,j4-1,,
36.49635,3,lp1,,
37.59624,3,j1-4,,
38.09619,3,w4,,b0
38.09619,3,sort,-23000,
38.396159999999995,2,,,f1
38.396159999999995,2,sort,-23000,
38.796119999999995,2,2-4,,
39.196079999999995,2,lp4,,
40.26264,2,sj4,,
40.69593,2,4-1,,
40.92924,2,1-2,,
41.195879999999995,2,j2-3,,
41.92914,2,sj3,,
42.3291,2,3-4,,b0
42.3291,2,sort,-23000,
42.6624,2,w4,,
42.96237,4,,,f1
42.96237,4,sort,-23000,
43.229009999999995,MOT_mc_stage_color_00,r-flash,,
43.29567,MOT_mc_light_center_00,l1,,
43.29567,MOT_mc_bg_black_00,b65-80,,
43.52898,4,sj2,,
44.028929999999995,4,j2-3,,
44.6622,2,sj4,,
44.6622,3,sj4,,
44.6622,5,sj2,,
45.195479999999996,2,j4-1,,
45.195479999999996,3,j4-1,,
45.195479999999996,5,j2-1,,
45.72876,2,w1,,
45.72876,3,w1,,
45.72876,5,w1,,
45.76209,4,3-4,,
46.3287,4,j4-1,,b0
46.3287,4,sort,-23000,
46.828649999999996,2,sj1,,
46.828649999999996,3,sj1,,
46.828649999999996,5,sj1,,
47.36193,2,j1-2,,
47.36193,3,j1-2,,
47.36193,5,j1-2,,
47.46192,1,,,f1
47.46192,1,sort,-23000,
47.89521,2,w2,,
47.89521,3,w2,,
47.89521,5,w2,,
47.96187,4,w1,,
48.061859999999996,1,4-1,,
48.461819999999996,1,lp1,,
49.59504,1,1-2,,b0
49.59504,1,sort,-23000,
49.695029999999996,2,2-3,,
49.695029999999996,3,2-3,,
50.19498,1,j2-3,,
50.19498,2,j3-4,,
50.19498,3,j3-4,,
50.72826,1,j3-1,,
50.72826,2,j4-1,,
50.72826,3,j4-1,,
51.19488,1,lp1,,
51.19488,2,lp1,,
51.19488,3,lp1,,
51.6615,1,1-2,,
51.6615,2,1-2,,
51.6615,3,1-2,,
51.92814,MOT_mc_light_center_00,l3,,
51.92814,MOT_mc_bg_black_00,b80-65,,
51.9948,1,w2,,
51.9948,2,w2,,
51.9948,3,w2,,
52.02813,5,,,f1
52.02813,5,sort,-23000,
52.39476,MOT_mc_special_01,scene02,,
52.46142,5,j2-3,,
52.994699999999995,5,j3-4,,
53.49465,5,lp4,,
53.6613,2,sj2,,
53.6613,3,sj2,,
53.6613,4,sj2,,
54.194579999999995,2,j2-1,,
54.194579999999995,3,j2-1,,
