 ,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.2,,
0,,2,,MasterOut,0,0,,
0,,2,,BUS_0007,0,0,,
0,,3,,MasterOut,0,0,,
0,,3,,BUS_0007,0,0,,
0,1,1,1,,,,0,0.53
0,2,1,1,,,,-18,0.39
0,3,1,1,,,,18,0.39
0,4,2,1,,,,0,0.53
0,5,2,1,,,,-18,0.39
0,6,2,1,,,,18,0.39
0,7,3,1,,,,0,0.53
0,8,3,1,,,,-18,0.39
0,9,3,1,,,,18,0.39
8,,1,,MasterOut,0.05,0,,
8,,1,,BUS_0007,0.2,0,,
8.234,,2,,MasterOut,0,1,,
8.234,,2,,BUS_0007,0,0.2,,
13.125,,2,,MasterOut,0.05,0,,
13.125,,2,,BUS_0007,0.2,0,,
13.344,,3,,MasterOut,0,1,,
13.344,,3,,BUS_0007,0,0.2,,
15.153,,1,,MasterOut,0,1,,
15.153,,1,,BUS_0007,0,0.2,,
15.153,,2,,MasterOut,0,1,,
15.153,,2,,BUS_0007,0,0.2,,
15.153,1,1,1,,,,0,0.28
15.153,2,1,1,,,,-9,0.26
15.153,3,1,1,,,,9,0.26
15.153,4,2,1,,,,-18,0.22
15.153,5,2,1,,,,-15,0.22
15.153,6,2,1,,,,-12,0.28
15.153,7,3,1,,,,12,0.26
15.153,8,3,1,,,,15,0.26
15.153,9,3,1,,,,18,0.22
20.944,,2,,MasterOut,0.05,0,,
20.944,,2,,BUS_0007,0.2,0,,
20.944,,3,,MasterOut,0.05,0,,
20.944,,3,,BUS_0007,0.2,0,,
20.944,1,1,1,,,,0,0.78
20.944,2,1,1,,,,0,0
20.944,3,1,1,,,,0,0
36.231,1,1,1,,,,0,0
36.231,3,1,1,,,,0,0.78
39.711,3,1,1,,,,0,0
39.711,2,1,1,,,,0,0.78
43.163,2,1,1,,,,0,0
43.163,3,1,1,,,,0,0.78
44.073,3,1,1,,,,0,0
44.073,2,1,1,,,,0,0.78
44.896,1,1,1,,,,0,0.53
44.896,2,1,1,,,,-18,0.39
44.896,3,1,1,,,,18,0.39
46.515,,1,,MasterOut,0.05,0,,
46.515,,1,,BUS_0007,0.2,0,,
46.918,,2,,MasterOut,0,1,,
46.918,,2,,BUS_0007,0,0.2,,
46.918,4,2,1,,,,0,0.78
46.918,5,2,1,,,,0,0
46.918,6,2,1,,,,0,0
50.094,4,2,1,,,,0,0
50.094,6,2,1,,,,0,0.78
53.839,6,2,1,,,,0,0
53.839,5,2,1,,,,0,0.78
57.09,4,2,1,,,,0,0.53
57.09,5,2,1,,,,-18,0.39
57.09,6,2,1,,,,18,0.39
60.237,,3,,MasterOut,0,1,,
60.237,,3,,BUS_0007,0,0.2,,
60.237,4,2,1,,,,0,0
60.237,5,2,1,,,,0,0
60.237,6,2,1,,,,0,0
60.237,7,3,1,,,,0,0.78
60.237,8,3,1,,,,0,0
60.237,9,3,1,,,,0,0
62.309,7,3,1,,,,0,0
62.309,8,3,1,,,,0,0.78
67.117,8,3,1,,,,0,0
67.117,9,3,1,,,,0,0.78
69.254,7,3,1,,,,0,0.53
69.254,8,3,1,,,,-18,0.39
69.254,9,3,1,,,,18,0.39
72.867,,1,,MasterOut,0,1,,
72.867,,1,,BUS_0007,0,0.2,,
72.867,1,1,1,,,,0,0.28
72.867,2,1,1,,,,-9,0.26
72.867,3,1,1,,,,9,0.26
72.867,4,2,1,,,,-18,0.22
72.867,5,2,1,,,,-15,0.22
72.867,6,2,1,,,,-12,0.28
72.867,7,3,1,,,,12,0.26
72.867,8,3,1,,,,15,0.26
72.867,9,3,1,,,,18,0.22
