time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,3D_move_type,3D_BPM,start_image
0,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Uhoi,1,0
17.391304,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Uhoi,46,0
18.695652,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Uhoi,138,8
19.130435,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Oioi,138,0
86.956522,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Oioi,138,0
102.608696,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Uhoi,46,0
103.913043,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Uhoi,138,8
104.347826,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Oioi,138,0
108,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Bye,138,0
115,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Uhoi,1,0
116.521739,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Uhoi,17.25,0
120,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Pause,8.625,0
126.956522,Uhoi,5,Random3,Yellow01,Pink01,Blue01,,,,,,,,Bye,300,0
