0.06666,MOT_control_all,z01,,
1.1998799999999998,MOT_control_all,z02,,
1.46652,MOT_all,cut01,,
3.09969,MOT_mc_stage_color_00,r-flash,,
3.1330199999999997,MOT_all,cut02,,
3.1330199999999997,1,j1-2,,
3.1330199999999997,2,j1-2,,
3.1330199999999997,3,j1-2,,
3.63297,1,w2,,
3.63297,2,w2,,
3.63297,3,w2,,
4.36623,1,sj2,,
4.36623,2,sj2,,
4.36623,3,sj2,,
4.76619,MOT_mc_stage_color_00,r-flash,,
4.76619,1,j2-4,,
4.76619,2,j2-4,,
4.76619,3,j2-4,,
5.23281,1,w4,,
5.23281,2,w4,,
5.23281,3,w4,,
6.266039999999999,MOT_mc_stage_color_00,r-flash,,
6.366029999999999,1,sj4,,
6.366029999999999,2,sj4,,
6.366029999999999,3,sj4,,
6.7659899999999995,1,j4-3,,
6.7659899999999995,2,j4-3,,
6.7659899999999995,3,j4-3,,
7.232609999999999,1,w3,,
7.232609999999999,2,w3,,
7.232609999999999,3,w3,,
7.732559999999999,1,j3-2,,
8.19918,1,w2,,
8.19918,2,j3-2,,
8.49915,MOT_mc_stage_color_00,r-flash,,
8.665799999999999,3,j3-2,,
8.665799999999999,2,w2,,
9.13242,MOT_mc_stage_color_00,r-flash,,
9.13242,1,j2-1,,
9.13242,2,j2-1,,
9.13242,3,j2-1,,
9.599039999999999,1,w1,,
9.599039999999999,2,w1,,
9.599039999999999,3,w1,,
9.699029999999999,1,1-4,,
10.13232,1,w4,,
10.63227,2,1-4,,
11.06556,2,w4,,
11.43219,3,1-4,,
11.86548,3,w4,,
12.19878,1,j4-1,,
12.29877,2,j4-1,,
12.39876,3,j4-1,,
12.832049999999999,1,lp1,,
12.832049999999999,2,lp1,,
12.832049999999999,3,lp1,,
13.6653,1,1-2,,
13.6653,2,1-2,,
13.6653,3,1-2,,
14.13192,1,lp2,,
14.13192,2,lp2,,
14.13192,3,lp2,,
15.79842,MOT_all,cut03,,
15.9984,MOT_control_all,z03,,
16.09839,3,2-4,,
16.531679999999998,3,w4,,
17.03163,2,2-4,,
17.46492,2,w4,,
17.83155,1,2-4,,
18.26484,3,w4,,
18.59814,1,j4-1,,
18.69813,2,j4-1,,
18.79812,3,j4-1,,
19.23141,1,lp1,,
19.23141,2,lp1,,
19.23141,3,lp1,,
20.06466,1,1-2,,
20.06466,2,1-2,,
20.06466,3,1-2,,
20.53128,1,lp2,,
20.53128,2,lp2,,
20.53128,3,lp2,,
22.231109999999997,MOT_control_all,z04,,
22.36443,3,2-1,,f1
22.36443,1,w2,,
22.36443,2,w2,,
22.89771,3,lp1,,
23.19768,3,,l1,
23.76429,3,1-4,,
24.09759,3,sj4,,
