 rrrr  ,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.1,,
0,,2,,MasterOut,0,1,,
0,,2,,BUS_0007,0,0.1,,
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.1,,
0,,4,,MasterOut,0,1,,
0,,4,,BUS_0007,0,0.1,,
0,1,1,1,,,,0,0.54
0,2,2,1,,,,-14,0.4
0,3,3,1,,,,14,0.4
0,4,4,1,,,,0,0.78
22.159,1,1,1,,,,0,0
22.159,2,2,1,,,,0,0
22.159,3,3,1,,,,0,0.78
25.035,3,3,1,,,,0,0
25.035,2,2,1,,,,0,0.78
28.104,2,2,1,,,,0,0
28.104,1,1,1,,,,0,0.78
32.752,1,1,1,,,,0,0.56
32.752,2,2,1,,,,-14,0.42
32.752,3,3,1,,,,14,0.42
34.899,1,1,1,,,,0,0
34.899,2,2,1,,,,0,0
34.899,3,3,1,,,,0,0.78
38.043,3,3,1,,,,0,0
38.043,2,2,1,,,,0,0.78
41.317,2,2,1,,,,0,0
41.317,1,1,1,,,,0,0.78
46.328,1,1,1,,,,0,0.56
46.328,2,2,1,,,,-14,0.42
46.328,3,3,1,,,,14,0.42
49.334,1,1,1,,,,0,0
49.334,2,2,1,,,,0,0
49.334,3,3,1,,,,0,0.78
51.129,3,3,1,,,,0,0
51.129,2,2,1,,,,0,0.78
52.777,2,2,1,,,,0,0
52.777,1,1,1,,,,0,0.78
54.564,1,1,1,,,,0,0.56
54.564,2,2,1,,,,-14,0.42
54.564,3,3,1,,,,14,0.42
55.918,1,1,1,,,,0,0
55.918,2,2,1,,,,0,0
55.918,3,3,1,,,,0,0.78
57.528,3,3,1,,,,0,0
57.528,2,2,1,,,,0,0.78
59.118,2,2,1,,,,0,0
59.118,1,1,1,,,,0,0.78
60.901,1,1,1,,,,0,0.56
60.901,2,2,1,,,,-14,0.42
60.901,3,3,1,,,,14,0.42
63.882,1,1,1,,,,0,0.78
63.882,2,2,1,,,,0,0
63.882,3,3,1,,,,0,0
65.36,1,1,1,,,,0,0.56
65.36,2,2,1,,,,-14,0.42
65.36,3,3,1,,,,14,0.42
73.186,1,1,1,,,,0,0
73.186,2,2,1,,,,0,0
73.186,3,3,1,,,,8,0.76
74.089,3,3,1,,,,0,0
74.089,2,2,1,,,,-8,0.76
74.923,2,2,1,,,,0,0
74.923,1,1,1,,,,0,0.78
77.657,1,1,1,,,,0,0.56
77.657,2,2,1,,,,-14,0.42
77.657,3,3,1,,,,14,0.42
79.338,1,1,1,,,,0,0
79.338,2,2,1,,,,0,0
79.338,3,3,1,,,,0,0.78
81.315,1,1,1,,,,0,0.56
81.315,2,2,1,,,,-14,0.42
81.315,3,3,1,,,,14,0.42
82.175,1,1,1,,,,0,0
82.175,2,2,1,,,,0,0.78
82.175,3,3,1,,,,0,0
84.548,1,1,1,,,,0,0.56
84.548,2,2,1,,,,-14,0.42
84.548,3,3,1,,,,14,0.42
86.058,1,1,1,,,,0,0.78
86.058,2,2,1,,,,0,0
86.058,3,3,1,,,,0,0
86.911,1,1,1,,,,0,0
86.911,3,3,1,,,,8,0.76
87.742,3,3,1,,,,0,0
87.742,2,2,1,,,,-8,0.76
88.499,2,2,1,,,,0,0
88.499,1,1,1,,,,0,0.78
89.487,1,1,1,,,,0,0.56
89.487,2,2,1,,,,-14,0.42
89.487,3,3,1,,,,14,0.42
95.139,1,1,1,,,,0,0
95.139,2,2,1,,,,0,0.78
95.139,3,3,1,,,,0,0
97.331,1,1,1,,,,0,0.56
97.331,2,2,1,,,,-14,0.42
97.331,3,3,1,,,,14,0.42
98.792,1,1,1,,,,0,0.78
98.792,2,2,1,,,,0,0
98.792,3,3,1,,,,0,0
103.266,1,1,1,,,,0,0.56
103.266,2,2,1,,,,-14,0.42
103.266,3,3,1,,,,14,0.42
104.881,1,1,1,,,,0,0
104.881,2,2,1,,,,0,0
104.881,3,3,1,,,,0,0.78
106.887,1,1,1,,,,0,0.56
106.887,2,2,1,,,,-14,0.42
106.887,3,3,1,,,,14,0.42
107.714,1,1,1,,,,0,0
107.714,2,2,1,,,,0,0.78
107.714,3,3,1,,,,0,0
110.128,1,1,1,,,,0,0.56
110.128,2,2,1,,,,-14,0.42
110.128,3,3,1,,,,14,0.42
111.638,1,1,1,,,,0,0.78
111.638,2,2,1,,,,0,0
111.638,3,3,1,,,,0,0
112.491,1,1,1,,,,0,0
112.491,3,3,1,,,,8,0.76
113.347,3,3,1,,,,0,0
113.347,2,2,1,,,,-8,0.76
114.107,2,2,1,,,,0,0
114.107,1,1,1,,,,0,0.78
115.108,1,1,1,,,,0,0.56
115.108,2,2,1,,,,-14,0.42
115.108,3,3,1,,,,14,0.42
