id,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,0,,
0,,1,,BUS_0007,0,0,,
0,,2,,MasterOut,0,1,,
0,,2,,BUS_0007,0,0.2,,
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.2,,
0,1,1,1,,,,0,0
0,2,2,1,,,,2,0.78
0,3,3,1,,,,-2,0.78
22.041,3,3,1,,,,-5,0.68
22.419,2,2,1,,,,5,0.68
30.884,2,2,1,,,,0,0.78
30.884,3,3,1,,,,0,0.78
53.968,2,2,1,,,,-2,0.62
54.617,3,3,1,,,,2,0.62
57.193,2,2,1,,,,7,0.76
57.193,3,3,1,,,,-7,0.76
64.858,2,2,1,,,,-2,0.62
64.858,3,3,1,,,,2,0.62
67.928,2,2,1,,,,7,0.78
67.928,3,3,1,,,,-7,0.78
72.982,2,2,1,,,,7,0.6
72.982,3,3,1,,,,-7,0.6
78.444,2,2,1,,,,5,0.63
78.444,3,3,1,,,,-5,0.63
