0.03333,MOT_mc_bg_black_00,b80-45,,
0.03333,1,w1,,
0.03333,2,w1,,
0.03333,3,w1,,
0.03333,4,w1,,
0.03333,5,w1,,
2.93304,MOT_mc_bg_black_00,b45-20,,
2.93304,MOT_control_all,z00,,
3.09969,1,sp1-2,,
3.53298,2,sp1-2,,
3.53298,3,sp1-2,,
3.8662799999999997,MOT_mc_light_center_00,l1,,
3.8662799999999997,MOT_mc_stage_color_00,y-flash,,
3.9662699999999997,4,sp1-2,,
3.9662699999999997,5,sp1-2,,
4.16625,1,sj2,,
4.16625,2,sj2,,
4.16625,3,sj2,,
4.16625,4,sj2,,
4.16625,5,sj2,,
4.46622,1,sj2,,
4.46622,2,sj2,,
4.46622,3,sj2,,
4.46622,4,sj2,,
4.46622,5,sj2,,
4.799519999999999,1,j2-3,,
4.799519999999999,2,j2-3,,
4.799519999999999,3,j2-3,,
4.799519999999999,4,j2-3,,
4.799519999999999,5,j2-3,,
5.3328,1,lp3,,
5.3328,2,lp3,,
5.3328,3,lp3,,
5.3328,4,lp3,,
5.3328,5,lp3,,
5.6994299999999996,1,3-4,,
5.6994299999999996,4,3-4,,
5.6994299999999996,5,3-4,,
6.066059999999999,2,3-4,,
6.066059999999999,3,3-4,,
6.59934,1,sj4,,
6.63267,5,w4,,
6.63267,4,w4,,
6.6659999999999995,2,sj4,,
6.6659999999999995,3,sj4,,
6.73266,4,sj4,,
6.73266,5,sj4,,
7.06596,1,lp4,,
7.06596,2,lp4,,
7.06596,3,lp4,,
7.06596,4,lp4,,
7.06596,5,lp4,,
7.56591,1,sp4-1,,
7.632569999999999,2,sp4-1,,
7.632569999999999,3,sp4-1,,
7.69923,4,sp4-1,,
7.69923,5,sp4-1,,
8.96577,1,sj1,,
9.06576,2,sj1,,
9.06576,4,sj1,,
9.16575,MOT_mc_stage_color_00,y-flash,,
9.16575,MOT_control_all,z01,,
9.16575,3,sj1,,
9.16575,5,sj1,,
9.46572,1,w1,,
9.56571,4,w1,,
9.56571,2,w1,,
9.599039999999999,1,,,f1
9.6657,5,w1,,
9.6657,3,w1,,
9.96567,1,1-2,,
