0.16665,MOT_all,cut01,,
0.03333,MOT_mc_bg_black_00,b80-65,,
2.4997499999999997,MOT_mc_light_center_00,l1,,
2.4997499999999997,MOT_mc_stage_color_00,l1,,
2.4997499999999997,1,1-2,,
2.4997499999999997,2,1-2,,
2.4997499999999997,3,1-2,,
2.83305,1,lp2,,
2.83305,2,lp2,,
2.83305,3,lp2,,
4.93284,1,2-3,,
5.26614,2,2-3,,
5.5994399999999995,3,2-3,,
5.86608,1,w3,,
5.93274,1,lp3,,
5.93274,2,lp3,,
5.93274,3,lp3,,
7.36593,1,3-4,,
7.36593,2,3-4,r1,
7.36593,3,3-4,l1,
7.69923,1,lp4,,
7.69923,2,lp4,,
7.69923,3,lp4,,
10.098989999999999,MOT_all,cut02,,
11.56551,2,4-1,rb0,
11.56551,3,4-1,lb0,
11.56551,1,4-1,,f1
11.6655,MOT_mc_stage_color_00,l2,,
11.6655,MOT_mc_bg_black_00,none,,
12.032129999999999,1,lp1,,
12.49875,3,w1,,
12.49875,2,w1,,
12.932039999999999,1,1-2,l1,
13.36533,1,lp2,,
13.931939999999999,2,1-2,l1,
13.931939999999999,3,1-2,r1,
13.931939999999999,1,2-3,l2,
14.365229999999999,1,lp3,,
14.79852,1,j3-4,,
14.865179999999999,3,w2,,
14.865179999999999,2,w2,,
15.23181,1,lp4,,
15.93174,1,4-1,,
16.26504,1,j1-2,,
16.69833,1,lp2,,
17.331599999999998,1,2-3,lb1,
17.764889999999998,1,lp3,,
18.43149,1,3-4,lb0,
18.86478,1,lp4,,
19.6647,1,4-1,,
20.03133,1,j1-2,,
20.86458,1,2-3,,
21.06456,2,2-3,,
21.23121,3,2-3,,
21.797819999999998,1,w3,,
21.93114,1,3-4,,
21.93114,2,3-4,,
21.93114,3,3-4,,
22.69773,1,j4-1,,
22.86438,3,w4,,
22.86438,2,w4,,
23.13102,1,lp1,,
23.49765,1,1-2,l1,
23.89761,1,lp2,,
24.430889999999998,1,2-3,,
24.430889999999998,2,4-1,,
24.430889999999998,3,4-1,,
25.19748,1,j3-4,,
25.36413,3,w1,,
25.36413,2,w1,,
25.63077,1,lp4,,
25.9974,1,4-1,lb0,
26.39736,1,lp1,,
26.9973,1,1-2,,
26.9973,2,1-2,,
26.9973,3,1-2,,
27.39726,1,2-3,,
27.930539999999997,3,w2,,
27.930539999999997,2,w2,,
28.297169999999998,1,3-4,r1,
28.697129999999998,1,lp4,,
29.730359999999997,1,j4-1,,
30.130319999999998,1,lp1,,
30.730259999999998,1,1-2,,
30.730259999999998,2,2-3,,
30.730259999999998,3,2-3,,
30.9969,MOT_all,cut03,,
31.130219999999998,1,j2-3,,
31.6635,3,w3,,
31.6635,2,w3,,
32.19678,1,w3,,
32.263439999999996,1,3-4,,b0
32.263439999999996,2,3-4,,
32.263439999999996,3,3-4,,
32.43009,MOT_mc_bg_black_00,stay,,
32.43009,1,4-1,,
32.43009,2,4-1,,
32.43009,3,4-1,,
32.79672,1,1-2,r2,
32.79672,2,1-2,lb0,
32.79672,3,1-2,r2,
33.72996,3,w2,,
33.72996,2,w2,,
33.72996,1,w2,,
34.76319,1,2-3,,
34.76319,2,2-3,,
34.76319,3,2-3,,
35.129819999999995,1,3-4,r3,
35.129819999999995,2,3-4,r1,
35.129819999999995,3,3-4,r3,
36.06306,3,w4,,
36.06306,2,w4,,
36.06306,1,w4,,
37.19628,1,4-1,,
37.19628,2,4-1,,
37.19628,3,4-1,,
37.562909999999995,1,1-2,rb2,
37.562909999999995,2,1-2,rb0,
37.562909999999995,3,1-2,rb2,
38.49615,3,w2,,
38.49615,2,w2,,
38.49615,1,w2,,
39.89601,1,2-3,,
39.89601,2,2-3,,
39.89601,3,2-3,,
40.26264,1,3-4,rb1,
40.26264,2,3-4,l1,
40.26264,3,3-4,rb1,
41.195879999999995,3,w4,,
41.195879999999995,2,w4,,
41.195879999999995,1,w4,,
41.6625,MOT_all,cut04,,
43.29567,MOT_mc_bg_black_00,none,,
43.29567,3,4-1,,f1
43.92894,3,lp1,,
44.828849999999996,3,1-2,r2,
45.195479999999996,3,lp2,,
45.595439999999996,1,4-1,,
45.595439999999996,2,4-1,,
