0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
2.26644,1,1-2,,
2.26644,2,1-2,,
2.26644,3,1-2,,
2.73306,1,sp2-3,,
2.73306,2,sp2-3,,
2.73306,3,sp2-3,,
3.8662799999999997,1,j3-4,,
3.8662799999999997,2,j3-4,,
3.8662799999999997,3,j3-4,,
4.19958,MOT_mc_stage_color_00,b-flash,,
4.26624,1,lp4,,
4.26624,2,lp4,,
4.26624,3,lp4,,
4.83285,1,,l1,
4.83285,2,,l1,
4.83285,3,,l1,
5.56611,1,,lb0,
5.56611,2,,lb0,
5.56611,3,,lb0,
6.29937,1,,r1,
6.29937,2,,r1,
6.29937,3,,r1,
7.06596,1,4-1,rb0,
7.06596,2,4-1,rb0,
7.06596,3,4-1,rb0,
7.36593,1,lp1,,
7.36593,2,lp1,,
7.36593,3,lp1,,
8.39916,1,1-2,,
8.39916,2,1-2,,
8.39916,3,1-2,,
9.09909,1,2-3,,
9.09909,2,2-3,,
9.09909,3,2-3,,
9.73236,1,j3-4,,
9.73236,2,j3-4,,
9.73236,3,j3-4,,
10.098989999999999,1,lp4,,
10.098989999999999,2,lp4,,
10.098989999999999,3,lp4,,
10.63227,1,,r1,
10.63227,2,,r1,
10.63227,3,,r1,
11.36553,1,,rb0,
11.36553,2,,rb0,
11.36553,3,,rb0,
12.032129999999999,1,,l1,
12.032129999999999,2,,l1,
12.032129999999999,3,,l1,
12.732059999999999,1,4-1,lb0,
12.732059999999999,2,4-1,lb0,
12.732059999999999,3,4-1,lb0,
13.032029999999999,1,lp1,,
13.032029999999999,2,lp1,,
13.032029999999999,3,lp1,,
14.19858,1,1-2,,
14.19858,2,1-2,,
14.19858,3,1-2,,
14.89851,1,2-3,,
14.89851,2,2-3,,
14.89851,3,2-3,,
15.565109999999999,2,j3-4,,
15.565109999999999,3,3-4,,
15.565109999999999,1,3-4,,
15.93174,2,lp4,,
16.49835,3,w4,,
16.49835,1,w4,,
16.731659999999998,2,,,f1
16.731659999999998,3,4-1,,
16.731659999999998,1,4-1,,
17.6649,3,w1,,
17.6649,1,w1,,
17.731559999999998,2,4-1,,
18.46482,2,1-2,,
19.23141,2,2-3,,b0
19.598039999999997,2,3-4,,
19.598039999999997,3,1-2,,
19.598039999999997,1,,,f1
19.964669999999998,1,lp1,,
20.53128,3,w2,,
20.53128,2,w4,,
20.597939999999998,1,j1-2,,
21.3312,1,sj2,,
21.831149999999997,1,w2,,
22.09779,1,2-3,,b0
22.53108,3,2-3,,f1
22.53108,1,3-4,,
22.53108,2,4-1,,
22.89771,3,3-4,,
23.430989999999998,3,j4-1,,
23.46432,2,w1,,
23.46432,1,w4,,
23.79762,3,lp1,,
24.3309,3,1-2,,
24.9975,3,j2-3,,
25.3308,3,lp3,,
25.79742,3,3-4,,
26.064059999999998,3,lp4,,
26.497349999999997,3,4-1,,
26.76399,3,lp1,,
27.23061,3,1-2,,b0
27.23061,1,j4-1,,
27.23061,2,j1-2,,
28.130519999999997,2,,,f1
28.130519999999997,3,2-3,,
28.130519999999997,1,1-2,,
28.297169999999998,2,w2,,
29.06376,3,w3,,
29.06376,1,w2,,
29.130419999999997,2,2-3,,
29.86368,2,3-4,,
30.63027,2,4-1,,b0
30.63027,3,3-4,,
30.63027,1,2-3,,
31.03023,1,3-4,,f1
31.363529999999997,1,4-1,,
31.563509999999997,3,w4,,
31.563509999999997,2,w1,,
31.69683,1,lp1,,
32.03013,1,j1-2,,
32.76339,1,sj2,,
33.26334,1,w2,,
33.52998,1,2-3,,b0
33.92994,3,4-1,,f1
33.92994,2,1-2,,
33.92994,1,3-4,,
34.296569999999996,3,1-2,,
34.82985,3,j2-3,,
34.86318,2,w2,,
34.86318,1,w4,,
35.19648,3,lp3,,
35.72976,3,3-4,,
36.39636,3,j4-1,,
36.729659999999996,3,lp1,,
37.19628,3,1-2,,
37.46292,3,lp2,,
37.896209999999996,3,2-3,,
38.16285,3,lp3,,
38.62947,3,3-4,,b0
38.62947,1,j4-1,,
38.62947,2,j2-3,,
38.729459999999996,MOT_mc_stage_color_00,b-flash,,
38.796119999999995,MOT_mc_special_01,in,,
38.796119999999995,MOT_mc_special_02,in,,
38.796119999999995,MOT_mc_special_03,in,,
38.796119999999995,MOT_mc_bg_black_00,in,,
38.796119999999995,MOT_mc_light_up_00,in,,
38.796119999999995,MOT_mc_light_under_00,in,,
39.02943,1,lp1,,
39.02943,2,lp3,,
39.02943,3,lp4,,
39.79602,1,,,f1
39.79602,2,3-4,,
39.79602,3,4-1,,
40.16265,1,1-2,,
40.16265,3,sj1,,
40.56261,1,2-3,,
40.56261,2,sj4,,
40.6626,3,w1,,
40.96257,1,j3-4,,
40.96257,3,sj1,,
41.06256,2,w4,,
41.36253,1,lp4,,
41.36253,2,sj4,,
41.46252,3,w1,,
41.69583,1,j4-1,,
41.72916,3,sj1,,
41.86248,2,w4,,
42.09579,1,lp1,,
42.09579,2,sj4,,
42.22911,3,w1,,
42.46242,1,,,b0
42.46242,2,4-1,,
42.46242,3,1-2,,
42.829049999999995,3,,,f1
42.829049999999995,1,1-2,,
42.829049999999995,2,1-2,,
43.195679999999996,3,2-3,,
43.195679999999996,2,sj2,,
43.595639999999996,3,3-4,,
43.595639999999996,1,sj2,,
43.69563,2,w2,,
43.995599999999996,3,j4-1,,
43.995599999999996,2,sj2,,
44.09559,1,w2,,
44.395559999999996,3,lp1,,
44.395559999999996,1,sj2,,
44.49555,2,w2,,
44.72886,3,j1-2,,
44.72886,2,sj2,,
44.895509999999994,1,w2,,
45.12882,3,lp2,,
45.12882,1,2-3,,
45.12882,2,2-3,,
45.49545,3,,,b0
45.49545,2,,,f1
45.92874,2,j3-4,,
45.92874,3,2-3,,
45.92874,1,3-4,,
46.29537,2,j4-1,,
46.29537,1,sj4,,
46.29537,3,sj3,,
46.69533,2,1-2,,b0
46.69533,1,sj4,,
46.69533,3,sj3,,
47.12862,MOT_control_all,zoom2,,
47.12862,1,4-1,,
47.12862,2,2-3,,
47.12862,3,3-4,,
47.46192,1,j1-2,,
47.46192,2,j3-4,,
47.46192,3,j4-1,,
47.82855,1,lp2,,
47.82855,2,lp4,,
47.82855,3,lp1,,
48.59514,1,2-3,,
48.59514,2,4-1,,
48.59514,3,1-2,,
48.928439999999995,1,j3-4,,
48.928439999999995,2,j1-2,,
48.928439999999995,3,j2-3,,
49.661699999999996,1,4-1,,
49.661699999999996,2,2-3,,
49.661699999999996,3,3-4,,
49.995,1,lp1,,
49.995,2,lp3,,
49.995,3,lp4,,
50.42829,1,j1-2,,
50.42829,2,j3-4,,
50.42829,3,j4-1,,
50.561609999999995,MOT_mc_stage_color_00,b-flash,,
