0.00000,1,sort,-20000,
0.00000,2,sort,-20000,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,turnEnd1,,,
2.23311,MOT_mc_special_01,scene01,,
7.29927,MOT_all,cut1,,
13.26534,MOT_mc_back_00,scene02,,
13.46532,1,w1,,,
13.731959999999999,MOT_mc_special_01,scene02,,
14.365229999999999,1,1-4,,,
14.89851,1,lp4,,,
15.59844,1,4-2,l1,,
15.965069999999999,1,lp2,,,
16.63167,1,2-1,,,
16.931639999999998,1,lp1,,,
17.29827,1,j1-3,,,
17.69823,1,lp3,,,
18.19818,1,3-1,,,
18.764789999999998,1,1-2,lb0,,
19.29807,1,lp2,,,
20.06466,1,2-3,r1,,
20.56461,1,lp3,,,
21.13122,1,3-4,rb0,,
21.73116,1,lp4,,,
22.231109999999997,1,4-2,,,
22.69773,1,j2-3,,,
23.19768,1,3-2,,,
23.29767,MOT_mc_special_01,scene03,,
44.69553,MOT_all,cut2,,
44.69553,MOT_mc_special_01,scene04,,
44.69553,MOT_mc_back_00,lesson,,
54.6612,2,w5,,,
54.6612,1,w5,,,
55.394459999999995,MOT_mc_special_01,scene05,,
55.394459999999995,MOT_mc_back_00,lesson2,,
55.861079999999994,2,5-7,l1,,
55.861079999999994,1,5-7,r1,,
56.36103,2,lp7,,,
56.36103,1,lp7,,,
56.92764,2,7-8,l2,,
56.92764,1,7-8,r2,,
57.427589999999995,2,lp8,,,
57.427589999999995,1,lp8,,,
57.92754,2,8-6,lb1,,
57.92754,1,8-6,rb1,,
58.3275,1,j6-5,,,
58.42749,2,j6-5,,,
58.96077,2,lp5,,,
58.96077,1,lp5,,,
59.69403,2,5-7,lb0,,
59.69403,1,5-7,rb0,,
60.327299999999994,2,lp7,,,
60.39396,1,7-8,,f1,
60.39396,1,sort,-20000,
60.92724,1,lp8,,,
61.69383,2,7-8,,f1,
61.69383,2,sort,-20000,
62.327099999999994,2,lp8,,,
62.9937,2,8-5,,,
62.9937,1,8-5,,,
63.39366,2,5-7,,,
63.39366,1,5-7,,,
63.82695,2,lp7,,,
63.82695,1,lp7,,,
64.29357,2,7-6,r1,,
64.29357,1,7-6,l1,,
64.86018,2,lp6,,,
64.86018,1,lp6,,,
65.26013999999999,2,6-5,r2,,
65.26013999999999,1,6-5,l2,,
65.6601,2,5-8,,,
65.6601,1,5-8,,,
65.86008,MOT_mc_special_01,scene05_2,,
65.96007,1,lp8,,,
65.96007,2,lp8,,,
66.22671,MOT_mc_special_01,scene06,,
77.05896,2,8-6,,,
77.05896,1,8-6,,,
77.35893,MOT_mc_special_01,scene07,,
77.72556,1,lp6,,,
77.72556,2,lp6,,,
78.45882,1,6-5,,,
78.45882,2,6-5,,,
78.95877,1,lp5,,,
78.95877,2,lp5,,,
79.79202,1,j5-7,,,
80.02533,2,j5-7,,,
80.29196999999999,1,7-8,,,
80.29196999999999,2,7-8,,,
80.9919,2,8-5,,,
81.22520999999999,1,8-5,,,
81.49185,1,5-7,,,
81.49185,2,5-7,,,
81.89180999999999,1,lp7,,,
81.89180999999999,2,lp7,,,
82.49175,1,7-5,lb1,,
82.49175,2,7-5,rb1,,
83.45832,1,5-8,lb0,,
83.45832,2,5-8,rb0,,
84.05825999999999,1,8-7,,,
84.05825999999999,2,8-7,,,
84.39156,1,7-6,,,
84.39156,2,7-6,,,
84.9915,1,6-5,,,
85.19148,2,6-5,,,
85.42479,1,sj5,,,
85.42479,2,sj5,,,
85.75809,2,5-7,,,
85.95806999999999,1,5-7,,,
86.29137,1,j7-6,,,
86.29137,2,j7-6,,,
86.79132,1,6-8,,,
87.09129,2,6-8,,,
87.19127999999999,MOT_mc_special_01,scene07_2,,
87.62456999999999,MOT_mc_special_01,scene08,,
99.85668,MOT_mc_special_01,scene09,,
110.78891999999999,MOT_mc_special_01,scene10,,
