0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,cut1,,
3.43298,MOT_mc_stage_color_00,b-flash,,
3.43298,2,lp1,,,D20
3.43298,3,lp1,,,D20
3.43298,1,lp1,,,D20
6.06605,MOT_control_all,ike_zoom1,,
6.06605,MOT_mc_stage_color_00,r-flash,,
6.06605,MOT_mc_bg_black_00,b65-80,,
6.06605,2,j1-2,,,
6.06605,3,j1-2,,,
6.06605,1,j1-2,,,
7.06596,MOT_mc_stage_color_00,y-flash,,
7.06596,2,2-3,,,
7.06596,3,2-3,,,
7.06596,1,2-3,,,
7.9992,3,w3,,,
7.9992,2,w3,,,
7.9992,1,w3,,,
8.3325,MOT_mc_stage_color_00,r-flash,,
8.3325,2,j3-4,,,
8.3325,3,j3-4,,,
8.3325,1,j3-4,,,
8.96577,2,j4-1,,,
9.29907,1,j4-1,,,
9.39906,3,w4,,,
9.63237,MOT_mc_stage_color_00,y-flash,,
9.63237,3,j4-1,,,
10.03233,2,w1,,,
10.26564,1,1-2,,,
10.498949999999999,2,j1-2,,,
10.498949999999999,3,j1-2,,,
11.098889999999999,MOT_mc_stage_color_00,r-flash,,
11.098889999999999,1,j2-3,,,
11.49885,2,hj2,,,
11.49885,3,hj2,,,
12.16545,1,w3,,,
12.232109999999999,MOT_mc_stage_color_00,b-flash,,
12.232109999999999,1,hj3,,,
12.732059999999999,3,w2,,,
12.732059999999999,2,w2,,,
12.89871,2,j2-3,,,
12.89871,3,j2-3,,,
13.46532,1,w3,,,
13.59864,MOT_mc_stage_color_00,r-flash,,
13.59864,1,j3-4,,,
13.79862,2,3-4,l1,,
13.965269999999999,3,w3,,,
14.065259999999999,3,3-4,r1,,
14.565209999999999,2,hj4,,,
14.565209999999999,3,hj4,,,
14.565209999999999,1,j4-1,,,
15.065159999999999,3,4-1,rb0,,
15.3318,2,4-1,lb0,,
15.59844,1,lp1,,,
15.9984,3,w1,,,
16.26504,2,w1,,,
16.43169,MOT_mc_stage_color_00,b-flash,,
16.43169,2,j1-2,,,
17.131619999999998,3,j1-2,,,
17.49825,2,w2,,,
17.731559999999998,2,lp2,,,
17.731559999999998,3,lp2,,,
19.06476,MOT_mc_stage_color_00,y-flash,,
19.06476,2,j2-3,,,
19.06476,3,j2-3,,,
19.06476,1,1-2,,,
19.69803,1,2-3,,,
19.83135,2,3-4,,,
19.997999999999998,3,3-4,,,
20.43129,2,j4-1,,,
20.43129,3,j4-1,,,
20.43129,1,3-4,,,
21.29787,MOT_mc_stage_color_00,r-flash,,
21.29787,3,j1-2,,,
21.36453,1,w4,,,
21.49785,2,w1,,,
21.56451,MOT_control_all,ike_zoom2,,
21.631169999999997,1,j4-1,,,
21.96447,MOT_mc_stage_color_00,b-flash,,
21.96447,2,j1-2,,,
22.36443,3,w2,,,
22.397759999999998,2,j2-3,,,
22.397759999999998,3,j2-3,,,
22.6644,MOT_mc_stage_color_00,r-flash,,
22.6644,1,1-2,,,
23.09769,2,j3-4,,,
23.09769,3,j3-4,,,
23.09769,1,2-3,,,
23.664299999999997,MOT_control_all,ike_zoom3,,
23.76429,MOT_mc_stage_color_00,b-flash,,
23.76429,MOT_mc_light_up_00,l1_lp,,
23.76429,MOT_mc_light_under_00,l1,,
23.76429,2,4-1,,f1,Lbl
23.76429,3,lp4,,,
23.76429,1,lp3,,,
24.13092,2,1-2,l1,,
24.49755,2,2-3,lb0,,
24.864179999999998,2,j3-4,,,
25.36413,2,sp4-1,,,
26.297369999999997,2,1-2,r1,,
26.663999999999998,2,2-3,rb0,,
27.03063,2,3-4,,,
27.39726,2,hj4,,,
28.03053,2,sp4-1,,,
28.76379,MOT_mc_stage_color_00,y-flash,,
28.76379,2,hj1,,,
29.43039,2,1-2,,,
29.86368,2,j2-3,,,
30.39696,2,3-4,r1,,
30.79692,2,4-1,rb0,,
31.19688,2,hj1,,,
31.86348,2,1-2,,,
32.3301,2,2-3,r1,,
32.79672,2,3-4,rb0,,
33.26334,2,sp4-1,,,
33.9966,MOT_control_all,ike_zoom4,,
34.06326,MOT_mc_stage_color_00,b-flash,,
34.06326,2,1-2,,b0,
34.06326,1,3-4,l1,f1,Lbl
34.46322,2,lp2,,,D40
34.46322,1,4-1,lb0,,
34.82985,1,hj1,,,
35.42979,1,sp1-2,,,
36.296369999999996,1,2-3,r1,,
36.696329999999996,1,3-4,r2,,
37.096289999999996,1,4-1,rb1,,
37.496249999999996,1,1-2,rb0,,
37.896209999999996,1,2-3,,,
38.29617,1,j3-4,,,
38.86278,1,sp4-1,,,
39.562709999999996,MOT_mc_stage_color_00,r-flash,,
39.562709999999996,1,1-2,r1,,
39.962669999999996,1,2-3,r2,,
40.362629999999996,1,3-4,rb1,,
40.762589999999996,1,4-1,rb0,,
41.162549999999996,1,1-2,,,
41.52918,1,j2-3,,,
41.92914,1,3-4,,,
42.3291,1,4-1,,,
42.762389999999996,1,j1-2,,,
43.29567,MOT_control_all,ike_zoom5,,
43.39566,MOT_mc_stage_color_00,y-flash,,
43.39566,3,4-1,,f1,Lbl
43.39566,1,,,b0,D40
43.82895,1,w2,,,
43.82895,3,1-2,r1,,
43.86228,1,lp2,,,
44.26224,3,2-3,rb0,,
44.6622,3,hj3,,,
45.662099999999995,3,3-4,l1,,
45.9954,3,4-1,lb0,,
46.36203,3,1-2,,,
46.72866,3,j2-3,,,
47.295269999999995,3,sp3-4,,,
48.42849,MOT_mc_stage_color_00,r-flash,,
48.42849,3,j4-1,,,
48.928439999999995,3,1-2,r1,,
49.295069999999996,3,2-3,,,
49.661699999999996,3,3-4,rb0,,
50.02833,3,j4-1,,,
50.494949999999996,3,1-2,,,
50.894909999999996,3,2-3,r1,,
51.294869999999996,3,3-4,rb0,,
51.694829999999996,3,4-1,,,
52.094789999999996,3,sp1-2,,,
